rank	score	disease_name	disease_identifier
1	0.036513831466436386	OMIM:252160	OMIM:252160
2	0.0369826965034008	ORPHA:25	ORPHA:25
3	0.038173288106918335	OMIM:616034	OMIM:616034
4	0.03819221630692482	OMIM:606812	OMIM:606812
5	0.03850528970360756	ORPHA:168577	ORPHA:168577
6	0.038889382034540176	ORPHA:500144	ORPHA:500144
7	0.03962820768356323	OMIM:618476	OMIM:618476
8	0.03976209834218025	OMIM:614946	OMIM:614946
9	0.039930492639541626	ORPHA:401986	ORPHA:401986
10	0.04015174135565758	OMIM:615471	OMIM:615471
11	0.040185775607824326	OMIM:272300	OMIM:272300
12	0.04022185876965523	OMIM:615182	OMIM:615182
13	0.04027139022946358	OMIM:301072	OMIM:301072
14	0.040574271231889725	ORPHA:255182	ORPHA:255182
15	0.040791455656290054	OMIM:615330	OMIM:615330
16	0.04084856063127518	OMIM:616211	OMIM:616211
17	0.04084901511669159	OMIM:610333	OMIM:610333
18	0.04105750471353531	ORPHA:79243	ORPHA:79243
19	0.04118185490369797	ORPHA:621	ORPHA:621
20	0.04119722233247164	OMIM:620306	OMIM:620306
21	0.04132241755723953	ORPHA:51	ORPHA:51
22	0.041363950818777084	ORPHA:369939	ORPHA:369939
23	0.04138447344303131	OMIM:271900	OMIM:271900
24	0.041604261845350266	OMIM:619272	OMIM:619272
25	0.04160642623901367	OMIM:248500	OMIM:248500
26	0.04166656360030174	OMIM:619059	OMIM:619059
27	0.041868310421705246	ORPHA:572798	ORPHA:572798
28	0.04217705503106117	OMIM:251290	OMIM:251290
29	0.042235422879457474	ORPHA:2177	ORPHA:2177
30	0.04232659563422203	OMIM:225750	OMIM:225750
31	0.04236128553748131	ORPHA:496641	ORPHA:496641
32	0.042399223893880844	OMIM:619071	OMIM:619071
33	0.04253464564681053	OMIM:615273	OMIM:615273
34	0.042560920119285583	OMIM:615673	OMIM:615673
35	0.04259464889764786	OMIM:613477	OMIM:613477
36	0.04263592138886452	OMIM:245349	OMIM:245349
37	0.042713265866041183	OMIM:619847	OMIM:619847
38	0.04271794855594635	ORPHA:97339	ORPHA:97339
39	0.042723312973976135	OMIM:617668	OMIM:617668
40	0.04272690415382385	ORPHA:391428	ORPHA:391428
41	0.042780227959156036	OMIM:618397	OMIM:618397
42	0.04279635101556778	ORPHA:79351	ORPHA:79351
43	0.042824991047382355	ORPHA:357058	ORPHA:357058
44	0.042832423001527786	OMIM:272200	OMIM:272200
45	0.04287411645054817	ORPHA:431361	ORPHA:431361
46	0.042930591851472855	OMIM:616538	OMIM:616538
47	0.042944010347127914	OMIM:259720	OMIM:259720
48	0.04294855520129204	OMIM:261515	OMIM:261515
49	0.042984601110219955	OMIM:612389	OMIM:612389
50	0.043034832924604416	OMIM:615095	OMIM:615095
51	0.04307570308446884	OMIM:312170	OMIM:312170
52	0.04316481575369835	ORPHA:168486	ORPHA:168486
53	0.043195970356464386	OMIM:617729	OMIM:617729
54	0.04322304576635361	OMIM:617193	OMIM:617193
55	0.04325922578573227	OMIM:610377	OMIM:610377
56	0.043409693986177444	OMIM:300884	OMIM:300884
57	0.04349802806973457	OMIM:252010	OMIM:252010
58	0.043500375002622604	ORPHA:3008	ORPHA:3008
59	0.04350157082080841	OMIM:300868	OMIM:300868
60	0.04350224882364273	OMIM:220111	OMIM:220111
61	0.04352661967277527	OMIM:614886	OMIM:614886
62	0.0435367114841938	OMIM:603387	OMIM:603387
63	0.04359085485339165	OMIM:617669	OMIM:617669
64	0.043636761605739594	ORPHA:79282	ORPHA:79282
65	0.04368211701512337	OMIM:615809	OMIM:615809
66	0.04369937255978584	OMIM:619286	OMIM:619286
67	0.043729253113269806	OMIM:615574	OMIM:615574
68	0.04377257451415062	ORPHA:506	ORPHA:506
69	0.043911758810281754	OMIM:616260	OMIM:616260
70	0.04393057897686958	ORPHA:404454	ORPHA:404454
71	0.043969713151454926	OMIM:615838	OMIM:615838
72	0.044023022055625916	ORPHA:135	ORPHA:135
73	0.044055625796318054	OMIM:605013	OMIM:605013
74	0.04405912384390831	OMIM:251300	OMIM:251300
75	0.04411030933260918	OMIM:203700	OMIM:203700
76	0.044126786291599274	ORPHA:244310	ORPHA:244310
77	0.044161636382341385	OMIM:604377	OMIM:604377
78	0.04434369504451752	ORPHA:263487	ORPHA:263487
79	0.04439665004611015	OMIM:252150	OMIM:252150
80	0.04446704313158989	OMIM:616672	OMIM:616672
81	0.04450809583067894	ORPHA:280071	ORPHA:280071
82	0.044520944356918335	ORPHA:66634	ORPHA:66634
83	0.04452523961663246	ORPHA:440713	ORPHA:440713
84	0.04467831552028656	ORPHA:79322	ORPHA:79322
85	0.04469269514083862	OMIM:618298	OMIM:618298
86	0.04476935416460037	ORPHA:86309	ORPHA:86309
87	0.04478368163108826	OMIM:620024	OMIM:620024
88	0.044808849692344666	OMIM:230000	OMIM:230000
89	0.04481792449951172	OMIM:214150	OMIM:214150
90	0.044882312417030334	OMIM:304340	OMIM:304340
91	0.04489043354988098	ORPHA:821	ORPHA:821
92	0.04490150883793831	OMIM:615760	OMIM:615760
93	0.04495861008763313	OMIM:617710	OMIM:617710
94	0.04500516876578331	OMIM:617731	OMIM:617731
95	0.045175451785326004	OMIM:615398	OMIM:615398
96	0.04518592357635498	OMIM:618973	OMIM:618973
97	0.04525233432650566	OMIM:617481	OMIM:617481
98	0.04529854655265808	OMIM:615803	OMIM:615803
99	0.04534341022372246	OMIM:615286	OMIM:615286
100	0.04540544003248215	OMIM:231680	OMIM:231680
101	0.045428842306137085	ORPHA:67046	ORPHA:67046
102	0.04548637941479683	OMIM:618008	OMIM:618008
103	0.04553578421473503	OMIM:616900	OMIM:616900
104	0.04556100443005562	ORPHA:99742	ORPHA:99742
105	0.04556283727288246	ORPHA:565624	ORPHA:565624
106	0.04558424651622772	OMIM:620089	OMIM:620089
107	0.045625556260347366	ORPHA:1560	ORPHA:1560
108	0.04566710814833641	OMIM:611523	OMIM:611523
109	0.045746054500341415	OMIM:616299	OMIM:616299
110	0.045760057866573334	OMIM:612949	OMIM:612949
111	0.045792195945978165	OMIM:614388	OMIM:614388
112	0.04579349234700203	ORPHA:309282	ORPHA:309282
113	0.04580159857869148	ORPHA:1933	ORPHA:1933
114	0.0458349846303463	OMIM:608885	OMIM:608885
115	0.04584256187081337	OMIM:617281	OMIM:617281
116	0.04585059732198715	OMIM:617762	OMIM:617762
117	0.04589033126831055	ORPHA:329178	ORPHA:329178
118	0.045896705240011215	OMIM:615851	OMIM:615851
119	0.045901887118816376	OMIM:617507	OMIM:617507
120	0.04593012109398842	ORPHA:457351	ORPHA:457351
121	0.045941684395074844	OMIM:619876	OMIM:619876
122	0.045963749289512634	OMIM:618730	OMIM:618730
123	0.04597672447562218	OMIM:618349	OMIM:618349
124	0.04607153311371803	ORPHA:29	ORPHA:29
125	0.04607786238193512	OMIM:619076	OMIM:619076
126	0.04613029956817627	OMIM:620352	OMIM:620352
127	0.04614603891968727	ORPHA:90324	ORPHA:90324
128	0.04616261646151543	ORPHA:521426	ORPHA:521426
129	0.04617083817720413	OMIM:260565	OMIM:260565
130	0.046172134578228	ORPHA:500533	ORPHA:500533
131	0.04625341296195984	ORPHA:527497	ORPHA:527497
132	0.04625926539301872	OMIM:614231	OMIM:614231
133	0.04626932740211487	OMIM:618862	OMIM:618862
134	0.0462731271982193	OMIM:616875	OMIM:616875
135	0.04629923030734062	ORPHA:280763	ORPHA:280763
136	0.04634777456521988	OMIM:619170	OMIM:619170
137	0.04635963961482048	OMIM:617082	OMIM:617082
138	0.04637148603796959	ORPHA:542310	ORPHA:542310
139	0.04639686644077301	ORPHA:17	ORPHA:17
140	0.04639981687068939	OMIM:608836	OMIM:608836
141	0.04640521481633186	ORPHA:544469	ORPHA:544469
142	0.04643404111266136	OMIM:616154	OMIM:616154
143	0.04645108804106712	OMIM:618891	OMIM:618891
144	0.046488430351018906	OMIM:608027	OMIM:608027
145	0.04650390148162842	OMIM:617186	OMIM:617186
146	0.046509530395269394	OMIM:617268	OMIM:617268
147	0.0465107336640358	OMIM:614739	OMIM:614739
148	0.04651916027069092	OMIM:614866	OMIM:614866
149	0.04653354361653328	OMIM:600721	OMIM:600721
150	0.046558499336242676	ORPHA:2203	ORPHA:2203
151	0.04657255485653877	OMIM:610329	OMIM:610329
152	0.04660796374082565	OMIM:243910	OMIM:243910
153	0.0466231070458889	OMIM:617527	OMIM:617527
154	0.04664494842290878	OMIM:219150	OMIM:219150
155	0.046646494418382645	ORPHA:445038	ORPHA:445038
156	0.04665634036064148	OMIM:615937	OMIM:615937
157	0.04668755829334259	ORPHA:765	ORPHA:765
158	0.046693913638591766	OMIM:231670	OMIM:231670
159	0.046714216470718384	OMIM:617757	OMIM:617757
160	0.04674365743994713	OMIM:614969	OMIM:614969
161	0.04676491767168045	ORPHA:395	ORPHA:395
162	0.04677225649356842	ORPHA:320385	ORPHA:320385
163	0.04679371789097786	OMIM:618959	OMIM:618959
164	0.046805109828710556	OMIM:612936	OMIM:612936
165	0.04683663696050644	OMIM:614887	OMIM:614887
166	0.04685118421912193	OMIM:616271	OMIM:616271
167	0.04686828702688217	OMIM:300896	OMIM:300896
168	0.04686884954571724	OMIM:614052	OMIM:614052
169	0.04687955603003502	OMIM:619487	OMIM:619487
170	0.04688979685306549	OMIM:613735	OMIM:613735
171	0.04690193384885788	OMIM:619609	OMIM:619609
172	0.046922799199819565	OMIM:277470	OMIM:277470
173	0.04694121330976486	OMIM:606056	OMIM:606056
174	0.04696257412433624	OMIM:608779	OMIM:608779
175	0.04696562513709068	ORPHA:370959	ORPHA:370959
176	0.047012291848659515	OMIM:617698	OMIM:617698
177	0.04701947793364525	OMIM:619273	OMIM:619273
178	0.04702182114124298	OMIM:617302	OMIM:617302
179	0.04702828824520111	ORPHA:464282	ORPHA:464282
180	0.04706321284174919	ORPHA:254913	ORPHA:254913
181	0.04707316309213638	OMIM:619475	OMIM:619475
182	0.04708800092339516	ORPHA:2836	ORPHA:2836
183	0.0471041165292263	OMIM:620240	OMIM:620240
184	0.04710964486002922	OMIM:618143	OMIM:618143
