rank	score	disease_name	disease_identifier
1	0.023459572345018387	OMIM:613464	OMIM:613464
2	0.02515580505132675	OMIM:615990	OMIM:615990
3	0.027867766097187996	OMIM:300578	OMIM:300578
4	0.029988011345267296	OMIM:619260	OMIM:619260
5	0.030596818774938583	OMIM:252650	OMIM:252650
6	0.03121880069375038	OMIM:303110	OMIM:303110
7	0.03152066469192505	OMIM:204000	OMIM:204000
8	0.03156694024801254	OMIM:600151	OMIM:600151
9	0.03157363459467888	OMIM:253280	OMIM:253280
10	0.031700290739536285	ORPHA:191	ORPHA:191
11	0.03179510682821274	OMIM:256730	OMIM:256730
12	0.03199181333184242	OMIM:209900	OMIM:209900
13	0.03205559775233269	OMIM:204200	OMIM:204200
14	0.03225859999656677	OMIM:614504	OMIM:614504
15	0.03234400227665901	ORPHA:94147	ORPHA:94147
16	0.03244670853018761	OMIM:614845	OMIM:614845
17	0.03271549195051193	OMIM:618195	OMIM:618195
18	0.03273530304431915	OMIM:551500	OMIM:551500
19	0.0327630415558815	ORPHA:5	ORPHA:5
20	0.032897647470235825	OMIM:616629	OMIM:616629
21	0.032906968146562576	ORPHA:90324	ORPHA:90324
22	0.03300405293703079	OMIM:610951	OMIM:610951
23	0.03313867747783661	ORPHA:1435	ORPHA:1435
24	0.03329411894083023	ORPHA:75858	ORPHA:75858
25	0.033300403505563736	OMIM:617951	OMIM:617951
26	0.033313047140836716	OMIM:264470	OMIM:264470
27	0.03337232396006584	OMIM:617406	OMIM:617406
28	0.0333925224840641	OMIM:617121	OMIM:617121
29	0.033475760370492935	OMIM:204100	OMIM:204100
30	0.03372431918978691	OMIM:618970	OMIM:618970
31	0.033785633742809296	ORPHA:644	ORPHA:644
32	0.033881328999996185	OMIM:615991	OMIM:615991
33	0.03391779586672783	OMIM:617781	OMIM:617781
34	0.03400750830769539	OMIM:125250	OMIM:125250
35	0.03413616120815277	OMIM:251270	OMIM:251270
36	0.034146182239055634	OMIM:614867	OMIM:614867
37	0.0342484675347805	OMIM:615960	OMIM:615960
38	0.03426427021622658	OMIM:620342	OMIM:620342
39	0.03429066389799118	OMIM:609033	OMIM:609033
40	0.03430098667740822	OMIM:610188	OMIM:610188
41	0.034382738173007965	OMIM:613750	OMIM:613750
42	0.03446555137634277	OMIM:615249	OMIM:615249
43	0.034540191292762756	OMIM:615922	OMIM:615922
44	0.03466583788394928	ORPHA:370022	ORPHA:370022
45	0.03469337150454521	ORPHA:578	ORPHA:578
46	0.03484514728188515	OMIM:617302	OMIM:617302
47	0.03485190495848656	ORPHA:401777	ORPHA:401777
48	0.034862350672483444	ORPHA:791	ORPHA:791
49	0.03489886224269867	OMIM:175780	OMIM:175780
50	0.03490162268280983	ORPHA:157850	ORPHA:157850
51	0.034916799515485764	OMIM:614863	OMIM:614863
52	0.03495771437883377	ORPHA:33445	ORPHA:33445
