rank	score	disease_name	disease_identifier
1	0.18190008401870728	ORPHA:83461	ORPHA:83461
2	0.19036120176315308	OMIM:616428	OMIM:616428
3	0.192920982837677	ORPHA:71276	ORPHA:71276
4	0.19361352920532227	ORPHA:231736	ORPHA:231736
5	0.19436198472976685	ORPHA:2989	ORPHA:2989
6	0.19557666778564453	ORPHA:2334	ORPHA:2334
7	0.19622665643692017	ORPHA:1661	ORPHA:1661
8	0.19679754972457886	ORPHA:139450	ORPHA:139450
9	0.19698584079742432	OMIM:615113	OMIM:615113
10	0.19709110260009766	OMIM:203340	OMIM:203340
