rank	score	disease_name	disease_identifier
1	0.01139816828072071	OMIM:600920	OMIM:600920
2	0.014256242662668228	OMIM:277720	OMIM:277720
3	0.015040590427815914	OMIM:601680	OMIM:601680
4	0.015797898173332214	OMIM:615065	OMIM:615065
5	0.01613263040781021	ORPHA:2804	ORPHA:2804
6	0.016207503154873848	OMIM:245600	OMIM:245600
7	0.016445009037852287	OMIM:305620	OMIM:305620
8	0.0166845191270113	OMIM:130070	OMIM:130070
9	0.01712220162153244	ORPHA:2215	ORPHA:2215
10	0.017388755455613136	ORPHA:56304	ORPHA:56304
11	0.017458032816648483	OMIM:227330	OMIM:227330
12	0.017615221440792084	OMIM:617402	OMIM:617402
13	0.01764117367565632	OMIM:180700	OMIM:180700
14	0.017662977799773216	OMIM:614976	OMIM:614976
15	0.017845338210463524	ORPHA:915	ORPHA:915
16	0.018046295270323753	OMIM:272430	OMIM:272430
17	0.01817929744720459	ORPHA:1327	ORPHA:1327
18	0.018183952197432518	ORPHA:83	ORPHA:83
19	0.018214261159300804	ORPHA:1507	ORPHA:1507
20	0.018462469801306725	OMIM:611717	OMIM:611717
21	0.018524087965488434	OMIM:268310	OMIM:268310
22	0.018549486994743347	ORPHA:1425	ORPHA:1425
23	0.01857297495007515	OMIM:265000	OMIM:265000
24	0.018900401890277863	OMIM:271640	OMIM:271640
25	0.018932320177555084	ORPHA:1106	ORPHA:1106
26	0.01904257759451866	ORPHA:3107	ORPHA:3107
27	0.019055336713790894	ORPHA:1147	ORPHA:1147
28	0.019100263714790344	OMIM:619110	OMIM:619110
29	0.019105516374111176	OMIM:613776	OMIM:613776
30	0.019156107679009438	OMIM:613458	OMIM:613458
31	0.01922028884291649	OMIM:616145	OMIM:616145
32	0.019400695338845253	ORPHA:536471	ORPHA:536471
33	0.019458740949630737	OMIM:615777	OMIM:615777
34	0.01958421617746353	OMIM:251450	OMIM:251450
35	0.019584985449910164	ORPHA:2496	ORPHA:2496
36	0.019591081887483597	OMIM:182212	OMIM:182212
37	0.01966390199959278	ORPHA:221120	ORPHA:221120
38	0.01981430873274803	ORPHA:3379	ORPHA:3379
39	0.01989929936826229	OMIM:166250	OMIM:166250
40	0.019962674006819725	ORPHA:457395	ORPHA:457395
41	0.01999080926179886	OMIM:272950	OMIM:272950
42	0.020010685548186302	OMIM:108721	OMIM:108721
43	0.020021138712763786	OMIM:608156	OMIM:608156
44	0.02005559392273426	OMIM:271665	OMIM:271665
45	0.020111417397856712	OMIM:617137	OMIM:617137
46	0.020146798342466354	OMIM:264180	OMIM:264180
47	0.02014765702188015	OMIM:211750	OMIM:211750
48	0.020181607455015182	OMIM:193700	OMIM:193700
49	0.020198382437229156	ORPHA:1520	ORPHA:1520
50	0.02020195871591568	OMIM:618975	OMIM:618975
51	0.020206760615110397	OMIM:618529	OMIM:618529
52	0.02020985819399357	ORPHA:439822	ORPHA:439822
53	0.020239919424057007	OMIM:309583	OMIM:309583
54	0.02024196647107601	OMIM:311300	OMIM:311300
55	0.020249539986252785	OMIM:616894	OMIM:616894
56	0.02029564045369625	OMIM:618332	OMIM:618332
57	0.020305631682276726	OMIM:158170	OMIM:158170
58	0.02035713754594326	OMIM:619451	OMIM:619451
59	0.020372437313199043	OMIM:148050	OMIM:148050
60	0.0203940961509943	ORPHA:1974	ORPHA:1974
61	0.020422184839844704	ORPHA:137834	ORPHA:137834
62	0.02045237272977829	ORPHA:2831	ORPHA:2831
63	0.02048131637275219	OMIM:612474	OMIM:612474
64	0.02053878642618656	ORPHA:77258	ORPHA:77258
65	0.020571155473589897	ORPHA:3041	ORPHA:3041
66	0.02057480625808239	OMIM:612350	OMIM:612350
67	0.020698128268122673	OMIM:108120	OMIM:108120
68	0.020702702924609184	OMIM:201170	OMIM:201170
69	0.020717153325676918	OMIM:615582	OMIM:615582
70	0.02077457308769226	OMIM:304120	OMIM:304120
71	0.020821919664740562	OMIM:303600	OMIM:303600
72	0.020836368203163147	OMIM:309580	OMIM:309580
73	0.020840631797909737	OMIM:258315	OMIM:258315
74	0.020880931988358498	OMIM:224690	OMIM:224690
75	0.020960040390491486	OMIM:618870	OMIM:618870
76	0.02096080593764782	ORPHA:261318	ORPHA:261318
