rank	score	disease_name	disease_identifier
1	0.01901119574904442	OMIM:227330	OMIM:227330
2	0.019581874832510948	OMIM:300895	OMIM:300895
3	0.019817471504211426	ORPHA:2471	ORPHA:2471
4	0.019865980371832848	OMIM:613544	OMIM:613544
5	0.02006061002612114	ORPHA:1974	ORPHA:1974
6	0.02107474021613598	OMIM:616734	OMIM:616734
7	0.02115699276328087	ORPHA:3379	ORPHA:3379
8	0.021233700215816498	OMIM:309590	OMIM:309590
9	0.021304387599229813	OMIM:309580	OMIM:309580
10	0.021363237872719765	OMIM:158170	OMIM:158170
11	0.02160404436290264	OMIM:613458	OMIM:613458
12	0.021804211661219597	ORPHA:1327	ORPHA:1327
13	0.021807260811328888	ORPHA:439822	ORPHA:439822
14	0.021967735141515732	OMIM:146390	OMIM:146390
15	0.022011160850524902	ORPHA:1695	ORPHA:1695
16	0.022069934755563736	OMIM:613604	OMIM:613604
17	0.022348834201693535	OMIM:618529	OMIM:618529
18	0.0225583054125309	OMIM:604314	OMIM:604314
19	0.02256377413868904	ORPHA:915	ORPHA:915
20	0.022625336423516273	OMIM:272950	OMIM:272950
21	0.022687481716275215	OMIM:602342	OMIM:602342
22	0.022689539939165115	OMIM:300882	OMIM:300882
23	0.02280799299478531	OMIM:309500	OMIM:309500
24	0.022821638733148575	OMIM:180700	OMIM:180700
25	0.022822631523013115	OMIM:244450	OMIM:244450
26	0.022858623415231705	OMIM:618332	OMIM:618332
27	0.022958148270845413	OMIM:211380	OMIM:211380
28	0.02296881005167961	OMIM:619185	OMIM:619185
29	0.022993944585323334	ORPHA:1703	ORPHA:1703
30	0.023003606125712395	OMIM:613792	OMIM:613792
31	0.02314739301800728	ORPHA:487825	ORPHA:487825
32	0.023149559274315834	OMIM:612731	OMIM:612731
33	0.02316054329276085	OMIM:249620	OMIM:249620
34	0.02318880707025528	ORPHA:3107	ORPHA:3107
35	0.023230621591210365	ORPHA:1620	ORPHA:1620
36	0.023264989256858826	OMIM:617982	OMIM:617982
37	0.023274652659893036	ORPHA:261290	ORPHA:261290
38	0.023278702050447464	OMIM:617755	OMIM:617755
39	0.023396402597427368	ORPHA:261112	ORPHA:261112
40	0.023419849574565887	OMIM:615866	OMIM:615866
41	0.02349133789539337	ORPHA:3063	ORPHA:3063
42	0.023502986878156662	ORPHA:2563	ORPHA:2563
43	0.023509493097662926	OMIM:148050	OMIM:148050
44	0.023517876863479614	ORPHA:1715	ORPHA:1715
45	0.023547057062387466	OMIM:305400	OMIM:305400
46	0.02367076836526394	ORPHA:884	ORPHA:884
47	0.02378738299012184	OMIM:615761	OMIM:615761
48	0.02379053458571434	OMIM:201170	OMIM:201170
49	0.02386915124952793	ORPHA:251014	ORPHA:251014
50	0.023907864466309547	ORPHA:98791	ORPHA:98791
51	0.023916147649288177	ORPHA:96125	ORPHA:96125
52	0.02392827346920967	OMIM:619148	OMIM:619148
53	0.023956915363669395	OMIM:612474	OMIM:612474
54	0.023981614038348198	OMIM:213980	OMIM:213980
55	0.024001946672797203	OMIM:614541	OMIM:614541
56	0.024060696363449097	ORPHA:1778	ORPHA:1778
57	0.024134354665875435	ORPHA:96097	ORPHA:96097
58	0.02416100539267063	ORPHA:217385	ORPHA:217385
59	0.02416687086224556	OMIM:615668	OMIM:615668
60	0.02418600395321846	OMIM:616894	OMIM:616894
61	0.024222899228334427	ORPHA:289522	ORPHA:289522
62	0.02424021065235138	ORPHA:1784	ORPHA:1784
63	0.024315496906638145	OMIM:617561	OMIM:617561
64	0.024366632103919983	OMIM:601088	OMIM:601088
65	0.02443384937942028	ORPHA:94065	ORPHA:94065
66	0.02443944476544857	OMIM:612530	OMIM:612530
67	0.024452978745102882	OMIM:614230	OMIM:614230
68	0.024462591856718063	ORPHA:261279	ORPHA:261279
69	0.024477586150169373	OMIM:239710	OMIM:239710
70	0.024482162669301033	OMIM:166250	OMIM:166250
71	0.024485088884830475	ORPHA:3242	ORPHA:3242
72	0.024506211280822754	OMIM:243310	OMIM:243310
73	0.024525128304958344	OMIM:607812	OMIM:607812
74	0.024542072787880898	OMIM:619325	OMIM:619325
75	0.024556422606110573	ORPHA:1707	ORPHA:1707
76	0.024576004594564438	OMIM:249310	OMIM:249310
77	0.024580150842666626	OMIM:615546	OMIM:615546
78	0.024584438651800156	OMIM:610759	OMIM:610759
79	0.024596314877271652	OMIM:609625	OMIM:609625
80	0.024598585441708565	OMIM:608156	OMIM:608156
81	0.024608565494418144	OMIM:211750	OMIM:211750
