rank	score	disease_name	disease_identifier
1	0.011614753864705563	OMIM:619503	OMIM:619503
2	0.011739092878997326	ORPHA:459070	ORPHA:459070
3	0.011816630139946938	OMIM:619297	OMIM:619297
4	0.011998637579381466	ORPHA:363528	ORPHA:363528
5	0.012123518623411655	OMIM:620224	OMIM:620224
6	0.012193745002150536	ORPHA:261349	ORPHA:261349
7	0.012462174519896507	OMIM:610443	OMIM:610443
8	0.012482860125601292	OMIM:607872	OMIM:607872
9	0.01253331359475851	OMIM:608776	OMIM:608776
10	0.012615000829100609	OMIM:213980	OMIM:213980
11	0.012688125483691692	OMIM:617190	OMIM:617190
12	0.012713771313428879	ORPHA:247262	ORPHA:247262
13	0.012724614702165127	OMIM:617360	OMIM:617360
14	0.012740529142320156	ORPHA:261279	ORPHA:261279
15	0.012765561230480671	OMIM:619720	OMIM:619720
16	0.012924494221806526	ORPHA:96121	ORPHA:96121
17	0.012955178506672382	OMIM:614080	OMIM:614080
18	0.012969981878995895	OMIM:615668	OMIM:615668
19	0.013095068745315075	ORPHA:397709	ORPHA:397709
20	0.01309962011873722	OMIM:619512	OMIM:619512
21	0.013103545643389225	OMIM:301044	OMIM:301044
22	0.013132086955010891	OMIM:618590	OMIM:618590
23	0.013160820119082928	ORPHA:96148	ORPHA:96148
24	0.013164526782929897	OMIM:179613	OMIM:179613
25	0.013167578727006912	OMIM:618268	OMIM:618268
26	0.013192946091294289	OMIM:605039	OMIM:605039
27	0.013230561278760433	OMIM:300967	OMIM:300967
28	0.013251183554530144	OMIM:617140	OMIM:617140
29	0.013379963114857674	OMIM:613457	OMIM:613457
30	0.01339003350585699	OMIM:617729	OMIM:617729
31	0.013392291963100433	OMIM:616737	OMIM:616737
32	0.013407614082098007	OMIM:619950	OMIM:619950
33	0.013439499773085117	OMIM:619435	OMIM:619435
34	0.013441353105008602	OMIM:612582	OMIM:612582
35	0.01344347931444645	OMIM:619833	OMIM:619833
36	0.013463209383189678	OMIM:218340	OMIM:218340
37	0.013475574553012848	OMIM:619124	OMIM:619124
38	0.013479080982506275	OMIM:617157	OMIM:617157
39	0.013491078279912472	OMIM:609625	OMIM:609625
40	0.013498262502253056	OMIM:180849	OMIM:180849
41	0.013531818054616451	OMIM:135900	OMIM:135900
42	0.013533128425478935	OMIM:601808	OMIM:601808
43	0.013547764159739017	ORPHA:488632	ORPHA:488632
44	0.013557453639805317	OMIM:619087	OMIM:619087
45	0.013566252775490284	ORPHA:1600	ORPHA:1600
46	0.013585792854428291	OMIM:280000	OMIM:280000
47	0.013594260439276695	OMIM:617557	OMIM:617557
48	0.01363419834524393	OMIM:300868	OMIM:300868
49	0.013648061081767082	ORPHA:481152	ORPHA:481152
50	0.013656022027134895	ORPHA:261337	ORPHA:261337
51	0.013678042218089104	OMIM:618027	OMIM:618027
52	0.013678675517439842	OMIM:618659	OMIM:618659
53	0.01369006559252739	OMIM:300968	OMIM:300968
