rank	score	disease_name	disease_identifier
1	0.04791892319917679	ORPHA:577	ORPHA:577
2	0.04972807317972183	ORPHA:2591	ORPHA:2591
3	0.04991765320301056	ORPHA:56	ORPHA:56
4	0.05091928690671921	ORPHA:90289	ORPHA:90289
5	0.05187643691897392	ORPHA:294975	ORPHA:294975
6	0.05211105942726135	ORPHA:90349	ORPHA:90349
7	0.052424464374780655	ORPHA:53715	ORPHA:53715
8	0.05254033952951431	ORPHA:758	ORPHA:758
9	0.05269347131252289	ORPHA:744	ORPHA:744
10	0.05345280468463898	ORPHA:1979	ORPHA:1979
11	0.05363482981920242	ORPHA:286	ORPHA:286
12	0.05382150784134865	ORPHA:79474	ORPHA:79474
13	0.05388089269399643	ORPHA:1318	ORPHA:1318
14	0.054401811212301254	ORPHA:2796	ORPHA:2796
15	0.054486896842718124	ORPHA:238468	ORPHA:238468
16	0.05503585562109947	ORPHA:93473	ORPHA:93473
17	0.05511988699436188	ORPHA:902	ORPHA:902
18	0.05527237802743912	ORPHA:93	ORPHA:93
19	0.0554506815969944	ORPHA:2028	ORPHA:2028
20	0.05556579679250717	ORPHA:2092	ORPHA:2092
21	0.05565767362713814	ORPHA:175	ORPHA:175
22	0.05579676479101181	ORPHA:249	ORPHA:249
23	0.055844273418188095	ORPHA:500	ORPHA:500
24	0.05608966946601868	ORPHA:93476	ORPHA:93476
25	0.05621645227074623	ORPHA:75496	ORPHA:75496
26	0.056307654827833176	ORPHA:1775	ORPHA:1775
27	0.05676187202334404	ORPHA:2671	ORPHA:2671
28	0.0568237341940403	OMIM:219100	OMIM:219100
29	0.05690966174006462	ORPHA:797	ORPHA:797
30	0.05695273354649544	ORPHA:2907	ORPHA:2907
31	0.05703333392739296	ORPHA:3071	ORPHA:3071
32	0.057167209684848785	ORPHA:2908	ORPHA:2908
33	0.057208798825740814	ORPHA:371428	ORPHA:371428
34	0.0573892667889595	ORPHA:35173	ORPHA:35173
35	0.05746756121516228	ORPHA:579	ORPHA:579
36	0.05748520791530609	ORPHA:666	ORPHA:666
37	0.05762319639325142	ORPHA:96167	ORPHA:96167
38	0.057669948786497116	ORPHA:3162	ORPHA:3162
39	0.05770096927881241	ORPHA:742	ORPHA:742
40	0.05805860832333565	ORPHA:349	ORPHA:349
41	0.058087632060050964	ORPHA:464	ORPHA:464
42	0.05816910043358803	ORPHA:90154	ORPHA:90154
43	0.05822303891181946	ORPHA:2396	ORPHA:2396
44	0.05825626477599144	ORPHA:167635	ORPHA:167635
45	0.05826336517930031	ORPHA:83454	ORPHA:83454
46	0.05837364122271538	ORPHA:464329	ORPHA:464329
47	0.05847907438874245	ORPHA:93160	ORPHA:93160
48	0.05849422886967659	ORPHA:582	ORPHA:582
49	0.05858897045254707	ORPHA:90348	ORPHA:90348
50	0.05865854769945145	ORPHA:955	ORPHA:955
51	0.058716122061014175	ORPHA:2953	ORPHA:2953
52	0.05878310650587082	ORPHA:904	ORPHA:904
53	0.058796390891075134	ORPHA:659	ORPHA:659
54	0.05905010178685188	ORPHA:1340	ORPHA:1340
55	0.05908473953604698	ORPHA:84	ORPHA:84
56	0.059251345694065094	ORPHA:217093	ORPHA:217093
57	0.05934736505150795	ORPHA:363618	ORPHA:363618
58	0.059359751641750336	ORPHA:116	ORPHA:116
59	0.059401970356702805	OMIM:302960	OMIM:302960
60	0.05941041186451912	ORPHA:221016	ORPHA:221016
61	0.05961504951119423	ORPHA:1328	ORPHA:1328
62	0.05967849865555763	ORPHA:557003	ORPHA:557003
63	0.05969176068902016	ORPHA:1842	ORPHA:1842
64	0.05970008671283722	ORPHA:2801	ORPHA:2801
65	0.059808652848005295	ORPHA:565	ORPHA:565
66	0.05982372537255287	ORPHA:217085	ORPHA:217085
67	0.05991850420832634	ORPHA:1834	ORPHA:1834
68	0.059921082109212875	ORPHA:182	ORPHA:182
69	0.059923574328422546	ORPHA:3440	ORPHA:3440
70	0.06000932678580284	OMIM:267000	OMIM:267000
71	0.060109131038188934	ORPHA:289	ORPHA:289
72	0.0601428858935833	ORPHA:2556	ORPHA:2556
73	0.060168422758579254	ORPHA:3219	ORPHA:3219
74	0.060238100588321686	OMIM:130650	OMIM:130650
75	0.06026037037372589	ORPHA:505248	ORPHA:505248
76	0.06027039512991905	OMIM:614100	OMIM:614100
77	0.06034543737769127	ORPHA:2067	ORPHA:2067
78	0.06048562377691269	ORPHA:2865	ORPHA:2865
79	0.06059126928448677	ORPHA:648	ORPHA:648
80	0.060635894536972046	ORPHA:51608	ORPHA:51608
81	0.06066242232918739	ORPHA:2976	ORPHA:2976
82	0.06069141626358032	ORPHA:3220	ORPHA:3220
83	0.060715530067682266	ORPHA:168569	ORPHA:168569
84	0.060802411288022995	ORPHA:2583	ORPHA:2583
85	0.060819368809461594	ORPHA:2273	ORPHA:2273
86	0.06098898872733116	ORPHA:2909	ORPHA:2909
87	0.06103874742984772	ORPHA:2963	ORPHA:2963
88	0.06105022877454758	ORPHA:261318	ORPHA:261318
89	0.06115157902240753	ORPHA:534	ORPHA:534
90	0.06117058917880058	ORPHA:584	ORPHA:584
91	0.06121131032705307	ORPHA:285	ORPHA:285
92	0.061259716749191284	ORPHA:3474	ORPHA:3474
93	0.061268698424100876	OMIM:133540	OMIM:133540
94	0.06136174127459526	ORPHA:767	ORPHA:767
95	0.06139722838997841	ORPHA:79255	ORPHA:79255
96	0.061422817409038544	OMIM:617303	OMIM:617303
97	0.061462465673685074	ORPHA:740	ORPHA:740
98	0.06149047613143921	ORPHA:2969	ORPHA:2969
99	0.0615709125995636	ORPHA:317	ORPHA:317
100	0.061577409505844116	ORPHA:280	ORPHA:280
101	0.06158038601279259	ORPHA:1666	ORPHA:1666
102	0.0615835003554821	ORPHA:90291	ORPHA:90291
103	0.06159309297800064	OMIM:613075	OMIM:613075
104	0.06163407489657402	ORPHA:79147	ORPHA:79147
105	0.06174015626311302	ORPHA:536471	ORPHA:536471
106	0.061746273189783096	ORPHA:2348	ORPHA:2348
107	0.06178220734000206	ORPHA:3163	ORPHA:3163
108	0.06186751648783684	ORPHA:90153	ORPHA:90153
109	0.061896443367004395	ORPHA:2167	ORPHA:2167
110	0.061925724148750305	ORPHA:2036	ORPHA:2036
111	0.061925992369651794	ORPHA:2136	ORPHA:2136
112	0.06195835769176483	ORPHA:2611	ORPHA:2611
113	0.061976246535778046	ORPHA:1052	ORPHA:1052
114	0.062010303139686584	ORPHA:583	ORPHA:583
115	0.06207851693034172	OMIM:615349	OMIM:615349
116	0.06208326295018196	ORPHA:363700	ORPHA:363700
117	0.06208350509405136	ORPHA:2078	ORPHA:2078
118	0.06208617985248566	ORPHA:1745	ORPHA:1745
119	0.062157042324543	ORPHA:2769	ORPHA:2769
120	0.062210600823163986	ORPHA:3130	ORPHA:3130
121	0.06226938217878342	ORPHA:69125	ORPHA:69125
122	0.06227496638894081	ORPHA:313	ORPHA:313
123	0.06239692121744156	ORPHA:221008	ORPHA:221008
124	0.0624491311609745	ORPHA:90340	ORPHA:90340
125	0.06245455518364906	ORPHA:79321	ORPHA:79321
126	0.06246016174554825	ORPHA:198	ORPHA:198
127	0.06251346319913864	ORPHA:1556	ORPHA:1556
128	0.06252405792474747	OMIM:618440	OMIM:618440
129	0.06253273785114288	ORPHA:2710	ORPHA:2710
130	0.06259261816740036	ORPHA:464321	ORPHA:464321
131	0.06261108070611954	ORPHA:3339	ORPHA:3339
132	0.06269610673189163	ORPHA:221	ORPHA:221
133	0.06276454776525497	OMIM:259100	OMIM:259100
134	0.06276835501194	ORPHA:485	ORPHA:485
135	0.06277868151664734	ORPHA:79409	ORPHA:79409
136	0.06279072910547256	ORPHA:575	ORPHA:575
137	0.06281230598688126	OMIM:601811	OMIM:601811
138	0.06305835396051407	ORPHA:1334	ORPHA:1334
139	0.06318200379610062	ORPHA:60030	ORPHA:60030
140	0.06320473551750183	OMIM:137940	OMIM:137940
141	0.06330940127372742	ORPHA:276280	ORPHA:276280
142	0.06334426254034042	ORPHA:109	ORPHA:109
143	0.06338908523321152	ORPHA:2526	ORPHA:2526
144	0.06344074755907059	ORPHA:800	ORPHA:800
145	0.06347285956144333	ORPHA:2990	ORPHA:2990
146	0.06350952386856079	ORPHA:580	ORPHA:580
147	0.06353940814733505	ORPHA:79396	ORPHA:79396
148	0.06356196105480194	ORPHA:354	ORPHA:354
149	0.0635736808180809	ORPHA:3378	ORPHA:3378
150	0.06357444077730179	ORPHA:562	ORPHA:562
151	0.06358765065670013	ORPHA:93400	ORPHA:93400
152	0.06359139829874039	OMIM:601701	OMIM:601701
153	0.06363195180892944	ORPHA:79406	ORPHA:79406
154	0.06363305449485779	OMIM:225400	OMIM:225400
155	0.06368600577116013	ORPHA:33111	ORPHA:33111
156	0.06373293697834015	ORPHA:978	ORPHA:978
157	0.06384357810020447	OMIM:308300	OMIM:308300
158	0.06384418159723282	ORPHA:1606	ORPHA:1606
159	0.06387262046337128	ORPHA:33001	ORPHA:33001
160	0.0638774186372757	ORPHA:536532	ORPHA:536532
161	0.06394067406654358	ORPHA:2617	ORPHA:2617
162	0.06395447254180908	ORPHA:79408	ORPHA:79408
163	0.06397194415330887	ORPHA:531	ORPHA:531
164	0.0640026181936264	ORPHA:79328	ORPHA:79328
165	0.0640166625380516	ORPHA:101028	ORPHA:101028
166	0.06404383480548859	ORPHA:1798	ORPHA:1798
167	0.06406063586473465	ORPHA:217335	ORPHA:217335
168	0.06409189105033875	ORPHA:636	ORPHA:636
169	0.06412196904420853	ORPHA:93941	ORPHA:93941
170	0.06414268165826797	ORPHA:284984	ORPHA:284984
171	0.06415100395679474	ORPHA:567	ORPHA:567
172	0.06415562331676483	OMIM:312150	OMIM:312150
173	0.06415724754333496	ORPHA:3455	ORPHA:3455
174	0.06418430805206299	OMIM:163200	OMIM:163200
175	0.06422004848718643	OMIM:123700	OMIM:123700
176	0.06423582136631012	ORPHA:667	ORPHA:667
177	0.06431707739830017	OMIM:269920	OMIM:269920
178	0.06436965614557266	ORPHA:857	ORPHA:857
179	0.06437940150499344	ORPHA:1166	ORPHA:1166
180	0.06441163271665573	ORPHA:97685	ORPHA:97685
181	0.06443043053150177	OMIM:614437	OMIM:614437
182	0.06448574364185333	ORPHA:96123	ORPHA:96123
183	0.064532570540905	ORPHA:261552	ORPHA:261552
184	0.06458443403244019	ORPHA:314652	ORPHA:314652
185	0.06458835303783417	ORPHA:363705	ORPHA:363705
186	0.06461144983768463	ORPHA:192	ORPHA:192
187	0.06462590396404266	ORPHA:84064	ORPHA:84064
188	0.06462863832712173	ORPHA:628	ORPHA:628
189	0.0646461620926857	ORPHA:2842	ORPHA:2842
190	0.06464678794145584	ORPHA:99226	ORPHA:99226
190	0.06464678794145584	ORPHA:99228	ORPHA:99228
190	0.06464678794145584	ORPHA:881	ORPHA:881
190	0.06464678794145584	ORPHA:99413	ORPHA:99413
194	0.06466542929410934	ORPHA:2750	ORPHA:2750
195	0.0646892786026001	ORPHA:79411	ORPHA:79411
196	0.06469094753265381	ORPHA:798	ORPHA:798
197	0.0647055134177208	OMIM:607014	OMIM:607014
198	0.06472105532884598	ORPHA:79405	ORPHA:79405
199	0.06472460180521011	ORPHA:324	ORPHA:324
200	0.0647369995713234	ORPHA:73223	ORPHA:73223
201	0.06474917382001877	ORPHA:870	ORPHA:870
202	0.06475645303726196	ORPHA:561	ORPHA:561
203	0.06480871886014938	ORPHA:2108	ORPHA:2108
204	0.06483496725559235	ORPHA:2322	ORPHA:2322
205	0.06483722478151321	OMIM:216400	OMIM:216400
206	0.06489667296409607	OMIM:611553	OMIM:611553
207	0.0649132952094078	ORPHA:1860	ORPHA:1860
208	0.06493045389652252	ORPHA:1555	ORPHA:1555
209	0.06494354456663132	ORPHA:2785	ORPHA:2785
210	0.06498485803604126	OMIM:601812	OMIM:601812
211	0.06500165909528732	ORPHA:3068	ORPHA:3068
212	0.06501300632953644	ORPHA:201	ORPHA:201
213	0.06503717601299286	OMIM:253290	OMIM:253290
214	0.06505394726991653	ORPHA:2123	ORPHA:2123
215	0.06510776281356812	ORPHA:177	ORPHA:177
216	0.06512729078531265	ORPHA:314588	ORPHA:314588
217	0.06516194343566895	ORPHA:1839	ORPHA:1839
218	0.0651705339550972	OMIM:230500	OMIM:230500
219	0.0652293860912323	ORPHA:2916	ORPHA:2916
220	0.0652322992682457	OMIM:601559	OMIM:601559
221	0.06523662805557251	ORPHA:1848	ORPHA:1848
222	0.06523773074150085	ORPHA:2636	ORPHA:2636
223	0.0652540847659111	OMIM:616200	OMIM:616200
224	0.06529400497674942	OMIM:181270	OMIM:181270
225	0.06529475003480911	ORPHA:2505	ORPHA:2505
226	0.06529548019170761	ORPHA:2221	ORPHA:2221
227	0.06532745063304901	ORPHA:542592	ORPHA:542592
228	0.06534401327371597	ORPHA:1699	ORPHA:1699
229	0.06539662182331085	ORPHA:818	ORPHA:818
230	0.06541722267866135	ORPHA:3342	ORPHA:3342
231	0.06542754173278809	ORPHA:61	ORPHA:61
232	0.06543053686618805	ORPHA:920	ORPHA:920
233	0.06550095230340958	ORPHA:96169	ORPHA:96169
234	0.0655345469713211	ORPHA:2097	ORPHA:2097
235	0.06553704291582108	ORPHA:287	ORPHA:287
236	0.06557472050189972	ORPHA:355	ORPHA:355
237	0.06558109074831009	ORPHA:79404	ORPHA:79404
238	0.06561283022165298	ORPHA:99646	ORPHA:99646
239	0.06563099473714828	ORPHA:1837	ORPHA:1837
240	0.06564351916313171	ORPHA:2962	ORPHA:2962
241	0.06571171432733536	ORPHA:3224	ORPHA:3224
242	0.06571542471647263	OMIM:200995	OMIM:200995
243	0.06572045385837555	ORPHA:73	ORPHA:73
244	0.06574399769306183	ORPHA:37	ORPHA:37
245	0.06576593965291977	ORPHA:1458	ORPHA:1458
246	0.06577392667531967	OMIM:130080	OMIM:130080
247	0.06577448546886444	ORPHA:235	ORPHA:235
248	0.06577449291944504	ORPHA:2063	ORPHA:2063
249	0.06578320264816284	ORPHA:2637	ORPHA:2637
250	0.0658203586935997	ORPHA:33364	ORPHA:33364
251	0.06583280861377716	OMIM:248370	OMIM:248370
252	0.06584536284208298	ORPHA:3310	ORPHA:3310
253	0.06585570424795151	OMIM:619329	OMIM:619329
254	0.06586942821741104	ORPHA:722	ORPHA:722
255	0.06587783992290497	ORPHA:363958	ORPHA:363958
255	0.06587783992290497	ORPHA:363965	ORPHA:363965
257	0.06588379293680191	ORPHA:199276	ORPHA:199276
258	0.06588877737522125	ORPHA:261537	ORPHA:261537
259	0.06593910604715347	ORPHA:333	ORPHA:333
260	0.06599614024162292	ORPHA:1657	ORPHA:1657
261	0.06602252274751663	OMIM:253200	OMIM:253200
262	0.06603789329528809	OMIM:102100	OMIM:102100
263	0.066060870885849	OMIM:218040	OMIM:218040
264	0.06606215238571167	OMIM:231070	OMIM:231070
265	0.06606367975473404	ORPHA:1117	ORPHA:1117
266	0.06608787178993225	ORPHA:1969	ORPHA:1969
267	0.0660957619547844	ORPHA:2412	ORPHA:2412
268	0.0661073848605156	ORPHA:2930	ORPHA:2930
269	0.06616649776697159	ORPHA:1133	ORPHA:1133
270	0.06617795675992966	ORPHA:1662	ORPHA:1662
271	0.0662103071808815	ORPHA:166119	ORPHA:166119
272	0.06621972471475601	ORPHA:1812	ORPHA:1812
273	0.06622731685638428	ORPHA:508	ORPHA:508
274	0.06623894721269608	ORPHA:90354	ORPHA:90354
275	0.06627929955720901	OMIM:617952	OMIM:617952
276	0.06631943583488464	OMIM:263210	OMIM:263210
277	0.06632136553525925	ORPHA:228123	ORPHA:228123
278	0.06633808463811874	ORPHA:2584	ORPHA:2584
279	0.06634016335010529	DECIPHER:81	DECIPHER:81
280	0.06637232005596161	ORPHA:2162	ORPHA:2162
281	0.06637857109308243	OMIM:311200	OMIM:311200
282	0.06641998142004013	ORPHA:3042	ORPHA:3042
283	0.06642943620681763	OMIM:253220	OMIM:253220
284	0.06643105298280716	ORPHA:2658	ORPHA:2658
285	0.06643299758434296	OMIM:617641	OMIM:617641
286	0.06646911799907684	OMIM:619472	OMIM:619472
287	0.06647069752216339	OMIM:176920	OMIM:176920
288	0.06647378206253052	OMIM:619488	OMIM:619488
289	0.06648817658424377	OMIM:277440	OMIM:277440
290	0.06649598479270935	ORPHA:2050	ORPHA:2050
291	0.06652219593524933	ORPHA:87876	ORPHA:87876
292	0.06655804067850113	OMIM:263700	OMIM:263700
293	0.06656572222709656	ORPHA:1655	ORPHA:1655
294	0.06656871736049652	OMIM:130000	OMIM:130000
295	0.06660624593496323	ORPHA:1708	ORPHA:1708
296	0.06661146134138107	ORPHA:1716	ORPHA:1716
297	0.06663039326667786	OMIM:605275	OMIM:605275
298	0.06663651019334793	ORPHA:502	ORPHA:502
299	0.06665248423814774	OMIM:620370	OMIM:620370
300	0.06665773689746857	ORPHA:2062	ORPHA:2062
