rank	score	disease_name	disease_identifier
1	0.012390495277941227	OMIM:277720	OMIM:277720
2	0.016144564375281334	OMIM:272430	OMIM:272430
3	0.016720307990908623	OMIM:227330	OMIM:227330
4	0.017261728644371033	OMIM:158170	OMIM:158170
5	0.01728399656713009	OMIM:616894	OMIM:616894
6	0.01735989935696125	OMIM:309580	OMIM:309580
7	0.017407221719622612	OMIM:617137	OMIM:617137
8	0.017447754740715027	OMIM:613458	OMIM:613458
9	0.0177571140229702	ORPHA:1507	ORPHA:1507
10	0.01790551468729973	ORPHA:1703	ORPHA:1703
11	0.017987199127674103	OMIM:614976	OMIM:614976
12	0.01799619570374489	OMIM:618529	OMIM:618529
13	0.01811114139854908	ORPHA:3080	ORPHA:3080
14	0.0181327685713768	OMIM:180700	OMIM:180700
15	0.018173659220337868	OMIM:300895	OMIM:300895
16	0.018179001286625862	OMIM:617402	OMIM:617402
17	0.01821899227797985	OMIM:615546	OMIM:615546
18	0.018252411857247353	OMIM:616145	OMIM:616145
19	0.01831080950796604	ORPHA:261337	ORPHA:261337
20	0.018392644822597504	ORPHA:3107	ORPHA:3107
21	0.018491022288799286	OMIM:618332	OMIM:618332
22	0.018533142283558846	ORPHA:1752	ORPHA:1752
23	0.018653569743037224	OMIM:616734	OMIM:616734
24	0.018809199333190918	ORPHA:2872	ORPHA:2872
25	0.018818311393260956	ORPHA:562528	ORPHA:562528
26	0.018941374495625496	ORPHA:261112	ORPHA:261112
27	0.018974579870700836	OMIM:601680	OMIM:601680
28	0.01899772323668003	OMIM:600920	OMIM:600920
29	0.019108962267637253	OMIM:619951	OMIM:619951
30	0.01932884007692337	OMIM:619148	OMIM:619148
31	0.01932956837117672	OMIM:200990	OMIM:200990
32	0.01934979483485222	OMIM:616266	OMIM:616266
33	0.019385317340493202	ORPHA:915	ORPHA:915
34	0.019408199936151505	OMIM:619293	OMIM:619293
35	0.01941675692796707	OMIM:604314	OMIM:604314
36	0.019475633278489113	OMIM:193700	OMIM:193700
37	0.019512014463543892	OMIM:309500	OMIM:309500
38	0.01954481191933155	OMIM:272950	OMIM:272950
39	0.019670212641358376	OMIM:612474	OMIM:612474
40	0.019732845947146416	OMIM:613604	OMIM:613604
41	0.01976977288722992	OMIM:615539	OMIM:615539
42	0.01979338377714157	OMIM:619194	OMIM:619194
43	0.01979755610227585	ORPHA:2077	ORPHA:2077
44	0.01983293518424034	ORPHA:261290	ORPHA:261290
45	0.01985079236328602	OMIM:603736	OMIM:603736
46	0.019861513748764992	ORPHA:2215	ORPHA:2215
47	0.019887257367372513	OMIM:616331	OMIM:616331
48	0.01994570903480053	OMIM:601390	OMIM:601390
49	0.02000569924712181	OMIM:613776	OMIM:613776
50	0.02001159079372883	OMIM:619325	OMIM:619325
51	0.020074257627129555	OMIM:619720	OMIM:619720
52	0.020080894231796265	ORPHA:261279	ORPHA:261279
53	0.020130788907408714	ORPHA:1642	ORPHA:1642
54	0.02016432024538517	OMIM:617746	OMIM:617746
55	0.020242052152752876	ORPHA:3379	ORPHA:3379
56	0.02029883861541748	OMIM:618975	OMIM:618975
57	0.020305078476667404	ORPHA:2053	ORPHA:2053
58	0.020351268351078033	OMIM:618316	OMIM:618316
59	0.02038615010678768	OMIM:614541	OMIM:614541
60	0.020430151373147964	OMIM:615761	OMIM:615761
61	0.020432747900485992	OMIM:265000	OMIM:265000
62	0.020460443571209908	ORPHA:1327	ORPHA:1327
63	0.0204657930880785	OMIM:217980	OMIM:217980
64	0.02049819566309452	OMIM:608156	OMIM:608156
65	0.02050081454217434	ORPHA:96125	ORPHA:96125
66	0.020523875951766968	ORPHA:363611	ORPHA:363611
67	0.0205540768802166	ORPHA:2804	ORPHA:2804
68	0.020589318126440048	OMIM:616268	OMIM:616268
69	0.020604241639375687	OMIM:612513	OMIM:612513
70	0.0206148624420166	OMIM:249620	OMIM:249620
71	0.02066074311733246	OMIM:615485	OMIM:615485
72	0.020692795515060425	OMIM:265050	OMIM:265050
73	0.020708231255412102	ORPHA:464738	ORPHA:464738
74	0.02071956917643547	OMIM:618388	OMIM:618388
75	0.020730309188365936	OMIM:309590	OMIM:309590
76	0.020734094083309174	OMIM:305450	OMIM:305450
77	0.02073582075536251	OMIM:618659	OMIM:618659
78	0.02075626514852047	ORPHA:221120	ORPHA:221120
79	0.020793665200471878	OMIM:614230	OMIM:614230
80	0.0208034198731184	ORPHA:2729	ORPHA:2729
81	0.020825371146202087	OMIM:619314	OMIM:619314
82	0.020869355648756027	ORPHA:435638	ORPHA:435638
83	0.020875852555036545	OMIM:615065	OMIM:615065
84	0.02091199904680252	OMIM:300166	OMIM:300166
85	0.020927434787154198	ORPHA:93260	ORPHA:93260
86	0.020967885851860046	ORPHA:261211	ORPHA:261211
87	0.021035322919487953	ORPHA:2863	ORPHA:2863
88	0.021039240062236786	OMIM:616580	OMIM:616580
89	0.021053150296211243	OMIM:211380	OMIM:211380
90	0.021053189411759377	OMIM:613544	OMIM:613544
91	0.02107488363981247	OMIM:620107	OMIM:620107
