rank	score	disease_name	disease_identifier
1	0.012933778576552868	OMIM:615873	OMIM:615873
2	0.012982841581106186	OMIM:619950	OMIM:619950
3	0.013003683649003506	OMIM:619293	OMIM:619293
4	0.013208949007093906	OMIM:223370	OMIM:223370
5	0.013394370675086975	OMIM:618829	OMIM:618829
6	0.013637898489832878	OMIM:616268	OMIM:616268
7	0.013877294026315212	ORPHA:261349	ORPHA:261349
8	0.014087222516536713	ORPHA:177907	ORPHA:177907
9	0.014129556715488434	OMIM:617157	OMIM:617157
10	0.01418284047394991	OMIM:619383	OMIM:619383
11	0.014245286583900452	OMIM:613406	OMIM:613406
12	0.014317190274596214	ORPHA:506358	ORPHA:506358
13	0.01434266660362482	ORPHA:480907	ORPHA:480907
14	0.014355741441249847	OMIM:619376	OMIM:619376
15	0.014385908842086792	OMIM:249620	OMIM:249620
16	0.01446097157895565	OMIM:606232	OMIM:606232
17	0.014521203935146332	OMIM:616364	OMIM:616364
18	0.01463884487748146	ORPHA:371364	ORPHA:371364
19	0.014672068879008293	OMIM:618659	OMIM:618659
20	0.014689280651509762	OMIM:615485	OMIM:615485
21	0.01469969842582941	OMIM:617061	OMIM:617061
22	0.014802154153585434	ORPHA:2896	ORPHA:2896
23	0.014817379415035248	OMIM:300867	OMIM:300867
24	0.014819130301475525	OMIM:156200	OMIM:156200
25	0.014844843186438084	OMIM:617557	OMIM:617557
26	0.014848772436380386	OMIM:615419	OMIM:615419
27	0.014869311824440956	ORPHA:529962	ORPHA:529962
28	0.014891275204718113	OMIM:244450	OMIM:244450
29	0.014977256767451763	OMIM:618454	OMIM:618454
30	0.015076764859259129	OMIM:239300	OMIM:239300
31	0.015097559429705143	OMIM:264090	OMIM:264090
32	0.015112475492060184	OMIM:618797	OMIM:618797
33	0.015211877413094044	OMIM:123450	OMIM:123450
34	0.015236067585647106	OMIM:619934	OMIM:619934
35	0.015249758958816528	OMIM:612513	OMIM:612513
36	0.01527270209044218	ORPHA:404448	ORPHA:404448
37	0.015277069993317127	OMIM:612313	OMIM:612313
38	0.015283794142305851	ORPHA:819	ORPHA:819
39	0.015289866365492344	OMIM:620250	OMIM:620250
40	0.015293056145310402	ORPHA:1465	ORPHA:1465
41	0.015294875018298626	OMIM:614607	OMIM:614607
42	0.015303467400372028	OMIM:219200	OMIM:219200
43	0.015314539894461632	OMIM:254940	OMIM:254940
44	0.01535987202078104	OMIM:616801	OMIM:616801
45	0.01537194661796093	OMIM:616579	OMIM:616579
46	0.015394353307783604	ORPHA:261323	ORPHA:261323
47	0.015424949117004871	ORPHA:261211	ORPHA:261211
48	0.015429806895554066	OMIM:614608	OMIM:614608
49	0.015464593656361103	OMIM:620075	OMIM:620075
50	0.015476653352379799	OMIM:614098	OMIM:614098
51	0.015497072599828243	ORPHA:404440	ORPHA:404440
52	0.015497383661568165	OMIM:300534	OMIM:300534
53	0.015525005757808685	OMIM:618004	OMIM:618004
54	0.015531460754573345	OMIM:216550	OMIM:216550
55	0.015554862096905708	OMIM:300260	OMIM:300260
56	0.015554890036582947	OMIM:619312	OMIM:619312
