rank	score	disease_name	disease_identifier
1	0.03354789689183235	OMIM:616577	OMIM:616577
2	0.035451315343379974	OMIM:300475	OMIM:300475
3	0.03584790602326393	OMIM:617669	OMIM:617669
4	0.03641751408576965	ORPHA:1496	ORPHA:1496
5	0.03664892539381981	ORPHA:527497	ORPHA:527497
6	0.03712818771600723	OMIM:612285	OMIM:612285
7	0.03735088184475899	OMIM:618324	OMIM:618324
8	0.03755065053701401	OMIM:616721	OMIM:616721
9	0.03762073814868927	ORPHA:447788	ORPHA:447788
10	0.037727296352386475	OMIM:252650	OMIM:252650
11	0.03788938373327255	ORPHA:101070	ORPHA:101070
12	0.037901878356933594	OMIM:615809	OMIM:615809
13	0.038115937262773514	OMIM:616756	OMIM:616756
14	0.03831265866756439	OMIM:615249	OMIM:615249
15	0.03843437880277634	ORPHA:3137	ORPHA:3137
16	0.038483209908008575	ORPHA:395	ORPHA:395
17	0.038500361144542694	ORPHA:272	ORPHA:272
18	0.038551248610019684	ORPHA:799	ORPHA:799
19	0.03856948763132095	OMIM:615181	OMIM:615181
20	0.038731083273887634	OMIM:236792	OMIM:236792
21	0.0388147309422493	ORPHA:588	ORPHA:588
22	0.038838665932416916	OMIM:614381	OMIM:614381
23	0.03885269537568092	ORPHA:457260	ORPHA:457260
24	0.03885527327656746	ORPHA:2318	ORPHA:2318
25	0.038995642215013504	ORPHA:48431	ORPHA:48431
26	0.0391852967441082	OMIM:616355	OMIM:616355
27	0.03920065239071846	ORPHA:79327	ORPHA:79327
28	0.03922845423221588	ORPHA:572798	ORPHA:572798
29	0.0393785797059536	OMIM:617302	OMIM:617302
30	0.03938253968954086	ORPHA:1766	ORPHA:1766
31	0.03940075635910034	ORPHA:530983	ORPHA:530983
32	0.03969555348157883	ORPHA:572013	ORPHA:572013
33	0.03970110043883324	ORPHA:254913	ORPHA:254913
34	0.039718881249427795	OMIM:618379	OMIM:618379
35	0.039854034781455994	OMIM:619708	OMIM:619708
36	0.039860937744379044	OMIM:617193	OMIM:617193
37	0.039946381002664566	ORPHA:86309	ORPHA:86309
38	0.03997678682208061	OMIM:618298	OMIM:618298
39	0.04003140330314636	OMIM:617710	OMIM:617710
40	0.040070001035928726	ORPHA:544469	ORPHA:544469
41	0.04008157551288605	ORPHA:702	ORPHA:702
42	0.04008328914642334	ORPHA:65	ORPHA:65
43	0.04015869274735451	OMIM:619260	OMIM:619260
44	0.040168143808841705	OMIM:613477	OMIM:613477
45	0.04021519422531128	OMIM:616683	OMIM:616683
46	0.040280889719724655	OMIM:619125	OMIM:619125
47	0.040300264954566956	OMIM:300518	OMIM:300518
48	0.040333040058612823	OMIM:617186	OMIM:617186
49	0.040379658341407776	OMIM:616875	OMIM:616875
50	0.040480099618434906	OMIM:300114	OMIM:300114
51	0.04048079997301102	OMIM:617954	OMIM:617954
52	0.040499281138181686	OMIM:264470	OMIM:264470
53	0.04054730013012886	OMIM:618374	OMIM:618374
54	0.040548473596572876	OMIM:300957	OMIM:300957
55	0.04057798907160759	OMIM:620012	OMIM:620012
56	0.04057929664850235	OMIM:253800	OMIM:253800
57	0.04059143736958504	OMIM:619876	OMIM:619876
58	0.04060228914022446	ORPHA:442835	ORPHA:442835
59	0.04060811549425125	OMIM:617051	OMIM:617051
60	0.0406632237136364	OMIM:614559	OMIM:614559
61	0.04071760177612305	OMIM:615191	OMIM:615191
62	0.04079000651836395	OMIM:619688	OMIM:619688
63	0.04082836955785751	OMIM:256600	OMIM:256600
64	0.04084263741970062	OMIM:312080	OMIM:312080
65	0.04086162522435188	OMIM:617026	OMIM:617026
