rank	score	disease_name	disease_identifier
1	0.010647831484675407	OMIM:208150	OMIM:208150
2	0.010713313706219196	OMIM:613776	OMIM:613776
3	0.011576210148632526	OMIM:605039	OMIM:605039
4	0.01169762946665287	OMIM:619720	OMIM:619720
5	0.011965533718466759	ORPHA:171839	ORPHA:171839
6	0.01215868815779686	OMIM:619194	OMIM:619194
7	0.012176349759101868	OMIM:614701	OMIM:614701
8	0.012203392572700977	OMIM:300963	OMIM:300963
9	0.01223655603826046	ORPHA:261337	ORPHA:261337
10	0.012288405559957027	OMIM:614976	OMIM:614976
11	0.012300122529268265	OMIM:618804	OMIM:618804
12	0.012369670905172825	ORPHA:261112	ORPHA:261112
13	0.012381604872643948	OMIM:613458	OMIM:613458
14	0.012431752867996693	OMIM:305450	OMIM:305450
15	0.01256654504686594	OMIM:248700	OMIM:248700
16	0.012618261389434338	ORPHA:1272	ORPHA:1272
17	0.012715479359030724	OMIM:300373	OMIM:300373
18	0.012794877402484417	OMIM:619325	OMIM:619325
19	0.012838795781135559	OMIM:612474	OMIM:612474
20	0.01292261853814125	OMIM:612513	OMIM:612513
21	0.012996271252632141	OMIM:618622	OMIM:618622
22	0.013030088506639004	OMIM:615546	OMIM:615546
23	0.013047813437879086	OMIM:618870	OMIM:618870
24	0.013050304725766182	OMIM:619841	OMIM:619841
25	0.013053671456873417	OMIM:609625	OMIM:609625
26	0.013061272911727428	OMIM:616737	OMIM:616737
27	0.013096866197884083	OMIM:213980	OMIM:213980
28	0.013103621080517769	OMIM:601390	OMIM:601390
29	0.013134585693478584	ORPHA:3309	ORPHA:3309
30	0.013166792690753937	OMIM:616920	OMIM:616920
31	0.013226776383817196	OMIM:619951	OMIM:619951
32	0.013235951773822308	OMIM:300960	OMIM:300960
33	0.013271110132336617	ORPHA:280633	ORPHA:280633
34	0.013278715312480927	OMIM:611209	OMIM:611209
35	0.013314951211214066	OMIM:156610	OMIM:156610
36	0.013316001743078232	OMIM:617822	OMIM:617822
37	0.013337024487555027	ORPHA:2083	ORPHA:2083
38	0.01336618885397911	OMIM:616734	OMIM:616734
39	0.013368598185479641	OMIM:311900	OMIM:311900
40	0.01340745110064745	OMIM:614541	OMIM:614541
41	0.013417745940387249	ORPHA:487796	ORPHA:487796
42	0.013444002717733383	OMIM:151050	OMIM:151050
43	0.013459106907248497	OMIM:619512	OMIM:619512
44	0.01345915999263525	OMIM:619148	OMIM:619148
45	0.013485644944012165	OMIM:613792	OMIM:613792
46	0.013496308587491512	ORPHA:314585	ORPHA:314585
47	0.013501177541911602	OMIM:611962	OMIM:611962
48	0.013503316789865494	OMIM:243310	OMIM:243310
49	0.013511343859136105	ORPHA:1692	ORPHA:1692
50	0.01355094462633133	OMIM:618577	OMIM:618577
