rank	score	disease_name	disease_identifier
1	0.09103351831436157	ORPHA:87884	ORPHA:87884
2	0.11367440968751907	OMIM:608265	OMIM:608265
2	0.11367440968751907	OMIM:608264	OMIM:608264
2	0.11367440968751907	OMIM:613685	OMIM:613685
2	0.11367440968751907	OMIM:612789	OMIM:612789
2	0.11367440968751907	OMIM:613392	OMIM:613392
2	0.11367440968751907	OMIM:608219	OMIM:608219
2	0.11367440968751907	OMIM:610154	OMIM:610154
2	0.11367440968751907	OMIM:610143	OMIM:610143
10	0.12445738166570663	OMIM:610153	OMIM:610153
11	0.12666119635105133	OMIM:600965	OMIM:600965
12	0.128248929977417	OMIM:304400	OMIM:304400
13	0.1303894817829132	OMIM:613074	OMIM:613074
14	0.1318027675151825	OMIM:613307	OMIM:613307
15	0.1323770135641098	OMIM:612433	OMIM:612433
16	0.13587698340415955	OMIM:608372	OMIM:608372
17	0.13653458654880524	OMIM:606346	OMIM:606346
18	0.13695400953292847	OMIM:124700	OMIM:124700
19	0.13991694152355194	OMIM:604717	OMIM:604717
20	0.14367592334747314	OMIM:601869	OMIM:601869
21	0.1449589878320694	OMIM:611572	OMIM:611572
22	0.1512966752052307	OMIM:300066	OMIM:300066
23	0.15441787242889404	OMIM:221745	OMIM:221745
24	0.15542416274547577	OMIM:601386	OMIM:601386
25	0.1559400111436844	OMIM:619274	OMIM:619274
26	0.1562047153711319	OMIM:606705	OMIM:606705
27	0.15840722620487213	OMIM:610265	OMIM:610265
28	0.158808171749115	OMIM:619553	OMIM:619553
29	0.15897534787654877	OMIM:609129	OMIM:609129
30	0.15965113043785095	OMIM:614945	OMIM:614945
31	0.16024668514728546	OMIM:609823	OMIM:609823
32	0.16053105890750885	OMIM:610419	OMIM:610419
33	0.16074377298355103	OMIM:607101	OMIM:607101
34	0.1623571366071701	OMIM:601072	OMIM:601072
35	0.16266785562038422	OMIM:600974	OMIM:600974
36	0.16319748759269714	OMIM:613916	OMIM:613916
37	0.1634867787361145	OMIM:608224	OMIM:608224
38	0.16371989250183105	OMIM:300914	OMIM:300914
39	0.16374951601028442	OMIM:612642	OMIM:612642
40	0.16403673589229584	OMIM:605594	OMIM:605594
41	0.16446051001548767	OMIM:610212	OMIM:610212
41	0.16446051001548767	OMIM:620238	OMIM:620238
41	0.16446051001548767	OMIM:614861	OMIM:614861
44	0.16527405381202698	OMIM:609533	OMIM:609533
45	0.1655644178390503	OMIM:611022	OMIM:611022
46	0.1657065600156784	OMIM:619804	OMIM:619804
47	0.16592374444007874	OMIM:614944	OMIM:614944
48	0.16631034016609192	OMIM:221200	OMIM:221200
49	0.16668592393398285	OMIM:613285	OMIM:613285
50	0.16719067096710205	OMIM:604060	OMIM:604060
50	0.16719067096710205	OMIM:603098	OMIM:603098
52	0.16728609800338745	OMIM:618915	OMIM:618915
53	0.16730116307735443	OMIM:618257	OMIM:618257
54	0.1673506647348404	OMIM:603964	OMIM:603964
55	0.16866834461688995	OMIM:615540	OMIM:615540
56	0.16967111825942993	OMIM:600316	OMIM:600316
57	0.17229010164737701	OMIM:618094	OMIM:618094
58	0.17298877239227295	OMIM:616515	OMIM:616515
59	0.17310366034507751	OMIM:601369	OMIM:601369
60	0.1732606291770935	OMIM:620280	OMIM:620280
61	0.17327119410037994	OMIM:616969	OMIM:616969
62	0.17375510931015015	OMIM:614614	OMIM:614614
63	0.1744750440120697	OMIM:617654	OMIM:617654
64	0.1744963526725769	OMIM:615837	OMIM:615837
65	0.17474913597106934	OMIM:617663	OMIM:617663
66	0.17504101991653442	OMIM:614035	OMIM:614035
67	0.17511512339115143	OMIM:601071	OMIM:601071
