rank	score	disease_name	disease_identifier
1	0.028150634840130806	OMIM:613254	OMIM:613254
2	0.029501063749194145	OMIM:191100	OMIM:191100
3	0.030335087329149246	ORPHA:805	ORPHA:805
4	0.03812512755393982	OMIM:613675	OMIM:613675
5	0.038238562643527985	ORPHA:137605	ORPHA:137605
6	0.03913230076432228	ORPHA:2148	ORPHA:2148
7	0.03929916024208069	OMIM:162200	OMIM:162200
8	0.041570715606212616	ORPHA:168491	ORPHA:168491
9	0.04167981818318367	ORPHA:485350	ORPHA:485350
10	0.0420621782541275	ORPHA:97685	ORPHA:97685
11	0.04222647845745087	ORPHA:79279	ORPHA:79279
12	0.04240354150533676	OMIM:619428	OMIM:619428
13	0.042626552283763885	ORPHA:163681	ORPHA:163681
14	0.042794570326805115	OMIM:213700	OMIM:213700
15	0.042824022471904755	ORPHA:1934	ORPHA:1934
16	0.04284405708312988	ORPHA:86309	ORPHA:86309
17	0.04291622340679169	ORPHA:395	ORPHA:395
18	0.042940009385347366	OMIM:206570	OMIM:206570
19	0.043189119547605515	ORPHA:2481	ORPHA:2481
20	0.043222371488809586	ORPHA:457351	ORPHA:457351
21	0.04334524646401405	OMIM:617711	OMIM:617711
22	0.04355592280626297	ORPHA:909	ORPHA:909
23	0.043900903314352036	ORPHA:457485	ORPHA:457485
24	0.044315651059150696	ORPHA:1929	ORPHA:1929
25	0.04431584104895592	OMIM:620024	OMIM:620024
26	0.04439369589090347	ORPHA:1947	ORPHA:1947
27	0.04444008693099022	OMIM:619475	OMIM:619475
28	0.04449796676635742	OMIM:610042	OMIM:610042
29	0.04463851451873779	ORPHA:488627	ORPHA:488627
30	0.04475788772106171	OMIM:221770	OMIM:221770
31	0.04478425532579422	OMIM:225750	OMIM:225750
32	0.044794391840696335	ORPHA:550	ORPHA:550
33	0.04481637105345726	ORPHA:2396	ORPHA:2396
34	0.04501555860042572	ORPHA:636	ORPHA:636
35	0.04507231339812279	ORPHA:79254	ORPHA:79254
36	0.04512709379196167	ORPHA:1942	ORPHA:1942
37	0.04512922093272209	OMIM:278800	OMIM:278800
38	0.0454699881374836	ORPHA:98820	ORPHA:98820
39	0.04562610015273094	OMIM:616973	OMIM:616973
40	0.045685578137636185	ORPHA:220295	ORPHA:220295
41	0.045717936009168625	ORPHA:95232	ORPHA:95232
42	0.04572577401995659	OMIM:248510	OMIM:248510
43	0.045739684253931046	OMIM:300699	OMIM:300699
44	0.045766979455947876	OMIM:618476	OMIM:618476
45	0.04577871784567833	ORPHA:268943	ORPHA:268943
46	0.045781929045915604	ORPHA:2822	ORPHA:2822
47	0.04579969868063927	ORPHA:100070	ORPHA:100070
48	0.045825984328985214	ORPHA:293181	ORPHA:293181
49	0.045874468982219696	OMIM:300884	OMIM:300884
50	0.04591184854507446	ORPHA:646	ORPHA:646
51	0.04595554620027542	ORPHA:79243	ORPHA:79243
52	0.04596741124987602	OMIM:192315	OMIM:192315
53	0.04598421975970268	ORPHA:357225	ORPHA:357225
54	0.045995358377695084	OMIM:609180	OMIM:609180
55	0.046004507690668106	ORPHA:79264	ORPHA:79264
56	0.04603105038404465	ORPHA:51	ORPHA:51
57	0.04609991982579231	ORPHA:3137	ORPHA:3137
58	0.04610716924071312	ORPHA:314389	ORPHA:314389
59	0.046129122376441956	ORPHA:439218	ORPHA:439218
60	0.04613624885678291	OMIM:300114	OMIM:300114
61	0.04613751545548439	ORPHA:466934	ORPHA:466934
62	0.046161994338035583	OMIM:618298	OMIM:618298
