rank	score	disease_name	disease_identifier
1	0.02857157774269581	ORPHA:55654	ORPHA:55654
2	0.030778255313634872	OMIM:605389	OMIM:605389
3	0.03231799975037575	OMIM:602400	OMIM:602400
4	0.032502997666597366	OMIM:146550	OMIM:146550
5	0.0330156572163105	OMIM:604379	OMIM:604379
6	0.03407511115074158	OMIM:614238	OMIM:614238
7	0.0371241495013237	OMIM:616099	OMIM:616099
8	0.03761151060461998	OMIM:618535	OMIM:618535
9	0.03866899758577347	OMIM:278150	OMIM:278150
10	0.03889677673578262	OMIM:618275	OMIM:618275
11	0.03939080238342285	OMIM:613102	OMIM:613102
12	0.04070690646767616	ORPHA:1808	ORPHA:1808
13	0.04124578461050987	OMIM:607903	OMIM:607903
14	0.041587259620428085	OMIM:234030	OMIM:234030
15	0.04190822318196297	ORPHA:444	ORPHA:444
16	0.042474452406167984	OMIM:614941	OMIM:614941
17	0.042786046862602234	ORPHA:189	ORPHA:189
18	0.0432661697268486	OMIM:616760	OMIM:616760
19	0.04733710363507271	OMIM:615059	OMIM:615059
20	0.04815749078989029	OMIM:620199	OMIM:620199
21	0.04852703586220741	ORPHA:59303	ORPHA:59303
22	0.04925635829567909	OMIM:615885	OMIM:615885
23	0.04935741424560547	ORPHA:170	ORPHA:170
24	0.050042975693941116	OMIM:614237	OMIM:614237
25	0.050567563623189926	ORPHA:3361	ORPHA:3361
26	0.051225464791059494	ORPHA:113	ORPHA:113
27	0.052069831639528275	OMIM:614929	OMIM:614929
28	0.05229270085692406	OMIM:615896	OMIM:615896
29	0.05367935821413994	OMIM:608615	OMIM:608615
30	0.05412004888057709	ORPHA:90368	ORPHA:90368
31	0.055114757269620895	ORPHA:1010	ORPHA:1010
32	0.055367082357406616	OMIM:129490	OMIM:129490
33	0.05567740276455879	ORPHA:2890	ORPHA:2890
34	0.05641181766986847	OMIM:129500	OMIM:129500
35	0.05794182047247887	OMIM:602032	OMIM:602032
36	0.05797400698065758	OMIM:300042	OMIM:300042
37	0.058033138513565063	ORPHA:1807	ORPHA:1807
38	0.058053892105817795	OMIM:602540	OMIM:602540
39	0.05884440243244171	ORPHA:1818	ORPHA:1818
40	0.05915931239724159	ORPHA:505	ORPHA:505
41	0.05949484929442406	OMIM:225050	OMIM:225050
42	0.05955874174833298	OMIM:601345	OMIM:601345
43	0.05985528975725174	OMIM:305100	OMIM:305100
44	0.06016532704234123	OMIM:612841	OMIM:612841
45	0.060251183807849884	OMIM:150400	OMIM:150400
46	0.060323264449834824	ORPHA:79133	ORPHA:79133
47	0.0626940056681633	ORPHA:202	ORPHA:202
48	0.06287769973278046	OMIM:612843	OMIM:612843
49	0.06352616846561432	OMIM:308800	OMIM:308800
50	0.06363531202077866	ORPHA:3353	ORPHA:3353
