rank	score	disease_name	disease_identifier
1	0.04872196912765503	OMIM:601399	OMIM:601399
2	0.0700405016541481	OMIM:619271	OMIM:619271
3	0.07097609341144562	OMIM:619130	OMIM:619130
4	0.07177218794822693	OMIM:187800	OMIM:187800
5	0.07283046841621399	OMIM:615193	OMIM:615193
6	0.0774034783244133	OMIM:187950	OMIM:187950
7	0.07878640294075012	OMIM:155100	OMIM:155100
8	0.080585777759552	OMIM:173420	OMIM:173420
9	0.08104266971349716	OMIM:188000	OMIM:188000
10	0.08221522718667984	ORPHA:86841	ORPHA:86841
11	0.08230949938297272	OMIM:252270	OMIM:252270
12	0.0832720622420311	ORPHA:75564	ORPHA:75564
13	0.08412336558103561	OMIM:300835	OMIM:300835
14	0.08457273244857788	OMIM:617443	OMIM:617443
15	0.08512632548809052	OMIM:209050	OMIM:209050
16	0.0866449624300003	OMIM:173590	OMIM:173590
17	0.08694907277822495	OMIM:139090	OMIM:139090
18	0.08734583109617233	OMIM:619041	OMIM:619041
19	0.08765309303998947	ORPHA:86839	ORPHA:86839
20	0.08781836181879044	OMIM:273800	OMIM:273800
21	0.08909764885902405	OMIM:210250	OMIM:210250
22	0.08915213495492935	OMIM:618462	OMIM:618462
23	0.08939537405967712	OMIM:153670	OMIM:153670
24	0.09005166590213776	OMIM:133180	OMIM:133180
25	0.09079225361347198	OMIM:187900	OMIM:187900
26	0.09127146005630493	ORPHA:238459	ORPHA:238459
27	0.0919279009103775	OMIM:185050	OMIM:185050
28	0.09303039312362671	OMIM:619267	OMIM:619267
29	0.09389112144708633	ORPHA:3318	ORPHA:3318
30	0.09427850693464279	ORPHA:86843	ORPHA:86843
31	0.09469570219516754	OMIM:314050	OMIM:314050
32	0.09542223066091537	ORPHA:521	ORPHA:521
33	0.09596588462591171	ORPHA:98849	ORPHA:98849
34	0.09601905941963196	ORPHA:158057	ORPHA:158057
35	0.09695734828710556	ORPHA:98827	ORPHA:98827
36	0.09710952639579773	ORPHA:824	ORPHA:824
