rank	score	disease_name	disease_identifier
1	0.19732975959777832	OMIM:300082	OMIM:300082
1	0.19732975959777832	OMIM:158280	OMIM:158280
3	0.20355498790740967	OMIM:127800	OMIM:127800
4	0.20563369989395142	OMIM:602197	OMIM:602197
5	0.206501305103302	OMIM:208158	OMIM:208158
6	0.20700430870056152	OMIM:159580	OMIM:159580
7	0.20711541175842285	OMIM:139630	OMIM:139630
8	0.21002036333084106	ORPHA:329228	ORPHA:329228
9	0.21066784858703613	OMIM:269160	OMIM:269160
10	0.21072518825531006	OMIM:613949	OMIM:613949
