rank	score	disease_name	disease_identifier
1	0.021348154172301292	ORPHA:399058	ORPHA:399058
2	0.021831423044204712	OMIM:160150	OMIM:160150
3	0.022248614579439163	ORPHA:466768	ORPHA:466768
4	0.022330546751618385	ORPHA:424107	ORPHA:424107
5	0.022476522251963615	ORPHA:353327	ORPHA:353327
6	0.02250906452536583	ORPHA:169189	ORPHA:169189
7	0.02286883443593979	OMIM:161800	OMIM:161800
8	0.022905252873897552	OMIM:255320	OMIM:255320
9	0.02320609614253044	ORPHA:97240	ORPHA:97240
10	0.023306045681238174	OMIM:256030	OMIM:256030
11	0.02360548824071884	OMIM:619042	OMIM:619042
12	0.023756342008709908	OMIM:254110	OMIM:254110
13	0.02377752587199211	ORPHA:171442	ORPHA:171442
14	0.023783814162015915	OMIM:500002	OMIM:500002
15	0.023923659697175026	ORPHA:254361	ORPHA:254361
16	0.02411256730556488	ORPHA:397744	ORPHA:397744
17	0.024452313780784607	ORPHA:276435	ORPHA:276435
18	0.024489300325512886	OMIM:618811	OMIM:618811
19	0.024532120674848557	OMIM:620249	OMIM:620249
20	0.02461256831884384	OMIM:618823	OMIM:618823
21	0.024732941761612892	ORPHA:488650	ORPHA:488650
22	0.02480936236679554	ORPHA:329478	ORPHA:329478
23	0.024819348007440567	OMIM:251900	OMIM:251900
24	0.02503541111946106	ORPHA:1145	ORPHA:1145
25	0.025100406259298325	OMIM:616924	OMIM:616924
26	0.025152159854769707	OMIM:606612	OMIM:606612
27	0.025318052619695663	ORPHA:171439	ORPHA:171439
28	0.02535240724682808	OMIM:608810	OMIM:608810
29	0.025375893339514732	OMIM:608358	OMIM:608358
30	0.025450624525547028	OMIM:620068	OMIM:620068
31	0.02549118548631668	OMIM:253400	OMIM:253400
32	0.025564711540937424	OMIM:619733	OMIM:619733
33	0.025757363066077232	OMIM:613954	OMIM:613954
34	0.02585708163678646	ORPHA:602	ORPHA:602
35	0.025880543515086174	OMIM:603034	OMIM:603034
36	0.02603118121623993	ORPHA:98908	ORPHA:98908
37	0.026050467044115067	OMIM:608423	OMIM:608423
38	0.026121310889720917	ORPHA:98905	ORPHA:98905
39	0.026296908035874367	ORPHA:98913	ORPHA:98913
40	0.026369325816631317	OMIM:607459	OMIM:607459
41	0.026513520628213882	ORPHA:171433	ORPHA:171433
42	0.026529129594564438	OMIM:160500	OMIM:160500
43	0.026606151834130287	ORPHA:363623	ORPHA:363623
44	0.026716846972703934	OMIM:615575	OMIM:615575
45	0.026869487017393112	OMIM:271150	OMIM:271150
46	0.026875173673033714	ORPHA:98911	ORPHA:98911
47	0.026986654847860336	OMIM:618414	OMIM:618414
48	0.026993151754140854	ORPHA:101085	ORPHA:101085
49	0.026995748281478882	ORPHA:98915	ORPHA:98915
50	0.027018656954169273	ORPHA:370980	ORPHA:370980
51	0.027079671621322632	OMIM:616852	OMIM:616852
52	0.027143916115164757	OMIM:617760	OMIM:617760
53	0.027436191216111183	OMIM:157640	OMIM:157640
54	0.02743648737668991	OMIM:160565	OMIM:160565
55	0.02750321291387081	ORPHA:34515	ORPHA:34515
56	0.02759474888443947	ORPHA:86812	ORPHA:86812
57	0.02762627601623535	OMIM:258450	OMIM:258450
58	0.02764403261244297	OMIM:310440	OMIM:310440
59	0.02774869278073311	ORPHA:254854	ORPHA:254854
60	0.02787184529006481	ORPHA:59135	ORPHA:59135
61	0.027939429506659508	OMIM:117000	OMIM:117000
62	0.027985287830233574	OMIM:611588	OMIM:611588
63	0.027999702841043472	ORPHA:363454	ORPHA:363454
64	0.028002528473734856	OMIM:300816	OMIM:300816
65	0.028109628707170486	OMIM:619178	OMIM:619178
66	0.028220398351550102	ORPHA:52430	ORPHA:52430
67	0.02828250080347061	OMIM:610687	OMIM:610687
68	0.028560632839798927	OMIM:618138	OMIM:618138
69	0.028632866218686104	OMIM:619216	OMIM:619216
70	0.028650857508182526	OMIM:612954	OMIM:612954
71	0.028721289709210396	ORPHA:609	ORPHA:609
72	0.0287847351282835	OMIM:610542	OMIM:610542
73	0.028812503442168236	OMIM:158810	OMIM:158810
74	0.028864193707704544	OMIM:617030	OMIM:617030
75	0.0289436224848032	ORPHA:98902	ORPHA:98902
76	0.02894778922200203	ORPHA:598	ORPHA:598
77	0.029023490846157074	ORPHA:597	ORPHA:597
78	0.02907877042889595	OMIM:182980	OMIM:182980
79	0.029272280633449554	OMIM:608627	OMIM:608627
80	0.029323020949959755	OMIM:620285	OMIM:620285
81	0.029333246871829033	ORPHA:369840	ORPHA:369840
82	0.029340175911784172	OMIM:611067	OMIM:611067
83	0.029345529153943062	ORPHA:254886	ORPHA:254886
84	0.029384206980466843	OMIM:615048	OMIM:615048
85	0.029402177780866623	ORPHA:401768	ORPHA:401768
86	0.029454851523041725	OMIM:254300	OMIM:254300
87	0.029496626928448677	OMIM:610717	OMIM:610717
88	0.029517626389861107	OMIM:614065	OMIM:614065
89	0.029536215588450432	OMIM:618184	OMIM:618184
90	0.029552653431892395	OMIM:616471	OMIM:616471
91	0.02957078255712986	OMIM:606070	OMIM:606070
92	0.029664618894457817	ORPHA:324442	ORPHA:324442
93	0.029802002012729645	OMIM:615959	OMIM:615959
94	0.029806194826960564	ORPHA:206549	ORPHA:206549
95	0.02983056753873825	ORPHA:178464	ORPHA:178464
96	0.029842132702469826	OMIM:618654	OMIM:618654
97	0.029863769188523293	ORPHA:209335	ORPHA:209335
98	0.029880745336413383	ORPHA:99948	ORPHA:99948
99	0.029969515278935432	ORPHA:98863	ORPHA:98863
100	0.029979145154356956	OMIM:605637	OMIM:605637
101	0.03000180795788765	ORPHA:600	ORPHA:600
102	0.030005166307091713	OMIM:254130	OMIM:254130
103	0.03001275286078453	OMIM:301830	OMIM:301830
104	0.030055081471800804	ORPHA:486815	ORPHA:486815
105	0.03008640930056572	OMIM:616228	OMIM:616228
106	0.030094800516963005	ORPHA:521411	ORPHA:521411
107	0.030127396807074547	OMIM:612300	OMIM:612300
108	0.030157744884490967	OMIM:609200	OMIM:609200
109	0.03020503930747509	OMIM:609285	OMIM:609285
110	0.03022073768079281	OMIM:616688	OMIM:616688
111	0.03027564473450184	ORPHA:238329	ORPHA:238329
112	0.030306879431009293	OMIM:605355	OMIM:605355
113	0.03039431944489479	OMIM:619566	OMIM:619566
114	0.030438322573900223	OMIM:616812	OMIM:616812
115	0.030615493655204773	ORPHA:480	ORPHA:480
116	0.03061590902507305	ORPHA:611	ORPHA:611
117	0.030648695304989815	ORPHA:70	ORPHA:70
