rank	score	disease_name	disease_identifier
1	0.008873546496033669	OMIM:613458	OMIM:613458
2	0.008915282785892487	OMIM:610759	OMIM:610759
3	0.009117078967392445	OMIM:608156	OMIM:608156
4	0.009366128593683243	OMIM:613792	OMIM:613792
5	0.00986859668046236	OMIM:618332	OMIM:618332
6	0.009893510490655899	OMIM:619325	OMIM:619325
7	0.009960876777768135	ORPHA:363659	ORPHA:363659
8	0.010182449594140053	OMIM:615866	OMIM:615866
9	0.010301733389496803	OMIM:618828	OMIM:618828
10	0.010402855463325977	ORPHA:363611	ORPHA:363611
11	0.010432682931423187	ORPHA:1327	ORPHA:1327
12	0.010501466691493988	OMIM:148050	OMIM:148050
13	0.010563022457063198	OMIM:619841	OMIM:619841
14	0.010643304325640202	OMIM:617746	OMIM:617746
15	0.010712734423577785	OMIM:604314	OMIM:604314
16	0.010811187326908112	OMIM:618804	OMIM:618804
17	0.010811188258230686	OMIM:609460	OMIM:609460
18	0.010816068388521671	OMIM:619426	OMIM:619426
19	0.010955226607620716	OMIM:272950	OMIM:272950
20	0.011028076522052288	OMIM:211380	OMIM:211380
21	0.011156173422932625	OMIM:605130	OMIM:605130
22	0.011240136809647083	OMIM:601088	OMIM:601088
23	0.011335098184645176	OMIM:617694	OMIM:617694
24	0.011342392303049564	OMIM:244450	OMIM:244450
25	0.011350046843290329	OMIM:618622	OMIM:618622
26	0.011356860399246216	OMIM:611174	OMIM:611174
27	0.01145586371421814	OMIM:616734	OMIM:616734
28	0.011471990495920181	OMIM:620098	OMIM:620098
29	0.011595304124057293	ORPHA:1449	ORPHA:1449
30	0.011631567031145096	OMIM:614701	OMIM:614701
31	0.011637282557785511	OMIM:608670	OMIM:608670
32	0.011651860550045967	OMIM:243310	OMIM:243310
33	0.011652695015072823	OMIM:158170	OMIM:158170
34	0.011806248687207699	OMIM:618950	OMIM:618950
35	0.011812246404588223	OMIM:309500	OMIM:309500
36	0.011867803521454334	OMIM:619293	OMIM:619293
37	0.011868131347000599	ORPHA:261120	ORPHA:261120
38	0.011898372322320938	OMIM:619312	OMIM:619312
39	0.01190407108515501	OMIM:300882	OMIM:300882
40	0.011950948275625706	OMIM:613604	OMIM:613604
41	0.012042094022035599	OMIM:612474	OMIM:612474
42	0.012053610756993294	OMIM:613451	OMIM:613451
43	0.012137547135353088	OMIM:602342	OMIM:602342
44	0.012148581445217133	OMIM:300895	OMIM:300895
45	0.012152711860835552	OMIM:612530	OMIM:612530
46	0.01215669047087431	OMIM:613026	OMIM:613026
47	0.012228449806571007	ORPHA:2332	ORPHA:2332
48	0.012234455905854702	OMIM:300590	OMIM:300590
49	0.012261021882295609	OMIM:618529	OMIM:618529
50	0.012302038259804249	OMIM:264090	OMIM:264090
51	0.012320468202233315	OMIM:616268	OMIM:616268
52	0.012322772294282913	OMIM:615485	OMIM:615485
53	0.01233615167438984	ORPHA:96125	ORPHA:96125
54	0.012404789216816425	ORPHA:313781	ORPHA:313781
55	0.012415045872330666	ORPHA:261112	ORPHA:261112
56	0.01246752217411995	OMIM:613174	OMIM:613174
57	0.012502418830990791	OMIM:620113	OMIM:620113
58	0.012503525242209435	ORPHA:1715	ORPHA:1715
59	0.012606474570930004	ORPHA:364577	ORPHA:364577
60	0.012612308375537395	OMIM:618027	OMIM:618027
61	0.01264264341443777	OMIM:613776	OMIM:613776
62	0.01274348609149456	OMIM:619720	OMIM:619720
63	0.012746831402182579	OMIM:213980	OMIM:213980
64	0.012793926522135735	OMIM:614202	OMIM:614202
65	0.012795441783964634	ORPHA:261337	ORPHA:261337
66	0.01280369982123375	OMIM:619460	OMIM:619460
67	0.012806488201022148	OMIM:608624	OMIM:608624
68	0.012814785353839397	ORPHA:487825	ORPHA:487825
