rank	score	disease_name	disease_identifier
1	0.20599764585494995	OMIM:601941	OMIM:601941
1	0.20599764585494995	OMIM:601942	OMIM:601942
3	0.2101392149925232	OMIM:300082	OMIM:300082
3	0.2101392149925232	OMIM:158280	OMIM:158280
5	0.21453362703323364	OMIM:425500	OMIM:425500
6	0.21457523107528687	DECIPHER:47	DECIPHER:47
7	0.21553349494934082	OMIM:127800	OMIM:127800
8	0.2161644697189331	OMIM:124100	OMIM:124100
9	0.21753036975860596	OMIM:139630	OMIM:139630
10	0.21785873174667358	OMIM:208158	OMIM:208158
