rank	score	disease_name	disease_identifier
1	0.018139619380235672	OMIM:613756	OMIM:613756
2	0.01855984888970852	OMIM:617871	OMIM:617871
3	0.021971140056848526	OMIM:609913	OMIM:609913
4	0.025036130100488663	OMIM:601718	OMIM:601718
5	0.0261008832603693	OMIM:614500	OMIM:614500
6	0.027261504903435707	OMIM:613194	OMIM:613194
7	0.02757342718541622	OMIM:614181	OMIM:614181
8	0.02804764360189438	OMIM:610359	OMIM:610359
9	0.029100840911269188	OMIM:608553	OMIM:608553
10	0.02979418821632862	OMIM:613581	OMIM:613581
11	0.029819609597325325	OMIM:618826	OMIM:618826
12	0.030391426756978035	OMIM:613983	OMIM:613983
13	0.030866552144289017	OMIM:602772	OMIM:602772
14	0.030976954847574234	OMIM:613617	OMIM:613617
15	0.03111283667385578	OMIM:612095	OMIM:612095
16	0.031324055045843124	OMIM:180105	OMIM:180105
17	0.03144671395421028	OMIM:600132	OMIM:600132
18	0.031687118113040924	ORPHA:85128	ORPHA:85128
19	0.03216768428683281	OMIM:613428	OMIM:613428
20	0.03243512660264969	OMIM:600105	OMIM:600105
21	0.03255119174718857	OMIM:613582	OMIM:613582
22	0.03321712464094162	OMIM:618195	OMIM:618195
23	0.03332321718335152	OMIM:616469	OMIM:616469
24	0.03380892053246498	OMIM:616544	OMIM:616544
25	0.0341247133910656	ORPHA:364055	ORPHA:364055
26	0.03425836190581322	OMIM:613731	OMIM:613731
27	0.03428928554058075	OMIM:615725	OMIM:615725
28	0.03432082757353783	OMIM:613810	OMIM:613810
29	0.03441251069307327	OMIM:204100	OMIM:204100
30	0.034447815269231796	OMIM:618613	OMIM:618613
31	0.03469691798090935	OMIM:303100	OMIM:303100
32	0.035199057310819626	OMIM:618220	OMIM:618220
33	0.03526357561349869	OMIM:617123	OMIM:617123
34	0.0353296659886837	OMIM:120970	OMIM:120970
35	0.03553098440170288	ORPHA:41751	ORPHA:41751
36	0.03554787486791611	OMIM:614180	OMIM:614180
37	0.03555121272802353	OMIM:605549	OMIM:605549
38	0.035616517066955566	ORPHA:52427	ORPHA:52427
39	0.035936325788497925	OMIM:617433	OMIM:617433
40	0.036366403102874756	OMIM:613341	OMIM:613341
41	0.03645731136202812	OMIM:609021	OMIM:609021
42	0.03663954883813858	OMIM:604393	OMIM:604393
43	0.03667987510561943	OMIM:217080	OMIM:217080
44	0.03668484464287758	OMIM:607921	OMIM:607921
45	0.03691326454281807	OMIM:616394	OMIM:616394
46	0.037224940955638885	OMIM:601777	OMIM:601777
47	0.03736336529254913	OMIM:600138	OMIM:600138
48	0.03744656592607498	OMIM:618173	OMIM:618173
49	0.03779206424951553	OMIM:610599	OMIM:610599
50	0.03785713389515877	OMIM:610283	OMIM:610283
51	0.03804802522063255	OMIM:613843	OMIM:613843
52	0.038201481103897095	OMIM:617460	OMIM:617460
53	0.038668859750032425	ORPHA:75377	ORPHA:75377
54	0.03896520659327507	OMIM:613809	OMIM:613809
55	0.03902609646320343	ORPHA:284454	ORPHA:284454
56	0.03927156329154968	OMIM:613801	OMIM:613801
57	0.03939436376094818	OMIM:611040	OMIM:611040
58	0.039599861949682236	OMIM:617023	OMIM:617023
59	0.03978968411684036	OMIM:611543	OMIM:611543
60	0.03995298594236374	OMIM:615233	OMIM:615233
61	0.04043765738606453	OMIM:615973	OMIM:615973
62	0.04047852382063866	ORPHA:827	ORPHA:827
63	0.04082777723670006	ORPHA:49382	ORPHA:49382
64	0.040899693965911865	OMIM:613750	OMIM:613750
65	0.04095988720655441	OMIM:615922	OMIM:615922
66	0.04097224771976471	ORPHA:67042	ORPHA:67042
67	0.04123562201857567	OMIM:620342	OMIM:620342
68	0.041488632559776306	OMIM:618977	OMIM:618977
69	0.041523370891809464	OMIM:180100	OMIM:180100
70	0.041638124734163284	OMIM:169150	OMIM:169150
71	0.04184531792998314	ORPHA:59181	ORPHA:59181
72	0.042351167649030685	OMIM:613464	OMIM:613464
73	0.04291553050279617	OMIM:300476	OMIM:300476
74	0.043120428919792175	ORPHA:352731	ORPHA:352731
75	0.043574970215559006	OMIM:300029	OMIM:300029
76	0.043976783752441406	OMIM:304020	OMIM:304020
77	0.04401576519012451	ORPHA:97341	ORPHA:97341
78	0.04405874013900757	OMIM:604116	OMIM:604116
79	0.04420024901628494	OMIM:620102	OMIM:620102
80	0.04428185522556305	OMIM:613862	OMIM:613862
81	0.04438772425055504	ORPHA:71213	ORPHA:71213
82	0.04443559795618057	OMIM:617547	OMIM:617547
83	0.044670406728982925	OMIM:606068	OMIM:606068
84	0.04472075775265694	OMIM:619649	OMIM:619649
85	0.04500800371170044	ORPHA:179	ORPHA:179
86	0.04542635381221771	OMIM:615780	OMIM:615780
87	0.045535892248153687	OMIM:612572	OMIM:612572
88	0.04557917267084122	OMIM:210370	OMIM:210370
89	0.045646701008081436	OMIM:613660	OMIM:613660
90	0.045647941529750824	OMIM:616188	OMIM:616188
91	0.04579751566052437	OMIM:619007	OMIM:619007
92	0.04589298740029335	ORPHA:99000	ORPHA:99000
93	0.04594495892524719	OMIM:204000	OMIM:204000
94	0.04605361819267273	OMIM:618513	OMIM:618513
95	0.046091027557849884	ORPHA:215	ORPHA:215
96	0.04612785205245018	OMIM:620228	OMIM:620228
97	0.04629236459732056	OMIM:180210	OMIM:180210
98	0.046363625675439835	OMIM:615147	OMIM:615147
99	0.04646875709295273	OMIM:608380	OMIM:608380
100	0.04662267491221428	ORPHA:178333	ORPHA:178333
101	0.04664527252316475	OMIM:216900	OMIM:216900
102	0.046677425503730774	OMIM:203200	OMIM:203200
103	0.04691926762461662	OMIM:617304	OMIM:617304
104	0.04707687720656395	ORPHA:414	ORPHA:414
105	0.04741103574633598	OMIM:612989	OMIM:612989
106	0.04822470620274544	OMIM:600977	OMIM:600977
107	0.04823106899857521	OMIM:616289	OMIM:616289
108	0.048303790390491486	ORPHA:88629	ORPHA:88629
109	0.048375312238931656	OMIM:619531	OMIM:619531
110	0.04865824058651924	ORPHA:98977	ORPHA:98977
111	0.048685092478990555	OMIM:305390	OMIM:305390
112	0.048900239169597626	ORPHA:263479	ORPHA:263479
113	0.04897991567850113	OMIM:616170	OMIM:616170
114	0.049044106155633926	OMIM:619165	OMIM:619165
115	0.04907754808664322	OMIM:610478	OMIM:610478
116	0.049150172621011734	OMIM:612712	OMIM:612712
117	0.04918082430958748	OMIM:300500	OMIM:300500
118	0.04935458302497864	ORPHA:79432	ORPHA:79432
119	0.050103455781936646	ORPHA:79435	ORPHA:79435
120	0.05019459128379822	OMIM:136550	OMIM:136550
121	0.050277210772037506	ORPHA:40923	ORPHA:40923
122	0.050325095653533936	OMIM:143200	OMIM:143200
123	0.050487421452999115	OMIM:608194	OMIM:608194
124	0.05087875947356224	OMIM:614186	OMIM:614186
125	0.05103623494505882	OMIM:600059	OMIM:600059
126	0.05122077837586403	ORPHA:71505	ORPHA:71505
127	0.05138890817761421	OMIM:611809	OMIM:611809
128	0.05140741541981697	OMIM:113750	OMIM:113750
129	0.05148176848888397	OMIM:609923	OMIM:609923
130	0.051660988479852676	ORPHA:370097	ORPHA:370097
131	0.05188356712460518	OMIM:610381	OMIM:610381
132	0.052042387425899506	OMIM:612657	OMIM:612657
133	0.05204863101243973	OMIM:133780	OMIM:133780
134	0.052101802080869675	ORPHA:79098	ORPHA:79098
135	0.05223051458597183	OMIM:180104	OMIM:180104
136	0.052546922117471695	OMIM:264420	OMIM:264420
137	0.0526154562830925	ORPHA:436274	ORPHA:436274
138	0.052805203944444656	OMIM:610356	OMIM:610356
139	0.052950482815504074	OMIM:193220	OMIM:193220
140	0.05295433849096298	OMIM:312600	OMIM:312600
141	0.0531085729598999	ORPHA:891	ORPHA:891
142	0.05328927934169769	ORPHA:440727	ORPHA:440727
143	0.05335148423910141	OMIM:608051	OMIM:608051
144	0.053375087678432465	ORPHA:75376	ORPHA:75376
145	0.05339162424206734	OMIM:610445	OMIM:610445
146	0.05340070649981499	OMIM:613835	OMIM:613835
147	0.05341536924242973	OMIM:613767	OMIM:613767
148	0.053439389914274216	OMIM:300424	OMIM:300424
149	0.05365009605884552	OMIM:611131	OMIM:611131
150	0.05365036055445671	OMIM:602093	OMIM:602093
151	0.05374407395720482	ORPHA:370091	ORPHA:370091
152	0.05406015366315842	OMIM:601813	OMIM:601813
153	0.05484295263886452	OMIM:608133	OMIM:608133
154	0.054857492446899414	OMIM:203100	OMIM:203100
155	0.05496199056506157	OMIM:613093	OMIM:613093
156	0.0550059974193573	OMIM:614504	OMIM:614504
157	0.05504438653588295	OMIM:607476	OMIM:607476
158	0.05509377270936966	OMIM:616079	OMIM:616079
159	0.05515839904546738	OMIM:616517	OMIM:616517
160	0.055323828011751175	ORPHA:791	ORPHA:791
161	0.055344659835100174	OMIM:165500	OMIM:165500
162	0.055400703102350235	OMIM:608850	OMIM:608850
163	0.05550461262464523	ORPHA:94058	ORPHA:94058
164	0.055586401373147964	OMIM:616959	OMIM:616959
165	0.05581860989332199	ORPHA:209956	ORPHA:209956
166	0.055840298533439636	OMIM:606574	OMIM:606574
167	0.055889829993247986	OMIM:608161	OMIM:608161
168	0.056009091436862946	OMIM:616732	OMIM:616732
169	0.056051503866910934	OMIM:620344	OMIM:620344
170	0.05614658072590828	OMIM:300843	OMIM:300843
171	0.05628819391131401	OMIM:615058	OMIM:615058
172	0.05644351243972778	OMIM:616502	OMIM:616502
173	0.056454580277204514	OMIM:180020	OMIM:180020
174	0.056608930230140686	ORPHA:79434	ORPHA:79434
175	0.05661260336637497	OMIM:614494	OMIM:614494
