rank	score	disease_name	disease_identifier
1	0.012213751673698425	OMIM:616355	OMIM:616355
2	0.013250413350760937	OMIM:103050	OMIM:103050
3	0.01349773071706295	OMIM:617799	OMIM:617799
4	0.013787880539894104	ORPHA:500055	ORPHA:500055
5	0.013921324163675308	OMIM:615809	OMIM:615809
6	0.013961760327219963	OMIM:614207	OMIM:614207
7	0.014387588016688824	ORPHA:457351	ORPHA:457351
8	0.014471616595983505	OMIM:618492	OMIM:618492
9	0.014603610150516033	ORPHA:85277	ORPHA:85277
10	0.014668827876448631	OMIM:619556	OMIM:619556
11	0.014739363454282284	OMIM:618437	OMIM:618437
12	0.014904724434018135	OMIM:615802	OMIM:615802
13	0.015099698677659035	ORPHA:314655	ORPHA:314655
14	0.015117628499865532	ORPHA:468678	ORPHA:468678
15	0.01515396498143673	OMIM:619229	OMIM:619229
16	0.015306391753256321	OMIM:617802	OMIM:617802
17	0.015450112521648407	ORPHA:500533	ORPHA:500533
18	0.015509575605392456	OMIM:618859	OMIM:618859
19	0.01557078305631876	OMIM:619475	OMIM:619475
20	0.015624215826392174	ORPHA:488632	ORPHA:488632
21	0.015680687502026558	OMIM:619876	OMIM:619876
22	0.015753446146845818	OMIM:615716	OMIM:615716
23	0.015759943053126335	ORPHA:86309	ORPHA:86309
24	0.015764504671096802	OMIM:618346	OMIM:618346
25	0.01581074297428131	OMIM:618056	OMIM:618056
26	0.015813473612070084	OMIM:300558	OMIM:300558
27	0.0158222708851099	OMIM:617193	OMIM:617193
28	0.015872301533818245	ORPHA:1675	ORPHA:1675
29	0.015901770442724228	ORPHA:765	ORPHA:765
30	0.015954114496707916	OMIM:616579	OMIM:616579
31	0.016043294221162796	OMIM:618862	OMIM:618862
32	0.016062676906585693	OMIM:615574	OMIM:615574
33	0.01607041247189045	OMIM:616260	OMIM:616260
34	0.016109254211187363	OMIM:617290	OMIM:617290
35	0.01611565798521042	ORPHA:370079	ORPHA:370079
36	0.016134196892380714	OMIM:304340	OMIM:304340
37	0.01613500900566578	OMIM:619286	OMIM:619286
38	0.016145966947078705	ORPHA:530983	ORPHA:530983
39	0.01618463173508644	ORPHA:411493	ORPHA:411493
40	0.01620176061987877	OMIM:300243	OMIM:300243
41	0.016311246901750565	OMIM:617864	OMIM:617864
42	0.01638084650039673	ORPHA:572798	ORPHA:572798
43	0.01638505794107914	OMIM:618891	OMIM:618891
44	0.01640141010284424	OMIM:617268	OMIM:617268
45	0.01640884391963482	OMIM:604317	OMIM:604317
46	0.016427472233772278	OMIM:616281	OMIM:616281
47	0.016439614817500114	OMIM:616801	OMIM:616801
48	0.016535528004169464	ORPHA:544254	ORPHA:544254
49	0.016554979607462883	OMIM:300352	OMIM:300352
50	0.016559036448597908	ORPHA:59	ORPHA:59
51	0.01656598597764969	OMIM:618798	OMIM:618798
