rank	score	disease_name	disease_identifier
1	0.016890734434127808	ORPHA:56305	ORPHA:56305
2	0.017672134563326836	OMIM:150250	OMIM:150250
3	0.018473951146006584	OMIM:108721	OMIM:108721
4	0.018914587795734406	OMIM:272460	OMIM:272460
5	0.019335178658366203	OMIM:618395	OMIM:618395
6	0.01941165328025818	ORPHA:93307	ORPHA:93307
7	0.019668111577630043	OMIM:108720	OMIM:108720
8	0.01987624168395996	ORPHA:93360	ORPHA:93360
9	0.01988360285758972	OMIM:614078	OMIM:614078
10	0.020223088562488556	ORPHA:457395	ORPHA:457395
11	0.020223302766680717	OMIM:271640	OMIM:271640
12	0.02055276930332184	OMIM:215150	OMIM:215150
13	0.020733876153826714	OMIM:251450	OMIM:251450
14	0.020929036661982536	OMIM:265000	OMIM:265000
15	0.0209936685860157	OMIM:143095	OMIM:143095
16	0.021191470324993134	OMIM:222600	OMIM:222600
17	0.021272480487823486	ORPHA:1427	ORPHA:1427
18	0.02142190933227539	ORPHA:536471	ORPHA:536471
19	0.02144300751388073	ORPHA:1190	ORPHA:1190
20	0.021486740559339523	OMIM:256050	OMIM:256050
21	0.021501274779438972	OMIM:305620	OMIM:305620
22	0.02158261463046074	OMIM:223800	OMIM:223800
23	0.021705877035856247	OMIM:618363	OMIM:618363
24	0.02170749567449093	ORPHA:2839	ORPHA:2839
25	0.02172408439218998	ORPHA:485	ORPHA:485
26	0.022120380774140358	ORPHA:166016	ORPHA:166016
27	0.022142596542835236	OMIM:134780	OMIM:134780
28	0.022198691964149475	OMIM:114290	OMIM:114290
29	0.022275591269135475	ORPHA:1826	ORPHA:1826
30	0.02239365130662918	OMIM:171480	OMIM:171480
31	0.022452624514698982	ORPHA:56304	ORPHA:56304
32	0.02245917357504368	OMIM:245600	OMIM:245600
33	0.02252538688480854	OMIM:156550	OMIM:156550
34	0.022538937628269196	ORPHA:3320	ORPHA:3320
35	0.022546885535120964	OMIM:618019	OMIM:618019
36	0.022603925317525864	OMIM:615777	OMIM:615777
37	0.022737883031368256	ORPHA:628	ORPHA:628
38	0.02278916724026203	OMIM:311300	OMIM:311300
39	0.02284880541265011	OMIM:211350	OMIM:211350
40	0.022968079894781113	ORPHA:1106	ORPHA:1106
41	0.022985883057117462	ORPHA:93315	ORPHA:93315
42	0.023003555834293365	ORPHA:503	ORPHA:503
43	0.02302888222038746	OMIM:114300	OMIM:114300
44	0.02304956689476967	ORPHA:1856	ORPHA:1856
45	0.0232965387403965	OMIM:613330	OMIM:613330
46	0.023351818323135376	OMIM:304120	OMIM:304120
47	0.023363973945379257	OMIM:615065	OMIM:615065
48	0.023365594446659088	OMIM:224400	OMIM:224400
49	0.023410778492689133	ORPHA:1425	ORPHA:1425
50	0.02342049777507782	ORPHA:140	ORPHA:140
51	0.02343692258000374	ORPHA:93357	ORPHA:93357
52	0.02394787035882473	OMIM:130070	OMIM:130070
53	0.024058910086750984	OMIM:154400	OMIM:154400
54	0.02407999522984028	OMIM:264180	OMIM:264180
55	0.024093369022011757	ORPHA:94068	ORPHA:94068
56	0.024157144129276276	ORPHA:93314	ORPHA:93314
57	0.024273375049233437	ORPHA:2916	ORPHA:2916
58	0.0243021659553051	ORPHA:90650	ORPHA:90650
59	0.024318747222423553	OMIM:607326	OMIM:607326
60	0.024357859045267105	OMIM:608940	OMIM:608940
61	0.024389633908867836	OMIM:260660	OMIM:260660
62	0.02442765422165394	ORPHA:1988	ORPHA:1988
63	0.02449093386530876	ORPHA:239	ORPHA:239
64	0.024538222700357437	OMIM:309350	OMIM:309350
65	0.02464192360639572	ORPHA:536467	ORPHA:536467
66	0.02465660311281681	ORPHA:2347	ORPHA:2347
67	0.02470153383910656	OMIM:177170	OMIM:177170
68	0.024715149775147438	ORPHA:3098	ORPHA:3098
69	0.024835841730237007	OMIM:224690	OMIM:224690
70	0.02487575262784958	ORPHA:90652	ORPHA:90652
71	0.024877266958355904	OMIM:613091	OMIM:613091
72	0.024928519502282143	ORPHA:1159	ORPHA:1159
73	0.024986349046230316	OMIM:100800	OMIM:100800
74	0.02508593164384365	OMIM:164745	OMIM:164745
75	0.02513524517416954	ORPHA:166011	ORPHA:166011
76	0.025194792076945305	OMIM:271650	OMIM:271650
77	0.025430088862776756	OMIM:271665	OMIM:271665
78	0.025435592979192734	ORPHA:93346	ORPHA:93346
79	0.025445351377129555	OMIM:183900	OMIM:183900
80	0.025446243584156036	ORPHA:93284	ORPHA:93284
81	0.025546878576278687	OMIM:620083	OMIM:620083
82	0.025635046884417534	OMIM:618870	OMIM:618870
83	0.025721190497279167	ORPHA:1512	ORPHA:1512
84	0.02573719620704651	OMIM:263750	OMIM:263750
85	0.025754736736416817	ORPHA:85174	ORPHA:85174
86	0.025767603889107704	OMIM:268310	OMIM:268310
87	0.025854574516415596	ORPHA:93323	ORPHA:93323
88	0.025858411565423012	OMIM:600920	OMIM:600920
89	0.02587263472378254	ORPHA:1865	ORPHA:1865
90	0.025876197963953018	ORPHA:750	ORPHA:750
91	0.025907402858138084	OMIM:620269	OMIM:620269
92	0.02593635581433773	OMIM:619345	OMIM:619345
93	0.025992032140493393	ORPHA:2484	ORPHA:2484
94	0.0259962510317564	OMIM:224410	OMIM:224410
95	0.026066375896334648	OMIM:184252	OMIM:184252
96	0.026085929945111275	OMIM:156530	OMIM:156530
97	0.02611064352095127	OMIM:609128	OMIM:609128
98	0.026116807013750076	OMIM:178110	OMIM:178110
99	0.026142867282032967	OMIM:151210	OMIM:151210
100	0.026153987273573875	OMIM:617396	OMIM:617396
101	0.026202553883194923	OMIM:268305	OMIM:268305
102	0.026243887841701508	ORPHA:2635	ORPHA:2635
103	0.026258397847414017	ORPHA:1147	ORPHA:1147
104	0.0263002198189497	ORPHA:958	ORPHA:958
105	0.026305528357625008	OMIM:184250	OMIM:184250
106	0.026309723034501076	OMIM:602471	OMIM:602471
107	0.0263763889670372	OMIM:274000	OMIM:274000
108	0.026417408138513565	OMIM:600373	OMIM:600373
109	0.02648302912712097	OMIM:253010	OMIM:253010
110	0.02649550512433052	OMIM:259600	OMIM:259600
111	0.02655285969376564	OMIM:609945	OMIM:609945
112	0.02657128870487213	ORPHA:168549	ORPHA:168549
113	0.02658783830702305	ORPHA:1824	ORPHA:1824
114	0.02659183368086815	OMIM:121050	OMIM:121050
115	0.026602869853377342	OMIM:108300	OMIM:108300
116	0.02660566009581089	OMIM:615222	OMIM:615222
117	0.02661236934363842	ORPHA:221120	ORPHA:221120
118	0.026674186810851097	OMIM:164900	OMIM:164900
119	0.026684507727622986	OMIM:620076	OMIM:620076
120	0.026736652478575706	OMIM:619636	OMIM:619636
121	0.02674185112118721	ORPHA:96334	ORPHA:96334
122	0.02675439976155758	OMIM:300106	OMIM:300106
123	0.026765111833810806	OMIM:200980	OMIM:200980
124	0.026786450296640396	ORPHA:536532	ORPHA:536532
125	0.026793917641043663	ORPHA:93316	ORPHA:93316
126	0.026811344549059868	OMIM:300232	OMIM:300232
127	0.026831386610865593	ORPHA:97360	ORPHA:97360
128	0.0268446896225214	OMIM:206920	OMIM:206920
129	0.026872070506215096	OMIM:228520	OMIM:228520
130	0.026905886828899384	ORPHA:2319	ORPHA:2319
131	0.026952829211950302	OMIM:147891	OMIM:147891
132	0.027045249938964844	ORPHA:968	ORPHA:968
133	0.027048103511333466	OMIM:269250	OMIM:269250
134	0.027064869180321693	ORPHA:2496	ORPHA:2496
135	0.027086997404694557	OMIM:613848	OMIM:613848
136	0.027110712602734566	OMIM:253000	OMIM:253000
137	0.02712823823094368	OMIM:616145	OMIM:616145
138	0.027130329981446266	OMIM:616723	OMIM:616723
139	0.02714034728705883	OMIM:226900	OMIM:226900
140	0.027140768244862556	ORPHA:508498	ORPHA:508498
141	0.027182424440979958	OMIM:201000	OMIM:201000
142	0.02724510058760643	OMIM:210600	OMIM:210600
143	0.027285261079669	OMIM:276820	OMIM:276820
144	0.02732481062412262	OMIM:271510	OMIM:271510
145	0.02732674404978752	OMIM:211750	OMIM:211750
146	0.02737179957330227	ORPHA:2616	ORPHA:2616
147	0.02744937874376774	ORPHA:3258	ORPHA:3258
148	0.02749503217637539	OMIM:250220	OMIM:250220
149	0.027510015293955803	OMIM:618853	OMIM:618853
150	0.027542173862457275	OMIM:612813	OMIM:612813
151	0.027550147846341133	ORPHA:166024	ORPHA:166024
152	0.027577614411711693	OMIM:268300	OMIM:268300
153	0.027580605819821358	ORPHA:2078	ORPHA:2078
154	0.027620527893304825	OMIM:602557	OMIM:602557
155	0.02763214148581028	OMIM:615155	OMIM:615155
156	0.02764929085969925	OMIM:304110	OMIM:304110
157	0.02767147310078144	OMIM:603546	OMIM:603546
158	0.02767520397901535	OMIM:226980	OMIM:226980
159	0.027679074555635452	OMIM:600204	OMIM:600204
160	0.0276869498193264	OMIM:210710	OMIM:210710
161	0.027692383155226707	ORPHA:15	ORPHA:15
162	0.027713622897863388	ORPHA:93329	ORPHA:93329
163	0.02771667018532753	OMIM:218600	OMIM:218600
164	0.027765071019530296	OMIM:252500	OMIM:252500
165	0.027811633422970772	OMIM:184260	OMIM:184260
166	0.0278448686003685	ORPHA:1488	ORPHA:1488
167	0.027845336124300957	OMIM:615349	OMIM:615349
168	0.02786432020366192	OMIM:184253	OMIM:184253
169	0.02788352593779564	OMIM:610758	OMIM:610758
170	0.027899814769625664	OMIM:102500	OMIM:102500
171	0.027960199862718582	ORPHA:96183	ORPHA:96183
172	0.02796175330877304	OMIM:108120	OMIM:108120
173	0.027972333133220673	ORPHA:85198	ORPHA:85198
174	0.02799224480986595	OMIM:611209	OMIM:611209
175	0.027994757518172264	ORPHA:321	ORPHA:321
176	0.028009627014398575	OMIM:130060	OMIM:130060
177	0.02801077999174595	OMIM:611717	OMIM:611717
178	0.02802102454006672	OMIM:601390	OMIM:601390
179	0.028054075315594673	ORPHA:436003	ORPHA:436003
180	0.028056807816028595	OMIM:607095	OMIM:607095
181	0.02807345986366272	OMIM:277590	OMIM:277590
182	0.028115373104810715	OMIM:250420	OMIM:250420
183	0.02811792865395546	ORPHA:2631	ORPHA:2631
184	0.02812723070383072	OMIM:608728	OMIM:608728
185	0.02813265658915043	ORPHA:2879	ORPHA:2879
186	0.028152694925665855	OMIM:259450	OMIM:259450
187	0.028186636045575142	ORPHA:50945	ORPHA:50945
188	0.028188413009047508	ORPHA:1458	ORPHA:1458
189	0.02819003351032734	ORPHA:420794	ORPHA:420794
190	0.028217073529958725	OMIM:165800	OMIM:165800
191	0.028230182826519012	ORPHA:3103	ORPHA:3103
192	0.02826889231801033	ORPHA:1842	ORPHA:1842
193	0.028271444141864777	ORPHA:93352	ORPHA:93352
194	0.028305551037192345	ORPHA:508488	ORPHA:508488
195	0.028331369161605835	OMIM:258315	OMIM:258315
196	0.02837839350104332	ORPHA:480880	ORPHA:480880
197	0.028404582291841507	ORPHA:2614	ORPHA:2614
198	0.028410719707608223	OMIM:119600	OMIM:119600
199	0.028415532782673836	OMIM:605274	OMIM:605274
200	0.0284816175699234	OMIM:600383	OMIM:600383
201	0.02848699875175953	ORPHA:99646	ORPHA:99646
202	0.028505152091383934	ORPHA:93351	ORPHA:93351
203	0.02852047234773636	ORPHA:85170	ORPHA:85170
204	0.028526023030281067	OMIM:300990	OMIM:300990
205	0.028560221195220947	ORPHA:666	ORPHA:666
206	0.028569480404257774	ORPHA:2990	ORPHA:2990
207	0.028594275936484337	ORPHA:263463	ORPHA:263463
208	0.028613274917006493	OMIM:615503	OMIM:615503
209	0.028629405423998833	OMIM:212720	OMIM:212720
210	0.028644416481256485	ORPHA:3409	ORPHA:3409
211	0.02867022529244423	ORPHA:3041	ORPHA:3041
212	0.028686078265309334	ORPHA:319195	ORPHA:319195
213	0.028691019862890244	OMIM:163400	OMIM:163400
214	0.02869635447859764	OMIM:139210	OMIM:139210
215	0.028697896748781204	OMIM:161200	OMIM:161200
216	0.028710009530186653	ORPHA:280	ORPHA:280
217	0.028733128681778908	ORPHA:175	ORPHA:175
218	0.028812222182750702	ORPHA:95699	ORPHA:95699
219	0.028830701485276222	OMIM:610915	OMIM:610915
220	0.0288772601634264	ORPHA:1308	ORPHA:1308
221	0.028882155194878578	ORPHA:93333	ORPHA:93333
222	0.028882566839456558	OMIM:600002	OMIM:600002
223	0.02888297475874424	ORPHA:376	ORPHA:376
224	0.02888430655002594	OMIM:210720	OMIM:210720
225	0.028948601335287094	OMIM:617137	OMIM:617137
226	0.028980573639273643	OMIM:187600	OMIM:187600
227	0.029000423848628998	ORPHA:1486	ORPHA:1486
228	0.02901885285973549	ORPHA:79106	ORPHA:79106
229	0.029025524854660034	ORPHA:198	ORPHA:198
230	0.02904377691447735	OMIM:216340	OMIM:216340
231	0.029049264267086983	OMIM:151050	OMIM:151050
232	0.029068050906062126	ORPHA:2645	ORPHA:2645
233	0.029073646292090416	OMIM:184840	OMIM:184840
234	0.029078252613544464	OMIM:210730	OMIM:210730
235	0.0290903989225626	ORPHA:85166	ORPHA:85166
236	0.02909206971526146	OMIM:225500	OMIM:225500
237	0.02909891866147518	OMIM:222765	OMIM:222765
238	0.029107214882969856	OMIM:312150	OMIM:312150
239	0.029161902144551277	OMIM:618291	OMIM:618291
240	0.029183581471443176	ORPHA:2633	ORPHA:2633
241	0.02919035591185093	OMIM:200600	OMIM:200600
242	0.02919294871389866	OMIM:255800	OMIM:255800
243	0.02920006588101387	ORPHA:536545	ORPHA:536545
244	0.029220297932624817	ORPHA:1724	ORPHA:1724
245	0.029279038310050964	OMIM:194190	OMIM:194190
246	0.029286108911037445	ORPHA:2557	ORPHA:2557
247	0.0293032918125391	ORPHA:1692	ORPHA:1692
248	0.029324069619178772	ORPHA:672	ORPHA:672
249	0.02937157079577446	ORPHA:2900	ORPHA:2900
250	0.029381414875388145	ORPHA:502	ORPHA:502
251	0.02941504865884781	OMIM:215140	OMIM:215140
252	0.029453884810209274	ORPHA:2876	ORPHA:2876
253	0.02955242246389389	ORPHA:1836	ORPHA:1836
254	0.029559778049588203	OMIM:610682	OMIM:610682
255	0.02958260290324688	OMIM:253290	OMIM:253290
256	0.029596472159028053	OMIM:146510	OMIM:146510
257	0.02965148724615574	ORPHA:93296	ORPHA:93296
258	0.029696296900510788	ORPHA:1803	ORPHA:1803
259	0.029721759259700775	ORPHA:429	ORPHA:429
260	0.02972477115690708	ORPHA:1860	ORPHA:1860
261	0.029766736552119255	OMIM:182250	OMIM:182250
262	0.029767319560050964	OMIM:620369	OMIM:620369
263	0.029788214713335037	ORPHA:3082	ORPHA:3082
264	0.0297979936003685	ORPHA:1452	ORPHA:1452
265	0.02982485480606556	OMIM:212780	OMIM:212780
266	0.02985084056854248	ORPHA:2886	ORPHA:2886
267	0.029878806322813034	ORPHA:800	ORPHA:800
268	0.029881656169891357	OMIM:616300	OMIM:616300
269	0.02988891676068306	OMIM:193700	OMIM:193700
270	0.029904544353485107	ORPHA:955	ORPHA:955
271	0.029936658218503	ORPHA:2636	ORPHA:2636
272	0.029948174953460693	ORPHA:2994	ORPHA:2994
273	0.029975593090057373	ORPHA:314585	ORPHA:314585
274	0.029978565871715546	ORPHA:1507	ORPHA:1507
275	0.02999298833310604	OMIM:182212	OMIM:182212
276	0.030079418793320656	OMIM:208150	OMIM:208150
277	0.030084386467933655	ORPHA:89936	ORPHA:89936
278	0.03009524941444397	ORPHA:99642	ORPHA:99642
279	0.030182961374521255	OMIM:615546	OMIM:615546
280	0.030191609635949135	OMIM:601559	OMIM:601559
281	0.030198367312550545	OMIM:122470	OMIM:122470
282	0.030199280008673668	OMIM:616007	OMIM:616007
283	0.030238155275583267	OMIM:601680	OMIM:601680
284	0.030252546072006226	ORPHA:3404	ORPHA:3404
285	0.030274642631411552	OMIM:608545	OMIM:608545
286	0.030295589938759804	ORPHA:96149	ORPHA:96149
287	0.030305165797472	OMIM:261540	OMIM:261540
