rank	score	disease_name	disease_identifier
1	0.023093553259968758	ORPHA:1010	ORPHA:1010
2	0.024670977145433426	OMIM:613102	OMIM:613102
3	0.025465186685323715	OMIM:604093	OMIM:604093
4	0.027852622792124748	ORPHA:189	ORPHA:189
5	0.027942530810832977	OMIM:301845	OMIM:301845
6	0.028726408258080482	ORPHA:113	ORPHA:113
7	0.029545675963163376	OMIM:602540	OMIM:602540
8	0.029676785692572594	OMIM:620199	OMIM:620199
9	0.02984410896897316	OMIM:607903	OMIM:607903
10	0.02989863231778145	OMIM:278150	OMIM:278150
11	0.030117474496364594	ORPHA:1573	ORPHA:1573
12	0.031176451593637466	OMIM:602400	OMIM:602400
13	0.031293533742427826	ORPHA:317	ORPHA:317
14	0.03152896463871002	OMIM:308800	OMIM:308800
15	0.03302479162812233	ORPHA:2890	ORPHA:2890
16	0.03313639760017395	OMIM:150400	OMIM:150400
17	0.03339250385761261	ORPHA:79402	ORPHA:79402
18	0.03339818865060806	ORPHA:742	ORPHA:742
19	0.033501047641038895	OMIM:257980	OMIM:257980
20	0.0335417203605175	ORPHA:477	ORPHA:477
21	0.0335666760802269	ORPHA:79133	ORPHA:79133
22	0.03376364707946777	OMIM:618373	OMIM:618373
23	0.03378862142562866	OMIM:618535	OMIM:618535
24	0.033832818269729614	OMIM:616099	OMIM:616099
25	0.03407536819577217	ORPHA:251393	ORPHA:251393
26	0.034342460334300995	ORPHA:90368	ORPHA:90368
27	0.03441715985536575	ORPHA:3406	ORPHA:3406
28	0.03445836156606674	OMIM:604379	OMIM:604379
29	0.03477773442864418	OMIM:305100	OMIM:305100
30	0.03512130305171013	ORPHA:59303	ORPHA:59303
31	0.03544788435101509	ORPHA:69125	ORPHA:69125
32	0.03557100147008896	OMIM:148210	OMIM:148210
33	0.03583066910505295	OMIM:617337	OMIM:617337
34	0.0360090471804142	OMIM:104100	OMIM:104100
35	0.036068666726350784	ORPHA:79145	ORPHA:79145
36	0.036071956157684326	ORPHA:2963	ORPHA:2963
37	0.036166343837976456	OMIM:224750	OMIM:224750
38	0.03618375211954117	OMIM:604536	OMIM:604536
39	0.036271993070840836	ORPHA:129	ORPHA:129
40	0.03628932312130928	ORPHA:2885	ORPHA:2885
41	0.03631718084216118	OMIM:308300	OMIM:308300
42	0.036328792572021484	ORPHA:2884	ORPHA:2884
43	0.03637031093239784	ORPHA:910	ORPHA:910
44	0.03662858530879021	OMIM:103285	OMIM:103285
45	0.036661677062511444	OMIM:614941	OMIM:614941
46	0.03688696399331093	OMIM:225050	OMIM:225050
47	0.03694402799010277	OMIM:167210	OMIM:167210
48	0.03720203787088394	ORPHA:79397	ORPHA:79397
49	0.037213847041130066	OMIM:601675	OMIM:601675
50	0.037460748106241226	OMIM:612843	OMIM:612843
51	0.03751550614833832	OMIM:605827	OMIM:605827
52	0.037641894072294235	OMIM:618625	OMIM:618625
53	0.03770151734352112	OMIM:620370	OMIM:620370
54	0.03811991587281227	OMIM:224230	OMIM:224230
55	0.03812823444604874	OMIM:129500	OMIM:129500
56	0.03813116252422333	ORPHA:79414	ORPHA:79414
57	0.03819827362895012	ORPHA:1882	ORPHA:1882
58	0.03828872740268707	ORPHA:238468	ORPHA:238468
59	0.03846975043416023	OMIM:607626	OMIM:607626
60	0.03868216276168823	ORPHA:79396	ORPHA:79396
61	0.039304058998823166	ORPHA:79399	ORPHA:79399
62	0.039314791560173035	ORPHA:634	ORPHA:634
63	0.03949374333024025	OMIM:601345	OMIM:601345
64	0.039631184190511703	ORPHA:79431	ORPHA:79431
65	0.039686236530542374	OMIM:242100	OMIM:242100
66	0.03987995535135269	ORPHA:1807	ORPHA:1807
67	0.04007258638739586	ORPHA:2909	ORPHA:2909
68	0.04007809981703758	OMIM:607823	OMIM:607823
69	0.040183212608098984	OMIM:614929	OMIM:614929
70	0.040285609662532806	ORPHA:182	ORPHA:182
71	0.04029891639947891	OMIM:268400	OMIM:268400
72	0.04031021520495415	ORPHA:79100	ORPHA:79100
73	0.04044542461633682	ORPHA:525	ORPHA:525
74	0.04049663990736008	ORPHA:3361	ORPHA:3361
75	0.040507979691028595	OMIM:137940	OMIM:137940
76	0.04051373898983002	OMIM:129400	OMIM:129400
77	0.04056466370820999	OMIM:615885	OMIM:615885
78	0.04071419686079025	ORPHA:313	ORPHA:313
79	0.04073766618967056	ORPHA:79406	ORPHA:79406
80	0.0407584123313427	ORPHA:920	ORPHA:920
81	0.0407772995531559	OMIM:173650	OMIM:173650
82	0.040815047919750214	ORPHA:79410	ORPHA:79410
83	0.040875282138586044	ORPHA:548	ORPHA:548
84	0.04098613187670708	ORPHA:505	ORPHA:505
85	0.041012778878211975	OMIM:615225	OMIM:615225
86	0.04103599116206169	ORPHA:50944	ORPHA:50944
87	0.04110756143927574	ORPHA:1660	ORPHA:1660
88	0.04127730056643486	OMIM:125595	OMIM:125595
89	0.04130071774125099	OMIM:263700	OMIM:263700
90	0.04134953022003174	ORPHA:3437	ORPHA:3437
91	0.04142666980624199	ORPHA:100976	ORPHA:100976
92	0.04175899550318718	ORPHA:573	ORPHA:573
93	0.041867032647132874	OMIM:617294	OMIM:617294
94	0.041885070502758026	OMIM:602032	OMIM:602032
95	0.04198021814227104	ORPHA:95159	ORPHA:95159
96	0.04200129210948944	ORPHA:1810	ORPHA:1810
97	0.04205877706408501	ORPHA:69735	ORPHA:69735
98	0.04219091683626175	OMIM:181270	OMIM:181270
99	0.042258329689502716	ORPHA:140936	ORPHA:140936
100	0.04243013262748718	ORPHA:158681	ORPHA:158681
101	0.04256740212440491	ORPHA:79405	ORPHA:79405
102	0.04271755367517471	OMIM:601553	OMIM:601553
103	0.04273079335689545	ORPHA:2907	ORPHA:2907
104	0.04278383031487465	ORPHA:79147	ORPHA:79147
105	0.042796771973371506	OMIM:604173	OMIM:604173
106	0.042845264077186584	ORPHA:1366	ORPHA:1366
107	0.04288925603032112	ORPHA:1896	ORPHA:1896
108	0.04302625358104706	OMIM:615280	OMIM:615280
109	0.04304317757487297	ORPHA:75496	ORPHA:75496
110	0.04308585822582245	ORPHA:79411	ORPHA:79411
111	0.043114617466926575	ORPHA:79432	ORPHA:79432
112	0.043115902692079544	ORPHA:170	ORPHA:170
113	0.04312831535935402	ORPHA:35173	ORPHA:35173
114	0.04316834360361099	ORPHA:3353	ORPHA:3353
115	0.04319816827774048	ORPHA:1867	ORPHA:1867
116	0.043262869119644165	OMIM:613573	OMIM:613573
117	0.04326704889535904	OMIM:129900	OMIM:129900
118	0.0433383509516716	ORPHA:79435	ORPHA:79435
119	0.04337146133184433	ORPHA:2269	ORPHA:2269
120	0.04346083104610443	ORPHA:1809	ORPHA:1809
121	0.04353165253996849	ORPHA:1775	ORPHA:1775
122	0.04355783015489578	OMIM:616295	OMIM:616295
123	0.043573636561632156	ORPHA:2273	ORPHA:2273
124	0.043658897280693054	ORPHA:202	ORPHA:202
125	0.04368136078119278	OMIM:614594	OMIM:614594
126	0.04382472112774849	OMIM:268020	OMIM:268020
127	0.04382743686437607	ORPHA:1340	ORPHA:1340
128	0.04391660913825035	ORPHA:530	ORPHA:530
129	0.0439293272793293	ORPHA:902	ORPHA:902
130	0.04403511807322502	OMIM:619208	OMIM:619208
131	0.044047169387340546	OMIM:234050	OMIM:234050
132	0.04413704201579094	ORPHA:2985	ORPHA:2985
133	0.044244665652513504	OMIM:613075	OMIM:613075
134	0.044298071414232254	OMIM:308205	OMIM:308205
135	0.04429956153035164	ORPHA:79434	ORPHA:79434
136	0.04436565190553665	ORPHA:678	ORPHA:678
137	0.04452534765005112	ORPHA:33364	ORPHA:33364
138	0.04455205053091049	ORPHA:3071	ORPHA:3071
139	0.04460427537560463	OMIM:129490	OMIM:129490
140	0.044821735471487045	ORPHA:978	ORPHA:978
141	0.04486146941781044	ORPHA:1433	ORPHA:1433
142	0.045005932450294495	ORPHA:2584	ORPHA:2584
143	0.04505018889904022	ORPHA:89843	ORPHA:89843
144	0.045055728405714035	OMIM:278750	OMIM:278750
145	0.04509394243359566	OMIM:619816	OMIM:619816
146	0.04510612413287163	ORPHA:166113	ORPHA:166113
147	0.04511489346623421	ORPHA:90342	ORPHA:90342
148	0.045120347291231155	ORPHA:89838	ORPHA:89838
149	0.045174840837717056	ORPHA:96123	ORPHA:96123
150	0.045201487839221954	ORPHA:544488	ORPHA:544488
151	0.04527224972844124	ORPHA:37	ORPHA:37
152	0.04531310498714447	OMIM:266280	OMIM:266280
153	0.045317143201828	OMIM:133540	OMIM:133540
154	0.04532041773200035	ORPHA:69087	ORPHA:69087
155	0.04533156007528305	ORPHA:1808	ORPHA:1808
156	0.04533572494983673	OMIM:613576	OMIM:613576
157	0.04546906799077988	OMIM:604292	OMIM:604292
158	0.045493483543395996	ORPHA:352731	ORPHA:352731
159	0.04554402083158493	OMIM:305000	OMIM:305000
160	0.045599136501550674	ORPHA:79474	ORPHA:79474
161	0.04570922255516052	ORPHA:464	ORPHA:464
162	0.04574905335903168	OMIM:270200	OMIM:270200
163	0.045797523111104965	ORPHA:2526	ORPHA:2526
164	0.04580306634306908	ORPHA:79409	ORPHA:79409
165	0.045807577669620514	ORPHA:221008	ORPHA:221008
166	0.04581557586789131	ORPHA:1806	ORPHA:1806
167	0.04584432765841484	OMIM:224900	OMIM:224900
168	0.045866452157497406	ORPHA:158668	ORPHA:158668
169	0.04594065248966217	ORPHA:1816	ORPHA:1816
170	0.046043217182159424	ORPHA:220295	ORPHA:220295
171	0.04605597257614136	OMIM:278720	OMIM:278720
172	0.046068690717220306	ORPHA:1818	ORPHA:1818
173	0.0460694283246994	OMIM:226670	OMIM:226670
174	0.046081699430942535	ORPHA:2067	ORPHA:2067
175	0.04608452692627907	ORPHA:2500	ORPHA:2500
176	0.046174436807632446	ORPHA:2135	ORPHA:2135
177	0.04618493840098381	OMIM:158000	OMIM:158000
178	0.046251606196165085	OMIM:618419	OMIM:618419
179	0.04626171663403511	OMIM:266270	OMIM:266270
180	0.0463702492415905	ORPHA:79493	ORPHA:79493
181	0.0464773029088974	ORPHA:2617	ORPHA:2617
182	0.046560272574424744	ORPHA:659	ORPHA:659
183	0.04668247327208519	ORPHA:79277	ORPHA:79277
184	0.046712279319763184	ORPHA:218	ORPHA:218
185	0.04673616215586662	ORPHA:79394	ORPHA:79394
186	0.04682110249996185	OMIM:194300	OMIM:194300
187	0.046865079551935196	ORPHA:79430	ORPHA:79430
188	0.0469822958111763	OMIM:216400	OMIM:216400
189	0.04703712463378906	ORPHA:2930	ORPHA:2930
190	0.04711959511041641	ORPHA:221016	ORPHA:221016
191	0.04716106131672859	OMIM:230740	OMIM:230740
192	0.04718257486820221	OMIM:614237	OMIM:614237
193	0.04718469828367233	OMIM:610965	OMIM:610965
194	0.04723639413714409	OMIM:158310	OMIM:158310
195	0.04733215272426605	ORPHA:73223	ORPHA:73223
196	0.04735397920012474	OMIM:278760	OMIM:278760
197	0.04738834872841835	ORPHA:158673	ORPHA:158673
198	0.04742547497153282	OMIM:234030	OMIM:234030
199	0.04747689515352249	OMIM:614438	OMIM:614438
200	0.04751012846827507	OMIM:605676	OMIM:605676
201	0.04751484841108322	OMIM:193510	OMIM:193510
202	0.04753223434090614	ORPHA:168569	ORPHA:168569
203	0.047600481659173965	ORPHA:3220	ORPHA:3220
204	0.04765624552965164	ORPHA:181	ORPHA:181
205	0.04772159084677696	OMIM:278700	OMIM:278700
206	0.04773643985390663	OMIM:225060	OMIM:225060
207	0.04775073379278183	OMIM:608612	OMIM:608612
208	0.047757476568222046	OMIM:614748	OMIM:614748
209	0.04778066277503967	ORPHA:894	ORPHA:894
210	0.047939710319042206	ORPHA:542592	ORPHA:542592
211	0.0479496493935585	ORPHA:90153	ORPHA:90153
212	0.04797898605465889	ORPHA:254478	ORPHA:254478
213	0.04798877611756325	OMIM:225410	OMIM:225410
214	0.048042528331279755	OMIM:608233	OMIM:608233
215	0.04805963858962059	ORPHA:895	ORPHA:895
216	0.048141416162252426	OMIM:124200	OMIM:124200
217	0.04818717762827873	ORPHA:2309	ORPHA:2309
218	0.04827551543712616	ORPHA:357074	ORPHA:357074
219	0.048280153423547745	OMIM:264090	OMIM:264090
220	0.048298075795173645	OMIM:106260	OMIM:106260
221	0.04829990118741989	ORPHA:90154	ORPHA:90154
222	0.048323482275009155	ORPHA:217335	ORPHA:217335
223	0.0483391098678112	ORPHA:1071	ORPHA:1071
224	0.04834160953760147	OMIM:193500	OMIM:193500
225	0.04838250204920769	OMIM:615704	OMIM:615704
226	0.048417069017887115	ORPHA:79280	ORPHA:79280
227	0.04843440279364586	OMIM:302960	OMIM:302960
228	0.048443976789712906	ORPHA:1787	ORPHA:1787
229	0.04846547916531563	OMIM:248370	OMIM:248370
230	0.048566680401563644	OMIM:115150	OMIM:115150
231	0.048582348972558975	ORPHA:2796	ORPHA:2796
232	0.04858815297484398	ORPHA:494	ORPHA:494
233	0.04858817532658577	ORPHA:79408	ORPHA:79408
