rank	score	disease_name	disease_identifier
1	0.08292186260223389	OMIM:609135	OMIM:609135
2	0.1068335771560669	ORPHA:318	ORPHA:318
3	0.11190390586853027	OMIM:515000	OMIM:515000
4	0.14245712757110596	OMIM:604498	OMIM:604498
5	0.14637047052383423	OMIM:614675	OMIM:614675
6	0.14672720432281494	ORPHA:86841	ORPHA:86841
7	0.14771729707717896	ORPHA:86843	ORPHA:86843
8	0.1481262445449829	OMIM:619041	OMIM:619041
9	0.14971309900283813	ORPHA:231237	ORPHA:231237
10	0.15491849184036255	ORPHA:231393	ORPHA:231393
