rank	score	disease_name	disease_identifier
1	0.037367887794971466	OMIM:162210	OMIM:162210
2	0.041447095572948456	OMIM:162200	OMIM:162200
3	0.04542844742536545	OMIM:193520	OMIM:193520
4	0.04589039087295532	OMIM:611431	OMIM:611431
5	0.04608358442783356	ORPHA:79145	ORPHA:79145
6	0.04626527056097984	OMIM:613675	OMIM:613675
7	0.046427033841609955	ORPHA:201	ORPHA:201
8	0.04715697094798088	OMIM:601321	OMIM:601321
9	0.04752568528056145	OMIM:191100	OMIM:191100
10	0.04842958599328995	DECIPHER:15	DECIPHER:15
11	0.048524677753448486	OMIM:176920	OMIM:176920
12	0.04904206097126007	ORPHA:910	ORPHA:910
13	0.049089059233665466	OMIM:301845	OMIM:301845
14	0.049133822321891785	OMIM:618373	OMIM:618373
15	0.049334146082401276	OMIM:620343	OMIM:620343
16	0.04963960126042366	OMIM:278760	OMIM:278760
17	0.049965351819992065	ORPHA:241	ORPHA:241
18	0.050007738173007965	ORPHA:2874	ORPHA:2874
19	0.05039585754275322	OMIM:613254	OMIM:613254
20	0.050970759242773056	ORPHA:363700	ORPHA:363700
21	0.0515984483063221	OMIM:160980	OMIM:160980
22	0.05175420269370079	ORPHA:636	ORPHA:636
23	0.05182182416319847	ORPHA:137605	ORPHA:137605
24	0.05265863239765167	ORPHA:109	ORPHA:109
25	0.05267086997628212	OMIM:616564	OMIM:616564
26	0.05284794047474861	ORPHA:1573	ORPHA:1573
27	0.05329907312989235	OMIM:278700	OMIM:278700
28	0.05344380810856819	ORPHA:1556	ORPHA:1556
29	0.05356832966208458	ORPHA:97685	ORPHA:97685
30	0.053593073040246964	OMIM:615280	OMIM:615280
31	0.05391203984618187	OMIM:266270	OMIM:266270
32	0.053935643285512924	ORPHA:79396	ORPHA:79396
33	0.05425121635198593	ORPHA:79434	ORPHA:79434
34	0.054328907281160355	OMIM:114030	OMIM:114030
35	0.05448083207011223	ORPHA:302	ORPHA:302
36	0.05454283952713013	ORPHA:79100	ORPHA:79100
37	0.05472695082426071	ORPHA:500	ORPHA:500
38	0.05494172126054764	OMIM:610651	OMIM:610651
39	0.054950322955846786	OMIM:163200	OMIM:163200
40	0.05503678694367409	OMIM:158350	OMIM:158350
41	0.055056601762771606	OMIM:600268	OMIM:600268
42	0.055090367794036865	ORPHA:902	ORPHA:902
43	0.055170509964227676	OMIM:145250	OMIM:145250
44	0.05525907874107361	ORPHA:79397	ORPHA:79397
45	0.05540209636092186	ORPHA:182	ORPHA:182
46	0.05549280717968941	OMIM:605275	OMIM:605275
47	0.05552109330892563	OMIM:278720	OMIM:278720
48	0.055554620921611786	OMIM:109400	OMIM:109400
49	0.055560097098350525	OMIM:611553	OMIM:611553
50	0.05560706928372383	ORPHA:744	ORPHA:744
51	0.05560990795493126	OMIM:203300	OMIM:203300
52	0.05573228746652603	ORPHA:477	ORPHA:477
53	0.055762309581041336	OMIM:304050	OMIM:304050
54	0.05579835921525955	OMIM:607721	OMIM:607721
55	0.05582939088344574	ORPHA:626	ORPHA:626
56	0.05589129403233528	ORPHA:79399	ORPHA:79399
57	0.05595865845680237	ORPHA:2969	ORPHA:2969
58	0.056006524711847305	OMIM:308300	OMIM:308300
59	0.05618336424231529	ORPHA:317	ORPHA:317
60	0.056267477571964264	ORPHA:2885	ORPHA:2885
61	0.05634227767586708	ORPHA:252183	ORPHA:252183
62	0.05635230988264084	ORPHA:79455	ORPHA:79455
63	0.05644184723496437	ORPHA:2135	ORPHA:2135
64	0.05646155774593353	ORPHA:158681	ORPHA:158681
65	0.05655130743980408	ORPHA:35173	ORPHA:35173
66	0.05665290355682373	ORPHA:276280	ORPHA:276280
67	0.056702908128499985	ORPHA:79280	ORPHA:79280
68	0.05682772770524025	OMIM:302960	OMIM:302960
69	0.05698971450328827	ORPHA:79431	ORPHA:79431
70	0.05721009522676468	ORPHA:99818	ORPHA:99818
71	0.05742580071091652	OMIM:615109	OMIM:615109
72	0.05752180516719818	ORPHA:79410	ORPHA:79410
73	0.057617418467998505	ORPHA:758	ORPHA:758
74	0.05763433128595352	ORPHA:2884	ORPHA:2884
75	0.0577615424990654	OMIM:210900	OMIM:210900
76	0.057819854468107224	OMIM:615225	OMIM:615225
77	0.05784454941749573	ORPHA:363958	ORPHA:363958
77	0.05784454941749573	ORPHA:363965	ORPHA:363965
79	0.057925060391426086	OMIM:263700	OMIM:263700
80	0.05802471935749054	OMIM:224230	OMIM:224230
81	0.058033570647239685	OMIM:613224	OMIM:613224
82	0.058035653084516525	ORPHA:79411	ORPHA:79411
83	0.05805009976029396	OMIM:611554	OMIM:611554
84	0.05811578780412674	ORPHA:2612	ORPHA:2612
85	0.0581551156938076	ORPHA:1775	ORPHA:1775
86	0.05822799727320671	ORPHA:79405	ORPHA:79405
87	0.05837279185652733	ORPHA:79406	ORPHA:79406
88	0.058531347662210464	ORPHA:64754	ORPHA:64754
89	0.05875510349869728	OMIM:611584	OMIM:611584
90	0.058827999979257584	OMIM:162260	OMIM:162260
91	0.05885031446814537	ORPHA:1340	ORPHA:1340
92	0.05886264517903328	ORPHA:2909	ORPHA:2909
93	0.05886523798108101	ORPHA:530	ORPHA:530
94	0.05890762805938721	ORPHA:3406	ORPHA:3406
95	0.058943092823028564	ORPHA:618	ORPHA:618
96	0.05899828299880028	OMIM:613707	OMIM:613707
97	0.059114303439855576	ORPHA:742	ORPHA:742
98	0.05914803594350815	OMIM:601675	OMIM:601675
99	0.05915887653827667	ORPHA:542592	ORPHA:542592
100	0.05916415527462959	ORPHA:79430	ORPHA:79430
101	0.05918207764625549	OMIM:218040	OMIM:218040
102	0.059186313301324844	ORPHA:805	ORPHA:805
103	0.059236977249383926	OMIM:604093	OMIM:604093
104	0.059274040162563324	OMIM:615108	OMIM:615108
105	0.05927662178874016	ORPHA:1359	ORPHA:1359
106	0.059482768177986145	ORPHA:89843	ORPHA:89843
107	0.05952415242791176	OMIM:115150	OMIM:115150
108	0.05953589454293251	OMIM:230000	OMIM:230000
109	0.05954134836792946	ORPHA:77301	ORPHA:77301
110	0.05954141914844513	OMIM:600630	OMIM:600630
111	0.05954474210739136	ORPHA:220295	ORPHA:220295
112	0.05958477780222893	ORPHA:166113	ORPHA:166113
113	0.05964300036430359	OMIM:247100	OMIM:247100
114	0.059753164649009705	ORPHA:3071	ORPHA:3071
115	0.05977647751569748	OMIM:308205	OMIM:308205
116	0.059843581169843674	OMIM:604173	OMIM:604173
117	0.05988852679729462	ORPHA:95159	ORPHA:95159
118	0.05989241972565651	ORPHA:90342	ORPHA:90342
119	0.05991030111908913	OMIM:137940	OMIM:137940
120	0.059918973594903946	OMIM:163950	OMIM:163950
121	0.05994700640439987	ORPHA:89838	ORPHA:89838
122	0.06001806631684303	OMIM:305000	OMIM:305000
123	0.060060054063797	ORPHA:35125	ORPHA:35125
124	0.06006432697176933	ORPHA:3219	ORPHA:3219
125	0.060111843049526215	ORPHA:2481	ORPHA:2481
126	0.06012050062417984	ORPHA:221008	ORPHA:221008
127	0.060157086700201035	OMIM:610832	OMIM:610832
128	0.060192786157131195	OMIM:613075	OMIM:613075
129	0.06042724475264549	OMIM:613001	OMIM:613001
130	0.060485709458589554	ORPHA:3214	ORPHA:3214
131	0.06049714609980583	ORPHA:221016	ORPHA:221016
132	0.06051222234964371	OMIM:276300	OMIM:276300
133	0.06051937863230705	ORPHA:79140	ORPHA:79140
134	0.06053727865219116	OMIM:278750	OMIM:278750
135	0.06056081876158714	ORPHA:96123	ORPHA:96123
136	0.06057826429605484	OMIM:173650	OMIM:173650
137	0.06059655919671059	ORPHA:33364	ORPHA:33364
138	0.06071223318576813	OMIM:602540	OMIM:602540
139	0.06073218211531639	ORPHA:79409	ORPHA:79409
140	0.06086597219109535	ORPHA:79402	ORPHA:79402
141	0.060873936861753464	ORPHA:33276	ORPHA:33276
142	0.06096724793314934	OMIM:225400	OMIM:225400
143	0.0610501691699028	ORPHA:79474	ORPHA:79474
144	0.06108865141868591	ORPHA:1969	ORPHA:1969
145	0.061091210693120956	ORPHA:377	ORPHA:377
146	0.0612071268260479	ORPHA:286	ORPHA:286
147	0.061270490288734436	OMIM:617506	OMIM:617506
148	0.06128533557057381	ORPHA:821	ORPHA:821
149	0.06131788343191147	OMIM:150230	OMIM:150230
150	0.06141579523682594	ORPHA:2526	ORPHA:2526
151	0.06143852323293686	OMIM:618625	OMIM:618625
152	0.06152913719415665	OMIM:610733	OMIM:610733
153	0.061530277132987976	ORPHA:90289	ORPHA:90289
154	0.061596788465976715	ORPHA:457485	ORPHA:457485
155	0.06161380931735039	ORPHA:75496	ORPHA:75496
156	0.06162690743803978	OMIM:101000	OMIM:101000
157	0.061628710478544235	ORPHA:464	ORPHA:464
158	0.061633117496967316	ORPHA:2092	ORPHA:2092
159	0.06163736805319786	ORPHA:2834	ORPHA:2834
160	0.06165055185556412	ORPHA:2875	ORPHA:2875
161	0.06165347993373871	OMIM:151100	OMIM:151100
162	0.061684973537921906	OMIM:619947	OMIM:619947
163	0.06171644851565361	OMIM:216400	OMIM:216400
164	0.06181175261735916	ORPHA:1336	ORPHA:1336
165	0.061858728528022766	ORPHA:2962	ORPHA:2962
166	0.06187441200017929	OMIM:620183	OMIM:620183
167	0.06190672516822815	OMIM:615355	OMIM:615355
168	0.0619305856525898	ORPHA:3455	ORPHA:3455
169	0.06196312978863716	ORPHA:79401	ORPHA:79401
170	0.06200223043560982	ORPHA:79493	ORPHA:79493
171	0.06210623309016228	ORPHA:116	ORPHA:116
172	0.062114279717206955	ORPHA:1010	ORPHA:1010
173	0.062116097658872604	ORPHA:137608	ORPHA:137608
174	0.0621705986559391	OMIM:617337	OMIM:617337
175	0.06219642609357834	OMIM:133540	OMIM:133540
176	0.062244027853012085	OMIM:172800	OMIM:172800
177	0.062299758195877075	ORPHA:79408	ORPHA:79408
178	0.062302365899086	OMIM:612918	OMIM:612918
179	0.062383610755205154	OMIM:208050	OMIM:208050
180	0.062436189502477646	OMIM:620184	OMIM:620184
181	0.062497373670339584	ORPHA:548	ORPHA:548
182	0.06251410394906998	OMIM:619329	OMIM:619329
183	0.0625743642449379	ORPHA:60040	ORPHA:60040
184	0.06259213387966156	ORPHA:158673	ORPHA:158673
185	0.062601737678051	OMIM:230740	OMIM:230740
186	0.06261995434761047	ORPHA:69125	ORPHA:69125
187	0.06262021511793137	ORPHA:79277	ORPHA:79277
188	0.06262501329183578	OMIM:616395	OMIM:616395
189	0.06265567988157272	ORPHA:2611	ORPHA:2611
190	0.06267073005437851	OMIM:124200	OMIM:124200
191	0.0626843199133873	ORPHA:624	ORPHA:624
192	0.06279337406158447	ORPHA:218	ORPHA:218
193	0.06280582398176193	OMIM:227645	OMIM:227645
194	0.06280992925167084	OMIM:614438	OMIM:614438
195	0.0628628358244896	OMIM:226600	OMIM:226600
196	0.06297722458839417	ORPHA:99889	ORPHA:99889
197	0.06298129260540009	OMIM:225410	OMIM:225410
198	0.06298572570085526	ORPHA:84064	ORPHA:84064
199	0.06301024556159973	ORPHA:565	ORPHA:565
200	0.06304222345352173	OMIM:613706	OMIM:613706
201	0.06311018764972687	ORPHA:2617	ORPHA:2617
202	0.06311861425638199	OMIM:617303	OMIM:617303
203	0.06313095986843109	OMIM:251260	OMIM:251260
204	0.0631394162774086	ORPHA:2907	ORPHA:2907
205	0.06314628571271896	ORPHA:2584	ORPHA:2584
206	0.06322716176509857	ORPHA:50	ORPHA:50
207	0.0632365345954895	ORPHA:3162	ORPHA:3162
208	0.06325938552618027	OMIM:619503	OMIM:619503
209	0.06327047199010849	OMIM:602501	OMIM:602501
