rank	score	disease_name	disease_identifier
1	0.05738328769803047	OMIM:605814	OMIM:605814
2	0.05781158432364464	ORPHA:247598	ORPHA:247598
3	0.06625501811504364	OMIM:619874	OMIM:619874
4	0.06715984642505646	OMIM:619481	OMIM:619481
5	0.06797552853822708	OMIM:618850	OMIM:618850
6	0.06827172636985779	OMIM:615158	OMIM:615158
7	0.06925533711910248	ORPHA:158061	ORPHA:158061
8	0.07272036373615265	OMIM:605911	OMIM:605911
9	0.07325111329555511	OMIM:615517	OMIM:615517
10	0.07400127500295639	OMIM:619386	OMIM:619386
11	0.07485107332468033	OMIM:614034	OMIM:614034
12	0.07527461647987366	OMIM:619355	OMIM:619355
13	0.07733844220638275	OMIM:603471	OMIM:603471
14	0.07789378613233566	OMIM:615395	OMIM:615395
15	0.07973950356245041	OMIM:615160	OMIM:615160
16	0.08040594309568405	OMIM:230400	OMIM:230400
17	0.08048644661903381	OMIM:616974	OMIM:616974
18	0.08214239031076431	ORPHA:79302	ORPHA:79302
19	0.08268551528453827	ORPHA:94086	ORPHA:94086
20	0.08270550519227982	OMIM:214950	OMIM:214950
21	0.08284410089254379	OMIM:619868	OMIM:619868
22	0.08288480341434479	OMIM:620010	OMIM:620010
23	0.08310739696025848	ORPHA:79303	ORPHA:79303
24	0.08352124691009521	ORPHA:470	ORPHA:470
25	0.08352396637201309	OMIM:300555	OMIM:300555
26	0.08385387063026428	OMIM:614582	OMIM:614582
27	0.08392808586359024	ORPHA:99901	ORPHA:99901
28	0.08399411290884018	OMIM:618528	OMIM:618528
29	0.0840146616101265	OMIM:616829	OMIM:616829
30	0.08525460958480835	OMIM:620364	OMIM:620364
31	0.08620236068964005	OMIM:619048	OMIM:619048
32	0.08673271536827087	OMIM:615558	OMIM:615558
33	0.08704520016908646	OMIM:278000	OMIM:278000
34	0.08845477551221848	OMIM:227810	OMIM:227810
35	0.08853763341903687	OMIM:613070	OMIM:613070
36	0.08868676424026489	OMIM:619662	OMIM:619662
37	0.089020736515522	OMIM:232700	OMIM:232700
38	0.0890362411737442	OMIM:615751	OMIM:615751
39	0.08913375437259674	OMIM:603358	OMIM:603358
40	0.08982163667678833	OMIM:620198	OMIM:620198
41	0.0903535783290863	ORPHA:3008	ORPHA:3008
42	0.09047701209783554	ORPHA:90003	ORPHA:90003
43	0.0907655656337738	OMIM:620121	OMIM:620121
44	0.09088551253080368	ORPHA:79246	ORPHA:79246
45	0.09227167069911957	ORPHA:71212	ORPHA:71212
46	0.0928228497505188	OMIM:255120	OMIM:255120
47	0.09292248636484146	OMIM:600649	OMIM:600649
48	0.09301836788654327	OMIM:619658	OMIM:619658
49	0.09321420639753342	OMIM:613812	OMIM:613812
50	0.09333421289920807	OMIM:617253	OMIM:617253
51	0.09361942112445831	OMIM:617049	OMIM:617049
52	0.09388263523578644	OMIM:269600	OMIM:269600
53	0.0939006581902504	OMIM:605850	OMIM:605850
54	0.09403138607740402	OMIM:267700	OMIM:267700
55	0.09467576444149017	ORPHA:99829	ORPHA:99829
56	0.09480033814907074	OMIM:601775	OMIM:601775
57	0.09504550695419312	ORPHA:2394	ORPHA:2394
