rank	score	disease_name	disease_identifier
1	0.009974743239581585	OMIM:616580	OMIM:616580
2	0.010448587127029896	ORPHA:79328	ORPHA:79328
3	0.010571380145847797	OMIM:300855	OMIM:300855
4	0.010597208514809608	ORPHA:1272	ORPHA:1272
5	0.010850910097360611	OMIM:607872	OMIM:607872
6	0.010969555005431175	ORPHA:2729	ORPHA:2729
7	0.010986109264194965	OMIM:616268	OMIM:616268
8	0.011018335819244385	OMIM:617140	OMIM:617140
9	0.01130224484950304	ORPHA:280633	ORPHA:280633
10	0.01133357360959053	OMIM:617506	OMIM:617506
11	0.011362887918949127	OMIM:179613	OMIM:179613
12	0.011371426284313202	OMIM:610443	OMIM:610443
13	0.011404814198613167	OMIM:300968	OMIM:300968
14	0.011410504579544067	OMIM:117550	OMIM:117550
15	0.011433477513492107	OMIM:180849	OMIM:180849
16	0.011447898112237453	ORPHA:261349	ORPHA:261349
17	0.011458599008619785	OMIM:602535	OMIM:602535
18	0.011459616012871265	OMIM:213980	OMIM:213980
19	0.011479008942842484	OMIM:619841	OMIM:619841
20	0.011527498252689838	ORPHA:96121	ORPHA:96121
21	0.011668063700199127	OMIM:614080	OMIM:614080
22	0.011707192286849022	OMIM:619383	OMIM:619383
23	0.011750223115086555	OMIM:617260	OMIM:617260
24	0.011854889802634716	OMIM:616975	OMIM:616975
25	0.011876768432557583	OMIM:601803	OMIM:601803
26	0.011978440918028355	OMIM:612863	OMIM:612863
27	0.011997071094810963	OMIM:261540	OMIM:261540
28	0.012007058598101139	ORPHA:93932	ORPHA:93932
29	0.01203114353120327	OMIM:618454	OMIM:618454
30	0.012078093364834785	ORPHA:96170	ORPHA:96170
31	0.012083248235285282	OMIM:605039	OMIM:605039
32	0.01209704764187336	OMIM:214100	OMIM:214100
33	0.012219060212373734	ORPHA:261290	ORPHA:261290
34	0.01222462672740221	OMIM:612582	OMIM:612582
35	0.012233405373990536	OMIM:616920	OMIM:616920
36	0.012292045168578625	OMIM:613610	OMIM:613610
37	0.012308587320148945	OMIM:618316	OMIM:618316
38	0.012310048565268517	ORPHA:3309	ORPHA:3309
39	0.012327720411121845	OMIM:301040	OMIM:301040
40	0.012334496714174747	OMIM:616914	OMIM:616914
41	0.01234165858477354	OMIM:609029	OMIM:609029
42	0.012356874532997608	OMIM:300373	OMIM:300373
43	0.01236746460199356	OMIM:619503	OMIM:619503
44	0.012368684634566307	ORPHA:329224	ORPHA:329224
45	0.012520606629550457	OMIM:135900	OMIM:135900
46	0.01253513339906931	OMIM:620113	OMIM:620113
47	0.012540518306195736	OMIM:249420	OMIM:249420
48	0.012564837001264095	ORPHA:487796	ORPHA:487796
49	0.012583804316818714	OMIM:615668	OMIM:615668
50	0.012584298849105835	OMIM:618653	OMIM:618653
51	0.012602666392922401	ORPHA:251071	ORPHA:251071
52	0.012625875882804394	ORPHA:508488	ORPHA:508488
53	0.01265751477330923	OMIM:312870	OMIM:312870
54	0.01267715822905302	ORPHA:96148	ORPHA:96148
55	0.012713504023849964	OMIM:617190	OMIM:617190
56	0.012715908698737621	OMIM:300868	OMIM:300868
57	0.012720583938062191	OMIM:612940	OMIM:612940
58	0.012743175029754639	OMIM:616737	OMIM:616737
59	0.012807653285562992	OMIM:253250	OMIM:253250
60	0.012832081876695156	OMIM:608149	OMIM:608149
61	0.012832250446081161	ORPHA:1600	ORPHA:1600
62	0.012860456481575966	ORPHA:2962	ORPHA:2962
63	0.012866783887147903	OMIM:157800	OMIM:157800
64	0.012879831716418266	ORPHA:709	ORPHA:709
65	0.012885664589703083	OMIM:613563	OMIM:613563
66	0.012903469614684582	ORPHA:261279	ORPHA:261279
67	0.01290818490087986	OMIM:618494	OMIM:618494
68	0.012954388745129108	OMIM:619325	OMIM:619325
69	0.012972543947398663	OMIM:619472	OMIM:619472
