rank	score	disease_name	disease_identifier
1	0.03578529879450798	OMIM:174000	OMIM:174000
2	0.0375015027821064	OMIM:220150	OMIM:220150
3	0.03870232030749321	ORPHA:94088	ORPHA:94088
4	0.039898328483104706	OMIM:300323	OMIM:300323
5	0.04059799388051033	OMIM:162000	OMIM:162000
6	0.04095789045095444	ORPHA:54370	ORPHA:54370
7	0.04112744331359863	OMIM:614817	OMIM:614817
8	0.04133354872465134	OMIM:603860	OMIM:603860
9	0.04205012321472168	ORPHA:214	ORPHA:214
10	0.04256017506122589	ORPHA:730	ORPHA:730
11	0.04259192943572998	ORPHA:3467	ORPHA:3467
12	0.04268220439553261	ORPHA:976	ORPHA:976
13	0.04377144202589989	OMIM:123550	OMIM:123550
14	0.04430263116955757	OMIM:161900	OMIM:161900
15	0.04431448131799698	ORPHA:79233	ORPHA:79233
16	0.044439852237701416	ORPHA:411536	ORPHA:411536
17	0.045456115156412125	OMIM:609886	OMIM:609886
18	0.04670312628149986	OMIM:614227	OMIM:614227
19	0.048045460134744644	OMIM:618061	OMIM:618061
20	0.04879220947623253	OMIM:104200	OMIM:104200
21	0.04972057417035103	OMIM:614723	OMIM:614723
22	0.05015353113412857	ORPHA:411634	ORPHA:411634
23	0.05016511306166649	ORPHA:2668	ORPHA:2668
24	0.051015179604291916	OMIM:137950	OMIM:137950
25	0.051285430788993835	ORPHA:3337	ORPHA:3337
26	0.05176963657140732	OMIM:607832	OMIM:607832
27	0.05231701582670212	OMIM:137920	OMIM:137920
28	0.05247622728347778	OMIM:308990	OMIM:308990
29	0.05285393446683884	OMIM:620056	OMIM:620056
30	0.05294588580727577	ORPHA:84090	ORPHA:84090
31	0.053161781281232834	ORPHA:329918	ORPHA:329918
32	0.053272102028131485	OMIM:612926	OMIM:612926
33	0.05340394005179405	OMIM:613092	OMIM:613092
34	0.05343693122267723	OMIM:602088	OMIM:602088
35	0.053607191890478134	OMIM:604387	OMIM:604387
36	0.05377677455544472	OMIM:612924	OMIM:612924
37	0.05404377728700638	OMIM:161950	OMIM:161950
38	0.05450059846043587	OMIM:266900	OMIM:266900
39	0.05454902723431587	OMIM:248250	OMIM:248250
40	0.05476134270429611	ORPHA:567548	ORPHA:567548
41	0.05487890914082527	OMIM:134600	OMIM:134600
42	0.05547689273953438	OMIM:603278	OMIM:603278
43	0.05578746274113655	OMIM:612923	OMIM:612923
44	0.055994078516960144	OMIM:615605	OMIM:615605
45	0.05602266639471054	ORPHA:49041	ORPHA:49041
46	0.056188419461250305	ORPHA:93598	ORPHA:93598
47	0.056257639080286026	ORPHA:1652	ORPHA:1652
48	0.056322671473026276	ORPHA:2613	ORPHA:2613
49	0.05650942400097847	OMIM:601894	OMIM:601894
50	0.056960899382829666	OMIM:613388	OMIM:613388
51	0.05697938799858093	ORPHA:567544	ORPHA:567544
52	0.05740809813141823	OMIM:613944	OMIM:613944
53	0.05752116069197655	ORPHA:650	ORPHA:650
