rank	score	disease_name	disease_identifier
1	0.03143112733960152	OMIM:606353	OMIM:606353
2	0.03179534152150154	OMIM:205100	OMIM:205100
3	0.032066460698843	ORPHA:100986	ORPHA:100986
4	0.03209396079182625	ORPHA:293168	ORPHA:293168
5	0.03245114907622337	ORPHA:171629	ORPHA:171629
6	0.03286467865109444	ORPHA:276238	ORPHA:276238
6	0.03286467865109444	ORPHA:276241	ORPHA:276241
8	0.03328787535429001	OMIM:211530	OMIM:211530
9	0.03339008614420891	ORPHA:276244	ORPHA:276244
10	0.03376780077815056	OMIM:619686	OMIM:619686
11	0.03380788490176201	ORPHA:488594	ORPHA:488594
12	0.03405122458934784	ORPHA:100985	ORPHA:100985
13	0.034086667001247406	ORPHA:275872	ORPHA:275872
14	0.03409414365887642	ORPHA:225154	ORPHA:225154
15	0.034279342740774155	OMIM:248900	OMIM:248900
16	0.03431296348571777	ORPHA:496689	ORPHA:496689
17	0.03467559069395065	ORPHA:363722	ORPHA:363722
18	0.03506976738572121	ORPHA:466768	ORPHA:466768
19	0.03515133261680603	ORPHA:466722	ORPHA:466722
20	0.03518274053931236	OMIM:616479	OMIM:616479
21	0.03544141724705696	ORPHA:300605	ORPHA:300605
22	0.03550597280263901	ORPHA:99949	ORPHA:99949
23	0.03583736717700958	OMIM:607259	OMIM:607259
24	0.03585342317819595	OMIM:302800	OMIM:302800
25	0.03585837408900261	ORPHA:35689	ORPHA:35689
26	0.03609809651970863	OMIM:607483	OMIM:607483
27	0.03612569347023964	OMIM:614153	OMIM:614153
28	0.036414846777915955	ORPHA:101085	ORPHA:101085
29	0.036538414657115936	ORPHA:88644	ORPHA:88644
30	0.03660610318183899	OMIM:613954	OMIM:613954
31	0.03661007061600685	ORPHA:98	ORPHA:98
32	0.036643337458372116	ORPHA:101011	ORPHA:101011
33	0.03672681376338005	ORPHA:206448	ORPHA:206448
34	0.036764346063137054	ORPHA:247604	ORPHA:247604
35	0.03701894357800484	OMIM:616907	OMIM:616907
36	0.03731338307261467	ORPHA:99027	ORPHA:99027
37	0.03742120414972305	ORPHA:93952	ORPHA:93952
38	0.03749912604689598	ORPHA:137867	ORPHA:137867
39	0.03754434362053871	OMIM:250100	OMIM:250100
40	0.03754476085305214	ORPHA:447760	ORPHA:447760
41	0.03766150772571564	OMIM:164400	OMIM:164400
42	0.03796204552054405	ORPHA:352641	ORPHA:352641
43	0.03801065683364868	OMIM:615043	OMIM:615043
44	0.03808000683784485	OMIM:607225	OMIM:607225
45	0.03815764561295509	OMIM:614707	OMIM:614707
46	0.03824610635638237	OMIM:613908	OMIM:613908
47	0.03827597200870514	OMIM:602099	OMIM:602099
48	0.03834760561585426	ORPHA:137898	ORPHA:137898
49	0.038425423204898834	OMIM:270550	OMIM:270550
50	0.0384383499622345	OMIM:612319	OMIM:612319
51	0.038442302495241165	ORPHA:99013	ORPHA:99013
52	0.03846992924809456	ORPHA:289560	ORPHA:289560
