rank	score	disease_name	disease_identifier
1	0.04761548712849617	OMIM:614819	OMIM:614819
2	0.04988253489136696	ORPHA:558	ORPHA:558
3	0.05009571090340614	OMIM:154700	OMIM:154700
4	0.05409584194421768	ORPHA:3449	ORPHA:3449
5	0.05421219393610954	OMIM:608328	OMIM:608328
6	0.05520595237612724	OMIM:601552	OMIM:601552
7	0.0563260093331337	OMIM:218340	OMIM:218340
8	0.0563913993537426	OMIM:229200	OMIM:229200
9	0.05693300813436508	OMIM:613195	OMIM:613195
10	0.056964222341775894	OMIM:614816	OMIM:614816
11	0.057965368032455444	OMIM:277600	OMIM:277600
12	0.058019015938043594	OMIM:604308	OMIM:604308
13	0.05833771079778671	ORPHA:536545	ORPHA:536545
14	0.058485813438892365	ORPHA:3342	ORPHA:3342
15	0.05851279944181442	OMIM:609008	OMIM:609008
16	0.05868906155228615	ORPHA:284979	ORPHA:284979
17	0.05888703465461731	OMIM:605822	OMIM:605822
18	0.059028733521699905	ORPHA:1900	ORPHA:1900
19	0.05937204882502556	OMIM:245600	OMIM:245600
20	0.059737157076597214	ORPHA:85194	ORPHA:85194
21	0.05976418778300285	ORPHA:230851	ORPHA:230851
22	0.05992310494184494	ORPHA:828	ORPHA:828
23	0.06014423444867134	OMIM:225400	OMIM:225400
24	0.06036810576915741	ORPHA:1425	ORPHA:1425
25	0.060457974672317505	ORPHA:90354	ORPHA:90354
26	0.06055620312690735	ORPHA:2953	ORPHA:2953
27	0.06058855727314949	ORPHA:171844	ORPHA:171844
28	0.06107474863529205	OMIM:613795	OMIM:613795
29	0.06111781299114227	OMIM:617403	OMIM:617403
30	0.06115735322237015	OMIM:108145	OMIM:108145
31	0.06148472800850868	OMIM:143095	OMIM:143095
32	0.06152471527457237	ORPHA:536471	ORPHA:536471
33	0.06157935783267021	OMIM:620072	OMIM:620072
34	0.061755143105983734	OMIM:203550	OMIM:203550
35	0.061847537755966187	OMIM:251750	OMIM:251750
36	0.06193311884999275	OMIM:208050	OMIM:208050
37	0.06196768581867218	ORPHA:500095	ORPHA:500095
38	0.061978403478860855	OMIM:619539	OMIM:619539
39	0.061981383711099625	OMIM:614292	OMIM:614292
40	0.0621495321393013	ORPHA:394	ORPHA:394
41	0.06225713714957237	ORPHA:508498	ORPHA:508498
42	0.06233649700880051	OMIM:210730	OMIM:210730
43	0.0624280720949173	OMIM:300989	OMIM:300989
44	0.06243797019124031	OMIM:620022	OMIM:620022
45	0.06247005611658096	ORPHA:85167	ORPHA:85167
46	0.06249961256980896	OMIM:300166	OMIM:300166
47	0.06250227242708206	OMIM:619694	OMIM:619694
48	0.06287527829408646	OMIM:615582	OMIM:615582
49	0.06298349052667618	OMIM:613355	OMIM:613355
50	0.06298805773258209	ORPHA:2557	ORPHA:2557
51	0.0632854774594307	OMIM:244450	OMIM:244450
52	0.0633474588394165	OMIM:249310	OMIM:249310
53	0.06344398856163025	ORPHA:1005	ORPHA:1005
54	0.06354367733001709	OMIM:619472	OMIM:619472
55	0.06356518715620041	OMIM:615877	OMIM:615877
56	0.06357713043689728	OMIM:236200	OMIM:236200
57	0.06358317285776138	OMIM:616007	OMIM:616007
58	0.06360694766044617	OMIM:121050	OMIM:121050
59	0.06367625296115875	OMIM:118450	OMIM:118450
60	0.06374005228281021	OMIM:616914	OMIM:616914
61	0.06379441916942596	OMIM:259770	OMIM:259770
62	0.0638216957449913	ORPHA:2958	ORPHA:2958
63	0.06382804363965988	OMIM:139210	OMIM:139210
64	0.063849538564682	OMIM:161200	OMIM:161200
65	0.06388933211565018	OMIM:610168	OMIM:610168
66	0.06393368542194366	OMIM:601776	OMIM:601776
67	0.06394173204898834	OMIM:132450	OMIM:132450
68	0.0640868991613388	OMIM:609192	OMIM:609192
69	0.0641460120677948	OMIM:620083	OMIM:620083
70	0.0641849935054779	OMIM:614800	OMIM:614800
71	0.0643475130200386	OMIM:182250	OMIM:182250
72	0.0643848329782486	OMIM:617561	OMIM:617561
73	0.06445129215717316	OMIM:182212	OMIM:182212
74	0.064475417137146	OMIM:606772	OMIM:606772
75	0.06454164534807205	ORPHA:2308	ORPHA:2308
76	0.06454712152481079	ORPHA:536532	ORPHA:536532
77	0.06455109268426895	ORPHA:536467	ORPHA:536467
78	0.0645536333322525	OMIM:255800	OMIM:255800
79	0.06461455672979355	OMIM:615280	OMIM:615280
80	0.0646282359957695	OMIM:619656	OMIM:619656
81	0.06464298814535141	ORPHA:90653	ORPHA:90653
82	0.06466566026210785	OMIM:122470	OMIM:122470
83	0.06468003243207932	OMIM:301900	OMIM:301900
84	0.06469566375017166	OMIM:615789	OMIM:615789
85	0.06469700485467911	ORPHA:464738	ORPHA:464738
86	0.06476542353630066	OMIM:616449	OMIM:616449
87	0.06477459520101547	ORPHA:464306	ORPHA:464306
88	0.06483147293329239	OMIM:309610	OMIM:309610
89	0.0648563876748085	OMIM:226960	OMIM:226960
90	0.06491701304912567	ORPHA:1427	ORPHA:1427
91	0.06493550539016724	OMIM:309350	OMIM:309350
92	0.06497437506914139	ORPHA:96201	ORPHA:96201
93	0.06505974382162094	OMIM:615668	OMIM:615668
