rank	score	disease_name	disease_identifier
1	0.01726754754781723	OMIM:609192	OMIM:609192
2	0.017749063670635223	OMIM:610168	OMIM:610168
3	0.019070401787757874	OMIM:265380	OMIM:265380
4	0.019834131002426147	ORPHA:555877	ORPHA:555877
5	0.020240196958184242	OMIM:613795	OMIM:613795
6	0.020924599841237068	ORPHA:284984	ORPHA:284984
7	0.021209347993135452	OMIM:212093	OMIM:212093
8	0.021985046565532684	ORPHA:1120	ORPHA:1120
9	0.023931914940476418	OMIM:306955	OMIM:306955
10	0.024613067507743835	OMIM:609008	OMIM:609008
11	0.024767979979515076	OMIM:612561	OMIM:612561
12	0.025173548609018326	ORPHA:392	ORPHA:392
13	0.02519090846180916	OMIM:619657	OMIM:619657
14	0.025406790897250175	OMIM:190685	OMIM:190685
15	0.025762835517525673	OMIM:618280	OMIM:618280
16	0.026014570146799088	OMIM:154700	OMIM:154700
17	0.026686402037739754	OMIM:619472	OMIM:619472
18	0.027138466015458107	ORPHA:3427	ORPHA:3427
19	0.027231374755501747	ORPHA:284979	ORPHA:284979
20	0.027237553149461746	ORPHA:60030	ORPHA:60030
21	0.027874045073986053	OMIM:616166	OMIM:616166
22	0.027919944375753403	ORPHA:3426	ORPHA:3426
23	0.028010865673422813	OMIM:617478	OMIM:617478
24	0.028368087485432625	OMIM:619343	OMIM:619343
25	0.028378887102007866	ORPHA:1686	ORPHA:1686
26	0.028408868238329887	OMIM:609942	OMIM:609942
27	0.028472445905208588	OMIM:614816	OMIM:614816
28	0.028644543141126633	ORPHA:2306	ORPHA:2306
29	0.028691979125142097	OMIM:608149	OMIM:608149
30	0.028787285089492798	ORPHA:324410	ORPHA:324410
31	0.028900178149342537	OMIM:620025	OMIM:620025
32	0.02890467643737793	OMIM:314400	OMIM:314400
33	0.029065480455756187	OMIM:617402	OMIM:617402
34	0.02917715348303318	ORPHA:7	ORPHA:7
35	0.029267683625221252	OMIM:600001	OMIM:600001
36	0.029382122680544853	OMIM:615582	OMIM:615582
37	0.029529033228754997	ORPHA:210122	ORPHA:210122
38	0.02972327172756195	ORPHA:91387	ORPHA:91387
39	0.03007197007536888	OMIM:300989	OMIM:300989
40	0.030112626031041145	ORPHA:3384	ORPHA:3384
41	0.030156757682561874	ORPHA:558	ORPHA:558
42	0.03031078912317753	OMIM:117650	OMIM:117650
43	0.030571049079298973	OMIM:611962	OMIM:611962
44	0.030667893588542938	ORPHA:1101	ORPHA:1101
45	0.030680539086461067	OMIM:115470	OMIM:115470
46	0.030721453949809074	OMIM:613177	OMIM:613177
47	0.030865203589200974	ORPHA:230851	ORPHA:230851
48	0.030919108539819717	OMIM:614437	OMIM:614437
49	0.03104359097778797	OMIM:301039	OMIM:301039
50	0.031048092991113663	OMIM:312870	OMIM:312870
51	0.03126281499862671	OMIM:616145	OMIM:616145
52	0.031275518238544464	OMIM:121050	OMIM:121050
53	0.031344518065452576	ORPHA:1388	ORPHA:1388
54	0.03156372532248497	ORPHA:555874	ORPHA:555874
55	0.03158530220389366	OMIM:616564	OMIM:616564
56	0.03165804594755173	OMIM:605275	OMIM:605275
57	0.03180112689733505	OMIM:220210	OMIM:220210
58	0.03185861557722092	OMIM:314390	OMIM:314390
59	0.032029345631599426	OMIM:618870	OMIM:618870
60	0.03209440037608147	OMIM:601186	OMIM:601186
61	0.032157186418771744	OMIM:157800	OMIM:157800
62	0.032193463295698166	OMIM:192430	OMIM:192430
63	0.03237774595618248	OMIM:201000	OMIM:201000
64	0.03237809240818024	OMIM:192350	OMIM:192350
65	0.03241688758134842	ORPHA:2876	ORPHA:2876
66	0.03242335096001625	OMIM:253200	OMIM:253200
67	0.03247737139463425	OMIM:619879	OMIM:619879
68	0.03257011994719505	OMIM:300373	OMIM:300373
69	0.03258156776428223	ORPHA:1335	ORPHA:1335
70	0.032612647861242294	OMIM:616894	OMIM:616894
71	0.03266429156064987	OMIM:270100	OMIM:270100
72	0.03273104131221771	OMIM:208050	OMIM:208050
73	0.032814521342515945	OMIM:151100	OMIM:151100
74	0.03282022476196289	ORPHA:2059	ORPHA:2059
75	0.032883115112781525	ORPHA:3342	ORPHA:3342
76	0.03292516618967056	ORPHA:508498	ORPHA:508498
77	0.03300783783197403	ORPHA:2462	ORPHA:2462
78	0.03300855681300163	OMIM:235510	OMIM:235510
79	0.03301217034459114	ORPHA:2847	ORPHA:2847
80	0.03309006616473198	ORPHA:185	ORPHA:185
81	0.03327951207756996	ORPHA:1507	ORPHA:1507
82	0.033298660069704056	OMIM:300166	OMIM:300166
83	0.033336091786623	OMIM:616749	OMIM:616749
84	0.03346865624189377	ORPHA:2008	ORPHA:2008
85	0.03348075598478317	OMIM:608978	OMIM:608978
86	0.033520571887493134	OMIM:104350	OMIM:104350
87	0.03352472931146622	ORPHA:500	ORPHA:500
88	0.03362773731350899	ORPHA:2255	ORPHA:2255
89	0.03363458812236786	OMIM:601776	OMIM:601776
90	0.033662036061286926	ORPHA:1600	ORPHA:1600
91	0.0337228924036026	OMIM:609029	OMIM:609029
92	0.0337415486574173	OMIM:619825	OMIM:619825
93	0.03377517685294151	OMIM:617137	OMIM:617137
94	0.03377952426671982	ORPHA:97360	ORPHA:97360
95	0.03381863981485367	ORPHA:264450	ORPHA:264450
96	0.033849552273750305	ORPHA:99776	ORPHA:99776
97	0.033859170973300934	ORPHA:140952	ORPHA:140952
98	0.033998291939496994	OMIM:616028	OMIM:616028
99	0.0340496264398098	OMIM:613834	OMIM:613834
100	0.034072134643793106	OMIM:214800	OMIM:214800
101	0.034080419689416885	OMIM:150250	OMIM:150250
102	0.034130606800317764	OMIM:309350	OMIM:309350
103	0.03414664417505264	ORPHA:2745	ORPHA:2745
104	0.03418001905083656	OMIM:143095	OMIM:143095
105	0.03418833017349243	OMIM:274000	OMIM:274000
106	0.03420015424489975	OMIM:618316	OMIM:618316
107	0.03429284319281578	ORPHA:363705	ORPHA:363705
108	0.034353286027908325	ORPHA:99094	ORPHA:99094
109	0.03435467556118965	ORPHA:96334	ORPHA:96334
110	0.034369856119155884	OMIM:263520	OMIM:263520
111	0.03442716971039772	OMIM:617063	OMIM:617063
112	0.03443984314799309	OMIM:620067	OMIM:620067
113	0.03446323797106743	OMIM:154400	OMIM:154400
114	0.034464918076992035	OMIM:602782	OMIM:602782
115	0.034465447068214417	ORPHA:99125	ORPHA:99125
116	0.03452182933688164	ORPHA:536467	ORPHA:536467
117	0.03456743434071541	OMIM:617022	OMIM:617022
118	0.034589070826768875	ORPHA:96167	ORPHA:96167
119	0.03459256887435913	ORPHA:2209	ORPHA:2209
120	0.03465794399380684	OMIM:617168	OMIM:617168
121	0.03469991683959961	OMIM:164280	OMIM:164280
122	0.03471583127975464	OMIM:616589	OMIM:616589
123	0.0347905158996582	ORPHA:251071	ORPHA:251071
124	0.03479420393705368	ORPHA:2184	ORPHA:2184
125	0.03480954095721245	OMIM:619534	OMIM:619534
126	0.03481382504105568	OMIM:245600	OMIM:245600
127	0.034834492951631546	ORPHA:567	ORPHA:567
128	0.034941691905260086	ORPHA:79328	ORPHA:79328
129	0.03494184836745262	OMIM:304120	OMIM:304120
130	0.034947000443935394	OMIM:601927	OMIM:601927
131	0.03502293676137924	ORPHA:2001	ORPHA:2001
132	0.035033632069826126	ORPHA:1330	ORPHA:1330
133	0.035042207688093185	ORPHA:576	ORPHA:576
134	0.035049859434366226	OMIM:614976	OMIM:614976
