rank	score	disease_name	disease_identifier
1	0.01686912588775158	OMIM:248500	OMIM:248500
2	0.017220940440893173	ORPHA:800	ORPHA:800
3	0.017502978444099426	OMIM:277590	OMIM:277590
4	0.017843617126345634	OMIM:255800	OMIM:255800
5	0.01795073412358761	ORPHA:309282	ORPHA:309282
6	0.017956525087356567	ORPHA:508533	ORPHA:508533
7	0.01799263246357441	OMIM:617773	OMIM:617773
8	0.01810338720679283	OMIM:230000	OMIM:230000
9	0.018153034150600433	OMIM:253220	OMIM:253220
10	0.01834912598133087	OMIM:300966	OMIM:300966
11	0.018605196848511696	ORPHA:3455	ORPHA:3455
12	0.018847882747650146	OMIM:259050	OMIM:259050
13	0.018886810168623924	ORPHA:481152	ORPHA:481152
14	0.018958017230033875	ORPHA:2636	ORPHA:2636
15	0.018988214433193207	OMIM:614856	OMIM:614856
16	0.019197532907128334	OMIM:616007	OMIM:616007
17	0.01923590525984764	OMIM:618268	OMIM:618268
18	0.019298473373055458	ORPHA:397709	ORPHA:397709
19	0.019302096217870712	ORPHA:79255	ORPHA:79255
20	0.01961522549390793	OMIM:601559	OMIM:601559
21	0.019787142053246498	OMIM:150230	OMIM:150230
22	0.01980641856789589	OMIM:602535	OMIM:602535
23	0.01982465200126171	ORPHA:354	ORPHA:354
24	0.019871700555086136	OMIM:618143	OMIM:618143
25	0.019989460706710815	ORPHA:628	ORPHA:628
26	0.020021656528115273	ORPHA:1970	ORPHA:1970
27	0.020118335261940956	OMIM:619503	OMIM:619503
28	0.020198913291096687	ORPHA:502	ORPHA:502
29	0.020201561972498894	ORPHA:488632	ORPHA:488632
30	0.020202890038490295	OMIM:619950	OMIM:619950
31	0.020263345912098885	ORPHA:581	ORPHA:581
32	0.020290547981858253	OMIM:620083	OMIM:620083
33	0.020307354629039764	ORPHA:314585	ORPHA:314585
34	0.020320171490311623	ORPHA:289522	ORPHA:289522
35	0.020389636978507042	OMIM:280000	OMIM:280000
36	0.020395632833242416	ORPHA:1005	ORPHA:1005
37	0.020441455766558647	OMIM:115150	OMIM:115150
38	0.02050407975912094	OMIM:618076	OMIM:618076
39	0.020529944449663162	ORPHA:521426	ORPHA:521426
40	0.020533662289381027	ORPHA:2710	ORPHA:2710
41	0.020561926066875458	OMIM:619475	OMIM:619475
42	0.020608536899089813	OMIM:606232	OMIM:606232
43	0.0206511951982975	ORPHA:536545	ORPHA:536545
44	0.020653914660215378	OMIM:252500	OMIM:252500
45	0.020752890035510063	OMIM:617988	OMIM:617988
46	0.02077501453459263	OMIM:309583	OMIM:309583
47	0.020778536796569824	OMIM:619194	OMIM:619194
48	0.020787756890058517	ORPHA:648	ORPHA:648
49	0.020908815786242485	OMIM:301041	OMIM:301041
50	0.0209745392203331	ORPHA:505237	ORPHA:505237
51	0.020978234708309174	OMIM:618947	OMIM:618947
52	0.021067015826702118	ORPHA:15	ORPHA:15
53	0.021079910919070244	ORPHA:85293	ORPHA:85293
54	0.021080777049064636	OMIM:614961	OMIM:614961
55	0.021095098927617073	OMIM:618186	OMIM:618186
