rank	score	disease_name	disease_identifier
1	0.030283797532320023	ORPHA:90673	ORPHA:90673
2	0.030982328578829765	ORPHA:90674	ORPHA:90674
3	0.031222648918628693	OMIM:218700	OMIM:218700
4	0.03135034069418907	ORPHA:226316	ORPHA:226316
5	0.03232966363430023	ORPHA:95716	ORPHA:95716
6	0.03307674825191498	ORPHA:99832	ORPHA:99832
7	0.03348272666335106	ORPHA:226307	ORPHA:226307
8	0.03367644175887108	ORPHA:95715	ORPHA:95715
9	0.03689869865775108	OMIM:225250	OMIM:225250
10	0.03821926936507225	OMIM:613038	OMIM:613038
11	0.038291916251182556	ORPHA:95717	ORPHA:95717
12	0.04119350388646126	OMIM:610199	OMIM:610199
13	0.0416271798312664	ORPHA:226313	ORPHA:226313
14	0.04170256108045578	OMIM:188400	OMIM:188400
15	0.042067427188158035	OMIM:609152	OMIM:609152
16	0.04233570024371147	OMIM:619326	OMIM:619326
17	0.04284932091832161	ORPHA:293987	ORPHA:293987
18	0.04292182996869087	OMIM:275100	OMIM:275100
19	0.04316379129886627	ORPHA:525731	ORPHA:525731
20	0.043534405529499054	OMIM:619991	OMIM:619991
21	0.043729815632104874	ORPHA:300373	ORPHA:300373
22	0.043740034103393555	OMIM:608104	OMIM:608104
23	0.04395109787583351	ORPHA:209905	ORPHA:209905
24	0.044179558753967285	ORPHA:79237	ORPHA:79237
25	0.044379398226737976	ORPHA:79318	ORPHA:79318
26	0.04444534704089165	ORPHA:220386	ORPHA:220386
26	0.04444534704089165	ORPHA:93925	ORPHA:93925
26	0.04444534704089165	ORPHA:93926	ORPHA:93926
26	0.04444534704089165	ORPHA:93924	ORPHA:93924
30	0.044722363352775574	OMIM:618183	OMIM:618183
31	0.044797632843256	ORPHA:739	ORPHA:739
32	0.04499923437833786	OMIM:274300	OMIM:274300
33	0.04507884010672569	ORPHA:3047	ORPHA:3047
34	0.0451274998486042	OMIM:620005	OMIM:620005
35	0.0451301708817482	OMIM:301033	OMIM:301033
36	0.04524306580424309	OMIM:275000	OMIM:275000
37	0.04537639021873474	ORPHA:64	ORPHA:64
38	0.04552696272730827	OMIM:613986	OMIM:613986
39	0.045614149421453476	ORPHA:79329	ORPHA:79329
