rank	score	disease_name	disease_identifier
1	0.028441496193408966	OMIM:603553	OMIM:603553
2	0.028517158702015877	OMIM:251880	OMIM:251880
3	0.029110144823789597	OMIM:613839	OMIM:613839
4	0.02927548438310623	OMIM:615846	OMIM:615846
5	0.029558802023530006	OMIM:300972	OMIM:300972
6	0.02959178201854229	OMIM:557000	OMIM:557000
7	0.029697515070438385	ORPHA:85212	ORPHA:85212
8	0.030071670189499855	OMIM:608104	OMIM:608104
9	0.030216282233595848	ORPHA:263501	ORPHA:263501
10	0.03025207668542862	ORPHA:1667	ORPHA:1667
11	0.03041207231581211	OMIM:222700	OMIM:222700
12	0.030973782762885094	OMIM:606054	OMIM:606054
13	0.03097461722791195	ORPHA:699	ORPHA:699
14	0.0312773622572422	OMIM:614576	OMIM:614576
15	0.03189736604690552	ORPHA:381	ORPHA:381
16	0.031920574605464935	OMIM:618278	OMIM:618278
17	0.031950194388628006	OMIM:277380	OMIM:277380
18	0.03212907165288925	OMIM:617941	OMIM:617941
19	0.03220183774828911	OMIM:251000	OMIM:251000
20	0.03227494657039642	OMIM:613658	OMIM:613658
21	0.03248269855976105	OMIM:612301	OMIM:612301
22	0.03255705535411835	OMIM:212065	OMIM:212065
23	0.032637421041727066	OMIM:610377	OMIM:610377
24	0.03268452361226082	OMIM:611126	OMIM:611126
25	0.032691143453121185	OMIM:201100	OMIM:201100
26	0.03280869126319885	ORPHA:35858	ORPHA:35858
27	0.03290080651640892	OMIM:259720	OMIM:259720
28	0.033037763088941574	OMIM:212750	OMIM:212750
29	0.033123888075351715	OMIM:603552	OMIM:603552
30	0.0331280343234539	OMIM:277900	OMIM:277900
31	0.03320472314953804	OMIM:267700	OMIM:267700
32	0.03325408697128296	OMIM:275350	OMIM:275350
33	0.03330518677830696	OMIM:619013	OMIM:619013
34	0.03332861512899399	OMIM:208085	OMIM:208085
35	0.033425699919462204	OMIM:619573	OMIM:619573
36	0.033466946333646774	OMIM:619991	OMIM:619991
37	0.03356374055147171	ORPHA:20	ORPHA:20
38	0.03356797620654106	OMIM:619487	OMIM:619487
39	0.0336422473192215	ORPHA:811	ORPHA:811
40	0.033648986369371414	OMIM:618329	OMIM:618329
41	0.033812567591667175	OMIM:614922	OMIM:614922
42	0.03381792828440666	ORPHA:79325	ORPHA:79325
43	0.03388918191194534	ORPHA:1830	ORPHA:1830
44	0.03390858694911003	OMIM:617093	OMIM:617093
45	0.03394009917974472	ORPHA:79333	ORPHA:79333
46	0.03397758677601814	OMIM:616050	OMIM:616050
47	0.03404826298356056	OMIM:615285	OMIM:615285
48	0.0340527780354023	ORPHA:167	ORPHA:167
49	0.03408150374889374	OMIM:610768	OMIM:610768
50	0.03429314121603966	ORPHA:275761	ORPHA:275761
51	0.03430212661623955	OMIM:608013	OMIM:608013
52	0.034350067377090454	OMIM:615512	OMIM:615512
53	0.03441696614027023	OMIM:602579	OMIM:602579
54	0.03444747254252434	OMIM:615010	OMIM:615010
55	0.03453416749835014	OMIM:256810	OMIM:256810
56	0.034552089869976044	OMIM:616828	OMIM:616828
57	0.034637030214071274	OMIM:214500	OMIM:214500
58	0.03470403701066971	OMIM:613489	OMIM:613489
59	0.0348166786134243	OMIM:613990	OMIM:613990
60	0.03482721000909805	ORPHA:90051	ORPHA:90051
61	0.03486749902367592	ORPHA:231214	ORPHA:231214
62	0.034956201910972595	ORPHA:3322	ORPHA:3322
63	0.03500310704112053	ORPHA:231226	ORPHA:231226
