rank	score	disease_name	disease_identifier
1	0.024081528186798096	ORPHA:73272	ORPHA:73272
2	0.02479035221040249	OMIM:615663	OMIM:615663
3	0.024819977581501007	OMIM:618885	OMIM:618885
4	0.02524661272764206	OMIM:616817	OMIM:616817
5	0.025411227717995644	OMIM:614104	OMIM:614104
6	0.02590172551572323	OMIM:616541	OMIM:616541
7	0.0259179025888443	OMIM:616364	OMIM:616364
8	0.026170125231146812	OMIM:618522	OMIM:618522
9	0.02625911682844162	OMIM:619056	OMIM:619056
10	0.026299167424440384	OMIM:300953	OMIM:300953
11	0.026396125555038452	OMIM:607906	OMIM:607906
12	0.026431972160935402	ORPHA:1466	ORPHA:1466
13	0.02669239602982998	ORPHA:370079	ORPHA:370079
14	0.026716869324445724	OMIM:619075	OMIM:619075
15	0.026774007827043533	OMIM:610756	OMIM:610756
16	0.026853421702980995	OMIM:620194	OMIM:620194
17	0.02712791971862316	OMIM:300534	OMIM:300534
18	0.027207860723137856	OMIM:604804	OMIM:604804
19	0.02723475731909275	OMIM:300749	OMIM:300749
20	0.027319706976413727	OMIM:300661	OMIM:300661
21	0.027367811650037766	OMIM:618005	OMIM:618005
22	0.027477771043777466	OMIM:251300	OMIM:251300
23	0.027563348412513733	ORPHA:66631	ORPHA:66631
24	0.027685923501849174	OMIM:616355	OMIM:616355
25	0.027803726494312286	ORPHA:363528	ORPHA:363528
26	0.027825377881526947	ORPHA:1495	ORPHA:1495
27	0.027857409790158272	OMIM:223370	OMIM:223370
28	0.027953866869211197	OMIM:609757	OMIM:609757
29	0.02800453081727028	OMIM:612337	OMIM:612337
30	0.028046216815710068	OMIM:214150	OMIM:214150
31	0.028182117268443108	OMIM:615802	OMIM:615802
32	0.028247881680727005	OMIM:614261	OMIM:614261
33	0.028271112591028214	OMIM:615286	OMIM:615286
34	0.028311463072896004	OMIM:617050	OMIM:617050
35	0.02835499495267868	ORPHA:166035	ORPHA:166035
36	0.028370261192321777	ORPHA:177907	ORPHA:177907
37	0.028388898819684982	OMIM:612015	OMIM:612015
38	0.028433943167328835	ORPHA:468678	ORPHA:468678
39	0.028443848714232445	OMIM:617796	OMIM:617796
40	0.028482643887400627	OMIM:617930	OMIM:617930
41	0.028522556647658348	ORPHA:2850	ORPHA:2850
42	0.028603125363588333	OMIM:133540	OMIM:133540
43	0.02866254560649395	ORPHA:1493	ORPHA:1493
44	0.028715716674923897	ORPHA:438134	ORPHA:438134
45	0.028717374429106712	OMIM:608027	OMIM:608027
46	0.02873484045267105	OMIM:619575	OMIM:619575
47	0.02873940020799637	OMIM:613457	OMIM:613457
48	0.02876370958983898	OMIM:618346	OMIM:618346
49	0.02876858040690422	OMIM:617729	OMIM:617729
50	0.028771067038178444	OMIM:176270	OMIM:176270
51	0.0287741981446743	OMIM:618379	OMIM:618379
52	0.02879873476922512	OMIM:216400	OMIM:216400
53	0.028832755982875824	OMIM:608747	OMIM:608747
54	0.028834955766797066	ORPHA:2479	ORPHA:2479
55	0.02883555367588997	OMIM:609528	OMIM:609528
56	0.02894282341003418	OMIM:600118	OMIM:600118
57	0.02895827405154705	OMIM:614207	OMIM:614207
58	0.029039757326245308	ORPHA:90321	ORPHA:90321
59	0.029091008007526398	ORPHA:464288	ORPHA:464288
60	0.029110079631209373	OMIM:617798	OMIM:617798
61	0.029120272025465965	OMIM:615966	OMIM:615966
62	0.02912348322570324	OMIM:618862	OMIM:618862
63	0.02912372164428234	OMIM:618798	OMIM:618798
64	0.02912641316652298	OMIM:618089	OMIM:618089
65	0.02914578840136528	ORPHA:85279	ORPHA:85279
66	0.029224451631307602	ORPHA:500055	ORPHA:500055
67	0.029262183234095573	OMIM:614225	OMIM:614225
68	0.029273701831698418	OMIM:103050	OMIM:103050
69	0.02933529019355774	ORPHA:585	ORPHA:585
70	0.029359079897403717	OMIM:617306	OMIM:617306
71	0.02937968634068966	OMIM:616395	OMIM:616395
72	0.029393387958407402	OMIM:608779	OMIM:608779
73	0.029404405504465103	OMIM:616078	OMIM:616078
74	0.029428377747535706	OMIM:601853	OMIM:601853
75	0.029509825631976128	OMIM:618891	OMIM:618891
76	0.029564758762717247	OMIM:613606	OMIM:613606
77	0.029573172330856323	OMIM:617730	OMIM:617730
78	0.02959873341023922	OMIM:300998	OMIM:300998
79	0.02961198426783085	OMIM:241410	OMIM:241410
80	0.0296217929571867	OMIM:216550	OMIM:216550
81	0.029627112671732903	OMIM:266265	OMIM:266265
82	0.029627501964569092	OMIM:611091	OMIM:611091
83	0.029632242396473885	ORPHA:1227	ORPHA:1227
