rank	score	disease_name	disease_identifier
1	0.02048824355006218	OMIM:265800	OMIM:265800
2	0.02571003884077072	OMIM:119600	OMIM:119600
3	0.026027077808976173	ORPHA:763	ORPHA:763
4	0.029058175161480904	ORPHA:1452	ORPHA:1452
5	0.029629474505782127	ORPHA:85199	ORPHA:85199
6	0.0296559389680624	ORPHA:2645	ORPHA:2645
7	0.031050311401486397	ORPHA:2484	ORPHA:2484
8	0.03161093592643738	ORPHA:90652	ORPHA:90652
9	0.03189435601234436	ORPHA:97360	ORPHA:97360
10	0.03207315504550934	OMIM:613849	OMIM:613849
11	0.032352518290281296	OMIM:600002	OMIM:600002
12	0.03247975558042526	OMIM:620099	OMIM:620099
13	0.032728299498558044	ORPHA:1798	ORPHA:1798
14	0.032976072281599045	OMIM:619184	OMIM:619184
15	0.03299321234226227	OMIM:617952	OMIM:617952
16	0.03316466510295868	OMIM:618363	OMIM:618363
17	0.03355790302157402	ORPHA:2050	ORPHA:2050
18	0.03356295824050903	ORPHA:1512	ORPHA:1512
19	0.03363940492272377	ORPHA:2658	ORPHA:2658
20	0.033706601709127426	OMIM:224300	OMIM:224300
21	0.033815979957580566	OMIM:305620	OMIM:305620
22	0.03383571654558182	ORPHA:2097	ORPHA:2097
23	0.033941324800252914	OMIM:610682	OMIM:610682
24	0.03398432210087776	ORPHA:955	ORPHA:955
25	0.03417279198765755	ORPHA:2769	ORPHA:2769
26	0.03419709950685501	ORPHA:2780	ORPHA:2780
27	0.034317634999752045	OMIM:300373	OMIM:300373
28	0.03436218574643135	OMIM:304120	OMIM:304120
29	0.03461020812392235	OMIM:259775	OMIM:259775
30	0.034673143178224564	OMIM:114290	OMIM:114290
31	0.034731242805719376	ORPHA:1458	ORPHA:1458
32	0.03475465625524521	ORPHA:313855	ORPHA:313855
33	0.034948449581861496	OMIM:150250	OMIM:150250
34	0.03495744615793228	ORPHA:90650	ORPHA:90650
35	0.03497402369976044	ORPHA:502	ORPHA:502
36	0.03504924103617668	OMIM:617925	OMIM:617925
37	0.03515191376209259	OMIM:601390	OMIM:601390
38	0.03525909036397934	OMIM:112240	OMIM:112240
39	0.0354413203895092	ORPHA:166272	ORPHA:166272
40	0.035484589636325836	OMIM:249420	OMIM:249420
41	0.035586170852184296	ORPHA:861	ORPHA:861
42	0.0356118343770504	ORPHA:93346	ORPHA:93346
43	0.035622935742139816	ORPHA:2409	ORPHA:2409
44	0.0356462337076664	OMIM:268310	OMIM:268310
45	0.035666923969984055	OMIM:102500	OMIM:102500
46	0.03566914051771164	OMIM:218600	OMIM:218600
47	0.03570721670985222	ORPHA:50814	ORPHA:50814
48	0.035741619765758514	ORPHA:536467	ORPHA:536467
49	0.03580770269036293	OMIM:101200	OMIM:101200
50	0.035812098532915115	OMIM:309350	OMIM:309350
51	0.03582034632563591	OMIM:600373	OMIM:600373
52	0.03583165258169174	ORPHA:83451	ORPHA:83451
53	0.03583364188671112	OMIM:265900	OMIM:265900
54	0.035909391939640045	ORPHA:1299	ORPHA:1299
55	0.03595931828022003	OMIM:615546	OMIM:615546
56	0.0359748899936676	OMIM:272460	OMIM:272460
