rank	score	disease_name	disease_identifier
1	0.19627434015274048	OMIM:302600	OMIM:302600
2	0.19694983959197998	ORPHA:1429	ORPHA:1429
3	0.19941723346710205	ORPHA:458798	ORPHA:458798
4	0.20027941465377808	OMIM:602197	OMIM:602197
5	0.2005506157875061	ORPHA:1179	ORPHA:1179
6	0.20158034563064575	ORPHA:211017	ORPHA:211017
7	0.20218247175216675	ORPHA:94122	ORPHA:94122
8	0.20266270637512207	ORPHA:279882	ORPHA:279882
9	0.20277434587478638	OMIM:209100	OMIM:209100
10	0.20295977592468262	ORPHA:3350	ORPHA:3350
