rank	score	disease_name	disease_identifier
1	0.007460877764970064	ORPHA:500150	ORPHA:500150
2	0.007549923378974199	OMIM:616900	OMIM:616900
3	0.007983723655343056	ORPHA:488632	ORPHA:488632
4	0.00843011774122715	OMIM:300896	OMIM:300896
5	0.008625958114862442	OMIM:619286	OMIM:619286
6	0.009011623449623585	OMIM:615803	OMIM:615803
7	0.009172873571515083	ORPHA:468678	ORPHA:468678
8	0.00923795998096466	OMIM:617268	OMIM:617268
9	0.009319680742919445	ORPHA:2836	ORPHA:2836
10	0.009375912137329578	OMIM:618797	OMIM:618797
11	0.009431285783648491	ORPHA:363958	ORPHA:363958
11	0.009431285783648491	ORPHA:363965	ORPHA:363965
13	0.00955301895737648	OMIM:618437	OMIM:618437
14	0.00956430658698082	ORPHA:912	ORPHA:912
15	0.009657863527536392	OMIM:619383	OMIM:619383
16	0.009789347648620605	OMIM:616364	OMIM:616364
17	0.009817497804760933	ORPHA:481152	ORPHA:481152
18	0.009839391335844994	OMIM:617140	OMIM:617140
19	0.009857422672212124	ORPHA:369837	ORPHA:369837
20	0.009861217811703682	OMIM:619475	OMIM:619475
21	0.00990343652665615	OMIM:620070	OMIM:620070
22	0.00996096059679985	OMIM:214100	OMIM:214100
23	0.010017894208431244	OMIM:619503	OMIM:619503
24	0.010057575069367886	ORPHA:352665	ORPHA:352665
24	0.010057575069367886	ORPHA:453504	ORPHA:453504
26	0.010069156996905804	OMIM:301066	OMIM:301066
27	0.010080555453896523	OMIM:615398	OMIM:615398
28	0.010083484463393688	OMIM:613457	OMIM:613457
29	0.01014911662787199	ORPHA:466943	ORPHA:466943
30	0.010180397890508175	OMIM:619833	OMIM:619833
31	0.010291939601302147	OMIM:616420	OMIM:616420
32	0.010302791371941566	ORPHA:513456	ORPHA:513456
33	0.010346961207687855	OMIM:606232	OMIM:606232
34	0.010354820638895035	ORPHA:363528	ORPHA:363528
35	0.01038038544356823	OMIM:618004	OMIM:618004
36	0.010384021326899529	ORPHA:48652	ORPHA:48652
37	0.010390883311629295	ORPHA:2152	ORPHA:2152
38	0.010416978970170021	OMIM:115150	OMIM:115150
39	0.010447314009070396	ORPHA:819	ORPHA:819
40	0.01044897548854351	ORPHA:457485	ORPHA:457485
41	0.0104612922295928	OMIM:261515	OMIM:261515
42	0.010482396930456161	ORPHA:268261	ORPHA:268261
43	0.010537311434745789	OMIM:616260	OMIM:616260
44	0.01055167242884636	ORPHA:3455	ORPHA:3455
45	0.010566928423941135	OMIM:607872	OMIM:607872
46	0.010602458380162716	ORPHA:309282	ORPHA:309282
47	0.010620379820466042	ORPHA:46059	ORPHA:46059
48	0.01062508299946785	ORPHA:506358	ORPHA:506358
49	0.010634717531502247	OMIM:616801	OMIM:616801
50	0.01064617931842804	OMIM:620155	OMIM:620155
51	0.010663282126188278	ORPHA:97297	ORPHA:97297
52	0.010665933601558208	OMIM:617527	OMIM:617527
53	0.010669630952179432	OMIM:251300	OMIM:251300
54	0.010670140385627747	ORPHA:585	ORPHA:585
55	0.01067702379077673	OMIM:618143	OMIM:618143
56	0.010677166283130646	ORPHA:357058	ORPHA:357058
57	0.010713580064475536	ORPHA:96121	ORPHA:96121
58	0.010778783820569515	ORPHA:404448	ORPHA:404448
59	0.010784739628434181	OMIM:618744	OMIM:618744
60	0.010789291933178902	ORPHA:466950	ORPHA:466950
61	0.010792494751513004	OMIM:617157	OMIM:617157
62	0.010793933644890785	ORPHA:1675	ORPHA:1675
63	0.010840235278010368	OMIM:300749	OMIM:300749
64	0.010876286774873734	OMIM:300966	OMIM:300966
65	0.01091654784977436	OMIM:259050	OMIM:259050
66	0.010919473133981228	OMIM:616920	OMIM:616920
67	0.01100025326013565	ORPHA:464288	ORPHA:464288
68	0.01100190356373787	OMIM:618590	OMIM:618590
69	0.011016794480383396	ORPHA:2162	ORPHA:2162
70	0.011033810675144196	OMIM:618606	OMIM:618606
71	0.011057134717702866	OMIM:619005	OMIM:619005
72	0.011072863824665546	OMIM:616737	OMIM:616737
73	0.01107878889888525	ORPHA:329178	ORPHA:329178
74	0.011138685047626495	ORPHA:79322	ORPHA:79322
75	0.01115231029689312	ORPHA:276432	ORPHA:276432
76	0.011161930859088898	OMIM:214150	OMIM:214150
77	0.011163505725562572	OMIM:619950	OMIM:619950
78	0.011206327006220818	OMIM:617729	OMIM:617729
79	0.011206475086510181	OMIM:618547	OMIM:618547
80	0.011227540671825409	ORPHA:487796	ORPHA:487796
81	0.011273023672401905	OMIM:618268	OMIM:618268
82	0.011302873492240906	OMIM:618494	OMIM:618494
83	0.011326838284730911	ORPHA:96148	ORPHA:96148
84	0.01133846864104271	OMIM:617190	OMIM:617190
85	0.011368295177817345	OMIM:615873	OMIM:615873
86	0.011395868845283985	ORPHA:369950	ORPHA:369950
87	0.01141276303678751	OMIM:300868	OMIM:300868
88	0.011413739062845707	ORPHA:1606	ORPHA:1606
89	0.011419813148677349	ORPHA:544488	ORPHA:544488
90	0.011471985839307308	ORPHA:261552	ORPHA:261552
91	0.011480559594929218	ORPHA:93400	ORPHA:93400
92	0.011482268571853638	OMIM:619512	OMIM:619512
93	0.011510014533996582	ORPHA:96147	ORPHA:96147
94	0.011527495458722115	ORPHA:357074	ORPHA:357074
95	0.01154500711709261	ORPHA:261349	ORPHA:261349
