rank	score	disease_name	disease_identifier
1	0.009653347544372082	OMIM:616900	OMIM:616900
2	0.011384494602680206	ORPHA:228384	ORPHA:228384
3	0.012754419818520546	OMIM:615803	OMIM:615803
4	0.01285095140337944	ORPHA:500150	ORPHA:500150
5	0.012972933240234852	ORPHA:468678	ORPHA:468678
6	0.013022719882428646	OMIM:616920	OMIM:616920
7	0.013338232412934303	ORPHA:89844	ORPHA:89844
8	0.013420559465885162	ORPHA:44	ORPHA:44
9	0.013699869625270367	ORPHA:163961	ORPHA:163961
10	0.01390071865171194	ORPHA:488632	ORPHA:488632
11	0.01393361110240221	OMIM:618437	OMIM:618437
12	0.014129191637039185	OMIM:617268	OMIM:617268
13	0.014243116602301598	ORPHA:2836	ORPHA:2836
14	0.014326155185699463	OMIM:616420	OMIM:616420
15	0.014431959949433804	ORPHA:466950	ORPHA:466950
16	0.014479059725999832	OMIM:300749	OMIM:300749
17	0.014567690901458263	OMIM:620155	OMIM:620155
18	0.01464405469596386	ORPHA:500159	ORPHA:500159
19	0.014699076302349567	ORPHA:284169	ORPHA:284169
20	0.0147237628698349	ORPHA:819	ORPHA:819
21	0.014776762574911118	ORPHA:2318	ORPHA:2318
22	0.014785395003855228	OMIM:618744	OMIM:618744
23	0.014869112521409988	OMIM:619286	OMIM:619286
24	0.014896487817168236	ORPHA:2162	ORPHA:2162
25	0.014951367862522602	OMIM:619005	OMIM:619005
26	0.014966580085456371	ORPHA:466943	ORPHA:466943
27	0.015184588730335236	ORPHA:1675	ORPHA:1675
28	0.015195829793810844	OMIM:616364	OMIM:616364
29	0.015197617933154106	ORPHA:513456	ORPHA:513456
30	0.015231098048388958	ORPHA:495875	ORPHA:495875
31	0.015273706056177616	OMIM:617140	OMIM:617140
32	0.015347973443567753	ORPHA:494344	ORPHA:494344
33	0.015358999371528625	ORPHA:268261	ORPHA:268261
34	0.015474257990717888	OMIM:618004	OMIM:618004
35	0.015548625029623508	ORPHA:261250	ORPHA:261250
36	0.015571321360766888	OMIM:619306	OMIM:619306
37	0.015581373125314713	ORPHA:585	ORPHA:585
38	0.015589156188070774	ORPHA:481152	ORPHA:481152
39	0.015616321936249733	OMIM:619512	OMIM:619512
40	0.015640759840607643	ORPHA:464288	ORPHA:464288
41	0.015721037983894348	ORPHA:2152	ORPHA:2152
42	0.01574213057756424	OMIM:300896	OMIM:300896
43	0.015752125531435013	ORPHA:404473	ORPHA:404473
44	0.015761734917759895	ORPHA:261552	ORPHA:261552
45	0.015801170840859413	OMIM:618454	OMIM:618454
46	0.015816133469343185	ORPHA:912	ORPHA:912
47	0.015826109796762466	ORPHA:97297	ORPHA:97297
48	0.015842998400330544	OMIM:613443	OMIM:613443
49	0.015851875767111778	OMIM:618590	OMIM:618590
50	0.015933295711874962	ORPHA:2518	ORPHA:2518
51	0.015946323052048683	OMIM:616801	OMIM:616801
52	0.015984345227479935	ORPHA:171929	ORPHA:171929
53	0.016070259734988213	OMIM:300966	OMIM:300966
54	0.016095031052827835	OMIM:601853	OMIM:601853
55	0.01609734445810318	ORPHA:1606	ORPHA:1606
56	0.016101114451885223	ORPHA:468631	ORPHA:468631
57	0.01611516997218132	ORPHA:2510	ORPHA:2510
58	0.016136664897203445	ORPHA:487796	ORPHA:487796
59	0.016139540821313858	OMIM:608027	OMIM:608027
60	0.01614072173833847	ORPHA:238750	ORPHA:238750
61	0.01618080399930477	ORPHA:404448	ORPHA:404448
62	0.016213636845350266	ORPHA:79326	ORPHA:79326
63	0.016225920990109444	ORPHA:475	ORPHA:475
64	0.016232723370194435	ORPHA:363528	ORPHA:363528
65	0.01631401851773262	OMIM:618606	OMIM:618606
66	0.016401099041104317	OMIM:615574	OMIM:615574
67	0.016402337700128555	ORPHA:261537	ORPHA:261537
68	0.016435595229268074	OMIM:617527	OMIM:617527
69	0.016443239524960518	ORPHA:220497	ORPHA:220497
70	0.01644418202340603	OMIM:619383	OMIM:619383
71	0.016467329114675522	ORPHA:457279	ORPHA:457279
72	0.016467997804284096	OMIM:607872	OMIM:607872
73	0.016502991318702698	OMIM:613603	OMIM:613603
74	0.01650933176279068	OMIM:606232	OMIM:606232
75	0.016548534855246544	ORPHA:96121	ORPHA:96121
76	0.01655486971139908	OMIM:616430	OMIM:616430
77	0.01655850000679493	OMIM:615419	OMIM:615419
78	0.016579728573560715	ORPHA:495818	ORPHA:495818
79	0.016593346372246742	OMIM:619833	OMIM:619833
80	0.016629215329885483	ORPHA:457351	ORPHA:457351
81	0.016650114208459854	ORPHA:352665	ORPHA:352665
81	0.016650114208459854	ORPHA:453504	ORPHA:453504
83	0.01667940989136696	ORPHA:457284	ORPHA:457284
84	0.016709554940462112	ORPHA:1532	ORPHA:1532
85	0.01672574132680893	ORPHA:220493	ORPHA:220493
86	0.016729583963751793	ORPHA:96148	ORPHA:96148
87	0.01674259826540947	ORPHA:300570	ORPHA:300570
88	0.016776835545897484	OMIM:620001	OMIM:620001
89	0.016779275611042976	OMIM:618659	OMIM:618659
90	0.016792388632893562	OMIM:617751	OMIM:617751
91	0.016851505264639854	ORPHA:363958	ORPHA:363958
91	0.016851505264639854	ORPHA:363965	ORPHA:363965
93	0.016923075541853905	OMIM:618494	OMIM:618494
94	0.01696820743381977	OMIM:608091	OMIM:608091
95	0.016970675438642502	ORPHA:66631	ORPHA:66631
96	0.01697438955307007	ORPHA:506358	ORPHA:506358
97	0.017011044546961784	OMIM:613457	OMIM:613457
98	0.017029138281941414	OMIM:618797	OMIM:618797
99	0.017033930867910385	OMIM:618547	OMIM:618547
100	0.017037803307175636	ORPHA:261349	ORPHA:261349
101	0.017041770741343498	ORPHA:1454	ORPHA:1454
102	0.017052194103598595	OMIM:619475	OMIM:619475
103	0.017061743885278702	OMIM:616362	OMIM:616362
104	0.017074117437005043	ORPHA:420179	ORPHA:420179
105	0.01708894968032837	OMIM:619179	OMIM:619179
106	0.017129354178905487	OMIM:619304	OMIM:619304
107	0.017143279314041138	ORPHA:457485	ORPHA:457485
108	0.017173949629068375	OMIM:612513	OMIM:612513
109	0.017213908955454826	ORPHA:480898	ORPHA:480898
110	0.01722550019621849	OMIM:272200	OMIM:272200
111	0.017233606427907944	OMIM:213300	OMIM:213300
112	0.01726503111422062	OMIM:214100	OMIM:214100
113	0.017272640019655228	ORPHA:369837	ORPHA:369837
114	0.01729896292090416	ORPHA:85278	ORPHA:85278
115	0.017305461689829826	OMIM:615809	OMIM:615809
116	0.017316538840532303	OMIM:614969	OMIM:614969
