rank	score	disease_name	disease_identifier
1	0.009303078055381775	OMIM:616900	OMIM:616900
2	0.010139343328773975	ORPHA:500150	ORPHA:500150
3	0.010444792918860912	OMIM:616920	OMIM:616920
4	0.010850436985492706	OMIM:615803	OMIM:615803
5	0.01153732743114233	OMIM:616420	OMIM:616420
6	0.011703683994710445	OMIM:619383	OMIM:619383
7	0.011727088131010532	ORPHA:468631	ORPHA:468631
8	0.011852981522679329	ORPHA:2162	ORPHA:2162
9	0.01188651006668806	OMIM:616728	OMIM:616728
10	0.011905734427273273	OMIM:300749	OMIM:300749
11	0.011922281235456467	OMIM:617140	OMIM:617140
12	0.011990653350949287	OMIM:616801	OMIM:616801
13	0.011993211694061756	OMIM:619512	OMIM:619512
14	0.012064160779118538	ORPHA:228384	ORPHA:228384
15	0.012107688933610916	ORPHA:495875	ORPHA:495875
16	0.012140156701207161	ORPHA:276432	ORPHA:276432
17	0.01225142739713192	OMIM:619304	OMIM:619304
18	0.012258483096957207	ORPHA:89844	ORPHA:89844
19	0.012369506061077118	ORPHA:488632	ORPHA:488632
20	0.012390011921525002	ORPHA:477993	ORPHA:477993
21	0.012425171211361885	ORPHA:495818	ORPHA:495818
22	0.01244676299393177	OMIM:264090	OMIM:264090
23	0.012567374855279922	ORPHA:2510	ORPHA:2510
24	0.01263086125254631	ORPHA:457284	ORPHA:457284
25	0.012690647505223751	OMIM:618766	OMIM:618766
26	0.012709668837487698	OMIM:613457	OMIM:613457
27	0.01275266706943512	OMIM:619775	OMIM:619775
28	0.012783111073076725	OMIM:618454	OMIM:618454
29	0.01290244609117508	OMIM:300966	OMIM:300966
30	0.012960159219801426	ORPHA:481152	ORPHA:481152
31	0.012968680821359158	ORPHA:444072	ORPHA:444072
32	0.012994768097996712	OMIM:601853	OMIM:601853
33	0.012999453581869602	OMIM:619841	OMIM:619841
34	0.013010382652282715	OMIM:620113	OMIM:620113
35	0.013030911795794964	ORPHA:352665	ORPHA:352665
35	0.013030911795794964	ORPHA:453504	ORPHA:453504
37	0.013080406934022903	ORPHA:96121	ORPHA:96121
38	0.013088207691907883	OMIM:230740	OMIM:230740
39	0.013125602155923843	OMIM:601803	OMIM:601803
40	0.013134421780705452	OMIM:214100	OMIM:214100
41	0.013204267248511314	OMIM:619005	OMIM:619005
42	0.01322324201464653	OMIM:607872	OMIM:607872
43	0.013257360085844994	ORPHA:163961	ORPHA:163961
44	0.013259053230285645	ORPHA:261552	ORPHA:261552
45	0.01328210812062025	OMIM:602535	OMIM:602535
46	0.013333550654351711	ORPHA:261349	ORPHA:261349
47	0.013372108340263367	ORPHA:97297	ORPHA:97297
48	0.013395505025982857	OMIM:115150	OMIM:115150
49	0.013462714850902557	ORPHA:35107	ORPHA:35107
50	0.013477823697030544	OMIM:616975	OMIM:616975
51	0.013490358367562294	OMIM:619306	OMIM:619306
52	0.013510234653949738	OMIM:608027	OMIM:608027
53	0.013522583059966564	OMIM:614969	OMIM:614969
54	0.013532012701034546	OMIM:600118	OMIM:600118
55	0.013548790477216244	OMIM:618659	OMIM:618659
56	0.013599283993244171	OMIM:615419	OMIM:615419
57	0.013611093163490295	OMIM:615485	OMIM:615485
58	0.013613423332571983	ORPHA:280633	ORPHA:280633
59	0.013616390526294708	ORPHA:508488	ORPHA:508488
60	0.01363375224173069	OMIM:259050	OMIM:259050
61	0.01363952737301588	ORPHA:397709	ORPHA:397709
62	0.013662675395607948	OMIM:612513	OMIM:612513
63	0.013681270182132721	OMIM:619185	OMIM:619185
64	0.013683351688086987	OMIM:218600	OMIM:218600
65	0.013693366199731827	OMIM:210710	OMIM:210710
66	0.013702076859772205	ORPHA:506358	ORPHA:506358
67	0.013743412680923939	ORPHA:268261	ORPHA:268261
68	0.013743450865149498	ORPHA:79328	ORPHA:79328
69	0.01374815683811903	ORPHA:819	ORPHA:819
70	0.013759470544755459	ORPHA:261537	ORPHA:261537
71	0.013827850110828876	OMIM:616364	OMIM:616364
72	0.013851013965904713	ORPHA:457359	ORPHA:457359
73	0.013861719518899918	OMIM:620155	OMIM:620155
74	0.0138792023062706	OMIM:248500	OMIM:248500
75	0.013893107883632183	ORPHA:247262	ORPHA:247262
76	0.013928558677434921	ORPHA:3455	ORPHA:3455
77	0.013941658660769463	ORPHA:2152	ORPHA:2152
78	0.013966339640319347	ORPHA:171929	ORPHA:171929
79	0.01399004552513361	ORPHA:75857	ORPHA:75857
80	0.013995395042002201	OMIM:610442	OMIM:610442
81	0.013995442539453506	ORPHA:513456	ORPHA:513456
82	0.0140120480209589	ORPHA:487796	ORPHA:487796
83	0.014018646441400051	OMIM:614501	OMIM:614501
84	0.01401909627020359	OMIM:613776	OMIM:613776
85	0.014050144702196121	ORPHA:457279	ORPHA:457279
86	0.014077077619731426	OMIM:613603	OMIM:613603
87	0.014096771366894245	OMIM:616268	OMIM:616268
88	0.014109387993812561	OMIM:617157	OMIM:617157
89	0.014120135456323624	OMIM:605039	OMIM:605039
90	0.014121566899120808	ORPHA:500159	ORPHA:500159
91	0.014133235439658165	OMIM:618797	OMIM:618797
92	0.01413461659103632	OMIM:620224	OMIM:620224
93	0.014139479026198387	OMIM:619648	OMIM:619648
94	0.01415046863257885	ORPHA:1606	ORPHA:1606
95	0.014150856994092464	OMIM:619833	OMIM:619833
96	0.014158472418785095	OMIM:618590	OMIM:618590
97	0.014159497804939747	ORPHA:544488	ORPHA:544488
98	0.014175765216350555	OMIM:613451	OMIM:613451
99	0.014215823262929916	OMIM:619325	OMIM:619325
100	0.01421727892011404	ORPHA:314679	ORPHA:314679
101	0.014256861060857773	ORPHA:1272	ORPHA:1272
102	0.014259187504649162	OMIM:616737	OMIM:616737
103	0.014264375902712345	ORPHA:1449	ORPHA:1449
104	0.014270284213125706	ORPHA:3338	ORPHA:3338
105	0.014272271655499935	ORPHA:238750	ORPHA:238750
106	0.01430731825530529	OMIM:602398	OMIM:602398
107	0.014312060549855232	OMIM:213980	OMIM:213980
108	0.01431489922106266	ORPHA:79500	ORPHA:79500
109	0.014322875998914242	OMIM:618744	OMIM:618744
110	0.014341584406793118	ORPHA:466791	ORPHA:466791
111	0.014392965473234653	ORPHA:96148	ORPHA:96148
112	0.014411169104278088	ORPHA:397715	ORPHA:397715
113	0.014429249800741673	ORPHA:280	ORPHA:280
114	0.014435376971960068	ORPHA:468678	ORPHA:468678
115	0.014441067352890968	ORPHA:404448	ORPHA:404448
116	0.014459279365837574	ORPHA:480880	ORPHA:480880
117	0.014497272670269012	ORPHA:391408	ORPHA:391408
118	0.014509760774672031	ORPHA:96092	ORPHA:96092
119	0.014520700089633465	OMIM:616638	OMIM:616638
120	0.014524181373417377	ORPHA:352530	ORPHA:352530
121	0.014527500607073307	OMIM:619720	OMIM:619720
122	0.014531262218952179	OMIM:213300	OMIM:213300
123	0.01454298198223114	OMIM:261515	OMIM:261515
124	0.014567101374268532	ORPHA:464288	ORPHA:464288
125	0.014588471502065659	ORPHA:912	ORPHA:912
126	0.014590376988053322	OMIM:617260	OMIM:617260
127	0.014591305516660213	OMIM:612289	OMIM:612289
128	0.014605984091758728	ORPHA:1465	ORPHA:1465
129	0.01464617345482111	OMIM:607932	OMIM:607932
130	0.014653035439550877	OMIM:618494	OMIM:618494
131	0.014659177511930466	ORPHA:2896	ORPHA:2896
132	0.014681321568787098	OMIM:615583	OMIM:615583
133	0.014688858762383461	OMIM:618580	OMIM:618580
134	0.014696448110044003	OMIM:617527	OMIM:617527
135	0.014700091443955898	OMIM:619503	OMIM:619503
136	0.014711462892591953	OMIM:619194	OMIM:619194
137	0.014725782908499241	OMIM:300868	OMIM:300868
138	0.01473209261894226	OMIM:180849	OMIM:180849
139	0.014735964126884937	ORPHA:177907	ORPHA:177907
140	0.014756845310330391	ORPHA:480898	ORPHA:480898
141	0.014758273959159851	ORPHA:166035	ORPHA:166035
142	0.014761321246623993	ORPHA:138	ORPHA:138
143	0.014780856668949127	OMIM:620001	OMIM:620001
144	0.01478513889014721	OMIM:266920	OMIM:266920
145	0.014803524129092693	OMIM:618577	OMIM:618577
146	0.014828129671514034	OMIM:249310	OMIM:249310
147	0.014836475253105164	ORPHA:363528	ORPHA:363528
148	0.014847466722130775	OMIM:194190	OMIM:194190
149	0.014879614114761353	ORPHA:371364	ORPHA:371364
150	0.014884681440889835	ORPHA:3063	ORPHA:3063
151	0.014897637069225311	OMIM:613406	OMIM:613406
152	0.014904661104083061	OMIM:617330	OMIM:617330
153	0.014912279322743416	OMIM:608776	OMIM:608776
154	0.014938616193830967	OMIM:618004	OMIM:618004
155	0.014975570142269135	ORPHA:261250	ORPHA:261250
156	0.014977267943322659	ORPHA:46059	ORPHA:46059
157	0.014992868527770042	OMIM:616362	OMIM:616362
158	0.014993731863796711	OMIM:619320	OMIM:619320
159	0.015001683495938778	ORPHA:2108	ORPHA:2108
160	0.015021429397165775	OMIM:614222	OMIM:614222
161	0.015044031664729118	OMIM:616875	OMIM:616875
162	0.015064707025885582	ORPHA:420179	ORPHA:420179
163	0.01508533675223589	ORPHA:1812	ORPHA:1812
164	0.015092979185283184	OMIM:156200	OMIM:156200
165	0.015099775046110153	OMIM:620250	OMIM:620250
166	0.015106777660548687	OMIM:618547	OMIM:618547
167	0.015108251944184303	OMIM:251300	OMIM:251300
168	0.015122007578611374	OMIM:609460	OMIM:609460
169	0.015142377465963364	OMIM:618143	OMIM:618143
170	0.015156176872551441	ORPHA:453499	ORPHA:453499
171	0.01515745185315609	OMIM:147791	OMIM:147791
172	0.015158470720052719	OMIM:300968	OMIM:300968
173	0.015173480845987797	ORPHA:300570	ORPHA:300570
174	0.015178648754954338	OMIM:614219	OMIM:614219
175	0.015181527473032475	OMIM:620156	OMIM:620156
176	0.015188133344054222	OMIM:618437	OMIM:618437
177	0.01519273966550827	ORPHA:192	ORPHA:192
178	0.01520087756216526	ORPHA:2995	ORPHA:2995
179	0.015207442454993725	ORPHA:199	ORPHA:199
180	0.015226805582642555	OMIM:272440	OMIM:272440
181	0.015237136743962765	ORPHA:3380	ORPHA:3380
182	0.015254036523401737	OMIM:300882	OMIM:300882
183	0.0152664203196764	OMIM:619480	OMIM:619480
184	0.015267438255250454	OMIM:618443	OMIM:618443
185	0.015273806639015675	ORPHA:284169	ORPHA:284169
186	0.015277398750185966	ORPHA:466950	ORPHA:466950
187	0.015295209363102913	ORPHA:464306	ORPHA:464306
188	0.015298362821340561	ORPHA:2308	ORPHA:2308
189	0.015305396169424057	OMIM:234100	OMIM:234100
190	0.01534601952880621	ORPHA:50	ORPHA:50
191	0.015347729437053204	OMIM:117550	OMIM:117550
192	0.015378713607788086	ORPHA:1340	ORPHA:1340
193	0.015381989069283009	ORPHA:494344	ORPHA:494344
194	0.015401220880448818	OMIM:235730	OMIM:235730
195	0.015414422377943993	OMIM:239300	OMIM:239300
196	0.015425529330968857	OMIM:601353	OMIM:601353
197	0.015430544503033161	OMIM:617268	OMIM:617268
198	0.01543640810996294	OMIM:618606	OMIM:618606
199	0.015458217822015285	OMIM:610954	OMIM:610954
200	0.015458929352462292	OMIM:300960	OMIM:300960
201	0.015496383421123028	ORPHA:798	ORPHA:798
202	0.01550367847084999	OMIM:617296	OMIM:617296
203	0.015511563047766685	OMIM:619286	OMIM:619286
204	0.015517854131758213	ORPHA:363958	ORPHA:363958
204	0.015517854131758213	ORPHA:363965	ORPHA:363965
206	0.015528645366430283	ORPHA:251028	ORPHA:251028
207	0.015533757396042347	ORPHA:502434	ORPHA:502434
208	0.0155404731631279	OMIM:618268	OMIM:618268
209	0.015543006360530853	OMIM:244450	OMIM:244450
