rank	score	disease_name	disease_identifier
1	0.007430315017700195	OMIM:616900	OMIM:616900
2	0.009021985344588757	ORPHA:488632	ORPHA:488632
3	0.00932735949754715	ORPHA:500150	ORPHA:500150
4	0.010302207432687283	OMIM:617193	OMIM:617193
5	0.010489184409379959	ORPHA:481152	ORPHA:481152
6	0.010726820677518845	OMIM:618143	OMIM:618143
7	0.010815669782459736	ORPHA:457351	ORPHA:457351
8	0.010845234617590904	OMIM:617527	OMIM:617527
9	0.011010430753231049	OMIM:615574	OMIM:615574
10	0.011022806167602539	OMIM:300896	OMIM:300896
11	0.011026076041162014	OMIM:615803	OMIM:615803
12	0.011076112277805805	ORPHA:468678	ORPHA:468678
13	0.011587261222302914	OMIM:300749	OMIM:300749
14	0.011615435592830181	OMIM:616801	OMIM:616801
15	0.011620947159826756	ORPHA:85278	ORPHA:85278
16	0.011661588214337826	OMIM:613457	OMIM:613457
17	0.011719845235347748	ORPHA:500533	ORPHA:500533
18	0.01177213340997696	OMIM:616420	OMIM:616420
19	0.011868840083479881	OMIM:617268	OMIM:617268
20	0.01187695749104023	ORPHA:268261	ORPHA:268261
21	0.011903425678610802	OMIM:614969	OMIM:614969
22	0.011912964284420013	ORPHA:357058	ORPHA:357058
23	0.011934724636375904	OMIM:615809	OMIM:615809
24	0.011954979971051216	ORPHA:513456	ORPHA:513456
25	0.011971987783908844	OMIM:261515	OMIM:261515
26	0.012014154344797134	ORPHA:97297	ORPHA:97297
27	0.012048816308379173	OMIM:619475	OMIM:619475
28	0.012064270675182343	OMIM:620070	OMIM:620070
29	0.01210818625986576	OMIM:618004	OMIM:618004
30	0.012131359428167343	ORPHA:300570	ORPHA:300570
31	0.012168391607701778	ORPHA:819	ORPHA:819
32	0.012183872982859612	OMIM:619286	OMIM:619286
33	0.012194116599857807	ORPHA:79322	ORPHA:79322
34	0.012196967378258705	OMIM:608779	OMIM:608779
35	0.012324544601142406	OMIM:214150	OMIM:214150
36	0.012326524592936039	OMIM:616364	OMIM:616364
37	0.012334385886788368	ORPHA:1675	ORPHA:1675
38	0.012346068397164345	OMIM:272200	OMIM:272200
39	0.012347421608865261	OMIM:618367	OMIM:618367
40	0.012388285249471664	ORPHA:228384	ORPHA:228384
41	0.012403396889567375	ORPHA:369837	ORPHA:369837
42	0.012458913959562778	OMIM:616260	OMIM:616260
43	0.012514643371105194	OMIM:617802	OMIM:617802
44	0.012550313957035542	OMIM:608027	OMIM:608027
45	0.012569616548717022	ORPHA:404448	ORPHA:404448
46	0.012581484392285347	OMIM:617140	OMIM:617140
47	0.012583534233272076	OMIM:618744	OMIM:618744
48	0.0125906215980649	OMIM:619005	OMIM:619005
49	0.01263671088963747	ORPHA:280071	ORPHA:280071
50	0.012694096192717552	OMIM:618437	OMIM:618437
51	0.012694782577455044	OMIM:618797	OMIM:618797
52	0.012695912271738052	ORPHA:466943	ORPHA:466943
53	0.012725121341645718	ORPHA:2836	ORPHA:2836
54	0.01274205930531025	ORPHA:329178	ORPHA:329178
55	0.012747462838888168	OMIM:616875	OMIM:616875
56	0.012787056155502796	ORPHA:506358	ORPHA:506358
57	0.012824678793549538	OMIM:260565	OMIM:260565
58	0.012829652056097984	ORPHA:309282	ORPHA:309282
59	0.01283137034624815	OMIM:230000	OMIM:230000
60	0.012831389904022217	ORPHA:352665	ORPHA:352665
60	0.012831389904022217	ORPHA:453504	ORPHA:453504
62	0.012843993492424488	OMIM:615419	OMIM:615419
63	0.012856394983828068	OMIM:251300	OMIM:251300
64	0.012918328866362572	ORPHA:457485	ORPHA:457485
65	0.012943385168910027	OMIM:214100	OMIM:214100
66	0.012947957962751389	ORPHA:468631	ORPHA:468631
67	0.012999092228710651	OMIM:606056	OMIM:606056
68	0.013043511658906937	ORPHA:238750	ORPHA:238750
69	0.013061271980404854	OMIM:300966	OMIM:300966
70	0.01309872604906559	OMIM:259050	OMIM:259050
71	0.01311156153678894	OMIM:606232	OMIM:606232
72	0.013113826513290405	OMIM:607906	OMIM:607906
73	0.013131563551723957	OMIM:616920	OMIM:616920
74	0.013146480545401573	ORPHA:354	ORPHA:354
75	0.013151721097528934	OMIM:300868	OMIM:300868
76	0.013161123730242252	OMIM:248500	OMIM:248500
77	0.013162774965167046	OMIM:617507	OMIM:617507
78	0.013190674595534801	ORPHA:96147	ORPHA:96147
79	0.013273722492158413	ORPHA:3455	ORPHA:3455
80	0.01328642200678587	ORPHA:2152	ORPHA:2152
81	0.013304678723216057	ORPHA:356961	ORPHA:356961
82	0.01331906858831644	ORPHA:364028	ORPHA:364028
83	0.013331849128007889	ORPHA:1606	ORPHA:1606
84	0.013356558978557587	ORPHA:363528	ORPHA:363528
85	0.013357797637581825	ORPHA:572798	ORPHA:572798
86	0.013372336514294147	OMIM:619503	OMIM:619503
87	0.013382147997617722	OMIM:616541	OMIM:616541
88	0.013435564003884792	OMIM:252160	OMIM:252160
