rank	score	disease_name	disease_identifier
1	0.0369817279279232	ORPHA:559	ORPHA:559
2	0.03725423663854599	OMIM:618484	OMIM:618484
3	0.037527699023485184	ORPHA:536516	ORPHA:536516
4	0.037856440991163254	OMIM:616471	OMIM:616471
5	0.03800059109926224	OMIM:613156	OMIM:613156
6	0.03809681162238121	OMIM:616505	OMIM:616505
7	0.038920629769563675	OMIM:608840	OMIM:608840
8	0.039267659187316895	ORPHA:1900	ORPHA:1900
9	0.039385054260492325	ORPHA:300179	ORPHA:300179
10	0.03938634693622589	OMIM:255320	OMIM:255320
11	0.03979016840457916	ORPHA:3206	ORPHA:3206
12	0.039887264370918274	OMIM:616286	OMIM:616286
13	0.039896611124277115	OMIM:608093	OMIM:608093
14	0.03996399790048599	OMIM:254090	OMIM:254090
15	0.04001249000430107	OMIM:619218	OMIM:619218
16	0.04007634520530701	OMIM:301830	OMIM:301830
17	0.040247347205877304	OMIM:130060	OMIM:130060
18	0.04055975005030632	OMIM:608799	OMIM:608799
19	0.04087759926915169	OMIM:617013	OMIM:617013
20	0.04098767787218094	OMIM:618438	OMIM:618438
21	0.041358549147844315	OMIM:620161	OMIM:620161
22	0.041432928293943405	OMIM:256030	OMIM:256030
23	0.04146742448210716	ORPHA:502423	ORPHA:502423
24	0.041521742939949036	OMIM:617258	OMIM:617258
25	0.04152249917387962	OMIM:620351	OMIM:620351
26	0.04172967001795769	ORPHA:75840	ORPHA:75840
27	0.04174346849322319	ORPHA:643	ORPHA:643
28	0.042018864303827286	OMIM:609285	OMIM:609285
29	0.04205690324306488	OMIM:248800	OMIM:248800
30	0.042115114629268646	ORPHA:230839	ORPHA:230839
31	0.04212381690740585	OMIM:616271	OMIM:616271
32	0.04213546961545944	OMIM:619234	OMIM:619234
33	0.04213935136795044	OMIM:617988	OMIM:617988
34	0.04217467084527016	OMIM:609136	OMIM:609136
35	0.042233120650053024	OMIM:611588	OMIM:611588
36	0.04233596846461296	OMIM:618065	OMIM:618065
37	0.0423605851829052	ORPHA:171433	ORPHA:171433
38	0.042554501444101334	ORPHA:597	ORPHA:597
39	0.04266350716352463	OMIM:610687	OMIM:610687
40	0.04268962889909744	ORPHA:1145	ORPHA:1145
41	0.042749226093292236	ORPHA:404454	ORPHA:404454
42	0.042841587215662	ORPHA:369840	ORPHA:369840
43	0.0428738109767437	ORPHA:370968	ORPHA:370968
44	0.04290742054581642	OMIM:617066	OMIM:617066
45	0.04294094443321228	OMIM:619761	OMIM:619761
46	0.04299324378371239	OMIM:271225	OMIM:271225
47	0.04302843287587166	ORPHA:834	ORPHA:834
48	0.04309806972742081	OMIM:615351	OMIM:615351
49	0.0430983267724514	ORPHA:171439	ORPHA:171439
50	0.04313911125063896	OMIM:128100	OMIM:128100
51	0.04315373674035072	OMIM:619461	OMIM:619461
52	0.04321528226137161	OMIM:618323	OMIM:618323
53	0.04321720451116562	OMIM:612300	OMIM:612300
54	0.04321765899658203	OMIM:615356	OMIM:615356
55	0.04326075688004494	OMIM:618186	OMIM:618186
56	0.04327467828989029	OMIM:619090	OMIM:619090
57	0.043311696499586105	OMIM:612199	OMIM:612199
58	0.04332286864519119	ORPHA:33364	ORPHA:33364
59	0.04332924261689186	OMIM:602771	OMIM:602771
60	0.04334929585456848	OMIM:617146	OMIM:617146
61	0.04340526834130287	ORPHA:86309	ORPHA:86309
62	0.04349662363529205	ORPHA:869	ORPHA:869
63	0.04350980743765831	ORPHA:168572	ORPHA:168572
64	0.04355652257800102	OMIM:618733	OMIM:618733
65	0.04364364221692085	OMIM:618578	OMIM:618578
66	0.04377193748950958	OMIM:616228	OMIM:616228
67	0.04377848654985428	OMIM:611890	OMIM:611890
68	0.04380366578698158	OMIM:314580	OMIM:314580
69	0.043810244649648666	OMIM:616756	OMIM:616756
70	0.043836332857608795	ORPHA:1143	ORPHA:1143
71	0.043837688863277435	OMIM:600462	OMIM:600462
72	0.04388514533638954	ORPHA:90153	ORPHA:90153
73	0.04392062500119209	ORPHA:456312	ORPHA:456312
74	0.04394460842013359	OMIM:161800	OMIM:161800
75	0.043966684490442276	ORPHA:98905	ORPHA:98905
76	0.04398130252957344	OMIM:617114	OMIM:617114
77	0.04399682581424713	OMIM:614678	OMIM:614678
78	0.04399770870804787	OMIM:255200	OMIM:255200
79	0.044012703001499176	ORPHA:480	ORPHA:480
80	0.04407171905040741	OMIM:266510	OMIM:266510
81	0.04410484805703163	OMIM:616313	OMIM:616313
82	0.044132936745882034	OMIM:619042	OMIM:619042
83	0.04413455352187157	OMIM:225400	OMIM:225400
84	0.04417518153786659	OMIM:117000	OMIM:117000
85	0.044193513691425323	OMIM:614961	OMIM:614961
86	0.044233549386262894	OMIM:300523	OMIM:300523
87	0.0442390963435173	ORPHA:33445	ORPHA:33445
88	0.044294312596321106	OMIM:617675	OMIM:617675
89	0.04430988430976868	OMIM:181405	OMIM:181405
90	0.0443185530602932	OMIM:618947	OMIM:618947
91	0.04435327276587486	OMIM:608931	OMIM:608931
92	0.044392723590135574	OMIM:615673	OMIM:615673
93	0.04440053552389145	OMIM:251900	OMIM:251900
94	0.0444367490708828	OMIM:214150	OMIM:214150
95	0.04447788745164871	ORPHA:261476	ORPHA:261476
96	0.044531434774398804	OMIM:615368	OMIM:615368
97	0.04456105828285217	OMIM:608540	OMIM:608540
98	0.04457193985581398	ORPHA:598	ORPHA:598
99	0.044629376381635666	ORPHA:171436	ORPHA:171436
100	0.044650375843048096	OMIM:614557	OMIM:614557
101	0.04471955448389053	ORPHA:2614	ORPHA:2614
102	0.04473324865102768	OMIM:258450	OMIM:258450
103	0.04474284127354622	OMIM:601110	OMIM:601110
104	0.044765766710042953	OMIM:275900	OMIM:275900
105	0.04480516165494919	OMIM:609260	OMIM:609260
106	0.044886793941259384	ORPHA:98863	ORPHA:98863
107	0.044888678938150406	OMIM:615512	OMIM:615512
108	0.04489535838365555	ORPHA:488635	ORPHA:488635
109	0.04490438103675842	OMIM:618184	OMIM:618184
110	0.044913217425346375	OMIM:616688	OMIM:616688
111	0.04497275874018669	OMIM:618356	OMIM:618356
112	0.044980406761169434	ORPHA:90354	ORPHA:90354
113	0.045007456094026566	ORPHA:51	ORPHA:51
114	0.04504743218421936	OMIM:617468	OMIM:617468
115	0.045049045234918594	ORPHA:1899	ORPHA:1899
116	0.045071955770254135	OMIM:607459	OMIM:607459
117	0.04512979835271835	OMIM:278800	OMIM:278800
118	0.045148108154535294	OMIM:620080	OMIM:620080
119	0.04515470564365387	OMIM:145900	OMIM:145900
120	0.04516834765672684	OMIM:272800	OMIM:272800
121	0.04520058631896973	ORPHA:536545	ORPHA:536545
122	0.04525761678814888	OMIM:610717	OMIM:610717
123	0.04526625946164131	OMIM:607855	OMIM:607855
124	0.045275453478097916	OMIM:277590	OMIM:277590
125	0.0453304685652256	ORPHA:169189	ORPHA:169189
126	0.04537525773048401	OMIM:618414	OMIM:618414
127	0.0453777089715004	OMIM:614707	OMIM:614707
128	0.04544118419289589	ORPHA:488642	ORPHA:488642
129	0.04544420540332794	OMIM:616287	OMIM:616287
130	0.04546244814991951	OMIM:606612	OMIM:606612
131	0.04547472670674324	OMIM:619574	OMIM:619574
132	0.04549230635166168	OMIM:620249	OMIM:620249
133	0.04549382999539375	OMIM:619328	OMIM:619328
134	0.045494578778743744	OMIM:614877	OMIM:614877
135	0.04552178829908371	ORPHA:544503	ORPHA:544503
136	0.045536164194345474	OMIM:619076	OMIM:619076
137	0.045544255524873734	ORPHA:171430	ORPHA:171430
138	0.04556769132614136	ORPHA:1875	ORPHA:1875
139	0.04557636007666588	OMIM:615490	OMIM:615490
140	0.045637357980012894	OMIM:617301	OMIM:617301
141	0.04566360265016556	OMIM:616680	OMIM:616680
142	0.045673880726099014	ORPHA:261	ORPHA:261
142	0.045673880726099014	ORPHA:98853	ORPHA:98853
144	0.0456828773021698	ORPHA:333	ORPHA:333
145	0.04568412899971008	OMIM:301072	OMIM:301072
146	0.045722708106040955	OMIM:617760	OMIM:617760
147	0.045726507902145386	OMIM:157640	OMIM:157640
148	0.04573191702365875	ORPHA:101000	ORPHA:101000
149	0.04577823728322983	OMIM:616470	OMIM:616470
150	0.04578571394085884	OMIM:618237	OMIM:618237
151	0.04581869766116142	ORPHA:101006	ORPHA:101006
152	0.04582149162888527	OMIM:615290	OMIM:615290
153	0.04583685100078583	ORPHA:157973	ORPHA:157973
154	0.04584570974111557	OMIM:615704	OMIM:615704
155	0.04584807902574539	ORPHA:98808	ORPHA:98808
156	0.04585562273859978	OMIM:600175	OMIM:600175
157	0.045876394957304	ORPHA:773	ORPHA:773
158	0.045892391353845596	OMIM:615349	OMIM:615349
159	0.04590902104973793	OMIM:252650	OMIM:252650
160	0.04597707837820053	OMIM:614871	OMIM:614871
161	0.04599694162607193	ORPHA:1466	ORPHA:1466
162	0.046021346002817154	OMIM:600561	OMIM:600561
163	0.04608332738280296	OMIM:620011	OMIM:620011
164	0.046095192432403564	ORPHA:353327	ORPHA:353327
165	0.0461592972278595	ORPHA:610	ORPHA:610
166	0.04617372155189514	ORPHA:354	ORPHA:354
167	0.04620740935206413	OMIM:607684	OMIM:607684
168	0.04622267931699753	ORPHA:98855	ORPHA:98855
169	0.04622802883386612	ORPHA:800	ORPHA:800
170	0.046237364411354065	OMIM:614969	OMIM:614969
171	0.04624475538730621	OMIM:614867	OMIM:614867
172	0.04628492519259453	OMIM:611929	OMIM:611929
173	0.04629433527588844	ORPHA:225154	ORPHA:225154
174	0.04632114619016647	OMIM:601559	OMIM:601559
175	0.04633965343236923	ORPHA:85285	ORPHA:85285
176	0.04634372889995575	OMIM:619621	OMIM:619621
177	0.04634951427578926	OMIM:214110	OMIM:214110
178	0.04635480046272278	OMIM:616867	OMIM:616867
179	0.046373799443244934	OMIM:606407	OMIM:606407
180	0.046385109424591064	OMIM:616007	OMIM:616007
181	0.04638911038637161	ORPHA:258	ORPHA:258
182	0.046397823840379715	OMIM:310440	OMIM:310440
183	0.046422080729575106	OMIM:620310	OMIM:620310
184	0.046463146805763245	OMIM:158810	OMIM:158810
185	0.04646412655711174	OMIM:616866	OMIM:616866
186	0.04646627604961395	OMIM:617821	OMIM:617821
187	0.04647320881485939	ORPHA:101150	ORPHA:101150
188	0.046474847942590714	ORPHA:468699	ORPHA:468699
189	0.046493105590343475	OMIM:310200	OMIM:310200
190	0.046522106975317	ORPHA:300605	ORPHA:300605
191	0.04654865339398384	OMIM:256710	OMIM:256710
192	0.046558599919080734	ORPHA:845	ORPHA:845
193	0.046575553715229034	OMIM:614399	OMIM:614399
194	0.04663127660751343	ORPHA:59	ORPHA:59
195	0.04664122685790062	OMIM:617183	OMIM:617183
196	0.04664583131670952	OMIM:614898	OMIM:614898
197	0.04668062925338745	OMIM:614924	OMIM:614924
198	0.04668501764535904	ORPHA:319514	ORPHA:319514
199	0.04669434204697609	OMIM:268800	OMIM:268800
200	0.046696025878190994	ORPHA:486815	ORPHA:486815
201	0.04673492908477783	ORPHA:88628	ORPHA:88628
202	0.046742331236600876	OMIM:617807	OMIM:617807
203	0.04674350470304489	OMIM:615959	OMIM:615959
204	0.04674841836094856	OMIM:309000	OMIM:309000
205	0.04680106043815613	ORPHA:163746	ORPHA:163746
206	0.04683997854590416	OMIM:620285	OMIM:620285
207	0.04685086011886597	OMIM:617710	OMIM:617710
208	0.0468754917383194	ORPHA:79279	ORPHA:79279
209	0.04690287634730339	OMIM:617916	OMIM:617916
210	0.04690978676080704	ORPHA:816	ORPHA:816
211	0.046923987567424774	ORPHA:97244	ORPHA:97244
212	0.04692637920379639	OMIM:618276	OMIM:618276
213	0.04693309962749481	ORPHA:521426	ORPHA:521426
214	0.04695194587111473	OMIM:259720	OMIM:259720
215	0.046955425292253494	OMIM:256550	OMIM:256550
216	0.04695717990398407	OMIM:253800	OMIM:253800
217	0.04696405678987503	OMIM:264470	OMIM:264470
218	0.046964190900325775	OMIM:619303	OMIM:619303
219	0.0469876229763031	ORPHA:508533	ORPHA:508533
220	0.046993549913167953	OMIM:603034	OMIM:603034
221	0.04700187221169472	OMIM:618239	OMIM:618239
222	0.0470099039375782	ORPHA:280071	ORPHA:280071
223	0.047017306089401245	OMIM:605637	OMIM:605637
224	0.047027867287397385	OMIM:256000	OMIM:256000
225	0.047070518136024475	OMIM:612540	OMIM:612540
226	0.04708070680499077	OMIM:615686	OMIM:615686
227	0.04708227515220642	ORPHA:98915	ORPHA:98915
228	0.04712627828121185	OMIM:616263	OMIM:616263
229	0.04713381454348564	OMIM:616239	OMIM:616239
230	0.04713659733533859	OMIM:230600	OMIM:230600
231	0.04714738205075264	OMIM:161200	OMIM:161200
232	0.047160111367702484	ORPHA:35125	ORPHA:35125
233	0.04717511683702469	OMIM:615042	OMIM:615042
234	0.047180261462926865	ORPHA:464282	ORPHA:464282
235	0.04718289151787758	OMIM:618238	OMIM:618238
236	0.047192610800266266	ORPHA:445038	ORPHA:445038
237	0.047203123569488525	OMIM:620369	OMIM:620369
238	0.047223564237356186	OMIM:255800	OMIM:255800
239	0.04723095893859863	ORPHA:994	ORPHA:994
240	0.047235745936632156	OMIM:254940	OMIM:254940
241	0.04723619297146797	OMIM:256850	OMIM:256850
242	0.04724212363362312	ORPHA:66634	ORPHA:66634
243	0.047246113419532776	OMIM:601162	OMIM:601162
244	0.047247305512428284	OMIM:616719	OMIM:616719
245	0.04724976047873497	OMIM:219150	OMIM:219150
246	0.047256749123334885	ORPHA:2254	ORPHA:2254
