rank	score	disease_name	disease_identifier
1	0.19925814867019653	ORPHA:1429	ORPHA:1429
2	0.19935929775238037	OMIM:300082	OMIM:300082
2	0.19935929775238037	OMIM:158280	OMIM:158280
4	0.20127856731414795	ORPHA:101004	ORPHA:101004
5	0.20205998420715332	ORPHA:98765	ORPHA:98765
6	0.2054957151412964	ORPHA:238606	ORPHA:238606
7	0.20576882362365723	ORPHA:401780	ORPHA:401780
8	0.20640087127685547	ORPHA:101010	ORPHA:101010
9	0.20819872617721558	ORPHA:71519	ORPHA:71519
10	0.20840203131472923	ORPHA:357043	ORPHA:357043
