rank	score	disease_name	disease_identifier
1	0.09814324229955673	OMIM:135150	OMIM:135150
2	0.11089629679918289	ORPHA:122	ORPHA:122
3	0.11383651196956635	OMIM:130050	OMIM:130050
4	0.11714205145835876	OMIM:620343	OMIM:620343
5	0.11838313192129135	OMIM:191100	OMIM:191100
6	0.12046057730913162	ORPHA:91414	ORPHA:91414
7	0.12093473970890045	OMIM:162200	OMIM:162200
8	0.12170621752738953	OMIM:613254	OMIM:613254
9	0.12283835560083389	ORPHA:252183	ORPHA:252183
10	0.12298520654439926	ORPHA:65285	ORPHA:65285
11	0.12320734560489655	OMIM:176920	OMIM:176920
12	0.1236913874745369	ORPHA:201	ORPHA:201
13	0.1237124502658844	ORPHA:530	ORPHA:530
14	0.124115489423275	ORPHA:538	ORPHA:538
15	0.12459535151720047	ORPHA:3406	ORPHA:3406
16	0.12475436925888062	OMIM:160980	OMIM:160980
17	0.12480917572975159	OMIM:616858	OMIM:616858
18	0.1253429502248764	ORPHA:228119	ORPHA:228119
19	0.1253497451543808	ORPHA:99818	ORPHA:99818
20	0.1261061280965805	OMIM:304050	OMIM:304050
21	0.1261688470840454	ORPHA:79100	ORPHA:79100
22	0.12640143930912018	OMIM:175100	OMIM:175100
23	0.12694133818149567	OMIM:158350	OMIM:158350
24	0.1269550919532776	ORPHA:2874	ORPHA:2874
25	0.12705081701278687	OMIM:109400	OMIM:109400
26	0.12712407112121582	ORPHA:79493	ORPHA:79493
27	0.1272539496421814	ORPHA:79665	ORPHA:79665
28	0.12748688459396362	ORPHA:79145	ORPHA:79145
29	0.12749440968036652	ORPHA:805	ORPHA:805
30	0.127693310379982	ORPHA:247806	ORPHA:247806
31	0.1279091238975525	ORPHA:1359	ORPHA:1359
32	0.12818342447280884	OMIM:301845	OMIM:301845
33	0.12821131944656372	ORPHA:109	ORPHA:109
34	0.12833119928836823	OMIM:615109	OMIM:615109
35	0.12927904725074768	OMIM:616564	OMIM:616564
36	0.12928035855293274	OMIM:182940	OMIM:182940
37	0.12960156798362732	ORPHA:287	ORPHA:287
38	0.12968498468399048	ORPHA:79140	ORPHA:79140
39	0.13011732697486877	ORPHA:79455	ORPHA:79455
40	0.13024847209453583	ORPHA:69745	ORPHA:69745
41	0.13025136291980743	OMIM:612387	OMIM:612387
42	0.13048183917999268	OMIM:605827	OMIM:605827
43	0.13104499876499176	ORPHA:902	ORPHA:902
44	0.13105732202529907	ORPHA:2929	ORPHA:2929
45	0.13128621876239777	ORPHA:363700	ORPHA:363700
