rank	score	disease_name	disease_identifier
1	0.06344817578792572	OMIM:619355	OMIM:619355
2	0.06413888186216354	ORPHA:99901	ORPHA:99901
3	0.06456263363361359	OMIM:300555	OMIM:300555
4	0.06462360918521881	ORPHA:99845	ORPHA:99845
5	0.0648120567202568	ORPHA:309854	ORPHA:309854
6	0.06575179100036621	ORPHA:228305	ORPHA:228305
7	0.06596808135509491	ORPHA:206599	ORPHA:206599
8	0.06626604497432709	OMIM:616828	OMIM:616828
9	0.06668517738580704	ORPHA:157	ORPHA:157
10	0.06677190959453583	ORPHA:3008	ORPHA:3008
11	0.06704852730035782	OMIM:300842	OMIM:300842
12	0.06743187457323074	ORPHA:26791	ORPHA:26791
13	0.06756655871868134	OMIM:611881	OMIM:611881
14	0.06789614260196686	OMIM:255120	OMIM:255120
15	0.068479984998703	OMIM:607091	OMIM:607091
16	0.06862290948629379	ORPHA:2394	ORPHA:2394
17	0.068855881690979	ORPHA:42	ORPHA:42
18	0.06910893321037292	OMIM:616138	OMIM:616138
19	0.06927721947431564	OMIM:619386	OMIM:619386
20	0.06928528100252151	OMIM:124000	OMIM:124000
21	0.06941520422697067	OMIM:277900	OMIM:277900
22	0.06967002153396606	OMIM:615418	OMIM:615418
23	0.06969360262155533	ORPHA:228308	ORPHA:228308
24	0.06990440934896469	OMIM:232800	OMIM:232800
25	0.07029848545789719	OMIM:145600	OMIM:145600
26	0.0705069899559021	OMIM:309000	OMIM:309000
27	0.0705888569355011	OMIM:616878	OMIM:616878
28	0.07071535289287567	ORPHA:71212	ORPHA:71212
29	0.07091141492128372	OMIM:616299	OMIM:616299
30	0.07110941410064697	ORPHA:243343	ORPHA:243343
31	0.07115800678730011	ORPHA:415	ORPHA:415
32	0.07117962092161179	OMIM:251900	OMIM:251900
33	0.0713680312037468	OMIM:614300	OMIM:614300
34	0.07183824479579926	ORPHA:263494	ORPHA:263494
35	0.07183968275785446	ORPHA:470	ORPHA:470
36	0.07189185172319412	ORPHA:79303	ORPHA:79303
37	0.07199151068925858	OMIM:610131	OMIM:610131
38	0.07200107723474503	ORPHA:663	ORPHA:663
39	0.0720323994755745	OMIM:602668	OMIM:602668
40	0.07216562330722809	OMIM:619046	OMIM:619046
41	0.07217857986688614	OMIM:268200	OMIM:268200
42	0.07218330353498459	OMIM:613280	OMIM:613280
43	0.07223700731992722	OMIM:614921	OMIM:614921
44	0.07224303483963013	OMIM:615673	OMIM:615673
45	0.07230768352746964	OMIM:232300	OMIM:232300
46	0.07248716056346893	OMIM:252010	OMIM:252010
47	0.07265858352184296	OMIM:276700	OMIM:276700
48	0.0726613774895668	ORPHA:159	ORPHA:159
49	0.07272190600633621	OMIM:600649	OMIM:600649
50	0.07277927547693253	ORPHA:48818	ORPHA:48818
51	0.07278085500001907	ORPHA:506	ORPHA:506
52	0.07290132343769073	ORPHA:88618	ORPHA:88618
53	0.07292211800813675	ORPHA:324525	ORPHA:324525
54	0.07305260002613068	OMIM:614321	OMIM:614321
55	0.07307877391576767	OMIM:227810	OMIM:227810
56	0.07321187853813171	ORPHA:228302	ORPHA:228302
57	0.07334429025650024	OMIM:610377	OMIM:610377
58	0.0733896791934967	OMIM:608836	OMIM:608836
59	0.07363002747297287	ORPHA:79240	ORPHA:79240
60	0.07387338578701019	OMIM:212140	OMIM:212140
61	0.07396436482667923	ORPHA:64753	ORPHA:64753
62	0.07405639439821243	ORPHA:231111	ORPHA:231111
63	0.07407618314027786	OMIM:616829	OMIM:616829
64	0.07412394881248474	ORPHA:79096	ORPHA:79096
65	0.07418488711118698	OMIM:255125	OMIM:255125
66	0.07419723272323608	ORPHA:98907	ORPHA:98907
67	0.07420537620782852	OMIM:617950	OMIM:617950
68	0.07428732514381409	ORPHA:17	ORPHA:17
69	0.07433204352855682	ORPHA:264580	ORPHA:264580
70	0.07436905801296234	ORPHA:57	ORPHA:57
71	0.07446784526109695	OMIM:267700	OMIM:267700
72	0.07449236512184143	ORPHA:14	ORPHA:14
73	0.07475606352090836	ORPHA:3124	ORPHA:3124
74	0.07481706142425537	OMIM:614947	OMIM:614947
75	0.07482298463582993	ORPHA:466650	ORPHA:466650
76	0.0748317614197731	ORPHA:98908	ORPHA:98908
77	0.07484239339828491	OMIM:618329	OMIM:618329
78	0.07492995262145996	OMIM:252150	OMIM:252150
79	0.07496412843465805	ORPHA:94093	ORPHA:94093
80	0.07499203085899353	ORPHA:480864	ORPHA:480864
81	0.07501762360334396	ORPHA:423	ORPHA:423
82	0.07503332942724228	OMIM:277400	OMIM:277400
83	0.07503925263881683	ORPHA:79095	ORPHA:79095
84	0.0751192569732666	ORPHA:79320	ORPHA:79320
85	0.07518405467271805	OMIM:618120	OMIM:618120
86	0.07519128173589706	OMIM:251100	OMIM:251100
87	0.07524193078279495	OMIM:619063	OMIM:619063
88	0.07532301545143127	OMIM:608799	OMIM:608799
89	0.07535707205533981	ORPHA:79323	ORPHA:79323
90	0.07539518177509308	ORPHA:79102	ORPHA:79102
91	0.07541489601135254	ORPHA:99829	ORPHA:99829
92	0.07541988790035248	ORPHA:699	ORPHA:699
93	0.07542227953672409	ORPHA:94089	ORPHA:94089
94	0.07548765298273734	OMIM:620366	OMIM:620366
95	0.07558120787143707	ORPHA:79332	ORPHA:79332
96	0.07592977583408356	ORPHA:85443	ORPHA:85443
97	0.07594002783298492	ORPHA:247598	ORPHA:247598
98	0.0759664922952652	ORPHA:79443	ORPHA:79443
99	0.07608653604984283	ORPHA:431361	ORPHA:431361
100	0.07609860599040985	ORPHA:255210	ORPHA:255210
101	0.07611288875341415	OMIM:609015	OMIM:609015
102	0.07611522078514099	OMIM:251880	OMIM:251880
103	0.07618509978055954	OMIM:616974	OMIM:616974
104	0.07618992030620575	OMIM:611182	OMIM:611182
105	0.07623732089996338	OMIM:274150	OMIM:274150
106	0.07625336199998856	ORPHA:20	ORPHA:20
107	0.0762772187590599	ORPHA:254892	ORPHA:254892
108	0.07633469253778458	ORPHA:404454	ORPHA:404454
109	0.07645930349826813	OMIM:619051	OMIM:619051
110	0.07647273689508438	OMIM:201475	OMIM:201475
111	0.07660310715436935	OMIM:614946	OMIM:614946
112	0.07660724967718124	OMIM:613070	OMIM:613070
113	0.07660924643278122	ORPHA:2088	ORPHA:2088
114	0.07672193646430969	OMIM:212138	OMIM:212138
115	0.07674191147089005	ORPHA:263455	ORPHA:263455
116	0.07677457481622696	ORPHA:466677	ORPHA:466677
117	0.07679460197687149	OMIM:603553	OMIM:603553
118	0.07689855992794037	OMIM:616209	OMIM:616209
119	0.07690396159887314	ORPHA:411634	ORPHA:411634
120	0.07693851739168167	ORPHA:96180	ORPHA:96180
121	0.07699144631624222	OMIM:610539	OMIM:610539
122	0.07701759785413742	OMIM:619405	OMIM:619405
123	0.07705748826265335	OMIM:614034	OMIM:614034
124	0.07712404429912567	OMIM:615595	OMIM:615595
125	0.07717353850603104	OMIM:500009	OMIM:500009
126	0.07725606113672256	OMIM:160010	OMIM:160010
127	0.07730161398649216	OMIM:615273	OMIM:615273
128	0.07732822746038437	ORPHA:2364	ORPHA:2364
129	0.07741529494524002	OMIM:620138	OMIM:620138
130	0.07742159813642502	OMIM:220110	OMIM:220110
131	0.0774410218000412	ORPHA:79444	ORPHA:79444
132	0.0775352194905281	OMIM:620358	OMIM:620358
133	0.07754365354776382	OMIM:619743	OMIM:619743
134	0.07755066454410553	OMIM:613752	OMIM:613752
135	0.07762411236763	OMIM:619525	OMIM:619525
136	0.07766421139240265	ORPHA:98895	ORPHA:98895
137	0.0776652842760086	OMIM:246900	OMIM:246900
138	0.07767526060342789	ORPHA:158061	ORPHA:158061
139	0.07769132405519485	OMIM:222748	OMIM:222748
140	0.07773413509130478	OMIM:619055	OMIM:619055
141	0.07779315114021301	ORPHA:1667	ORPHA:1667
142	0.07779503613710403	OMIM:600462	OMIM:600462
143	0.07780832797288895	OMIM:609060	OMIM:609060
144	0.07788296788930893	OMIM:607426	OMIM:607426
145	0.07793886214494705	OMIM:246450	OMIM:246450
146	0.0779896080493927	OMIM:613470	OMIM:613470
147	0.07801081240177155	OMIM:261680	OMIM:261680
148	0.0780494213104248	OMIM:612933	OMIM:612933
149	0.07805045965548572	OMIM:620300	OMIM:620300
150	0.07814906537532806	OMIM:617713	OMIM:617713
151	0.07819025963544846	OMIM:605711	OMIM:605711
152	0.07819471508264542	ORPHA:66634	ORPHA:66634
153	0.07823138684034348	OMIM:618528	OMIM:618528
154	0.0782763734459877	OMIM:225750	OMIM:225750
155	0.07830975949764252	OMIM:212065	OMIM:212065
156	0.07831913977861404	ORPHA:2609	ORPHA:2609
157	0.07840310037136078	OMIM:619064	OMIM:619064
158	0.07847683131694794	ORPHA:445038	ORPHA:445038
159	0.0785067081451416	ORPHA:369840	ORPHA:369840
160	0.07850924879312515	OMIM:618850	OMIM:618850
161	0.07854221016168594	ORPHA:79230	ORPHA:79230
162	0.07854612171649933	OMIM:616034	OMIM:616034
163	0.0785680040717125	ORPHA:263501	ORPHA:263501
164	0.07858168333768845	OMIM:619991	OMIM:619991
165	0.07864192128181458	ORPHA:26793	ORPHA:26793
166	0.07864581048488617	OMIM:614924	OMIM:614924
167	0.07873614877462387	ORPHA:468699	ORPHA:468699
168	0.07877741008996964	ORPHA:478029	ORPHA:478029
169	0.07879295945167542	ORPHA:79139	ORPHA:79139
170	0.07881851494312286	ORPHA:436271	ORPHA:436271
171	0.07885588705539703	ORPHA:91547	ORPHA:91547
172	0.07886655628681183	OMIM:613095	OMIM:613095
173	0.07886910438537598	OMIM:617156	OMIM:617156
174	0.078958660364151	ORPHA:100085	ORPHA:100085
