rank	score	disease_name	disease_identifier
1	0.038377102464437485	ORPHA:99901	ORPHA:99901
2	0.03850791975855827	OMIM:616299	OMIM:616299
3	0.0387454517185688	ORPHA:2394	ORPHA:2394
4	0.03980307653546333	OMIM:300555	OMIM:300555
5	0.040206179022789	ORPHA:324525	ORPHA:324525
6	0.04065327346324921	OMIM:619355	OMIM:619355
7	0.04105294495820999	OMIM:615158	OMIM:615158
8	0.0412728413939476	OMIM:613752	OMIM:613752
9	0.04148358106613159	OMIM:212140	OMIM:212140
10	0.04155832529067993	OMIM:616974	OMIM:616974
11	0.04187285527586937	ORPHA:26791	ORPHA:26791
12	0.041932113468647	OMIM:255120	OMIM:255120
13	0.04193771630525589	OMIM:124000	OMIM:124000
14	0.042106546461582184	OMIM:619063	OMIM:619063
15	0.04220058023929596	ORPHA:3008	ORPHA:3008
16	0.04229596257209778	OMIM:619386	OMIM:619386
17	0.042496759444475174	OMIM:609015	OMIM:609015
18	0.0428466796875	OMIM:300842	OMIM:300842
19	0.043313492089509964	OMIM:246900	OMIM:246900
20	0.043634627014398575	ORPHA:99845	ORPHA:99845
21	0.043924517929553986	ORPHA:42	ORPHA:42
22	0.04397435486316681	OMIM:607091	OMIM:607091
23	0.04423925280570984	OMIM:618120	OMIM:618120
24	0.04472784325480461	OMIM:614300	OMIM:614300
25	0.04482276737689972	OMIM:245400	OMIM:245400
26	0.04515472799539566	OMIM:605711	OMIM:605711
27	0.04553681239485741	OMIM:615418	OMIM:615418
28	0.04572887718677521	OMIM:220110	OMIM:220110
29	0.04590921476483345	OMIM:617950	OMIM:617950
30	0.046010572463274	ORPHA:88618	ORPHA:88618
31	0.046475883573293686	OMIM:616878	OMIM:616878
32	0.04651068150997162	OMIM:616111	OMIM:616111
33	0.046610116958618164	ORPHA:71212	ORPHA:71212
34	0.04674343019723892	ORPHA:79096	ORPHA:79096
35	0.04677705839276314	OMIM:619048	OMIM:619048
36	0.04680788144469261	OMIM:614924	OMIM:614924
37	0.04681839793920517	ORPHA:506	ORPHA:506
38	0.047294504940509796	ORPHA:17	ORPHA:17
39	0.047416940331459045	OMIM:618329	OMIM:618329
40	0.04743374139070511	OMIM:610505	OMIM:610505
41	0.04753883183002472	OMIM:614946	OMIM:614946
42	0.04755864292383194	ORPHA:436271	ORPHA:436271
43	0.04763055965304375	ORPHA:264580	ORPHA:264580
44	0.047666702419519424	OMIM:620358	OMIM:620358
45	0.047893039882183075	OMIM:266150	OMIM:266150
46	0.04794042184948921	ORPHA:3124	ORPHA:3124
47	0.0480760782957077	OMIM:615595	OMIM:615595
48	0.04810963198542595	OMIM:268200	OMIM:268200
