rank	score	disease_name	disease_identifier
1	0.2130964994430542	OMIM:425500	OMIM:425500
2	0.21317648887634277	DECIPHER:92	DECIPHER:92
3	0.21501189470291138	DECIPHER:85	DECIPHER:85
4	0.2171921730041504	OMIM:190420	OMIM:190420
5	0.21820765733718872	OMIM:139630	OMIM:139630
6	0.21823930740356445	DECIPHER:43	DECIPHER:43
7	0.21973663568496704	ORPHA:2564	ORPHA:2564
8	0.21981334686279297	OMIM:300082	OMIM:300082
8	0.21981334686279297	OMIM:158280	OMIM:158280
10	0.22025108337402344	OMIM:613342	OMIM:613342
