rank	score	disease_name	disease_identifier
1	0.019686046987771988	OMIM:254940	OMIM:254940
2	0.019805345684289932	ORPHA:1199	ORPHA:1199
3	0.02079959586262703	OMIM:609029	OMIM:609029
4	0.020884811878204346	ORPHA:96170	ORPHA:96170
5	0.02149341069161892	ORPHA:453499	ORPHA:453499
6	0.021657302975654602	ORPHA:220386	ORPHA:220386
6	0.021657302975654602	ORPHA:93925	ORPHA:93925
6	0.021657302975654602	ORPHA:93926	ORPHA:93926
6	0.021657302975654602	ORPHA:93924	ORPHA:93924
10	0.021841848269104958	ORPHA:268261	ORPHA:268261
11	0.02192595601081848	OMIM:618460	OMIM:618460
12	0.0221834946423769	OMIM:619488	OMIM:619488
13	0.02229524590075016	OMIM:270400	OMIM:270400
14	0.02231983281672001	ORPHA:457193	ORPHA:457193
15	0.02239757589995861	ORPHA:567	ORPHA:567
16	0.022668631747364998	OMIM:614399	OMIM:614399
17	0.02289138175547123	OMIM:607143	OMIM:607143
18	0.022944066673517227	OMIM:614653	OMIM:614653
19	0.02296353131532669	ORPHA:352665	ORPHA:352665
19	0.02296353131532669	ORPHA:453504	ORPHA:453504
21	0.023134084418416023	ORPHA:438213	ORPHA:438213
22	0.023156562820076942	OMIM:192430	OMIM:192430
23	0.02316107787191868	ORPHA:500159	ORPHA:500159
24	0.02317613922059536	ORPHA:1606	ORPHA:1606
25	0.023293284699320793	ORPHA:138	ORPHA:138
26	0.02342034876346588	OMIM:214800	OMIM:214800
27	0.023449474945664406	OMIM:310400	OMIM:310400
28	0.023603862151503563	ORPHA:1194	ORPHA:1194
29	0.023897284641861916	ORPHA:97297	ORPHA:97297
30	0.024009976536035538	OMIM:601808	OMIM:601808
31	0.024019118398427963	OMIM:618578	OMIM:618578
32	0.024086739867925644	ORPHA:3338	ORPHA:3338
33	0.024129705503582954	ORPHA:199	ORPHA:199
34	0.024130666628479958	OMIM:188400	OMIM:188400
35	0.02420063130557537	OMIM:194050	OMIM:194050
36	0.02420879155397415	OMIM:618494	OMIM:618494
37	0.024219363927841187	OMIM:300998	OMIM:300998
38	0.024223070591688156	ORPHA:464306	ORPHA:464306
39	0.02425997331738472	ORPHA:7	ORPHA:7
40	0.024265022948384285	OMIM:613457	OMIM:613457
41	0.024270696565508842	ORPHA:254519	ORPHA:254519
42	0.02429627999663353	ORPHA:464311	ORPHA:464311
43	0.024364758282899857	ORPHA:168572	ORPHA:168572
44	0.024408621713519096	ORPHA:576	ORPHA:576
45	0.024456270039081573	ORPHA:353277	ORPHA:353277
45	0.024456270039081573	ORPHA:353284	ORPHA:353284
47	0.024560140445828438	ORPHA:847	ORPHA:847
48	0.024567455053329468	OMIM:620005	OMIM:620005
49	0.024567903950810432	OMIM:608779	OMIM:608779
50	0.024609941989183426	OMIM:616835	OMIM:616835
51	0.024655690416693687	ORPHA:3310	ORPHA:3310
52	0.024674253538250923	ORPHA:452	ORPHA:452
53	0.024685699492692947	OMIM:616866	OMIM:616866
54	0.024694951251149178	OMIM:619080	OMIM:619080
