rank	score	disease_name	disease_identifier
1	0.20195293426513672	OMIM:189960	OMIM:189960
2	0.20990729331970215	OMIM:179400	OMIM:179400
3	0.2122809886932373	ORPHA:1134	ORPHA:1134
4	0.212510347366333	ORPHA:141091	ORPHA:141091
5	0.21260076761245728	OMIM:107700	OMIM:107700
6	0.2130482792854309	OMIM:425500	OMIM:425500
7	0.21324479579925537	OMIM:610187	OMIM:610187
8	0.21396005153656006	ORPHA:217266	ORPHA:217266
9	0.21498596668243408	ORPHA:401942	ORPHA:401942
10	0.21501976251602173	ORPHA:3346	ORPHA:3346
