rank	score	disease_name	disease_identifier
1	0.026185045018792152	ORPHA:51083	ORPHA:51083
2	0.03204793855547905	OMIM:616117	OMIM:616117
3	0.032494474202394485	ORPHA:130	ORPHA:130
4	0.038536831736564636	OMIM:616247	OMIM:616247
5	0.04081679880619049	OMIM:601144	OMIM:601144
6	0.04173484072089195	OMIM:611875	OMIM:611875
7	0.04246656224131584	ORPHA:45453	ORPHA:45453
8	0.04296962916851044	OMIM:614021	OMIM:614021
9	0.0437847338616848	OMIM:600858	OMIM:600858
10	0.04385310783982277	OMIM:609621	OMIM:609621
11	0.04487167298793793	OMIM:619464	OMIM:619464
12	0.045691683888435364	OMIM:601154	OMIM:601154
13	0.04599509388208389	OMIM:613693	OMIM:613693
14	0.04656357690691948	ORPHA:101016	ORPHA:101016
15	0.04789997264742851	ORPHA:99105	ORPHA:99105
16	0.05022292211651802	OMIM:192500	OMIM:192500
17	0.05085310339927673	OMIM:604559	OMIM:604559
18	0.05093478411436081	OMIM:115200	OMIM:115200
19	0.05173619091510773	OMIM:609040	OMIM:609040
20	0.05178651958703995	ORPHA:66529	ORPHA:66529
21	0.051979921758174896	OMIM:613485	OMIM:613485
22	0.052019909024238586	ORPHA:300751	ORPHA:300751
23	0.052388813346624374	ORPHA:3282	ORPHA:3282
24	0.05265811085700989	OMIM:616249	OMIM:616249
25	0.05325192213058472	OMIM:108770	OMIM:108770
26	0.05352305248379707	OMIM:163800	OMIM:163800
27	0.054125089198350906	ORPHA:1055	ORPHA:1055
28	0.05447658151388168	OMIM:609620	OMIM:609620
29	0.055066194385290146	OMIM:613695	OMIM:613695
30	0.055768925696611404	OMIM:604772	OMIM:604772
31	0.055955614894628525	ORPHA:45452	ORPHA:45452
32	0.056149255484342575	OMIM:600919	OMIM:600919
33	0.05717452988028526	ORPHA:168796	ORPHA:168796
34	0.057331617921590805	OMIM:615745	OMIM:615745
35	0.057633176445961	OMIM:611818	OMIM:611818
36	0.05792021006345749	OMIM:194200	OMIM:194200
37	0.05901775136590004	OMIM:604145	OMIM:604145
38	0.05909053236246109	OMIM:611777	OMIM:611777
39	0.059224072843790054	OMIM:617280	OMIM:617280
40	0.05944835767149925	OMIM:613688	OMIM:613688
41	0.06038438528776169	ORPHA:1344	ORPHA:1344
42	0.06072337552905083	OMIM:224700	OMIM:224700
43	0.06172466278076172	OMIM:115000	OMIM:115000
44	0.06198976933956146	OMIM:608758	OMIM:608758
45	0.06285364180803299	OMIM:609622	OMIM:609622
46	0.06296027451753616	OMIM:615770	OMIM:615770
47	0.0633760616183281	OMIM:604400	OMIM:604400
48	0.06348907947540283	OMIM:614916	OMIM:614916
49	0.06374695152044296	OMIM:612240	OMIM:612240
50	0.06460307538509369	ORPHA:75565	ORPHA:75565
51	0.06468994915485382	ORPHA:216694	ORPHA:216694
52	0.06476452201604843	OMIM:610193	OMIM:610193
53	0.06485739350318909	ORPHA:90647	ORPHA:90647
54	0.06505075842142105	OMIM:619897	OMIM:619897
55	0.06575598567724228	ORPHA:1880	ORPHA:1880
56	0.06599663943052292	OMIM:613838	OMIM:613838
57	0.06613378971815109	OMIM:618782	OMIM:618782
58	0.06617039442062378	OMIM:615441	OMIM:615441
59	0.06629154086112976	ORPHA:99103	ORPHA:99103
60	0.06644122302532196	OMIM:607450	OMIM:607450
61	0.06660006940364838	OMIM:612347	OMIM:612347
62	0.06660474091768265	ORPHA:1677	ORPHA:1677
63	0.06785061955451965	OMIM:614022	OMIM:614022
64	0.06810155510902405	OMIM:220400	OMIM:220400
65	0.06813441216945648	OMIM:614954	OMIM:614954
66	0.06829168647527695	OMIM:613119	OMIM:613119
67	0.06834273785352707	OMIM:608567	OMIM:608567
68	0.06868880242109299	OMIM:612955	OMIM:612955
69	0.06916544586420059	OMIM:612098	OMIM:612098
70	0.07008440792560577	ORPHA:99106	ORPHA:99106
71	0.07018967717885971	OMIM:620231	OMIM:620231
72	0.0708165317773819	OMIM:613980	OMIM:613980
73	0.07093579322099686	OMIM:608751	OMIM:608751
74	0.07098658382892609	OMIM:611528	OMIM:611528
75	0.07135902345180511	OMIM:616201	OMIM:616201
76	0.071860171854496	OMIM:611876	OMIM:611876
77	0.07295796275138855	OMIM:604169	OMIM:604169
78	0.07305949926376343	OMIM:617047	OMIM:617047
79	0.0737890899181366	ORPHA:85451	ORPHA:85451
80	0.07387955486774445	OMIM:603830	OMIM:603830
81	0.0744171291589737	OMIM:603829	OMIM:603829
82	0.0753331333398819	OMIM:108950	OMIM:108950
83	0.07544176280498505	OMIM:611819	OMIM:611819
84	0.07546573877334595	OMIM:115197	OMIM:115197
85	0.07575118541717529	OMIM:612956	OMIM:612956
86	0.07602674514055252	OMIM:613873	OMIM:613873
87	0.07620283216238022	OMIM:611938	OMIM:611938
88	0.07664437592029572	OMIM:611493	OMIM:611493
89	0.0766608715057373	OMIM:234700	OMIM:234700
90	0.07694953680038452	OMIM:612158	OMIM:612158
91	0.07706831395626068	OMIM:140400	OMIM:140400
92	0.07718656212091446	ORPHA:2041	ORPHA:2041
93	0.07727210968732834	ORPHA:60041	ORPHA:60041
94	0.07728972285985947	OMIM:613243	OMIM:613243
95	0.07733910530805588	OMIM:614049	OMIM:614049
96	0.07736751437187195	ORPHA:3283	ORPHA:3283
97	0.07771405577659607	ORPHA:1330	ORPHA:1330
98	0.07820727676153183	OMIM:607554	OMIM:607554
99	0.07829111069440842	ORPHA:542306	ORPHA:542306
100	0.07886439561843872	ORPHA:1479	ORPHA:1479
101	0.0789816826581955	OMIM:612124	OMIM:612124
102	0.079026959836483	ORPHA:137675	ORPHA:137675
103	0.07925897091627121	ORPHA:871	ORPHA:871
104	0.0793074443936348	ORPHA:1329	ORPHA:1329
105	0.07969685643911362	OMIM:613120	OMIM:613120
106	0.08021443337202072	OMIM:601494	OMIM:601494
107	0.08114013820886612	ORPHA:563	ORPHA:563
108	0.08118788152933121	OMIM:613507	OMIM:613507
109	0.08144573867321014	ORPHA:75566	ORPHA:75566
110	0.08184852451086044	OMIM:615616	OMIM:615616
111	0.0821477547287941	OMIM:618447	OMIM:618447
112	0.08258213847875595	OMIM:614896	OMIM:614896
113	0.08258745819330215	OMIM:618920	OMIM:618920
114	0.08260286599397659	OMIM:113900	OMIM:113900
115	0.08331982791423798	ORPHA:99104	ORPHA:99104
116	0.08384937793016434	ORPHA:97214	ORPHA:97214
117	0.08422250300645828	ORPHA:263297	ORPHA:263297
118	0.08435974270105362	OMIM:261740	OMIM:261740
119	0.08445532619953156	OMIM:212138	OMIM:212138
120	0.08446653187274933	OMIM:601493	OMIM:601493
121	0.08477690070867538	ORPHA:3093	ORPHA:3093
122	0.08484520018100739	ORPHA:26793	ORPHA:26793
123	0.08514159917831421	OMIM:601214	OMIM:601214
124	0.08596134930849075	OMIM:613697	OMIM:613697
125	0.08656501024961472	ORPHA:466677	ORPHA:466677
126	0.08665850013494492	OMIM:619747	OMIM:619747
127	0.08686459809541702	OMIM:192600	OMIM:192600
128	0.08710489422082901	OMIM:613874	OMIM:613874
129	0.08715301752090454	ORPHA:75249	ORPHA:75249
130	0.08861175924539566	OMIM:619402	OMIM:619402
131	0.08868741244077682	OMIM:613426	OMIM:613426
132	0.08874781429767609	OMIM:115195	OMIM:115195
133	0.08920557796955109	ORPHA:3092	ORPHA:3092
134	0.09059029072523117	OMIM:620236	OMIM:620236
135	0.0910041481256485	OMIM:612838	OMIM:612838
136	0.09130668640136719	OMIM:617222	OMIM:617222
137	0.09142140299081802	ORPHA:980	ORPHA:980
138	0.09144867956638336	ORPHA:1686	ORPHA:1686
139	0.09148228168487549	ORPHA:439	ORPHA:439
140	0.0915009081363678	OMIM:300257	OMIM:300257
141	0.09193447977304459	ORPHA:57777	ORPHA:57777
142	0.09196421504020691	OMIM:310300	OMIM:310300
143	0.0921047180891037	OMIM:613087	OMIM:613087
144	0.09211372584104538	OMIM:618052	OMIM:618052
145	0.09213171154260635	ORPHA:90068	ORPHA:90068
146	0.09228679537773132	ORPHA:2151	ORPHA:2151
147	0.09233333170413971	ORPHA:423	ORPHA:423
148	0.09235480427742004	OMIM:616399	OMIM:616399
149	0.09259364008903503	OMIM:612422	OMIM:612422
150	0.09299734979867935	ORPHA:439232	ORPHA:439232
151	0.09328103810548782	OMIM:615378	OMIM:615378
152	0.09331652522087097	ORPHA:97292	ORPHA:97292
153	0.09362611174583435	OMIM:108900	OMIM:108900
154	0.09441468119621277	ORPHA:3286	ORPHA:3286
155	0.09451416879892349	OMIM:601005	OMIM:601005
156	0.0945512130856514	ORPHA:99095	ORPHA:99095
157	0.09457853436470032	OMIM:613694	OMIM:613694
158	0.094610296189785	OMIM:614473	OMIM:614473
159	0.09491443634033203	OMIM:107970	OMIM:107970
160	0.0949302688241005	OMIM:614676	OMIM:614676
161	0.09531019628047943	ORPHA:334	ORPHA:334
162	0.09536605328321457	OMIM:620247	OMIM:620247
163	0.09586577117443085	OMIM:212500	OMIM:212500
164	0.0962066724896431	ORPHA:31826	ORPHA:31826
165	0.0963338240981102	OMIM:613251	OMIM:613251
166	0.09664036333560944	OMIM:619424	OMIM:619424
167	0.09667089581489563	OMIM:192605	OMIM:192605
168	0.09739910066127777	OMIM:620066	OMIM:620066
169	0.09756892174482346	ORPHA:466650	ORPHA:466650
170	0.09764018654823303	ORPHA:860	ORPHA:860
171	0.09766785055398941	OMIM:615916	OMIM:615916
172	0.09779635816812515	OMIM:115250	OMIM:115250
173	0.09878388792276382	ORPHA:2299	ORPHA:2299
174	0.09899599105119705	OMIM:602087	OMIM:602087
175	0.09951560944318771	ORPHA:85447	ORPHA:85447
176	0.09956788271665573	OMIM:614672	OMIM:614672
177	0.09962783008813858	OMIM:600884	OMIM:600884
178	0.0996474102139473	OMIM:608569	OMIM:608569
179	0.09970005601644516	OMIM:611878	OMIM:611878
180	0.1003170907497406	OMIM:115080	OMIM:115080
181	0.1004079282283783	ORPHA:70591	ORPHA:70591
182	0.1005573496222496	OMIM:613690	OMIM:613690
183	0.10074732452630997	ORPHA:37553	ORPHA:37553
184	0.10096880048513412	OMIM:611705	OMIM:611705
185	0.10159846395254135	OMIM:615373	OMIM:615373
186	0.10161171853542328	OMIM:616878	OMIM:616878
187	0.10185007005929947	ORPHA:732	ORPHA:732
188	0.10203715413808823	OMIM:613123	OMIM:613123
189	0.10218389332294464	ORPHA:79102	ORPHA:79102
190	0.10221754759550095	ORPHA:99094	ORPHA:99094
191	0.10230749845504761	ORPHA:330001	ORPHA:330001
192	0.10239718109369278	ORPHA:3193	ORPHA:3193
193	0.10271424055099487	ORPHA:358	ORPHA:358
194	0.102834053337574	ORPHA:85443	ORPHA:85443
195	0.10299593955278397	OMIM:615474	OMIM:615474
196	0.10301141440868378	OMIM:619371	OMIM:619371
197	0.10325596481561661	ORPHA:49827	ORPHA:49827
198	0.1033061072230339	ORPHA:36913	ORPHA:36913
199	0.10342152416706085	OMIM:602086	OMIM:602086
200	0.10347715020179749	OMIM:540000	OMIM:540000
201	0.10356675088405609	ORPHA:168593	ORPHA:168593
202	0.10369787365198135	ORPHA:34217	ORPHA:34217
203	0.10390380769968033	ORPHA:422	ORPHA:422
204	0.1040220558643341	OMIM:605362	OMIM:605362
205	0.10438020527362823	OMIM:616501	OMIM:616501
206	0.10439933836460114	OMIM:301500	OMIM:301500
207	0.10519641637802124	ORPHA:94080	ORPHA:94080
208	0.10528034716844559	OMIM:620067	OMIM:620067
209	0.10536888986825943	ORPHA:369929	ORPHA:369929
210	0.10542751848697662	OMIM:610476	OMIM:610476
211	0.10544293373823166	ORPHA:99125	ORPHA:99125
212	0.10554232448339462	OMIM:615344	OMIM:615344
213	0.10561612993478775	OMIM:609909	OMIM:609909
214	0.1058010458946228	ORPHA:565612	ORPHA:565612
215	0.10582519322633743	ORPHA:156	ORPHA:156
216	0.10591565072536469	OMIM:263800	OMIM:263800
217	0.10597889870405197	ORPHA:159	ORPHA:159
218	0.1061602532863617	OMIM:300952	OMIM:300952
219	0.10618574172258377	OMIM:613424	OMIM:613424
220	0.10646537691354752	OMIM:618775	OMIM:618775
221	0.10647840797901154	OMIM:178650	OMIM:178650
222	0.10711798071861267	OMIM:619167	OMIM:619167
223	0.10742391645908356	ORPHA:99745	ORPHA:99745
224	0.10779166221618652	OMIM:614947	OMIM:614947
225	0.10783219337463379	OMIM:188580	OMIM:188580
226	0.10808882117271423	OMIM:300376	OMIM:300376
227	0.10808935761451721	ORPHA:464453	ORPHA:464453
228	0.10809528827667236	OMIM:615184	OMIM:615184
