rank	score	disease_name	disease_identifier
1	0.019031785428524017	OMIM:618387	OMIM:618387
2	0.0201625544577837	ORPHA:99950	ORPHA:99950
3	0.02037639729678631	OMIM:302800	OMIM:302800
4	0.020757334306836128	OMIM:616688	OMIM:616688
5	0.020782656967639923	OMIM:600361	OMIM:600361
6	0.020839089527726173	OMIM:607684	OMIM:607684
7	0.020868225023150444	ORPHA:497764	ORPHA:497764
8	0.02114199474453926	ORPHA:3115	ORPHA:3115
9	0.021521976217627525	OMIM:258450	OMIM:258450
10	0.02160976640880108	ORPHA:300605	ORPHA:300605
11	0.021661056205630302	OMIM:118300	OMIM:118300
12	0.021739039570093155	OMIM:617882	OMIM:617882
13	0.021807227283716202	ORPHA:98808	ORPHA:98808
14	0.021888693794608116	OMIM:606002	OMIM:606002
15	0.021899251267313957	OMIM:275900	OMIM:275900
16	0.02192680351436138	OMIM:617018	OMIM:617018
17	0.02194996178150177	ORPHA:99949	ORPHA:99949
18	0.022095689550042152	ORPHA:101077	ORPHA:101077
19	0.0221934262663126	ORPHA:99956	ORPHA:99956
20	0.022218476980924606	ORPHA:101085	ORPHA:101085
21	0.022386299446225166	OMIM:606071	OMIM:606071
22	0.022393539547920227	OMIM:616668	OMIM:616668
23	0.022422339767217636	ORPHA:95	ORPHA:95
24	0.022570354864001274	OMIM:609195	OMIM:609195
25	0.02278718538582325	ORPHA:466768	ORPHA:466768
26	0.02289232611656189	OMIM:614409	OMIM:614409
27	0.02302481234073639	OMIM:619574	OMIM:619574
28	0.023081913590431213	OMIM:616505	OMIM:616505
29	0.02334754168987274	OMIM:615491	OMIM:615491
30	0.023438753560185432	OMIM:256850	OMIM:256850
31	0.023473598062992096	OMIM:205100	OMIM:205100
32	0.023610884323716164	OMIM:601162	OMIM:601162
33	0.023738229647278786	OMIM:614298	OMIM:614298
34	0.02391279675066471	OMIM:618438	OMIM:618438
35	0.023915359750390053	ORPHA:2596	ORPHA:2596
36	0.02404647134244442	ORPHA:435387	ORPHA:435387
37	0.02406538836658001	OMIM:270800	OMIM:270800
38	0.02406984567642212	OMIM:145900	OMIM:145900
39	0.024136193096637726	OMIM:270550	OMIM:270550
40	0.02413889393210411	OMIM:158580	OMIM:158580
41	0.024181248620152473	OMIM:615043	OMIM:615043
42	0.024199873208999634	OMIM:128230	OMIM:128230
43	0.024209748953580856	ORPHA:90658	ORPHA:90658
44	0.024261778220534325	OMIM:607259	OMIM:607259
45	0.024314885959029198	ORPHA:320406	ORPHA:320406
46	0.024318061769008636	OMIM:616907	OMIM:616907
47	0.0243510939180851	ORPHA:100986	ORPHA:100986
48	0.024363305419683456	OMIM:181405	OMIM:181405
49	0.024380065500736237	OMIM:617087	OMIM:617087
50	0.024466203525662422	OMIM:208920	OMIM:208920
51	0.02466864511370659	OMIM:614881	OMIM:614881
52	0.024712203070521355	OMIM:609260	OMIM:609260
53	0.024763012304902077	OMIM:615035	OMIM:615035
54	0.024796660989522934	ORPHA:352641	ORPHA:352641
55	0.024800986051559448	ORPHA:88644	ORPHA:88644
56	0.024827077984809875	OMIM:180800	OMIM:180800
57	0.024844927713274956	OMIM:614871	OMIM:614871
58	0.02485211007297039	OMIM:183090	OMIM:183090
59	0.02487877942621708	ORPHA:99947	ORPHA:99947
60	0.024957798421382904	OMIM:612674	OMIM:612674
61	0.02503088116645813	OMIM:615290	OMIM:615290
62	0.025177830830216408	OMIM:607459	OMIM:607459
63	0.025334946811199188	OMIM:614895	OMIM:614895
64	0.025377845391631126	OMIM:601455	OMIM:601455
65	0.025461705401539803	OMIM:601596	OMIM:601596
66	0.02553112432360649	ORPHA:447757	ORPHA:447757
67	0.02554229646921158	OMIM:604563	OMIM:604563
68	0.02564246766269207	ORPHA:99948	ORPHA:99948
69	0.02573608048260212	OMIM:616479	OMIM:616479
70	0.02575680799782276	OMIM:618279	OMIM:618279
71	0.025776468217372894	ORPHA:93952	ORPHA:93952
72	0.025783514603972435	OMIM:607736	OMIM:607736
73	0.025819137692451477	OMIM:615643	OMIM:615643
74	0.02582123503088951	OMIM:182960	OMIM:182960
75	0.025833794847130775	ORPHA:96	ORPHA:96
76	0.025864193215966225	OMIM:157640	OMIM:157640
77	0.025881383568048477	ORPHA:137898	ORPHA:137898
78	0.026018401607871056	OMIM:620285	OMIM:620285
79	0.02604501321911812	ORPHA:845	ORPHA:845
80	0.026054754853248596	OMIM:164400	OMIM:164400
81	0.026090415194630623	OMIM:109150	OMIM:109150
82	0.0261207465082407	ORPHA:459033	ORPHA:459033
83	0.026131944730877876	ORPHA:412057	ORPHA:412057
84	0.026142559945583344	OMIM:607317	OMIM:607317
85	0.026206566020846367	OMIM:619519	OMIM:619519
86	0.02625514753162861	OMIM:617013	OMIM:617013
87	0.02628367953002453	OMIM:609541	OMIM:609541
88	0.02631818875670433	ORPHA:251282	ORPHA:251282
89	0.026459626853466034	ORPHA:100996	ORPHA:100996
90	0.026592295616865158	OMIM:615048	OMIM:615048
91	0.02659604698419571	OMIM:616040	OMIM:616040
92	0.02668941393494606	OMIM:617225	OMIM:617225
93	0.026714129373431206	ORPHA:101006	ORPHA:101006
94	0.02673281729221344	ORPHA:521411	ORPHA:521411
95	0.02676144614815712	ORPHA:466722	ORPHA:466722
96	0.026812562718987465	OMIM:270685	OMIM:270685
97	0.026827851310372353	OMIM:607458	OMIM:607458
98	0.026832154020667076	OMIM:613908	OMIM:613908
99	0.026852557435631752	ORPHA:101075	ORPHA:101075
100	0.026855099946260452	OMIM:617916	OMIM:617916
101	0.026907138526439667	ORPHA:643	ORPHA:643
102	0.02691016159951687	ORPHA:171629	ORPHA:171629
103	0.02692502550780773	ORPHA:98	ORPHA:98
104	0.02696112170815468	ORPHA:98764	ORPHA:98764
105	0.026969248428940773	ORPHA:101150	ORPHA:101150
106	0.027006303891539574	OMIM:164310	OMIM:164310
107	0.027104320004582405	OMIM:616680	OMIM:616680
108	0.027122026309370995	OMIM:615356	OMIM:615356
109	0.02738330513238907	OMIM:128100	OMIM:128100
110	0.02747259847819805	OMIM:605285	OMIM:605285
111	0.02750437892973423	OMIM:256030	OMIM:256030
