rank	score	disease_name	disease_identifier
1	0.05445718392729759	OMIM:300979	OMIM:300979
2	0.05464289337396622	ORPHA:2850	ORPHA:2850
3	0.05620427802205086	OMIM:618362	OMIM:618362
4	0.05787309631705284	ORPHA:370079	ORPHA:370079
5	0.058594729751348495	ORPHA:521258	ORPHA:521258
6	0.059146732091903687	ORPHA:319182	ORPHA:319182
7	0.05954156070947647	OMIM:309400	OMIM:309400
8	0.059990156441926956	ORPHA:444002	ORPHA:444002
9	0.06036541983485222	OMIM:252940	OMIM:252940
10	0.060527920722961426	OMIM:608747	OMIM:608747
11	0.06072745472192764	ORPHA:98754	ORPHA:98754
12	0.06075997278094292	OMIM:300953	OMIM:300953
13	0.06081562116742134	OMIM:618625	OMIM:618625
14	0.0608508437871933	ORPHA:177901	ORPHA:177901
15	0.060938846319913864	ORPHA:398079	ORPHA:398079
16	0.061051659286022186	ORPHA:98793	ORPHA:98793
17	0.06106211617588997	ORPHA:177904	ORPHA:177904
18	0.06107107177376747	OMIM:105830	OMIM:105830
19	0.061250440776348114	ORPHA:739	ORPHA:739
20	0.06141052395105362	OMIM:617773	OMIM:617773
21	0.061429478228092194	ORPHA:1882	ORPHA:1882
22	0.06143677607178688	ORPHA:228402	ORPHA:228402
23	0.06156031787395477	OMIM:619075	OMIM:619075
24	0.06160106509923935	ORPHA:2985	ORPHA:2985
25	0.06165805459022522	OMIM:618891	OMIM:618891
26	0.06168757379055023	ORPHA:502423	ORPHA:502423
27	0.06173978000879288	OMIM:616817	OMIM:616817
28	0.06197922304272652	OMIM:252930	OMIM:252930
29	0.062170859426259995	OMIM:608154	OMIM:608154
30	0.06222410127520561	ORPHA:1948	ORPHA:1948
31	0.06230772286653519	OMIM:103050	OMIM:103050
32	0.062386661767959595	OMIM:618879	OMIM:618879
33	0.06247933581471443	ORPHA:398069	ORPHA:398069
34	0.06259817630052567	OMIM:301029	OMIM:301029
35	0.06262856721878052	OMIM:259050	OMIM:259050
36	0.06277236342430115	OMIM:252920	OMIM:252920
37	0.06287667900323868	OMIM:176270	OMIM:176270
38	0.06287813931703568	ORPHA:357074	ORPHA:357074
39	0.0629972517490387	ORPHA:85288	ORPHA:85288
40	0.0629996806383133	ORPHA:2269	ORPHA:2269
41	0.06301943212747574	OMIM:617865	OMIM:617865
42	0.06310904771089554	OMIM:219150	OMIM:219150
43	0.06311103701591492	ORPHA:73223	ORPHA:73223
44	0.06317096948623657	OMIM:301069	OMIM:301069
45	0.06317958235740662	OMIM:300983	OMIM:300983
46	0.06318970769643784	OMIM:620047	OMIM:620047
47	0.06346579641103745	OMIM:616311	OMIM:616311
48	0.06349129974842072	OMIM:252900	OMIM:252900
49	0.0638383999466896	OMIM:619005	OMIM:619005
50	0.06387506425380707	OMIM:617675	OMIM:617675
51	0.06389805674552917	ORPHA:411515	ORPHA:411515
52	0.06390105932950974	ORPHA:391307	ORPHA:391307
53	0.06399388611316681	OMIM:618430	OMIM:618430
54	0.06400656700134277	OMIM:620242	OMIM:620242
55	0.0641048401594162	OMIM:601352	OMIM:601352
56	0.0641091987490654	ORPHA:73272	ORPHA:73272
57	0.06414904445409775	OMIM:617302	OMIM:617302
58	0.06417540460824966	OMIM:216400	OMIM:216400
59	0.06421556323766708	ORPHA:2232	ORPHA:2232
60	0.06431220471858978	OMIM:300354	OMIM:300354
61	0.06432243436574936	OMIM:617799	OMIM:617799
62	0.06436865776777267	OMIM:133540	OMIM:133540
63	0.0643758550286293	OMIM:617988	OMIM:617988
64	0.06437729299068451	ORPHA:466688	ORPHA:466688
