rank	score	disease_name	disease_identifier
1	0.028154203668236732	OMIM:619260	OMIM:619260
2	0.028853217139840126	OMIM:617481	OMIM:617481
3	0.030571674928069115	OMIM:616171	OMIM:616171
4	0.030630746856331825	OMIM:618547	OMIM:618547
5	0.03083578497171402	ORPHA:357058	ORPHA:357058
6	0.031528081744909286	ORPHA:899	ORPHA:899
7	0.031594038009643555	OMIM:236670	OMIM:236670
8	0.03221127390861511	ORPHA:29	ORPHA:29
9	0.03250432014465332	ORPHA:496790	ORPHA:496790
10	0.03258500620722771	ORPHA:480898	ORPHA:480898
11	0.032591406255960464	OMIM:614219	OMIM:614219
12	0.032701268792152405	ORPHA:309282	ORPHA:309282
13	0.032727885991334915	OMIM:617183	OMIM:617183
14	0.032782554626464844	OMIM:613153	OMIM:613153
15	0.03298257291316986	OMIM:619708	OMIM:619708
16	0.03298533335328102	OMIM:615398	OMIM:615398
17	0.03324716538190842	OMIM:615095	OMIM:615095
18	0.03327398747205734	OMIM:618476	OMIM:618476
19	0.03336481377482414	ORPHA:272	ORPHA:272
20	0.033382873982191086	OMIM:616875	OMIM:616875
21	0.03355931118130684	OMIM:213300	OMIM:213300
22	0.03358696773648262	OMIM:615249	OMIM:615249
23	0.033592477440834045	OMIM:618143	OMIM:618143
24	0.03371947631239891	OMIM:214150	OMIM:214150
25	0.033728186041116714	ORPHA:220497	ORPHA:220497
26	0.03372899070382118	ORPHA:543470	ORPHA:543470
27	0.03391847386956215	OMIM:613150	OMIM:613150
28	0.03393431752920151	ORPHA:220493	ORPHA:220493
29	0.033959947526454926	OMIM:620327	OMIM:620327
30	0.0339849516749382	OMIM:617988	OMIM:617988
31	0.03408128023147583	ORPHA:79322	ORPHA:79322
32	0.03412163257598877	ORPHA:90322	ORPHA:90322
33	0.03412389010190964	OMIM:251300	OMIM:251300
34	0.034239090979099274	OMIM:620269	OMIM:620269
35	0.03429032489657402	OMIM:617255	OMIM:617255
36	0.034337520599365234	OMIM:608091	OMIM:608091
37	0.03436141833662987	OMIM:617164	OMIM:617164
38	0.03440360352396965	OMIM:616362	OMIM:616362
39	0.034404803067445755	OMIM:248800	OMIM:248800
40	0.03446856886148453	OMIM:613155	OMIM:613155
41	0.03457812964916229	ORPHA:513456	ORPHA:513456
42	0.034592658281326294	OMIM:248500	OMIM:248500
43	0.03459322080016136	OMIM:261515	OMIM:261515
44	0.03464765101671219	OMIM:619273	OMIM:619273
45	0.03465065732598305	OMIM:617822	OMIM:617822
46	0.03468098118901253	OMIM:619286	OMIM:619286
47	0.03468140587210655	OMIM:617193	OMIM:617193
48	0.034784141927957535	OMIM:619527	OMIM:619527
49	0.03479422628879547	OMIM:607872	OMIM:607872
50	0.03484451770782471	OMIM:614222	OMIM:614222
51	0.03485659137368202	OMIM:616202	OMIM:616202
52	0.03487289696931839	OMIM:618862	OMIM:618862
53	0.034890055656433105	OMIM:605013	OMIM:605013
54	0.034996237605810165	OMIM:617807	OMIM:617807
55	0.035009387880563736	OMIM:616603	OMIM:616603
56	0.03501526638865471	OMIM:619833	OMIM:619833
57	0.0350157730281353	ORPHA:300570	ORPHA:300570
58	0.0350482203066349	ORPHA:412069	ORPHA:412069
59	0.035063810646533966	ORPHA:48431	ORPHA:48431
60	0.035151444375514984	ORPHA:93400	ORPHA:93400
61	0.0352478101849556	OMIM:608027	OMIM:608027
62	0.03528014197945595	OMIM:617201	OMIM:617201
63	0.035293567925691605	OMIM:620089	OMIM:620089
64	0.035306237637996674	ORPHA:137831	ORPHA:137831
65	0.035316888242959976	OMIM:616154	OMIM:616154
66	0.0353209562599659	OMIM:610185	OMIM:610185
67	0.03533182293176651	OMIM:253280	OMIM:253280
68	0.035397566854953766	OMIM:216400	OMIM:216400
69	0.035403475165367126	ORPHA:324737	ORPHA:324737
70	0.035461317747831345	ORPHA:163937	ORPHA:163937
71	0.035478971898555756	OMIM:612394	OMIM:612394
72	0.0356663316488266	OMIM:617622	OMIM:617622
73	0.0356956385076046	OMIM:248000	OMIM:248000
74	0.03573454171419144	OMIM:300966	OMIM:300966
75	0.03576318174600601	OMIM:619422	OMIM:619422
76	0.03579142689704895	ORPHA:2557	ORPHA:2557
77	0.03583609312772751	ORPHA:96148	ORPHA:96148
78	0.03586941584944725	OMIM:272200	OMIM:272200
79	0.03586949035525322	OMIM:614225	OMIM:614225
80	0.03587808087468147	OMIM:215100	OMIM:215100
81	0.03592871502041817	ORPHA:1647	ORPHA:1647
82	0.035973433405160904	OMIM:601853	OMIM:601853
83	0.03597444295883179	OMIM:617804	OMIM:617804
84	0.0359923355281353	ORPHA:2510	ORPHA:2510
85	0.0360049270093441	ORPHA:370959	ORPHA:370959
86	0.03600984811782837	OMIM:616354	OMIM:616354
87	0.036046102643013	ORPHA:468631	ORPHA:468631
88	0.03604869917035103	OMIM:614866	OMIM:614866
89	0.03607212379574776	OMIM:619576	OMIM:619576
90	0.036091018468141556	ORPHA:191	ORPHA:191
91	0.03611905500292778	OMIM:301072	OMIM:301072
92	0.036122627556324005	ORPHA:85278	ORPHA:85278
93	0.036222390830516815	ORPHA:1272	ORPHA:1272
94	0.036236997693777084	OMIM:616538	OMIM:616538
95	0.036244556307792664	ORPHA:506358	ORPHA:506358
96	0.03625179082155228	OMIM:607932	OMIM:607932
97	0.03626282885670662	OMIM:618672	OMIM:618672
98	0.03630341589450836	OMIM:604168	OMIM:604168
99	0.036323923617601395	OMIM:617140	OMIM:617140
100	0.03633315861225128	ORPHA:500159	ORPHA:500159
101	0.03636458143591881	OMIM:617302	OMIM:617302
102	0.03636535629630089	ORPHA:89844	ORPHA:89844
103	0.03644457831978798	ORPHA:370022	ORPHA:370022
104	0.03645840659737587	OMIM:620240	OMIM:620240
105	0.0364607535302639	OMIM:600373	OMIM:600373
106	0.036469560116529465	OMIM:253800	OMIM:253800
107	0.03648772090673447	ORPHA:544469	ORPHA:544469
108	0.03650601953268051	OMIM:259050	OMIM:259050
109	0.03651650249958038	OMIM:615809	OMIM:615809
110	0.03655828535556793	ORPHA:370997	ORPHA:370997
111	0.036569662392139435	ORPHA:500150	ORPHA:500150
112	0.03658657148480415	ORPHA:2714	ORPHA:2714
113	0.03659167140722275	ORPHA:320385	ORPHA:320385
114	0.03664363920688629	OMIM:619797	OMIM:619797
115	0.036684028804302216	OMIM:614969	OMIM:614969
116	0.03669099882245064	OMIM:616420	OMIM:616420
117	0.036699697375297546	ORPHA:2318	ORPHA:2318
118	0.03671231120824814	ORPHA:2836	ORPHA:2836
119	0.03677521273493767	ORPHA:166035	ORPHA:166035
120	0.03682265058159828	ORPHA:912	ORPHA:912
121	0.03682483360171318	ORPHA:138	ORPHA:138
122	0.03682594373822212	ORPHA:33364	ORPHA:33364
123	0.03685274347662926	ORPHA:2396	ORPHA:2396
124	0.03685372695326805	OMIM:600118	OMIM:600118
125	0.03687315806746483	ORPHA:46059	ORPHA:46059
126	0.03688535839319229	OMIM:214100	OMIM:214100
127	0.03689027205109596	OMIM:616602	OMIM:616602
128	0.03690263628959656	OMIM:278800	OMIM:278800
129	0.03690386936068535	OMIM:615181	OMIM:615181
130	0.036948613822460175	OMIM:267750	OMIM:267750
131	0.03695809096097946	OMIM:618603	OMIM:618603
132	0.03696080297231674	ORPHA:475	ORPHA:475
133	0.0370052307844162	ORPHA:481152	ORPHA:481152
134	0.03705611824989319	OMIM:619512	OMIM:619512
135	0.03707338497042656	OMIM:618590	OMIM:618590
136	0.03709154948592186	ORPHA:363958	ORPHA:363958
136	0.03709154948592186	ORPHA:363965	ORPHA:363965
138	0.03709534555673599	ORPHA:3455	ORPHA:3455
139	0.03710903972387314	OMIM:619556	OMIM:619556
140	0.037152908742427826	OMIM:614261	OMIM:614261
141	0.037190575152635574	OMIM:608545	OMIM:608545
142	0.03720524162054062	OMIM:618087	OMIM:618087
143	0.037224557250738144	ORPHA:2780	ORPHA:2780
144	0.03723841533064842	ORPHA:93399	ORPHA:93399
145	0.037275977432727814	ORPHA:86309	ORPHA:86309
146	0.037277963012456894	OMIM:617562	OMIM:617562
147	0.037280499935150146	OMIM:618571	OMIM:618571
148	0.03728264942765236	OMIM:614424	OMIM:614424
149	0.03732975199818611	OMIM:614381	OMIM:614381
150	0.03734596446156502	OMIM:617507	OMIM:617507
