rank	score	disease_name	disease_identifier
1	0.024626435711979866	OMIM:613330	OMIM:613330
2	0.02488131634891033	OMIM:245600	OMIM:245600
3	0.02488548681139946	OMIM:143095	OMIM:143095
4	0.024990161880850792	OMIM:265000	OMIM:265000
5	0.0251181460916996	OMIM:183900	OMIM:183900
6	0.025280384346842766	ORPHA:536467	ORPHA:536467
7	0.025404680520296097	ORPHA:1425	ORPHA:1425
8	0.02568989060819149	OMIM:156550	OMIM:156550
9	0.02578640542924404	OMIM:255800	OMIM:255800
10	0.02600415050983429	ORPHA:536471	ORPHA:536471
11	0.026470623910427094	OMIM:100800	OMIM:100800
12	0.02648836374282837	OMIM:121050	OMIM:121050
13	0.026611583307385445	OMIM:618947	OMIM:618947
14	0.02673221565783024	OMIM:150250	OMIM:150250
15	0.02673971652984619	ORPHA:800	ORPHA:800
16	0.026827754452824593	OMIM:309350	OMIM:309350
17	0.026982178911566734	OMIM:114290	OMIM:114290
18	0.02704661339521408	OMIM:620083	OMIM:620083
19	0.02712671272456646	OMIM:178110	OMIM:178110
20	0.0272359699010849	OMIM:610758	OMIM:610758
21	0.027342678979039192	OMIM:193700	OMIM:193700
22	0.02737450785934925	OMIM:615155	OMIM:615155
23	0.02751055173575878	OMIM:305620	OMIM:305620
24	0.02752448432147503	OMIM:182212	OMIM:182212
25	0.027549684047698975	OMIM:618870	OMIM:618870
26	0.027611328288912773	ORPHA:93360	ORPHA:93360
27	0.02775641344487667	OMIM:620369	OMIM:620369
28	0.02777073159813881	OMIM:253000	OMIM:253000
29	0.02779097482562065	OMIM:271640	OMIM:271640
30	0.027799172326922417	ORPHA:628	ORPHA:628
31	0.02783364988863468	OMIM:617821	OMIM:617821
32	0.028008481487631798	OMIM:618019	OMIM:618019
33	0.028170175850391388	ORPHA:2655	ORPHA:2655
34	0.02846389263868332	OMIM:253010	OMIM:253010
35	0.02866867557168007	OMIM:154700	OMIM:154700
36	0.028678543865680695	OMIM:222600	OMIM:222600
37	0.028740258887410164	OMIM:259450	OMIM:259450
38	0.02879047580063343	OMIM:184250	OMIM:184250
39	0.028822150081396103	OMIM:304120	OMIM:304120
40	0.028825758025050163	ORPHA:140	ORPHA:140
41	0.02890525385737419	ORPHA:263463	ORPHA:263463
42	0.028949178755283356	ORPHA:15	ORPHA:15
43	0.028989797458052635	ORPHA:94068	ORPHA:94068
44	0.028990741819143295	OMIM:252605	OMIM:252605
