rank	score	disease_name	disease_identifier
1	0.01869279518723488	ORPHA:280210	ORPHA:280210
2	0.01888245716691017	OMIM:312080	OMIM:312080
3	0.01891641691327095	ORPHA:845	ORPHA:845
4	0.019588148221373558	ORPHA:94147	ORPHA:94147
5	0.019621724262833595	OMIM:614678	OMIM:614678
6	0.019850874319672585	OMIM:617710	OMIM:617710
7	0.020007086917757988	OMIM:614688	OMIM:614688
8	0.020318923518061638	OMIM:616505	OMIM:616505
9	0.020483141764998436	OMIM:617435	OMIM:617435
10	0.020485807210206985	ORPHA:33445	ORPHA:33445
11	0.02050527185201645	ORPHA:702	ORPHA:702
12	0.020539812743663788	ORPHA:352649	ORPHA:352649
13	0.020562436431646347	ORPHA:572798	ORPHA:572798
14	0.02073226124048233	OMIM:615356	OMIM:615356
15	0.021099433302879333	ORPHA:98755	ORPHA:98755
16	0.021118400618433952	ORPHA:2254	ORPHA:2254
17	0.021164407953619957	ORPHA:98768	ORPHA:98768
18	0.02130194380879402	ORPHA:96	ORPHA:96
19	0.021472908556461334	OMIM:618276	OMIM:618276
20	0.021544042974710464	ORPHA:442835	ORPHA:442835
21	0.021629150956869125	ORPHA:412057	ORPHA:412057
22	0.021682266145944595	ORPHA:447896	ORPHA:447896
23	0.021725371479988098	OMIM:614867	OMIM:614867
24	0.02186700329184532	ORPHA:216866	ORPHA:216866
25	0.022059019654989243	ORPHA:646	ORPHA:646
26	0.02209516428411007	OMIM:618238	OMIM:618238
27	0.02217867411673069	ORPHA:1170	ORPHA:1170
28	0.02221504971385002	ORPHA:93399	ORPHA:93399
29	0.022248506546020508	OMIM:614877	OMIM:614877
30	0.02236124500632286	ORPHA:289494	ORPHA:289494
31	0.022365164011716843	OMIM:256000	OMIM:256000
32	0.022466154769062996	ORPHA:157850	ORPHA:157850
33	0.022555338218808174	OMIM:619422	OMIM:619422
34	0.02256264165043831	ORPHA:97229	ORPHA:97229
35	0.02262556180357933	ORPHA:496641	ORPHA:496641
36	0.022635314613580704	ORPHA:86309	ORPHA:86309
37	0.022647958248853683	OMIM:615673	OMIM:615673
38	0.02266416884958744	OMIM:604369	OMIM:604369
39	0.02268463373184204	OMIM:616721	OMIM:616721
40	0.02270539104938507	ORPHA:79263	ORPHA:79263
41	0.022765345871448517	ORPHA:369847	ORPHA:369847
42	0.022888977080583572	OMIM:617013	OMIM:617013
43	0.0229249969124794	ORPHA:527497	ORPHA:527497
44	0.022950299084186554	OMIM:618226	OMIM:618226
45	0.02306320145726204	OMIM:614932	OMIM:614932
46	0.023063989356160164	OMIM:213200	OMIM:213200
47	0.023071017116308212	ORPHA:370968	ORPHA:370968
48	0.023096248507499695	ORPHA:508093	ORPHA:508093
49	0.023097911849617958	ORPHA:401866	ORPHA:401866
