rank	score	disease_name	disease_identifier
1	0.18255388736724854	OMIM:159580	OMIM:159580
2	0.18568509817123413	OMIM:300082	OMIM:300082
2	0.18568509817123413	OMIM:158280	OMIM:158280
4	0.19012963771820068	OMIM:612229	OMIM:612229
5	0.19246453046798706	OMIM:306300	OMIM:306300
6	0.19861507415771484	OMIM:205250	OMIM:205250
7	0.2005521059036255	ORPHA:46724	ORPHA:46724
8	0.2008075714111328	ORPHA:2040	ORPHA:2040
9	0.2008994221687317	OMIM:603688	OMIM:603688
10	0.20263057947158813	ORPHA:171622	ORPHA:171622
