rank	score	disease_name	disease_identifier
1	0.03350088745355606	OMIM:615225	OMIM:615225
2	0.03402772173285484	OMIM:224230	OMIM:224230
3	0.03512704372406006	OMIM:616295	OMIM:616295
4	0.03559786081314087	ORPHA:166113	ORPHA:166113
5	0.0379607193171978	OMIM:305000	OMIM:305000
6	0.03819786384701729	OMIM:615821	OMIM:615821
7	0.038448721170425415	OMIM:173650	OMIM:173650
8	0.03858690708875656	OMIM:226670	OMIM:226670
9	0.03868364542722702	ORPHA:79396	ORPHA:79396
10	0.039421796798706055	OMIM:614594	OMIM:614594
11	0.03975658491253853	OMIM:127550	OMIM:127550
12	0.039887819439172745	ORPHA:79409	ORPHA:79409
13	0.040351420640945435	ORPHA:1775	ORPHA:1775
14	0.04055274650454521	ORPHA:2907	ORPHA:2907
15	0.04066627472639084	ORPHA:89838	ORPHA:89838
16	0.040778160095214844	ORPHA:158673	ORPHA:158673
17	0.040859561413526535	OMIM:618373	OMIM:618373
18	0.04117396101355553	ORPHA:525	ORPHA:525
19	0.042037323117256165	OMIM:605676	OMIM:605676
20	0.04227421432733536	ORPHA:530	ORPHA:530
21	0.04229136183857918	OMIM:226600	OMIM:226600
22	0.04242739453911781	ORPHA:2309	ORPHA:2309
23	0.042561259120702744	ORPHA:79408	ORPHA:79408
24	0.04299863055348396	ORPHA:477	ORPHA:477
25	0.04300570487976074	ORPHA:2908	ORPHA:2908
26	0.04321134462952614	OMIM:167210	OMIM:167210
27	0.04330391064286232	OMIM:617337	OMIM:617337
28	0.04342043027281761	OMIM:604173	OMIM:604173
29	0.04346378520131111	ORPHA:89843	ORPHA:89843
30	0.04348805919289589	ORPHA:79151	ORPHA:79151
31	0.04361400380730629	OMIM:212360	OMIM:212360
32	0.043714944273233414	ORPHA:79402	ORPHA:79402
33	0.043783947825431824	OMIM:616029	OMIM:616029
34	0.04386436939239502	ORPHA:79405	ORPHA:79405
35	0.043890368193387985	ORPHA:79411	ORPHA:79411
36	0.043957870453596115	ORPHA:182	ORPHA:182
37	0.04407353699207306	OMIM:308205	OMIM:308205
38	0.044258397072553635	OMIM:131760	OMIM:131760
39	0.044284697622060776	OMIM:158310	OMIM:158310
40	0.04429003968834877	ORPHA:910	ORPHA:910
41	0.0443856306374073	OMIM:615425	OMIM:615425
42	0.04450748860836029	ORPHA:494	ORPHA:494
43	0.044552993029356	OMIM:301845	OMIM:301845
44	0.04468688741326332	OMIM:242300	OMIM:242300
45	0.04479089379310608	ORPHA:251393	ORPHA:251393
46	0.04500621557235718	ORPHA:79406	ORPHA:79406
47	0.04518667235970497	OMIM:148210	OMIM:148210
48	0.04533222317695618	ORPHA:100976	ORPHA:100976
49	0.04547984153032303	ORPHA:79410	ORPHA:79410
50	0.04578965902328491	ORPHA:79404	ORPHA:79404
51	0.04600534960627556	ORPHA:659	ORPHA:659
52	0.04613984376192093	OMIM:619208	OMIM:619208
53	0.04636675491929054	OMIM:308300	OMIM:308300
54	0.046450093388557434	ORPHA:79395	ORPHA:79395
55	0.04645715281367302	OMIM:226700	OMIM:226700
56	0.046847663819789886	OMIM:619787	OMIM:619787
57	0.04687565192580223	OMIM:604117	OMIM:604117
58	0.04689749702811241	ORPHA:3162	ORPHA:3162
59	0.04691646620631218	OMIM:601675	OMIM:601675
60	0.04700535163283348	ORPHA:464	ORPHA:464
61	0.0470891036093235	OMIM:607602	OMIM:607602
62	0.04714523255825043	OMIM:607626	OMIM:607626
63	0.0471552312374115	ORPHA:1010	ORPHA:1010
64	0.047286465764045715	OMIM:613988	OMIM:613988
65	0.04736528545618057	OMIM:615726	OMIM:615726
66	0.047414954751729965	OMIM:613989	OMIM:613989
67	0.04751681908965111	ORPHA:79503	ORPHA:79503
68	0.04767237603664398	ORPHA:742	ORPHA:742
69	0.047716882079839706	ORPHA:79280	ORPHA:79280
70	0.04789792001247406	ORPHA:158668	ORPHA:158668
71	0.04793693125247955	ORPHA:495	ORPHA:495
72	0.04802652820944786	OMIM:226730	OMIM:226730
73	0.04804782196879387	OMIM:615508	OMIM:615508
74	0.048210807144641876	ORPHA:158684	ORPHA:158684
75	0.04827598109841347	OMIM:242100	OMIM:242100
76	0.04835672304034233	OMIM:612281	OMIM:612281
77	0.04843536764383316	ORPHA:95455	ORPHA:95455
78	0.04846004396677017	ORPHA:317	ORPHA:317
79	0.04851372912526131	ORPHA:678	ORPHA:678
80	0.04867391660809517	ORPHA:2897	ORPHA:2897
81	0.048725370317697525	ORPHA:95159	ORPHA:95159
82	0.04873296990990639	ORPHA:83453	ORPHA:83453
83	0.048757404088974	ORPHA:313	ORPHA:313
84	0.04878346621990204	ORPHA:3071	ORPHA:3071
85	0.048900362104177475	ORPHA:2909	ORPHA:2909
86	0.04901651293039322	ORPHA:168569	ORPHA:168569
87	0.049027759581804276	ORPHA:902	ORPHA:902
88	0.04912357032299042	OMIM:130050	OMIM:130050
89	0.04920423403382301	ORPHA:99921	ORPHA:99921
90	0.04927363619208336	ORPHA:1896	ORPHA:1896
91	0.04928673803806305	OMIM:101900	OMIM:101900
92	0.04929331690073013	ORPHA:221016	ORPHA:221016
93	0.04937804117798805	OMIM:148500	OMIM:148500
94	0.04938090592622757	OMIM:263700	OMIM:263700
95	0.049383293837308884	ORPHA:238468	ORPHA:238468
96	0.04940680414438248	ORPHA:2314	ORPHA:2314
97	0.049559056758880615	ORPHA:89842	ORPHA:89842
98	0.04964926466345787	OMIM:308800	OMIM:308800
99	0.049703650176525116	ORPHA:79128	ORPHA:79128
100	0.049773067235946655	OMIM:614564	OMIM:614564
101	0.049802981317043304	OMIM:257980	OMIM:257980
102	0.04983663558959961	OMIM:266270	OMIM:266270
103	0.04992443323135376	ORPHA:221008	ORPHA:221008
104	0.05006229504942894	OMIM:618175	OMIM:618175
105	0.05008507892489433	OMIM:615704	OMIM:615704
106	0.050124332308769226	ORPHA:79399	ORPHA:79399
107	0.05013495683670044	OMIM:173200	OMIM:173200
108	0.05014506354928017	ORPHA:2273	ORPHA:2273
109	0.05014561116695404	ORPHA:220402	ORPHA:220402
110	0.050257567316293716	OMIM:278700	OMIM:278700
111	0.050294384360313416	ORPHA:2526	ORPHA:2526
112	0.050336066633462906	ORPHA:33364	ORPHA:33364
113	0.05034032091498375	ORPHA:231568	ORPHA:231568
114	0.05035221949219704	OMIM:301220	OMIM:301220
115	0.05036561191082001	OMIM:619767	OMIM:619767
116	0.05037178471684456	OMIM:224750	OMIM:224750
117	0.05037804692983627	ORPHA:2796	ORPHA:2796
118	0.0504082553088665	OMIM:601952	OMIM:601952
119	0.050414327532052994	OMIM:615023	OMIM:615023
120	0.05044344812631607	OMIM:617303	OMIM:617303
121	0.05045771598815918	ORPHA:79397	ORPHA:79397
122	0.05046125128865242	ORPHA:228119	ORPHA:228119
123	0.05050782486796379	OMIM:615522	OMIM:615522
124	0.05057257041335106	OMIM:618625	OMIM:618625
125	0.05060131475329399	ORPHA:758	ORPHA:758
126	0.050646666437387466	ORPHA:158681	ORPHA:158681
127	0.05067041143774986	ORPHA:1839	ORPHA:1839
128	0.0508720763027668	ORPHA:797	ORPHA:797
129	0.051091402769088745	OMIM:124200	OMIM:124200
130	0.05115630850195885	ORPHA:2584	ORPHA:2584
131	0.05121308192610741	ORPHA:83617	ORPHA:83617
132	0.05126658454537392	OMIM:613075	OMIM:613075
133	0.05131042003631592	OMIM:300918	OMIM:300918
134	0.05132908374071121	ORPHA:286	ORPHA:286
135	0.051350925117731094	OMIM:268130	OMIM:268130
136	0.05140615254640579	ORPHA:69087	ORPHA:69087
137	0.05146760120987892	ORPHA:69745	ORPHA:69745
138	0.05177828669548035	OMIM:153400	OMIM:153400
139	0.05186057463288307	OMIM:613987	OMIM:613987
140	0.051871027797460556	ORPHA:79430	ORPHA:79430
141	0.05192411690950394	OMIM:601701	OMIM:601701
142	0.05197633057832718	ORPHA:79277	ORPHA:79277
143	0.05202798172831535	OMIM:614748	OMIM:614748
144	0.05203093960881233	OMIM:181600	OMIM:181600
145	0.05212957784533501	OMIM:614742	OMIM:614742
146	0.05218254402279854	ORPHA:79474	ORPHA:79474
147	0.05221332609653473	OMIM:259100	OMIM:259100
148	0.052286677062511444	ORPHA:2092	ORPHA:2092
149	0.05230603739619255	ORPHA:634	ORPHA:634
150	0.052323076874017715	ORPHA:3474	ORPHA:3474
151	0.052335597574710846	OMIM:607936	OMIM:607936
152	0.052372563630342484	OMIM:617052	OMIM:617052
153	0.05237611383199692	OMIM:620133	OMIM:620133
154	0.052382539957761765	OMIM:137940	OMIM:137940
155	0.05241084098815918	OMIM:620148	OMIM:620148
156	0.05241230130195618	OMIM:176920	OMIM:176920
157	0.052417077124118805	ORPHA:37	ORPHA:37
158	0.052418794482946396	OMIM:609242	OMIM:609242
