rank	score	disease_name	disease_identifier
1	0.012315895408391953	OMIM:613707	OMIM:613707
2	0.012725052423775196	OMIM:613224	OMIM:613224
3	0.01417571771889925	OMIM:611431	OMIM:611431
4	0.014313905499875546	OMIM:613706	OMIM:613706
5	0.014499694108963013	OMIM:619312	OMIM:619312
6	0.015229769982397556	OMIM:617506	OMIM:617506
7	0.015277250669896603	OMIM:613563	OMIM:613563
8	0.015295430086553097	ORPHA:397941	ORPHA:397941
9	0.01536631677299738	OMIM:616638	OMIM:616638
10	0.015494751743972301	ORPHA:2563	ORPHA:2563
11	0.015499956905841827	OMIM:300860	OMIM:300860
12	0.015527809038758278	ORPHA:1340	ORPHA:1340
13	0.015572505071759224	OMIM:157980	OMIM:157980
14	0.015594207681715488	OMIM:617360	OMIM:617360
15	0.015699416399002075	ORPHA:357001	ORPHA:357001
16	0.015773603692650795	OMIM:615834	OMIM:615834
17	0.015822088345885277	OMIM:618971	OMIM:618971
18	0.015824800357222557	OMIM:607721	OMIM:607721
19	0.01582535356283188	OMIM:269921	OMIM:269921
20	0.015871083363890648	OMIM:619087	OMIM:619087
21	0.016064543277025223	OMIM:611553	OMIM:611553
22	0.01608516089618206	OMIM:619950	OMIM:619950
23	0.016099130734801292	OMIM:115150	OMIM:115150
24	0.016134798526763916	OMIM:619695	OMIM:619695
25	0.016184400767087936	OMIM:617991	OMIM:617991
26	0.01621278189122677	OMIM:620250	OMIM:620250
27	0.016357960179448128	OMIM:613174	OMIM:613174
28	0.01652824878692627	OMIM:614541	OMIM:614541
29	0.016529452055692673	ORPHA:319182	ORPHA:319182
30	0.016539491713047028	OMIM:213980	OMIM:213980
31	0.0165706854313612	OMIM:619841	OMIM:619841
32	0.016644174233078957	OMIM:617694	OMIM:617694
33	0.016651177778840065	ORPHA:2707	ORPHA:2707
34	0.01668044924736023	OMIM:613406	OMIM:613406
35	0.016680553555488586	OMIM:601358	OMIM:601358
36	0.0167617779225111	OMIM:615668	OMIM:615668
37	0.016794197261333466	OMIM:605130	OMIM:605130
38	0.01682470738887787	OMIM:117550	OMIM:117550
39	0.01682659424841404	OMIM:264090	OMIM:264090
40	0.01687302254140377	OMIM:619504	OMIM:619504
41	0.016906393691897392	OMIM:300590	OMIM:300590
42	0.016993869096040726	ORPHA:369891	ORPHA:369891
43	0.017018061131238937	OMIM:156200	OMIM:156200
44	0.017024468630552292	OMIM:617260	OMIM:617260
45	0.01703370176255703	OMIM:619383	OMIM:619383
46	0.017087360844016075	ORPHA:261584	ORPHA:261584
47	0.017093561589717865	ORPHA:284180	ORPHA:284180
48	0.017102140933275223	OMIM:617190	OMIM:617190
49	0.01711084693670273	OMIM:613604	OMIM:613604
50	0.017121002078056335	OMIM:617061	OMIM:617061
51	0.017203088849782944	OMIM:244450	OMIM:244450
52	0.01731477677822113	OMIM:614202	OMIM:614202
53	0.017315533012151718	OMIM:618443	OMIM:618443
54	0.017334509640932083	OMIM:620098	OMIM:620098
55	0.017369011417031288	OMIM:619325	OMIM:619325
56	0.01737327314913273	ORPHA:171829	ORPHA:171829
57	0.017397232353687286	OMIM:613776	OMIM:613776
58	0.01739852875471115	OMIM:617157	OMIM:617157
59	0.01740768738090992	ORPHA:247262	ORPHA:247262
60	0.017449941486120224	OMIM:300895	OMIM:300895
61	0.01750367321074009	ORPHA:2995	ORPHA:2995
62	0.017509792000055313	OMIM:309590	OMIM:309590
63	0.01757948100566864	OMIM:619512	OMIM:619512
64	0.01760176010429859	OMIM:618950	OMIM:618950
65	0.0177121851593256	OMIM:611554	OMIM:611554
66	0.017727192491292953	OMIM:223370	OMIM:223370
67	0.017732061445713043	ORPHA:487825	ORPHA:487825
68	0.017746590077877045	ORPHA:261349	ORPHA:261349
69	0.01775229535996914	OMIM:618106	OMIM:618106
70	0.017756178975105286	OMIM:619188	OMIM:619188
71	0.01776425912976265	ORPHA:420179	ORPHA:420179
72	0.01776946894824505	OMIM:602342	OMIM:602342
73	0.017790742218494415	OMIM:617330	OMIM:617330
74	0.01782165840268135	ORPHA:391408	ORPHA:391408
75	0.01782268099486828	OMIM:618622	OMIM:618622
76	0.017833944410085678	OMIM:300966	OMIM:300966
77	0.017857206985354424	ORPHA:177907	ORPHA:177907
78	0.017884107306599617	OMIM:619989	OMIM:619989
79	0.017888037487864494	ORPHA:313781	ORPHA:313781
80	0.017909321933984756	OMIM:618929	OMIM:618929
81	0.017925068736076355	OMIM:615873	OMIM:615873
82	0.017971839755773544	OMIM:615485	OMIM:615485
83	0.017973890528082848	OMIM:605039	OMIM:605039
84	0.018006790429353714	OMIM:156610	OMIM:156610
85	0.018011583015322685	OMIM:616734	OMIM:616734
86	0.018021728843450546	OMIM:300882	OMIM:300882
87	0.01802823506295681	OMIM:619762	OMIM:619762
88	0.018038008362054825	OMIM:613026	OMIM:613026
89	0.018058763816952705	ORPHA:480907	ORPHA:480907
90	0.018095681443810463	ORPHA:3309	ORPHA:3309
91	0.018134376034140587	ORPHA:363686	ORPHA:363686
92	0.018137698993086815	ORPHA:447980	ORPHA:447980
93	0.018173472955822945	OMIM:619320	OMIM:619320
94	0.01817621849477291	OMIM:609625	OMIM:609625
95	0.018186595290899277	ORPHA:3063	ORPHA:3063
96	0.01819000020623207	ORPHA:2332	ORPHA:2332
97	0.01819545216858387	ORPHA:495875	ORPHA:495875
98	0.01820673979818821	ORPHA:96121	ORPHA:96121
99	0.018213769420981407	OMIM:617452	OMIM:617452
100	0.018215995281934738	OMIM:618027	OMIM:618027
101	0.018220366910099983	ORPHA:238750	ORPHA:238750
102	0.018220746889710426	OMIM:230740	OMIM:230740
103	0.018256641924381256	OMIM:616078	OMIM:616078
104	0.018269561231136322	OMIM:618089	OMIM:618089
105	0.018302040174603462	OMIM:620330	OMIM:620330
106	0.01830403134226799	OMIM:619075	OMIM:619075
107	0.01830464042723179	OMIM:615280	OMIM:615280
108	0.018305489793419838	OMIM:619720	OMIM:619720
109	0.01833796314895153	OMIM:618590	OMIM:618590
110	0.01835658773779869	OMIM:617982	OMIM:617982
111	0.018361637368798256	ORPHA:319671	ORPHA:319671
112	0.018368275836110115	OMIM:617763	OMIM:617763
113	0.01838642545044422	ORPHA:457359	ORPHA:457359
114	0.01845506951212883	OMIM:249310	OMIM:249310
115	0.01846468448638916	OMIM:616708	OMIM:616708
116	0.018476976081728935	OMIM:620113	OMIM:620113
117	0.018514741212129593	OMIM:610443	OMIM:610443
118	0.01851687766611576	ORPHA:401973	ORPHA:401973
119	0.01854061707854271	OMIM:616801	OMIM:616801
120	0.01856856793165207	ORPHA:231137	ORPHA:231137
121	0.01859896257519722	ORPHA:261250	ORPHA:261250
122	0.018603581935167313	OMIM:135500	OMIM:135500
123	0.018625466153025627	OMIM:613792	OMIM:613792
124	0.018645895645022392	OMIM:614608	OMIM:614608
125	0.018670637160539627	OMIM:617011	OMIM:617011
126	0.01867290958762169	OMIM:610759	OMIM:610759
127	0.018677473068237305	OMIM:618828	OMIM:618828
128	0.01869010552763939	OMIM:618371	OMIM:618371
129	0.018739040940999985	OMIM:619244	OMIM:619244
130	0.018768299371004105	ORPHA:261290	ORPHA:261290
131	0.018770862370729446	OMIM:614114	OMIM:614114
132	0.018777456134557724	OMIM:270450	OMIM:270450
133	0.018789142370224	ORPHA:438216	ORPHA:438216
134	0.018802853301167488	OMIM:615502	OMIM:615502
135	0.018806401640176773	OMIM:619293	OMIM:619293
136	0.018816659227013588	ORPHA:369950	ORPHA:369950
137	0.01882472075521946	OMIM:612513	OMIM:612513
138	0.018839485943317413	ORPHA:1715	ORPHA:1715
139	0.01884486898779869	OMIM:619005	OMIM:619005
140	0.018846912309527397	OMIM:123450	OMIM:123450
141	0.018855232745409012	ORPHA:251028	ORPHA:251028
142	0.01887742429971695	OMIM:601321	OMIM:601321
143	0.018891707062721252	OMIM:617561	OMIM:617561
144	0.018919792026281357	OMIM:301066	OMIM:301066
145	0.018923265859484673	OMIM:617883	OMIM:617883
146	0.01892966777086258	OMIM:618050	OMIM:618050
147	0.018945816904306412	ORPHA:217385	ORPHA:217385
148	0.018952270969748497	OMIM:219200	OMIM:219200
