rank	score	disease_name	disease_identifier
1	0.11301755160093307	OMIM:615193	OMIM:615193
2	0.12369131296873093	OMIM:188000	OMIM:188000
3	0.12554709613323212	OMIM:187800	OMIM:187800
4	0.12740585207939148	ORPHA:521	ORPHA:521
5	0.13314753770828247	OMIM:187950	OMIM:187950
6	0.13762310147285461	OMIM:619271	OMIM:619271
7	0.14069490134716034	OMIM:202700	OMIM:202700
8	0.14584310352802277	OMIM:314050	OMIM:314050
9	0.1463651806116104	OMIM:139090	OMIM:139090
10	0.14647218585014343	OMIM:231200	OMIM:231200
11	0.14782431721687317	ORPHA:231393	ORPHA:231393
12	0.14811033010482788	OMIM:608404	OMIM:608404
13	0.14817175269126892	OMIM:263300	OMIM:263300
14	0.14956118166446686	OMIM:618963	OMIM:618963
15	0.14960069954395294	ORPHA:721	ORPHA:721
16	0.15031808614730835	OMIM:153670	OMIM:153670
17	0.15168578922748566	OMIM:619130	OMIM:619130
18	0.15185502171516418	OMIM:601977	OMIM:601977
19	0.15216614305973053	ORPHA:75564	ORPHA:75564
20	0.15322262048721313	ORPHA:238459	ORPHA:238459
21	0.15376226603984833	OMIM:188030	OMIM:188030
22	0.1549534648656845	ORPHA:88	ORPHA:88
23	0.15515203773975372	ORPHA:824	ORPHA:824
24	0.15525180101394653	OMIM:273900	OMIM:273900
25	0.15543632209300995	OMIM:601399	OMIM:601399
26	0.156991109251976	ORPHA:517	ORPHA:517
27	0.1570349782705307	OMIM:612004	OMIM:612004
28	0.15866707265377045	OMIM:618462	OMIM:618462
29	0.15870344638824463	OMIM:131400	OMIM:131400
30	0.15886323153972626	OMIM:173590	OMIM:173590
31	0.15912790596485138	OMIM:155100	OMIM:155100
32	0.15970464050769806	OMIM:187900	OMIM:187900
33	0.16012988984584808	OMIM:273800	OMIM:273800
34	0.1612573117017746	OMIM:137560	OMIM:137560
35	0.16226233541965485	ORPHA:3318	ORPHA:3318
36	0.16243834793567657	OMIM:601709	OMIM:601709
37	0.16287259757518768	ORPHA:494444	ORPHA:494444
38	0.1628751903772354	OMIM:173420	OMIM:173420
39	0.16290175914764404	ORPHA:86841	ORPHA:86841
40	0.1635514199733734	OMIM:612690	OMIM:612690
41	0.1645270735025406	OMIM:616176	OMIM:616176
42	0.1648228019475937	OMIM:619267	OMIM:619267
43	0.16492031514644623	OMIM:277480	OMIM:277480
44	0.16713880002498627	OMIM:616216	OMIM:616216
45	0.1685592383146286	ORPHA:274	ORPHA:274
46	0.16876757144927979	OMIM:616689	OMIM:616689
47	0.16903676092624664	OMIM:614158	OMIM:614158
48	0.16943809390068054	OMIM:300835	OMIM:300835
49	0.16957606375217438	ORPHA:90044	ORPHA:90044
50	0.16989073157310486	OMIM:614470	OMIM:614470
51	0.17048579454421997	ORPHA:2688	ORPHA:2688
52	0.17057548463344574	ORPHA:849	ORPHA:849
53	0.17068517208099365	OMIM:613011	OMIM:613011
54	0.1714007556438446	OMIM:210250	OMIM:210250
55	0.1723507195711136	OMIM:604498	OMIM:604498
56	0.1727478951215744	OMIM:271400	OMIM:271400
57	0.1728300154209137	OMIM:313900	OMIM:313900
58	0.17284536361694336	OMIM:617443	OMIM:617443
59	0.173140287399292	ORPHA:158057	ORPHA:158057
60	0.173171728849411	OMIM:619041	OMIM:619041
61	0.17327405512332916	ORPHA:3203	ORPHA:3203
62	0.1732911318540573	OMIM:162830	OMIM:162830
63	0.17339736223220825	OMIM:614201	OMIM:614201
64	0.17366322875022888	ORPHA:2330	ORPHA:2330
65	0.17380894720554352	ORPHA:86839	ORPHA:86839
66	0.1738561987876892	ORPHA:158061	ORPHA:158061
67	0.17518697679042816	ORPHA:49566	ORPHA:49566
68	0.17523452639579773	OMIM:209950	OMIM:209950
69	0.17571648955345154	ORPHA:520	ORPHA:520
70	0.17579419910907745	OMIM:611783	OMIM:611783
71	0.17583486437797546	OMIM:614521	OMIM:614521
72	0.1764276623725891	OMIM:612840	OMIM:612840
73	0.17656800150871277	OMIM:124900	OMIM:124900
74	0.17680101096630096	ORPHA:91547	ORPHA:91547
75	0.17691347002983093	ORPHA:232	ORPHA:232
76	0.17743639647960663	ORPHA:3202	ORPHA:3202
77	0.17760983109474182	ORPHA:182050	ORPHA:182050
78	0.17770913243293762	OMIM:614034	OMIM:614034
79	0.17783024907112122	ORPHA:98849	ORPHA:98849
80	0.17810702323913574	OMIM:603909	OMIM:603909
81	0.1781178116798401	OMIM:618795	OMIM:618795
82	0.17870110273361206	ORPHA:331206	ORPHA:331206
83	0.17876845598220825	ORPHA:859	ORPHA:859
84	0.17894487082958221	ORPHA:169154	ORPHA:169154
85	0.17896521091461182	OMIM:226990	OMIM:226990
86	0.1793006956577301	OMIM:614009	OMIM:614009
87	0.17965008318424225	ORPHA:401945	ORPHA:401945
88	0.18036910891532898	OMIM:314000	OMIM:314000
89	0.18068237602710724	OMIM:252270	OMIM:252270
90	0.18091624975204468	ORPHA:35909	ORPHA:35909
91	0.1810525804758072	ORPHA:158048	ORPHA:158048
92	0.18318557739257812	ORPHA:3325	ORPHA:3325
93	0.18320371210575104	OMIM:613107	OMIM:613107
94	0.1832665652036667	OMIM:209050	OMIM:209050
95	0.18365046381950378	ORPHA:231401	ORPHA:231401
96	0.18375882506370544	OMIM:308240	OMIM:308240
97	0.18392425775527954	OMIM:141000	OMIM:141000
98	0.18398422002792358	ORPHA:64743	ORPHA:64743
99	0.18415629863739014	ORPHA:325	ORPHA:325
100	0.18488425016403198	ORPHA:540	ORPHA:540
101	0.18517452478408813	OMIM:133180	OMIM:133180
102	0.18541094660758972	ORPHA:507	ORPHA:507
103	0.18546901643276215	OMIM:615285	OMIM:615285
104	0.18550387024879456	ORPHA:101096	ORPHA:101096
105	0.18553608655929565	OMIM:227400	OMIM:227400
106	0.18557403981685638	ORPHA:35858	ORPHA:35858
107	0.18589578568935394	OMIM:617441	OMIM:617441
108	0.18613766133785248	OMIM:603554	OMIM:603554
109	0.1862087845802307	OMIM:301000	OMIM:301000
110	0.18623298406600952	OMIM:619281	OMIM:619281
111	0.18626439571380615	OMIM:274150	OMIM:274150
112	0.18630899488925934	ORPHA:98870	ORPHA:98870
113	0.18632479012012482	ORPHA:766	ORPHA:766
114	0.1863466501235962	ORPHA:542643	ORPHA:542643
