rank	score	disease_name	disease_identifier
1	0.022271456196904182	OMIM:610828	OMIM:610828
2	0.023051319643855095	OMIM:142946	OMIM:142946
3	0.031130246818065643	OMIM:301043	OMIM:301043
4	0.03159357234835625	OMIM:142945	OMIM:142945
5	0.032334569841623306	OMIM:157170	OMIM:157170
6	0.0325167141854763	ORPHA:2117	ORPHA:2117
7	0.03285159915685654	ORPHA:1827	ORPHA:1827
8	0.03293650969862938	OMIM:615465	OMIM:615465
9	0.03347970172762871	OMIM:610829	OMIM:610829
10	0.033533550798892975	OMIM:136760	OMIM:136760
11	0.03432614356279373	OMIM:617746	OMIM:617746
12	0.0345882922410965	OMIM:608572	OMIM:608572
13	0.0347900353372097	ORPHA:398156	ORPHA:398156
14	0.0354045070707798	OMIM:608670	OMIM:608670
15	0.03575421869754791	OMIM:619306	OMIM:619306
16	0.035842910408973694	OMIM:619452	OMIM:619452
17	0.03585903346538544	OMIM:612530	OMIM:612530
18	0.03620465472340584	ORPHA:280200	ORPHA:280200
19	0.03640839830040932	ORPHA:1449	ORPHA:1449
20	0.036479558795690536	OMIM:300000	OMIM:300000
21	0.036750856786966324	OMIM:607597	OMIM:607597
22	0.0368107333779335	OMIM:241800	OMIM:241800
23	0.036869391798973083	OMIM:301022	OMIM:301022
24	0.036880847066640854	ORPHA:364577	ORPHA:364577
25	0.03702900931239128	OMIM:603671	OMIM:603671
26	0.03725270926952362	OMIM:147250	OMIM:147250
27	0.0372839979827404	OMIM:616854	OMIM:616854
28	0.03731587156653404	ORPHA:1993	ORPHA:1993
29	0.03733789548277855	ORPHA:306542	ORPHA:306542
30	0.0373983159661293	ORPHA:391474	ORPHA:391474
31	0.03744468465447426	ORPHA:2059	ORPHA:2059
32	0.03750224411487579	OMIM:219000	OMIM:219000
33	0.03754498437047005	OMIM:605627	OMIM:605627
34	0.03754686564207077	ORPHA:1790	ORPHA:1790
35	0.037798844277858734	OMIM:164280	OMIM:164280
36	0.037845417857170105	OMIM:618454	OMIM:618454
37	0.03786421939730644	OMIM:243310	OMIM:243310
38	0.037877216935157776	OMIM:612651	OMIM:612651
39	0.03803224489092827	OMIM:614701	OMIM:614701
40	0.03809858858585358	OMIM:615583	OMIM:615583
41	0.0382469967007637	ORPHA:2162	ORPHA:2162
42	0.0383145846426487	OMIM:613451	OMIM:613451
43	0.03833611309528351	OMIM:609637	OMIM:609637
44	0.03836040943861008	OMIM:236680	OMIM:236680
45	0.03838610649108887	OMIM:257300	OMIM:257300
46	0.0383906252682209	OMIM:610759	OMIM:610759
47	0.03856894373893738	OMIM:261540	OMIM:261540
48	0.03872072324156761	OMIM:620186	OMIM:620186
49	0.03872402012348175	ORPHA:2753	ORPHA:2753
50	0.038911525160074234	ORPHA:163979	ORPHA:163979
51	0.038949936628341675	OMIM:615948	OMIM:615948
52	0.038957200944423676	OMIM:618804	OMIM:618804
53	0.038976456969976425	ORPHA:709	ORPHA:709
54	0.0391666442155838	OMIM:618622	OMIM:618622
55	0.039195332676172256	ORPHA:171839	ORPHA:171839
56	0.039410870522260666	OMIM:616920	OMIM:616920
57	0.03941095992922783	ORPHA:2189	ORPHA:2189
58	0.03941518813371658	OMIM:618577	OMIM:618577
59	0.039432406425476074	OMIM:610536	OMIM:610536
60	0.0394824743270874	OMIM:612863	OMIM:612863
61	0.03956848382949829	ORPHA:459061	ORPHA:459061
62	0.039670731872320175	OMIM:174300	OMIM:174300
63	0.039780668914318085	ORPHA:1791	ORPHA:1791
64	0.039791882038116455	OMIM:619841	OMIM:619841
65	0.03984670713543892	OMIM:616894	OMIM:616894
66	0.03991381451487541	OMIM:300712	OMIM:300712
67	0.039998628199100494	OMIM:229850	OMIM:229850
68	0.04005664214491844	OMIM:272950	OMIM:272950
69	0.040094487369060516	ORPHA:96097	ORPHA:96097
70	0.04011654853820801	ORPHA:1908	ORPHA:1908
71	0.04011872038245201	ORPHA:3305	ORPHA:3305
72	0.04018333926796913	ORPHA:261337	ORPHA:261337
73	0.04019844904541969	OMIM:145420	OMIM:145420
74	0.040212247520685196	OMIM:617260	OMIM:617260
75	0.04021984711289406	OMIM:113620	OMIM:113620
76	0.04024597629904747	OMIM:164210	OMIM:164210
77	0.040247686207294464	ORPHA:217017	ORPHA:217017
78	0.0402536615729332	ORPHA:2516	ORPHA:2516
79	0.04028864577412605	OMIM:620157	OMIM:620157
80	0.0402916856110096	ORPHA:1308	ORPHA:1308
81	0.04033719375729561	OMIM:613884	OMIM:613884
82	0.04039040580391884	ORPHA:1692	ORPHA:1692
83	0.040399160236120224	OMIM:616975	OMIM:616975
84	0.04043341055512428	OMIM:309500	OMIM:309500
85	0.04043512046337128	ORPHA:1299	ORPHA:1299
86	0.040441691875457764	OMIM:620156	OMIM:620156
87	0.04046233743429184	OMIM:619325	OMIM:619325
88	0.04046541079878807	ORPHA:1297	ORPHA:1297
89	0.04048396274447441	OMIM:616835	OMIM:616835
90	0.04049533233046532	OMIM:613603	OMIM:613603
91	0.04054349660873413	OMIM:616300	OMIM:616300
92	0.04054747521877289	OMIM:156610	OMIM:156610
93	0.040552083402872086	ORPHA:87	ORPHA:87
