rank	score	disease_name	disease_identifier
1	0.013006660155951977	ORPHA:206436	ORPHA:206436
2	0.013518176972866058	ORPHA:565624	ORPHA:565624
3	0.01454094611108303	ORPHA:79139	ORPHA:79139
4	0.015897026285529137	ORPHA:845	ORPHA:845
5	0.01610320433974266	OMIM:614498	OMIM:614498
6	0.01616339012980461	ORPHA:544469	ORPHA:544469
7	0.0163648072630167	OMIM:616239	OMIM:616239
8	0.016708064824342728	ORPHA:319514	ORPHA:319514
9	0.016807949170470238	ORPHA:88639	ORPHA:88639
10	0.01689078100025654	ORPHA:135	ORPHA:135
11	0.0169086791574955	OMIM:611722	OMIM:611722
12	0.017022836953401566	ORPHA:258	ORPHA:258
13	0.017031656578183174	ORPHA:25	ORPHA:25
14	0.01705831289291382	ORPHA:442835	ORPHA:442835
15	0.01708914339542389	OMIM:617193	OMIM:617193
16	0.017121460288763046	OMIM:611523	OMIM:611523
17	0.017184661701321602	OMIM:620352	OMIM:620352
18	0.017256438732147217	OMIM:612389	OMIM:612389
19	0.01734648458659649	ORPHA:309263	ORPHA:309263
20	0.017359765246510506	ORPHA:314911	ORPHA:314911
21	0.01742873527109623	ORPHA:404454	ORPHA:404454
22	0.017478683963418007	ORPHA:445038	ORPHA:445038
23	0.017490234225988388	ORPHA:2524	ORPHA:2524
24	0.017588477581739426	OMIM:245200	OMIM:245200
25	0.01760466955602169	ORPHA:309155	ORPHA:309155
26	0.01763063110411167	ORPHA:35069	ORPHA:35069
27	0.017661146819591522	ORPHA:485421	ORPHA:485421
28	0.017803005874156952	OMIM:617186	OMIM:617186
29	0.017885155975818634	OMIM:618065	OMIM:618065
30	0.017914166674017906	OMIM:256600	OMIM:256600
31	0.017979107797145844	ORPHA:572798	ORPHA:572798
32	0.01798459328711033	OMIM:252010	OMIM:252010
33	0.018067985773086548	ORPHA:2254	ORPHA:2254
34	0.0180753655731678	ORPHA:500144	ORPHA:500144
35	0.018099263310432434	OMIM:614947	OMIM:614947
36	0.01824960671365261	OMIM:609924	OMIM:609924
37	0.018275288864970207	OMIM:607596	OMIM:607596
38	0.018376093357801437	ORPHA:3208	ORPHA:3208
39	0.01839752122759819	ORPHA:309256	ORPHA:309256
40	0.018429575487971306	OMIM:220120	OMIM:220120
41	0.01843653805553913	ORPHA:2388	ORPHA:2388
42	0.018440909683704376	ORPHA:95428	ORPHA:95428
43	0.01846892572939396	ORPHA:506	ORPHA:506
44	0.01849781908094883	OMIM:617519	OMIM:617519
45	0.018528182059526443	ORPHA:401866	ORPHA:401866
46	0.018542950972914696	ORPHA:88619	ORPHA:88619
47	0.01856853999197483	ORPHA:97229	ORPHA:97229
48	0.018636496737599373	ORPHA:86309	ORPHA:86309
49	0.01867597922682762	ORPHA:70472	ORPHA:70472
50	0.01869325153529644	ORPHA:58	ORPHA:58
51	0.018755488097667694	ORPHA:309271	ORPHA:309271
52	0.018760140985250473	ORPHA:263410	ORPHA:263410
53	0.018780367448925972	ORPHA:284417	ORPHA:284417
54	0.018790626898407936	ORPHA:255210	ORPHA:255210
55	0.01891157031059265	OMIM:616672	OMIM:616672
56	0.018921446055173874	ORPHA:79097	ORPHA:79097
57	0.01892842724919319	OMIM:272750	OMIM:272750
58	0.018931522965431213	OMIM:614388	OMIM:614388
59	0.01897783949971199	OMIM:618226	OMIM:618226
60	0.01900188811123371	ORPHA:139485	ORPHA:139485
61	0.019047172740101814	OMIM:609136	OMIM:609136
62	0.01906345970928669	OMIM:271245	OMIM:271245
63	0.019069520756602287	OMIM:617339	OMIM:617339
64	0.019130971282720566	ORPHA:97349	ORPHA:97349
65	0.019131673499941826	ORPHA:2822	ORPHA:2822
66	0.019189883023500443	OMIM:619777	OMIM:619777
67	0.019304482266306877	ORPHA:431361	ORPHA:431361
68	0.019418850541114807	ORPHA:496641	ORPHA:496641
69	0.01942414604127407	OMIM:616034	OMIM:616034
70	0.019516222178936005	OMIM:312080	OMIM:312080
71	0.01956089399755001	OMIM:615673	OMIM:615673
72	0.01956743374466896	ORPHA:79243	ORPHA:79243
73	0.019585449248552322	OMIM:617668	OMIM:617668
74	0.01961255632340908	ORPHA:280071	ORPHA:280071
75	0.019630955532193184	ORPHA:363400	ORPHA:363400
76	0.019653504714369774	ORPHA:391417	ORPHA:391417
77	0.01965879276394844	ORPHA:391428	ORPHA:391428
78	0.019664406776428223	ORPHA:51	ORPHA:51
79	0.01969197392463684	OMIM:614678	OMIM:614678
80	0.01977904513478279	OMIM:619076	OMIM:619076
81	0.019794940948486328	OMIM:268800	OMIM:268800
82	0.019810346886515617	ORPHA:909	ORPHA:909
83	0.019855095073580742	ORPHA:457351	ORPHA:457351
84	0.01985669881105423	OMIM:612073	OMIM:612073
85	0.019880112260580063	ORPHA:273	ORPHA:273
86	0.019914746284484863	OMIM:250100	OMIM:250100
87	0.01992994360625744	ORPHA:98914	ORPHA:98914
87	0.01992994360625744	ORPHA:590	ORPHA:590
89	0.0199356060475111	ORPHA:99027	ORPHA:99027
90	0.0199584923684597	ORPHA:282166	ORPHA:282166
91	0.019984962418675423	ORPHA:83597	ORPHA:83597
92	0.019985325634479523	OMIM:618451	OMIM:618451
93	0.020093334838747978	ORPHA:139396	ORPHA:139396
94	0.02009710669517517	ORPHA:2356	ORPHA:2356
95	0.02011440321803093	ORPHA:97355	ORPHA:97355
96	0.02014145255088806	OMIM:618222	OMIM:618222
97	0.02015988901257515	ORPHA:280210	ORPHA:280210
98	0.020179374143481255	ORPHA:352596	ORPHA:352596
99	0.02022079937160015	ORPHA:466934	ORPHA:466934
100	0.020243169739842415	OMIM:618241	OMIM:618241
101	0.020266972482204437	ORPHA:1314	ORPHA:1314
102	0.020290754735469818	ORPHA:477774	ORPHA:477774
103	0.0202995166182518	ORPHA:254892	ORPHA:254892
104	0.02034231275320053	ORPHA:209370	ORPHA:209370
105	0.020353537052869797	ORPHA:646	ORPHA:646
106	0.020355762913823128	ORPHA:206448	ORPHA:206448
107	0.020385410636663437	ORPHA:171629	ORPHA:171629
108	0.020389758050441742	OMIM:614254	OMIM:614254
109	0.020443672314286232	ORPHA:2131	ORPHA:2131
110	0.020445451140403748	OMIM:615574	OMIM:615574
111	0.020478077232837677	ORPHA:505216	ORPHA:505216
112	0.020524125546216965	ORPHA:225154	ORPHA:225154
113	0.020577795803546906	OMIM:301072	OMIM:301072
114	0.020606299862265587	ORPHA:79351	ORPHA:79351
115	0.020611628890037537	OMIM:618922	OMIM:618922
116	0.020612839609384537	ORPHA:2609	ORPHA:2609
117	0.02065211534500122	ORPHA:314404	ORPHA:314404
118	0.020653216168284416	ORPHA:447997	ORPHA:447997
119	0.020659390836954117	OMIM:617698	OMIM:617698
120	0.020683929324150085	OMIM:617435	OMIM:617435
121	0.020685065537691116	ORPHA:415	ORPHA:415
122	0.020706890150904655	OMIM:300816	OMIM:300816
123	0.020709162577986717	ORPHA:79263	ORPHA:79263
124	0.020778615027666092	OMIM:611721	OMIM:611721
125	0.020782772451639175	ORPHA:468699	ORPHA:468699
126	0.02080967277288437	ORPHA:478029	ORPHA:478029
127	0.0208646971732378	ORPHA:204	ORPHA:204
128	0.020899901166558266	OMIM:618367	OMIM:618367
129	0.02093621902167797	OMIM:616271	OMIM:616271
130	0.02095097303390503	ORPHA:79279	ORPHA:79279
131	0.020995918661355972	OMIM:203700	OMIM:203700
132	0.021031411364674568	ORPHA:412057	ORPHA:412057
133	0.02103482000529766	ORPHA:395	ORPHA:395
134	0.02110469527542591	OMIM:620166	OMIM:620166
135	0.021111147478222847	ORPHA:1934	ORPHA:1934
136	0.021116187795996666	OMIM:617493	OMIM:617493
137	0.021119562909007072	OMIM:612949	OMIM:612949
138	0.021158605813980103	ORPHA:330050	ORPHA:330050
139	0.021160999312996864	OMIM:619527	OMIM:619527
140	0.021186290308833122	ORPHA:99013	ORPHA:99013
141	0.02121330052614212	OMIM:600721	OMIM:600721
142	0.02121945470571518	ORPHA:137898	ORPHA:137898
143	0.021225539967417717	OMIM:614877	OMIM:614877
144	0.021228410303592682	OMIM:617710	OMIM:617710
145	0.021235154941678047	ORPHA:439218	ORPHA:439218
146	0.0212628822773695	OMIM:211530	OMIM:211530
147	0.021272026002407074	OMIM:300884	OMIM:300884
148	0.021277353167533875	ORPHA:306674	ORPHA:306674
149	0.02130449377000332	OMIM:615924	OMIM:615924
150	0.02132510021328926	OMIM:618249	OMIM:618249
151	0.021338749676942825	OMIM:615273	OMIM:615273
152	0.021358976140618324	ORPHA:276244	ORPHA:276244
153	0.02144959755241871	OMIM:619847	OMIM:619847
154	0.021463099867105484	ORPHA:2590	ORPHA:2590
155	0.021465225145220757	OMIM:615838	OMIM:615838
156	0.021467402577400208	OMIM:618233	OMIM:618233
157	0.02149541862308979	ORPHA:98755	ORPHA:98755
158	0.021503182128071785	ORPHA:2148	ORPHA:2148
159	0.0215168334543705	ORPHA:79264	ORPHA:79264
160	0.021546054631471634	ORPHA:77299	ORPHA:77299
161	0.021663334220647812	OMIM:607459	OMIM:607459
162	0.02167889103293419	ORPHA:527497	ORPHA:527497
163	0.02171573042869568	ORPHA:550	ORPHA:550
164	0.0217268243432045	OMIM:619272	OMIM:619272
165	0.021733088418841362	OMIM:607483	OMIM:607483
166	0.02175789326429367	ORPHA:95232	ORPHA:95232
167	0.021773679181933403	ORPHA:216866	ORPHA:216866
168	0.021795399487018585	ORPHA:363717	ORPHA:363717
169	0.021817225962877274	ORPHA:225147	ORPHA:225147
170	0.02182244509458542	ORPHA:2495	ORPHA:2495
171	0.021856220439076424	OMIM:617669	OMIM:617669
172	0.021902119740843773	OMIM:616479	OMIM:616479
173	0.021909775212407112	ORPHA:98889	ORPHA:98889
174	0.021910402923822403	OMIM:619737	OMIM:619737
175	0.021947914734482765	OMIM:261640	OMIM:261640
176	0.021951017901301384	ORPHA:561854	ORPHA:561854
177	0.02195572480559349	OMIM:616657	OMIM:616657
178	0.021970929577946663	OMIM:256730	OMIM:256730
179	0.022005273029208183	ORPHA:309246	ORPHA:309246
180	0.02202511765062809	ORPHA:3006	ORPHA:3006
181	0.02207201160490513	ORPHA:544503	ORPHA:544503
182	0.022080445662140846	OMIM:617527	OMIM:617527
183	0.022081777453422546	OMIM:618285	OMIM:618285
184	0.022089418023824692	OMIM:618228	OMIM:618228
185	0.022095130756497383	ORPHA:370968	ORPHA:370968
186	0.022099092602729797	OMIM:615809	OMIM:615809
187	0.0221231821924448	OMIM:618426	OMIM:618426
188	0.022142594680190086	ORPHA:100996	ORPHA:100996
189	0.022194821387529373	ORPHA:457205	ORPHA:457205
190	0.022196060046553612	OMIM:260600	OMIM:260600
191	0.022231310606002808	OMIM:618973	OMIM:618973
192	0.02224750816822052	OMIM:615356	OMIM:615356
193	0.02226792462170124	ORPHA:33445	ORPHA:33445
194	0.0222723837941885	ORPHA:438114	ORPHA:438114
195	0.02228265441954136	ORPHA:2912	ORPHA:2912
196	0.022326184436678886	OMIM:614932	OMIM:614932
197	0.02234692871570587	ORPHA:485350	ORPHA:485350
198	0.022366808727383614	OMIM:603896	OMIM:603896
199	0.022368833422660828	ORPHA:488627	ORPHA:488627
200	0.022369252517819405	OMIM:238970	OMIM:238970
201	0.0223891269415617	OMIM:613668	OMIM:613668
202	0.02239150181412697	ORPHA:3385	ORPHA:3385
203	0.022413000464439392	ORPHA:621	ORPHA:621
204	0.022431371733546257	ORPHA:254930	ORPHA:254930
205	0.022464020177721977	ORPHA:521426	ORPHA:521426
206	0.022471338510513306	ORPHA:157846	ORPHA:157846
207	0.022489650174975395	OMIM:619229	OMIM:619229
208	0.022495901212096214	OMIM:614688	OMIM:614688
209	0.022513415664434433	OMIM:618253	OMIM:618253
210	0.02253151871263981	OMIM:618174	OMIM:618174
211	0.02256109192967415	OMIM:259720	OMIM:259720
212	0.022567521780729294	ORPHA:70595	ORPHA:70595
213	0.02257550321519375	ORPHA:79241	ORPHA:79241
214	0.022592216730117798	ORPHA:66634	ORPHA:66634
215	0.02262565679848194	ORPHA:329284	ORPHA:329284
216	0.022632528096437454	OMIM:277470	OMIM:277470
217	0.022647658362984657	ORPHA:247525	ORPHA:247525
218	0.022654473781585693	OMIM:614707	OMIM:614707
219	0.02266607992351055	ORPHA:3095	ORPHA:3095
220	0.022715996950864792	OMIM:105210	OMIM:105210
221	0.022730622440576553	ORPHA:276238	ORPHA:276238
221	0.022730622440576553	ORPHA:276241	ORPHA:276241
223	0.022732112556695938	OMIM:618733	OMIM:618733
224	0.022741612046957016	OMIM:312170	OMIM:312170
225	0.02274589240550995	ORPHA:98794	ORPHA:98794
226	0.022749220952391624	OMIM:603472	OMIM:603472
227	0.02275722101330757	OMIM:607855	OMIM:607855
228	0.022798454388976097	OMIM:604377	OMIM:604377
229	0.022802554070949554	ORPHA:254881	ORPHA:254881
230	0.022802947089076042	OMIM:617050	OMIM:617050
231	0.022808091714978218	ORPHA:206443	ORPHA:206443
232	0.022809632122516632	ORPHA:98673	ORPHA:98673
233	0.02281869389116764	ORPHA:447753	ORPHA:447753
234	0.02282611094415188	ORPHA:369840	ORPHA:369840
235	0.022836612537503242	OMIM:617599	OMIM:617599
236	0.022837141528725624	OMIM:614462	OMIM:614462
237	0.02284412831068039	OMIM:608643	OMIM:608643
238	0.022850045934319496	OMIM:614654	OMIM:614654
239	0.02285125106573105	ORPHA:247245	ORPHA:247245
240	0.02286587469279766	OMIM:614969	OMIM:614969
241	0.02287190780043602	ORPHA:79138	ORPHA:79138
242	0.022878877818584442	ORPHA:572013	ORPHA:572013
243	0.022894134745001793	OMIM:617013	OMIM:617013
244	0.022896671667695045	ORPHA:464282	ORPHA:464282
245	0.022961797192692757	OMIM:614299	OMIM:614299
246	0.022991113364696503	OMIM:617302	OMIM:617302
247	0.023028524592518806	OMIM:613477	OMIM:613477
248	0.02302926778793335	ORPHA:644	ORPHA:644
249	0.023030856624245644	OMIM:617235	OMIM:617235
250	0.023036140948534012	OMIM:619428	OMIM:619428
251	0.023052314296364784	OMIM:618397	OMIM:618397
252	0.023060448467731476	OMIM:207950	OMIM:207950
253	0.02306867390871048	ORPHA:254886	ORPHA:254886
254	0.02306966669857502	ORPHA:543470	ORPHA:543470
255	0.023109933361411095	OMIM:225750	OMIM:225750
256	0.023125872015953064	ORPHA:98915	ORPHA:98915
257	0.023137575015425682	OMIM:618251	OMIM:618251
258	0.0231553353369236	OMIM:272300	OMIM:272300
259	0.023174436762928963	ORPHA:370980	ORPHA:370980
260	0.023191191256046295	OMIM:225753	OMIM:225753
261	0.023205898702144623	OMIM:616277	OMIM:616277
262	0.02324352040886879	OMIM:272800	OMIM:272800
263	0.02326255291700363	ORPHA:480864	ORPHA:480864
264	0.02326660044491291	OMIM:615330	OMIM:615330
265	0.023269223049283028	OMIM:619580	OMIM:619580
266	0.023271046578884125	ORPHA:98768	ORPHA:98768
267	0.023292547091841698	OMIM:617248	OMIM:617248
268	0.023301059380173683	OMIM:619461	OMIM:619461
269	0.023326978087425232	ORPHA:297	ORPHA:297
270	0.02332707867026329	OMIM:619922	OMIM:619922
271	0.023339826613664627	OMIM:615501	OMIM:615501
272	0.02334422804415226	ORPHA:293181	ORPHA:293181
273	0.023347944021224976	OMIM:618237	OMIM:618237
274	0.023348893970251083	ORPHA:569	ORPHA:569
275	0.02336851879954338	OMIM:616878	OMIM:616878
276	0.02336907759308815	ORPHA:746	ORPHA:746
277	0.023386165499687195	ORPHA:702	ORPHA:702
278	0.023387612774968147	OMIM:616081	OMIM:616081
279	0.023418914526700974	OMIM:308350	OMIM:308350
280	0.023424778133630753	ORPHA:300605	ORPHA:300605
281	0.02343788370490074	OMIM:300673	OMIM:300673
282	0.02345450222492218	OMIM:618890	OMIM:618890
283	0.023458553478121758	OMIM:260565	OMIM:260565
284	0.023476222530007362	OMIM:617166	OMIM:617166
285	0.02351820468902588	ORPHA:2203	ORPHA:2203
286	0.023543404415249825	OMIM:607426	OMIM:607426
287	0.023549987003207207	OMIM:618298	OMIM:618298
288	0.023578820750117302	ORPHA:238329	ORPHA:238329
289	0.023606961593031883	OMIM:248900	OMIM:248900
290	0.023633146658539772	ORPHA:280229	ORPHA:280229
291	0.023660818114876747	OMIM:614922	OMIM:614922
292	0.02367536909878254	ORPHA:496756	ORPHA:496756
293	0.02367950603365898	ORPHA:59	ORPHA:59
294	0.0236861202865839	OMIM:618951	OMIM:618951
295	0.02368801087141037	OMIM:256000	OMIM:256000
296	0.023705778643488884	ORPHA:466722	ORPHA:466722
297	0.02372436784207821	OMIM:618356	OMIM:618356
298	0.023746399208903313	ORPHA:268943	ORPHA:268943
299	0.023747006431221962	OMIM:616881	OMIM:616881
300	0.02375476434826851	ORPHA:521406	ORPHA:521406
301	0.023757141083478928	OMIM:618238	OMIM:618238
302	0.02376977540552616	ORPHA:99966	ORPHA:99966
303	0.023772329092025757	ORPHA:101006	ORPHA:101006
304	0.02379080280661583	OMIM:616973	OMIM:616973
305	0.02380366064608097	OMIM:609056	OMIM:609056
306	0.023833107203245163	OMIM:619301	OMIM:619301
307	0.02385300025343895	OMIM:234200	OMIM:234200
308	0.02386721596121788	ORPHA:502423	ORPHA:502423
309	0.023907333612442017	OMIM:617393	OMIM:617393
310	0.023916417732834816	ORPHA:436271	ORPHA:436271
311	0.02392006292939186	ORPHA:778	ORPHA:778
312	0.023962751030921936	OMIM:614924	OMIM:614924
313	0.023964064195752144	OMIM:608804	OMIM:608804
314	0.023979859426617622	ORPHA:275872	ORPHA:275872
315	0.024006778374314308	ORPHA:254913	ORPHA:254913
316	0.024032197892665863	OMIM:164310	OMIM:164310
317	0.024043964222073555	OMIM:500003	OMIM:500003
318	0.024050826206803322	ORPHA:83600	ORPHA:83600
319	0.024050846695899963	ORPHA:438213	ORPHA:438213
320	0.024061962962150574	ORPHA:500180	ORPHA:500180
321	0.024068959057331085	OMIM:618321	OMIM:618321
322	0.024070782586932182	ORPHA:2169	ORPHA:2169
323	0.024097509682178497	OMIM:606612	OMIM:606612
324	0.024141330271959305	OMIM:614959	OMIM:614959
325	0.024148771539330482	ORPHA:300570	ORPHA:300570
326	0.024170108139514923	OMIM:161800	OMIM:161800
327	0.024219801649451256	ORPHA:397946	ORPHA:397946
328	0.02422402985394001	OMIM:617105	OMIM:617105
329	0.02422589249908924	ORPHA:513436	ORPHA:513436
330	0.024229025777224536	OMIM:620306	OMIM:620306
331	0.024259069934487343	OMIM:301830	OMIM:301830
332	0.02426161989569664	OMIM:612233	OMIM:612233
333	0.024274324998259544	OMIM:610015	OMIM:610015
334	0.02428569458425045	ORPHA:98795	ORPHA:98795
335	0.02430952899158001	ORPHA:17	ORPHA:17
336	0.02433912269771099	OMIM:164400	OMIM:164400
337	0.024342956021428108	ORPHA:500545	ORPHA:500545
338	0.024346966296434402	ORPHA:72	ORPHA:72
339	0.024351278319954872	ORPHA:71277	ORPHA:71277
340	0.02438288740813732	OMIM:221770	OMIM:221770
341	0.02439034916460514	ORPHA:191	ORPHA:191
342	0.024457639083266258	OMIM:615917	OMIM:615917
343	0.02447122521698475	OMIM:271900	OMIM:271900
344	0.024496857076883316	OMIM:617913	OMIM:617913
345	0.024515220895409584	ORPHA:309162	ORPHA:309162
346	0.0245207529515028	ORPHA:168491	ORPHA:168491
347	0.02453240379691124	OMIM:618329	OMIM:618329
348	0.024553216993808746	OMIM:618276	OMIM:618276
349	0.024567479267716408	OMIM:617672	OMIM:617672
350	0.024569790810346603	OMIM:301835	OMIM:301835
351	0.024571167305111885	OMIM:618193	OMIM:618193
352	0.024598503485322	OMIM:617086	OMIM:617086
353	0.024641742929816246	ORPHA:356961	ORPHA:356961
354	0.02465396374464035	OMIM:610329	OMIM:610329
355	0.02466498501598835	ORPHA:407	ORPHA:407
