rank	score	disease_name	disease_identifier
1	0.2103387713432312	OMIM:300082	OMIM:300082
1	0.2103387713432312	OMIM:158280	OMIM:158280
3	0.21209996938705444	OMIM:159580	OMIM:159580
4	0.2189154028892517	ORPHA:401780	ORPHA:401780
5	0.21934014558792114	DECIPHER:31	DECIPHER:31
6	0.2197575569152832	ORPHA:363432	ORPHA:363432
7	0.21982282400131226	ORPHA:401815	ORPHA:401815
8	0.2199801206588745	OMIM:208158	OMIM:208158
9	0.22024154663085938	ORPHA:85292	ORPHA:85292
10	0.22041058540344238	ORPHA:101001	ORPHA:101001
