rank	score	disease_name	disease_identifier
1	0.19223898649215698	OMIM:107700	OMIM:107700
2	0.19906139373779297	OMIM:139630	OMIM:139630
3	0.19952988624572754	OMIM:613949	OMIM:613949
4	0.20166200399398804	OMIM:425500	OMIM:425500
5	0.20270709264732045	ORPHA:319600	ORPHA:319600
6	0.20358985662460327	ORPHA:48372	ORPHA:48372
7	0.20500797033309937	OMIM:608175	OMIM:608175
8	0.20588284730911255	ORPHA:2040	ORPHA:2040
9	0.20609664916992188	DECIPHER:47	DECIPHER:47
10	0.2080603837966919	ORPHA:2456	ORPHA:2456
