rank	score	disease_name	disease_identifier
1	0.01241753064095974	OMIM:613849	OMIM:613849
2	0.015378564596176147	ORPHA:50814	ORPHA:50814
3	0.016312427818775177	OMIM:607812	OMIM:607812
4	0.0163708608597517	ORPHA:1452	ORPHA:1452
5	0.01665012538433075	OMIM:612921	OMIM:612921
6	0.016859974712133408	OMIM:303600	OMIM:303600
7	0.017060913145542145	OMIM:259775	OMIM:259775
8	0.017404191195964813	OMIM:601088	OMIM:601088
9	0.01787962019443512	ORPHA:3079	ORPHA:3079
10	0.018214231356978416	ORPHA:1327	ORPHA:1327
11	0.01823941059410572	ORPHA:137834	ORPHA:137834
12	0.018366742879152298	OMIM:269300	OMIM:269300
13	0.01837216317653656	OMIM:616294	OMIM:616294
14	0.01865089125931263	ORPHA:251028	ORPHA:251028
15	0.018672270700335503	OMIM:618644	OMIM:618644
16	0.01873066835105419	OMIM:227330	OMIM:227330
17	0.01888681761920452	OMIM:309583	OMIM:309583
18	0.018959593027830124	ORPHA:2180	ORPHA:2180
19	0.019014056771993637	ORPHA:2115	ORPHA:2115
20	0.0190348569303751	ORPHA:2471	ORPHA:2471
21	0.019074400886893272	OMIM:614188	OMIM:614188
22	0.01912006549537182	OMIM:612313	OMIM:612313
23	0.019161203876137733	OMIM:619325	OMIM:619325
24	0.019191799685359	OMIM:212066	OMIM:212066
25	0.019488194957375526	ORPHA:192	ORPHA:192
26	0.019505854696035385	OMIM:135500	OMIM:135500
27	0.01952800527215004	ORPHA:2107	ORPHA:2107
28	0.019639361649751663	OMIM:213980	OMIM:213980
29	0.01966927945613861	ORPHA:281	ORPHA:281
30	0.019706401973962784	ORPHA:2332	ORPHA:2332
31	0.019817477092146873	OMIM:612940	OMIM:612940
32	0.01985250972211361	ORPHA:439822	ORPHA:439822
33	0.01988060586154461	ORPHA:1695	ORPHA:1695
34	0.019909504801034927	OMIM:616331	OMIM:616331
35	0.019933387637138367	OMIM:614541	OMIM:614541
36	0.02004781924188137	OMIM:245600	OMIM:245600
37	0.020103396847844124	OMIM:617011	OMIM:617011
38	0.020170532166957855	OMIM:156200	OMIM:156200
39	0.020196616649627686	OMIM:618971	OMIM:618971
40	0.020199403166770935	ORPHA:3379	ORPHA:3379
41	0.020213579759001732	OMIM:617452	OMIM:617452
42	0.02028781734406948	OMIM:617877	OMIM:617877
43	0.020289400592446327	OMIM:249420	OMIM:249420
44	0.02030070498585701	OMIM:608545	OMIM:608545
45	0.020318616181612015	ORPHA:261349	ORPHA:261349
46	0.020359328016638756	ORPHA:3063	ORPHA:3063
47	0.020404381677508354	ORPHA:61	ORPHA:61
48	0.020427260547876358	ORPHA:2780	ORPHA:2780
49	0.020447909832000732	OMIM:613604	OMIM:613604
50	0.02046300284564495	OMIM:300895	OMIM:300895
51	0.020481955260038376	OMIM:102500	OMIM:102500
52	0.020517924800515175	ORPHA:502	ORPHA:502
53	0.020554784685373306	ORPHA:955	ORPHA:955
54	0.020569419488310814	OMIM:613792	OMIM:613792
55	0.02061789482831955	OMIM:211380	OMIM:211380
56	0.020656155422329903	OMIM:148050	OMIM:148050
57	0.020661277696490288	OMIM:615761	OMIM:615761
58	0.020784499123692513	ORPHA:2563	ORPHA:2563
59	0.020786253735423088	OMIM:614753	OMIM:614753
60	0.020787501707673073	OMIM:618027	OMIM:618027
61	0.020808743312954903	OMIM:614856	OMIM:614856
62	0.02081804908812046	OMIM:611174	OMIM:611174
63	0.02093488536775112	OMIM:166250	OMIM:166250
64	0.020951297134160995	ORPHA:261290	ORPHA:261290
65	0.020954322069883347	OMIM:602535	OMIM:602535
66	0.020958440378308296	OMIM:619312	OMIM:619312
67	0.020985988900065422	ORPHA:1974	ORPHA:1974
68	0.021016085520386696	OMIM:300831	OMIM:300831
69	0.02103913575410843	OMIM:620250	OMIM:620250
70	0.021040257066488266	ORPHA:289522	ORPHA:289522
71	0.021042199805378914	OMIM:615485	OMIM:615485
72	0.02109486050903797	ORPHA:561	ORPHA:561
73	0.021118968725204468	OMIM:309500	OMIM:309500
74	0.021126054227352142	ORPHA:71267	ORPHA:71267
75	0.021166102960705757	ORPHA:319171	ORPHA:319171
76	0.02122124843299389	ORPHA:794	ORPHA:794
77	0.02123626507818699	ORPHA:457359	ORPHA:457359
78	0.02126387692987919	ORPHA:261279	ORPHA:261279
79	0.021269243210554123	OMIM:617157	OMIM:617157
80	0.02127895876765251	OMIM:259050	OMIM:259050
81	0.021298928186297417	OMIM:616914	OMIM:616914
82	0.021298935636878014	OMIM:618332	OMIM:618332
83	0.02135922573506832	ORPHA:763	ORPHA:763
84	0.0213933102786541	OMIM:617694	OMIM:617694
85	0.0214039646089077	OMIM:618371	OMIM:618371
86	0.021405640989542007	OMIM:182212	OMIM:182212
87	0.02142784185707569	OMIM:614205	OMIM:614205
88	0.021452197805047035	OMIM:619127	OMIM:619127
89	0.02146107144653797	OMIM:309520	OMIM:309520
90	0.021473724395036697	ORPHA:3242	ORPHA:3242
91	0.021474117413163185	ORPHA:2062	ORPHA:2062
92	0.021474650129675865	OMIM:309590	OMIM:309590
93	0.02150452882051468	ORPHA:228410	ORPHA:228410
94	0.021517222747206688	ORPHA:828	ORPHA:828
95	0.02153189480304718	OMIM:617602	OMIM:617602
96	0.021542172878980637	ORPHA:2479	ORPHA:2479
97	0.02154448814690113	OMIM:618590	OMIM:618590
98	0.021676402539014816	OMIM:300990	OMIM:300990
99	0.021683085709810257	ORPHA:2429	ORPHA:2429
100	0.02171958051621914	OMIM:617061	OMIM:617061
101	0.021745590493083	ORPHA:163649	ORPHA:163649
102	0.021755333989858627	ORPHA:261250	ORPHA:261250
103	0.021757768467068672	OMIM:278250	OMIM:278250
104	0.02178279124200344	OMIM:612731	OMIM:612731
105	0.021787529811263084	OMIM:620098	OMIM:620098
106	0.021790193393826485	ORPHA:369891	ORPHA:369891
107	0.021797893568873405	OMIM:309580	OMIM:309580
108	0.02181128039956093	OMIM:615071	OMIM:615071
109	0.021820759400725365	OMIM:180700	OMIM:180700
110	0.021825207397341728	OMIM:619451	OMIM:619451
111	0.02182883769273758	OMIM:117550	OMIM:117550
112	0.021833136677742004	OMIM:617506	OMIM:617506
113	0.021839909255504608	OMIM:157980	OMIM:157980
114	0.02185462974011898	OMIM:234250	OMIM:234250
115	0.021874381229281425	ORPHA:3433	ORPHA:3433
116	0.02187948115170002	ORPHA:1387	ORPHA:1387
117	0.021882567554712296	ORPHA:363659	ORPHA:363659
118	0.02191307209432125	OMIM:613406	OMIM:613406
119	0.021919097751379013	OMIM:619720	OMIM:619720
120	0.021940425038337708	OMIM:130070	OMIM:130070
121	0.02194228209555149	OMIM:617982	OMIM:617982
122	0.02195732109248638	OMIM:613458	OMIM:613458
123	0.021970469504594803	OMIM:619194	OMIM:619194
124	0.021970566362142563	OMIM:272950	OMIM:272950
125	0.021990031003952026	OMIM:112240	OMIM:112240
126	0.021990995854139328	OMIM:158170	OMIM:158170
127	0.022020917385816574	OMIM:231070	OMIM:231070
128	0.022037748247385025	OMIM:618774	OMIM:618774
129	0.022071201354265213	OMIM:619595	OMIM:619595
130	0.022105813026428223	OMIM:619721	OMIM:619721
131	0.022137368097901344	OMIM:234100	OMIM:234100
132	0.0221431702375412	OMIM:601812	OMIM:601812
133	0.022151142358779907	OMIM:616580	OMIM:616580
134	0.022173987701535225	OMIM:300860	OMIM:300860
135	0.022196432575583458	OMIM:613684	OMIM:613684
136	0.022209273651242256	ORPHA:2463	ORPHA:2463
137	0.0222212765365839	OMIM:602342	OMIM:602342
138	0.02228696271777153	OMIM:618529	OMIM:618529
139	0.022292403504252434	OMIM:614202	OMIM:614202
140	0.022349953651428223	ORPHA:391408	ORPHA:391408
141	0.02235361561179161	ORPHA:83	ORPHA:83
142	0.022357527166604996	ORPHA:1394	ORPHA:1394
143	0.022365618497133255	OMIM:619950	OMIM:619950
144	0.02237597107887268	ORPHA:1458	ORPHA:1458
145	0.02237863279879093	DECIPHER:81	DECIPHER:81
146	0.022419583052396774	OMIM:619087	OMIM:619087
147	0.02243131399154663	ORPHA:884	ORPHA:884
148	0.022464772686362267	ORPHA:247262	ORPHA:247262
149	0.022467007860541344	ORPHA:2511	ORPHA:2511
150	0.022469131276011467	ORPHA:2050	ORPHA:2050
151	0.022480260580778122	OMIM:604314	OMIM:604314
152	0.022492356598377228	ORPHA:96061	ORPHA:96061
153	0.022498080506920815	ORPHA:263508	ORPHA:263508
154	0.02251366712152958	OMIM:244450	OMIM:244450
155	0.022517280653119087	OMIM:269500	OMIM:269500
156	0.022524289786815643	ORPHA:96169	ORPHA:96169
157	0.02252800017595291	OMIM:611209	OMIM:611209
158	0.022533895447850227	OMIM:613776	OMIM:613776
159	0.022549035027623177	OMIM:249310	OMIM:249310
160	0.02255425602197647	ORPHA:93357	ORPHA:93357
161	0.022560613229870796	ORPHA:1738	ORPHA:1738
162	0.02256268635392189	ORPHA:2729	ORPHA:2729
163	0.02257656678557396	ORPHA:1272	ORPHA:1272
164	0.022580720484256744	OMIM:610443	OMIM:610443
165	0.022598542273044586	OMIM:613563	OMIM:613563
166	0.02261045202612877	OMIM:615866	OMIM:615866
167	0.022615503519773483	ORPHA:251019	ORPHA:251019
168	0.022624146193265915	OMIM:610759	OMIM:610759
169	0.02263341099023819	ORPHA:98791	ORPHA:98791
170	0.02267777919769287	OMIM:270450	OMIM:270450
171	0.022701174020767212	ORPHA:487825	ORPHA:487825
172	0.02270389348268509	OMIM:617561	OMIM:617561
173	0.022707173600792885	ORPHA:447980	ORPHA:447980
174	0.02273358777165413	ORPHA:2067	ORPHA:2067
175	0.022755827754735947	OMIM:619695	OMIM:619695
176	0.022768117487430573	OMIM:605039	OMIM:605039
177	0.022769054397940636	OMIM:271510	OMIM:271510
178	0.022770438343286514	OMIM:619841	OMIM:619841
179	0.022791685536503792	OMIM:617752	OMIM:617752
180	0.022801341488957405	ORPHA:2789	ORPHA:2789
181	0.022805562242865562	OMIM:618342	OMIM:618342
182	0.022816624492406845	OMIM:605130	OMIM:605130
183	0.02281763404607773	ORPHA:94065	ORPHA:94065
184	0.022825954481959343	ORPHA:2484	ORPHA:2484
185	0.022826051339507103	OMIM:190350	OMIM:190350
186	0.022831395268440247	OMIM:615546	OMIM:615546
187	0.022833602502942085	OMIM:616803	OMIM:616803
188	0.02284194529056549	OMIM:119600	OMIM:119600
189	0.02284274436533451	OMIM:618622	OMIM:618622
190	0.022859906777739525	OMIM:617140	OMIM:617140
191	0.02286282368004322	ORPHA:261318	ORPHA:261318
192	0.022870417684316635	OMIM:615834	OMIM:615834
193	0.022881457582116127	OMIM:613174	OMIM:613174
194	0.022882934659719467	OMIM:300801	OMIM:300801
195	0.022896964102983475	OMIM:619293	OMIM:619293
196	0.022900281473994255	OMIM:301022	OMIM:301022
197	0.02291787602007389	ORPHA:2522	ORPHA:2522
198	0.02293005771934986	ORPHA:1517	ORPHA:1517
199	0.02293267846107483	OMIM:300968	OMIM:300968
200	0.02294696308672428	ORPHA:480907	ORPHA:480907
201	0.02295239083468914	OMIM:612474	OMIM:612474
202	0.02298101782798767	OMIM:273750	OMIM:273750
203	0.022985123097896576	OMIM:300232	OMIM:300232
204	0.022985579445958138	OMIM:615582	OMIM:615582
205	0.022991038858890533	ORPHA:1715	ORPHA:1715
206	0.02299666590988636	OMIM:300676	OMIM:300676
207	0.023046284914016724	OMIM:619504	OMIM:619504
208	0.02304885908961296	OMIM:300882	OMIM:300882
209	0.023060623556375504	OMIM:618443	OMIM:618443
210	0.023081380873918533	OMIM:609625	OMIM:609625
211	0.023083096370100975	OMIM:613544	OMIM:613544
212	0.023135876283049583	ORPHA:2077	ORPHA:2077
213	0.023140428587794304	OMIM:617360	OMIM:617360
214	0.023170894011855125	ORPHA:85293	ORPHA:85293
215	0.023179396986961365	OMIM:314320	OMIM:314320
216	0.023190082982182503	OMIM:619184	OMIM:619184
217	0.02319089137017727	ORPHA:480880	ORPHA:480880
218	0.023195670917630196	OMIM:616734	OMIM:616734
219	0.02319822646677494	ORPHA:357001	ORPHA:357001
220	0.023248037323355675	ORPHA:217385	ORPHA:217385
221	0.02325671911239624	OMIM:608156	OMIM:608156
222	0.023260943591594696	ORPHA:2215	ORPHA:2215
223	0.023284921422600746	ORPHA:85276	ORPHA:85276
224	0.02328830026090145	ORPHA:171829	ORPHA:171829
225	0.023308660835027695	ORPHA:2872	ORPHA:2872
226	0.02330942638218403	ORPHA:1185	ORPHA:1185
227	0.023321224376559258	OMIM:264090	OMIM:264090
228	0.02332865260541439	OMIM:614114	OMIM:614114
229	0.02335513010621071	OMIM:239300	OMIM:239300
230	0.023360511288046837	ORPHA:397941	ORPHA:397941
231	0.023365041241049767	ORPHA:444077	ORPHA:444077
232	0.0233671385794878	OMIM:219200	OMIM:219200
233	0.023369431495666504	OMIM:619833	OMIM:619833
234	0.023370778188109398	OMIM:612513	OMIM:612513
235	0.023381084203720093	ORPHA:2616	ORPHA:2616
236	0.02341620624065399	OMIM:618106	OMIM:618106
237	0.023443104699254036	OMIM:618333	OMIM:618333
238	0.023448355495929718	OMIM:619995	OMIM:619995
239	0.023464063182473183	ORPHA:93932	ORPHA:93932
240	0.023473676294088364	OMIM:619005	OMIM:619005
241	0.02348034456372261	ORPHA:363528	ORPHA:363528
242	0.023508599027991295	ORPHA:261211	ORPHA:261211
243	0.02350965328514576	OMIM:210600	OMIM:210600
244	0.02352924831211567	OMIM:300590	OMIM:300590
245	0.023532675579190254	OMIM:615539	OMIM:615539
246	0.023549551144242287	OMIM:617137	OMIM:617137
247	0.023551449179649353	OMIM:617412	OMIM:617412
248	0.023575812578201294	ORPHA:1323	ORPHA:1323
249	0.023590344935655594	ORPHA:261144	ORPHA:261144
250	0.023592732846736908	OMIM:224300	OMIM:224300
251	0.023605026304721832	OMIM:613823	OMIM:613823
252	0.023615995422005653	ORPHA:1299	ORPHA:1299
253	0.023652564734220505	OMIM:617796	OMIM:617796
254	0.0236712247133255	OMIM:265050	OMIM:265050
255	0.02367241308093071	ORPHA:1798	ORPHA:1798
256	0.02371908538043499	OMIM:616723	OMIM:616723
257	0.023733794689178467	OMIM:620107	OMIM:620107
258	0.0237408634275198	ORPHA:238750	ORPHA:238750
259	0.02374737709760666	OMIM:618571	OMIM:618571
260	0.023749835789203644	ORPHA:314585	ORPHA:314585
